House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
Brompton	832	569	68.39	263	31.61	1.28
Clarence Park	1089	444	40.77	645	59.23	2.48
Clarence Park West	1817	829	45.62	988	54.38	1.41
Collinswood	786	258	32.82	528	67.18	2.22
Croydon	1251	830	66.35	421	33.65	2.16
Croydon Park	1396	903	64.68	493	35.32	5.66
Croydon Park West (Adelaide)	454	322	70.93	132	29.07	8.73
Enfield	1296	717	55.32	579	44.68	6.29
Enfield North (Adelaide)	1140	716	62.81	424	37.19	8.06
Enfield South	691	393	56.87	298	43.13	7.59
Fullarton	2105	855	40.62	1250	59.38	5.39
Goodwood	1761	1006	57.13	755	42.87	-0.98
Goodwood Park	531	303	57.06	228	42.94	9.47
Hackney	1031	427	41.42	604	58.58	4.91
Hindmarsh	424	303	71.46	121	28.54	9.75
Hyde Park	1383	402	29.07	981	70.93	3.56
Joslin	1626	708	43.54	918	56.46	5.94
Keswick	655	331	50.53	324	49.47	1.69
Kilburn	1580	1169	73.99	411	26.01	9.61
Lower North Adelaide	788	312	39.59	476	60.41	4.37
Malvern	1270	388	30.55	882	69.45	5.3
Marden West (Adelaide)	243	127	52.26	116	47.74	2.26
Myrtle Bank	1597	491	30.75	1106	69.25	3.27
Nailsworth	1278	624	48.83	654	51.17	1.89
North Adelaide	2152	795	36.94	1357	63.06	1.96
Northfield South (Adelaide)	1203	654	54.36	549	45.64	4.68
Parkside East (Adelaide)	1800	882	49	918	51	0.77
Prospect	1355	699	51.59	656	48.41	-1.73
Prospect Estate	799	488	61.08	311	38.92	8.86
Prospect North	1207	700	58	507	42	2.86
Prospect South	1082	477	44.09	605	55.91	3.42
Prospect West	2424	1273	52.52	1151	47.48	0.92
Renown Park	1864	1210	64.91	654	35.09	3.38
Special Hospital Team 1	244	83	34.02	161	65.98	12.91
Special Hospital Team 2	96	49	51.04	47	48.96	13.96
Special Hospital Team 3	106	36	33.96	70	66.04	-0.32
Special Hospital Team 4	35	7	20	28	80	-14.48
Special Hospital Team 5	20	7	35	13	65	7.73
Special Hospital Team 6	78	16	20.51	62	79.49	-11.15
Special Hospital Team 7	101	35	34.65	66	65.35	0.25
Special Hospital Team 8	27	12	44.44	15	55.56	-13.89
St Peters	509	188	36.94	321	63.06	0.06
Thebarton	1656	1125	67.93	531	32.07	2.67
Unley	2854	1312	45.97	1542	54.03	-1.39
Walkerville	2021	584	28.9	1437	71.1	2.32
Wayville	613	275	44.86	338	55.14	2.52
West Croydon (Adelaide)	1064	715	67.2	349	32.8	3.09
ABSENT	5972	2763	46.27	3209	53.73	-
POSTAL	5220	2262	43.33	2958	56.67	-
PRE POLL	3883	1684	43.37	2199	56.63	-
PROVISIONAL	717	426	59.41	291	40.59	-
Division Total	74110	36379	49.09	37731	50.91	2.58


Barker						

Polling Place	Formal	DETCHON		SECKER		Swing
	Votes	(ALP)	%	(LP)	%	%
Allendale East	254	82	32.28	172	67.72	9.29
American River	187	59	31.55	128	68.45	5.15
Ashbourne	115	36	31.3	79	68.7	1.13
Beachport	535	157	29.35	378	70.65	5.51
Bordertown	1741	389	22.34	1352	77.66	5.1
Cambrai	216	83	38.43	133	61.57	12.92
Carpenter Rocks	206	83	40.29	123	59.71	8.5
Compton	310	90	29.03	220	70.97	7.37
Coomandook	176	25	14.2	151	85.8	6.55
Coonalpyn	304	46	15.13	258	84.87	5.19
Coonawarra	216	27	12.5	189	87.5	-1.6
Currency Creek	320	78	24.37	242	75.62	10.34
Delamere	219	70	31.96	149	68.04	11.19
Frances	96	18	18.75	78	81.25	4.35
Furner	104	15	14.42	89	85.58	4.23
Geranium	113	8	7.08	105	92.92	-1.67
Glenburnie	235	82	34.89	153	65.11	13.53
Glencoe	334	155	46.41	179	53.59	13.24
Goolwa	2395	997	41.63	1398	58.37	6.77
Gosse	71	15	21.13	56	78.87	5.82
Greenways	103	21	20.39	82	79.61	7.05
Hindmarsh Island	214	54	25.23	160	74.77	6.83
Hindmarsh Valley	108	33	30.56	75	69.44	16.49
Hope Forest	170	55	32.35	115	67.65	15.6
Hynam	154	29	18.83	125	81.17	11.74
Inman Valley	154	38	24.68	116	75.32	4.03
Jervois	130	18	13.85	112	86.15	6.91
Kalangadoo	323	93	28.79	230	71.21	3.23
Karoonda	436	65	14.91	371	85.09	6.61
Keith	961	200	20.81	761	79.19	7.38
Keyneton	131	40	30.53	91	69.47	8.68
Kingscote	1325	414	31.25	911	68.75	9.34
Kingston	1263	364	28.82	899	71.18	9.92
Kongorong	252	59	23.41	193	76.59	5.79
Kybybolite	88	26	29.55	62	70.45	5.78
Lameroo	442	80	18.1	362	81.9	4.38
Lucindale	467	106	22.7	361	77.3	8.89
Mannum	1565	652	41.66	913	58.34	6.87
Meningie	829	197	23.76	632	76.24	6.08
Middleton	541	222	41.04	319	58.96	7.06
Mil Lel	164	54	32.93	110	67.07	16.91
Milang	468	145	30.98	323	69.02	9.29
Millicent	2133	958	44.91	1175	55.09	6.83
Millicent South	764	404	52.88	360	47.12	8.94
Moorak	370	89	24.05	281	75.95	7.63
Mount Burr	291	155	53.26	136	46.74	5.98
Mount Compass	759	246	32.41	513	67.59	7.25
Mount Gambier	2718	1070	39.37	1648	60.63	6.73
Mount Gambier East	2542	1513	59.52	1029	40.48	9.34
Mount Gambier North	1818	960	52.81	858	47.19	8.45
Mount Gambier Park	1717	769	44.79	948	55.21	6.35
Mount Gambier West	2574	1290	50.12	1284	49.88	10.45
Mundulla	325	53	16.31	272	83.69	4.65
Murray Bridge	1828	747	40.86	1081	59.14	6.28
Murray Bridge East	1152	344	29.86	808	70.14	3.31
Murray Bridge South	2543	1159	45.58	1384	54.42	9.19
Murray Bridge West	1893	712	37.61	1181	62.39	8.67
Mypolonga	320	91	28.44	229	71.56	6.43
Myponga	393	107	27.23	286	72.77	4.65
Nangula	167	42	25.15	125	74.85	5.82
Nangwarry	296	209	70.61	87	29.39	14.41
Naracoorte	1843	570	30.93	1273	69.07	5.51
Naracoorte South	1306	459	35.15	847	64.85	7.01
Narrung	86	39	45.35	47	54.65	8.61
Nildottie	152	29	19.08	123	80.92	6.75
O B Flat	163	32	19.63	131	80.37	0.35
Padthaway	312	50	16.03	262	83.97	8.54
Parawa	101	19	18.81	82	81.19	12.43
Parilla	96	9	9.37	87	90.62	-2.82
Parndana	314	54	17.2	260	82.8	2.27
Paruna	65	19	29.23	46	70.77	15.31
Peake	140	11	7.86	129	92.14	0.29
Penneshaw	283	103	36.4	180	63.6	10.54
Penola	1005	305	30.35	700	69.65	6.58
Pinnaroo	459	122	26.58	337	73.42	8.98
Ponde	182	58	31.87	124	68.13	12.73
Port Elliot	998	410	41.08	588	58.92	7.88
Port MacDonnell	660	256	38.79	404	61.21	11.88
Purnong	143	21	14.69	122	85.31	1.17
Rendelsham	149	31	20.81	118	79.19	2.95
Robe	860	207	24.07	653	75.93	8.91
Salt Creek	63	25	39.68	38	60.32	18.37
Second Valley	107	43	40.19	64	59.81	1.35
Sedan	168	48	28.57	120	71.43	8.57
Southend	173	50	28.9	123	71.1	9.93
Special Hospital Team 1	27	9	33.33	18	66.67	-16.67
Special Hospital Team 2	70	27	38.57	43	61.43	12.9
Special Hospital Team 3	28	13	46.43	15	53.57	28.93
Special Hospital Team 4	12	5	41.67	7	58.33	3.57
Special Hospital Team 5	90	24	26.67	66	73.33	9.02
Special Hospital Team 6	37	13	35.14	24	64.86	5.87
Special Hospital Team 7	9	1	11.11	8	88.89	2.02
Special Hospital Team 8	138	57	41.3	81	58.7	8.7
Special Hospital Team 9	68	31	45.59	37	54.41	20.22
Suttontown	533	216	40.53	317	59.47	13.15
Swan Reach	220	63	28.64	157	71.36	0.69
Tailem Bend	1054	503	47.72	551	52.28	5.53
Tantanoola	241	91	37.76	150	62.24	2.99
Tarpeena	324	186	57.41	138	42.59	20.99
Tintinara	415	44	10.6	371	89.4	3.53
Victor Harbor	3033	1116	36.8	1917	63.2	8.47
Victor Harbor East	897	291	32.44	606	67.56	11.11
Victor Harbor South	1430	480	33.57	950	66.43	7.43
Walker Flat	141	45	31.91	96	68.09	12.87
Wanbi	76	10	13.16	66	86.84	-4.28
Wellington West	170	49	28.82	121	71.18	11.63
Western Flat	99	8	8.08	91	91.92	3.78
Willalooka	136	17	12.5	119	87.5	2.88
Wolseley	124	38	30.65	86	69.35	5.27
Woods Point	137	38	27.74	99	72.26	5.01
Yahl	271	113	41.7	158	58.3	10.93
Yankalilla	1282	441	34.4	841	65.6	7.49
ABSENT	4434	1587	35.79	2847	64.21	-
POSTAL	4825	1350	27.98	3475	72.02	-
PRE POLL	3729	1521	40.79	2208	59.21	-
PROVISIONAL	744	404	54.3	340	45.7	-
Division Total	77660	28159	36.26	49501	63.74	7.14


Bonython						

Polling Place	Formal	EVANS		NEWTON		Swing
	Votes	(ALP)	%	(LP)	%	%
Adelaide (Bonython)	36	20	55.56	16	44.44	4.68
Andrews Farm	1010	600	59.41	410	40.59	-0.56
Angle Vale	1264	592	46.84	672	53.16	2.26
Brahma Lodge	1723	1102	63.96	621	36.04	6.85
Craigmore	2187	1250	57.16	937	42.84	-1.98
Craigmore South	2706	1603	59.24	1103	40.76	3.3
Davoren Park North	1575	1143	72.57	432	27.43	9.43
Davoren Park South	1351	985	72.91	366	27.09	10.23
Direk	513	348	67.84	165	32.16	3.14
Elizabeth	734	435	59.26	299	40.74	1.48
Elizabeth Downs	2547	1787	70.16	760	29.84	8.42
Elizabeth East	1968	1272	64.63	696	35.37	5.63
Elizabeth Grove	1115	764	68.52	351	31.48	5.46
Elizabeth North	1756	1229	69.99	527	30.01	7.71
Elizabeth Park	1796	1183	65.87	613	34.13	5.58
Elizabeth South	1765	1291	73.14	474	26.86	7.02
Elizabeth Vale	2343	1478	63.08	865	36.92	7.33
Hillbank	1537	836	54.39	701	45.61	2.5
Munno Para	867	612	70.59	255	29.41	9.21
One Tree Hill (Bonython)	645	239	37.05	406	62.95	0.31
Parafield Gardens	1534	1071	69.82	463	30.18	5.48
Parafield Gardens Central	3527	2454	69.58	1073	30.42	6.26
Parafield Gardens North West	2436	1626	66.75	810	33.25	4.85
Paralowie	4078	2661	65.25	1417	34.75	2.22
Paralowie West	2354	1558	66.19	796	33.81	1.32
Salisbury (Bonython)	1627	982	60.36	645	39.64	4.39
Salisbury Central	1504	896	59.57	608	40.43	6.82
Salisbury Downs	2577	1643	63.76	934	36.24	8.79
Salisbury North	2578	1825	70.79	753	29.21	5.82
Salisbury North West	2712	1913	70.54	799	29.46	5.4
Salisbury Park	1733	1005	57.99	728	42.01	4.23
Smithfield	1093	720	65.87	373	34.13	4.53
Smithfield Plains	1143	830	72.62	313	27.38	5.89
Special Hospital Team 1	163	109	66.87	54	33.13	12.61
Special Hospital Team 2	110	55	50	55	50	11
Virginia	1332	718	53.9	614	46.1	16.73
ABSENT	4654	2942	63.21	1712	36.79	-
POSTAL	2769	1691	61.07	1078	38.93	-
PRE POLL	3028	1887	62.32	1141	37.68	-
PROVISIONAL	796	580	72.86	216	27.14	-
Division Total	71186	45935	64.53	25251	35.47	5.07


Boothby						

Polling Place	Formal	CHESSON		SOUTHCOTT		Swing
	Votes	(ALP)	%	(LP)	%	%
Adelaide (Boothby)	101	57	56.44	44	43.56	4.14
Bedford Park	695	313	45.04	382	54.96	4.55
Belair	3582	1403	39.17	2179	60.83	4.61
Bellevue Heights	1850	665	35.95	1185	64.05	4.65
Blackwood	2001	770	38.48	1231	61.52	0.97
Blackwood Central	948	411	43.35	537	56.65	5.77
Brighton	3069	1229	40.05	1840	59.95	6.5
Brighton South	996	432	43.37	564	56.63	5.38
Clapham	1832	638	34.83	1194	65.17	3.3
Clarence Gardens	743	313	42.13	430	57.87	1.74
Colonel Light Gardens	1558	672	43.13	886	56.87	1.55
Coromandel Valley (Boothby)	260	116	44.62	144	55.38	5.12
Darlington	1824	963	52.8	861	47.2	4.62
Daw Park	1575	776	49.27	799	50.73	6.4
Dover Gardens	1674	915	54.66	759	45.34	8.18
Eden Hills	1158	518	44.73	640	55.27	1.64
Hawthorn	510	168	32.94	342	67.06	4.98
Hawthorn West	1465	532	36.31	933	63.69	4.53
Hawthorndene	1509	629	41.68	880	58.32	2.69
Kingswood	1301	530	40.74	771	59.26	5.78
Marino	1278	508	39.75	770	60.25	3.05
Marion	1091	527	48.3	564	51.7	11.27
Melrose Park	1955	907	46.39	1048	53.61	5.09
Mitcham	2179	690	31.67	1489	68.33	4.25
Mitchell Park	1996	1120	56.11	876	43.89	3.19
Netherby	1444	301	20.84	1143	79.16	1.14
North Brighton	1263	519	41.09	744	58.91	3.22
Oaklands Park	1209	523	43.26	686	56.74	0
Panorama	921	313	33.98	608	66.02	5.59
Pasadena	2536	1190	46.92	1346	53.08	5.1
Seacliff	1939	793	40.9	1146	59.1	4.48
Seacombe Heights	2529	1293	51.13	1236	48.87	6.98
Seaview Downs	1293	548	42.38	745	57.62	6.44
Special Hospital Team 1	139	30	21.58	109	78.42	5.63
Special Hospital Team 2	144	26	18.06	118	81.94	-9.89
Special Hospital Team 3	180	56	31.11	124	68.89	8.61
Special Hospital Team 4	60	18	30	42	70	9.84
Special Hospital Team 5	32	12	37.5	20	62.5	11.11
St Marys	1557	829	53.24	728	46.76	4.12
Sturt	715	319	44.62	396	55.38	3.66
Tonsley Park	1202	784	65.22	418	34.78	7.76
Warradale	2857	1262	44.17	1595	55.83	3.59
West Brighton	1410	448	31.77	962	68.23	2.68
Westbourne Park	1672	711	42.52	961	57.48	1.26
ABSENT	5605	2451	43.73	3154	56.27	-
POSTAL	4880	1859	38.09	3021	61.91	-
PRE POLL	4421	1863	42.14	2558	57.86	-
PROVISIONAL	402	204	50.75	198	49.25	-
Division Total	75560	32154	42.55	43406	57.45	4.16


Grey						

Polling Place	Formal	BUCKLAND		WAKELIN		Swing
	Votes	(ALP)	%	(LP)	%	%
Andamooka	244	111	45.49	133	54.51	10.42
Arno Bay	235	50	21.28	185	78.72	7.7
Blyth	324	58	17.9	266	82.1	6.29
Booborowie	140	30	21.43	110	78.57	2.75
Booleroo Centre	346	32	9.25	314	90.75	0.72
Brinkworth	205	44	21.46	161	78.54	8.75
Burra	744	236	31.72	508	68.28	4.95
Ceduna	1633	546	33.44	1087	66.56	0.98
Clare	2315	702	30.32	1613	69.68	3.63
Cleve	698	66	9.46	632	90.54	-2.5
Coffin Bay	427	96	22.48	331	77.52	-0.77
Coober Pedy	996	497	49.9	499	50.1	5.58
Cowell	737	159	21.57	578	78.43	4.01
Crystal Brook	908	300	33.04	608	66.96	0.96
Cummins	691	106	15.34	585	84.66	3.38
Darke Peak	92	9	9.78	83	90.22	2.69
Davenport	1731	892	51.53	839	48.47	-7.47
Elliston	285	77	27.02	208	72.98	2.85
Farrell Flat	133	26	19.55	107	80.45	2.19
Fisk	945	598	63.28	347	36.72	-3
Georgetown	145	41	28.28	104	71.72	3.28
Gladstone	455	208	45.71	247	54.29	9.46
Hallett	140	38	27.14	102	72.86	4.99
Hawker	277	68	24.55	209	75.45	1.28
Iron Knob	133	78	58.65	55	41.35	0.98
Jamestown	1257	252	20.05	1005	79.95	-0.09
Karkoo	71	3	4.23	68	95.77	1.34
Kimba	596	76	12.75	520	87.25	3.66
Kirton Point	893	363	40.65	530	59.35	4.69
Laura	461	123	26.68	338	73.32	-0.5
Leigh Creek	353	184	52.12	169	47.88	-8.74
Lochiel	89	19	21.35	70	78.65	-1.26
Lock	287	37	12.89	250	87.11	2.46
Melrose	379	74	19.53	305	80.47	1.61
Minnipa	180	31	17.22	149	82.78	1.37
Napperby	449	221	49.22	228	50.78	6.52
North Shields	362	83	22.93	279	77.07	3.05
Orroroo	480	82	17.08	398	82.92	3.21
Peterborough	1063	542	50.99	521	49.01	3.26
Pirie South	446	203	45.52	243	54.48	-12.05
Poochera	119	14	11.76	105	88.24	7.25
Port Augusta	1108	554	50	554	50	-2.86
Port Augusta West	1595	930	58.31	665	41.69	1.14
Port Broughton	999	329	32.93	670	67.07	3.11
Port Germein	317	138	43.53	179	56.47	3.89
Port Kenny	160	34	21.25	126	78.75	1
Port Lincoln	2937	934	31.8	2003	68.2	1
Port Lincoln Central	1675	426	25.43	1249	74.57	1.98
Port Lincoln South	1080	510	47.22	570	52.78	-0.84
Port Neill	264	61	23.11	203	76.89	3.36
Port Pirie West	1819	1156	63.55	663	36.45	0.43
Quorn	701	246	35.09	455	64.91	3.59
Redhill	187	42	22.46	145	77.54	7.61
Remote Mobile Team 1	898	752	83.74	146	16.26	8.92
Remote Mobile Team 2	227	127	55.95	100	44.05	15.53
Remote Mobile Team 3	29	14	48.28	15	51.72	7.85
Remote Mobile Team 4	104	23	22.12	81	77.88	-0.61
Remote Mobile Team 5	103	102	99.03	1	0.97	-
Risdon Park East	2849	1524	53.49	1325	46.51	2.34
Risdon Park South	1179	682	57.85	497	42.15	1.45
Roxby Downs	1253	437	34.88	816	65.12	-2.53
Salisbury (Grey)	35	30	85.71	5	14.29	25.71
Scott	1820	1272	69.89	548	30.11	2.39
Smoky Bay	144	21	14.58	123	85.42	-0.66
Snowtown	375	116	30.93	259	69.07	7.39
Solomontown	1608	1032	64.18	576	35.82	1.12
Spalding	256	63	24.61	193	75.39	1.14
Special Hospital Team 1	34	8	23.53	26	76.47	14.44
Special Hospital Team 2	41	13	31.71	28	68.29	6.71
Special Hospital Team 3	21	3	14.29	18	85.71	-4.46
Special Hospital Team 4	50	17	34	33	66	15.48
Special Hospital Team 5	74	37	50	37	50	-22.88
Special Hospital Team 6	94	27	28.72	67	71.28	6.88
Special Hospital Team 7	171	83	48.54	88	51.46	-7.39
Special Hospital Team 8	83	57	68.67	26	31.33	43.67
Stirling North	759	419	55.2	340	44.8	5.6
Streaky Bay	760	175	23.03	585	76.97	1.52
Terowie	100	48	48	52	52	17.23
Tumby Bay	940	187	19.89	753	80.11	2.15
Ungarra	122	13	10.66	109	89.34	-4.73
Wangary	249	53	21.29	196	78.71	4.82
Warramboo	102	10	9.8	92	90.2	4.95
Whyalla	805	365	45.34	440	54.66	-1.08
Whyalla Norrie	1493	958	64.17	535	35.83	-0.39
Whyalla Norrie South	1313	864	65.8	449	34.2	-4.24
Whyalla South	1642	883	53.78	759	46.22	1.97
Whyalla Stuart	1125	729	64.8	396	35.2	-2
Whyalla West	1657	951	57.39	706	42.61	-0.93
Willsden	960	590	61.46	370	38.54	1.51
Wilmington	413	116	28.09	297	71.91	2.14
Wirrabara	356	81	22.75	275	77.25	3.83
Wirrulla	108	8	7.41	100	92.59	5.7
Woomera	255	115	45.1	140	54.9	-5.05
Wudinna	632	75	11.87	557	88.13	2.4
Yacka	101	21	20.79	80	79.21	5.2
ABSENT	4537	1797	39.61	2740	60.39	-
POSTAL	5321	1597	30.01	3724	69.99	-
PRE POLL	4019	1898	47.23	2121	52.77	-
PROVISIONAL	644	412	63.98	232	36.02	-
Division Total	75167	31540	41.96	43627	58.04	0.5


Hindmarsh						

Polling Place	Formal	GEORGANAS		GALLUS		Swing
	Votes	(ALP)	%	(LP)	%	%
Adelaide (Hindmarsh)	105	60	57.14	45	42.86	8.01
Ascot Park South	936	529	56.52	407	43.48	7.4
Brooklyn Park	1700	968	56.94	732	43.06	13.35
Brooklyn Park South	1050	495	47.14	555	52.86	4.43
Camden Park	1279	608	47.54	671	52.46	7.6
Cowandilla	1718	1201	69.91	517	30.09	10.58
Cowandilla West	593	348	58.68	245	41.32	7.95
Edwardstown	1440	807	56.04	633	43.96	10.13
Flinders Park	2717	1586	58.37	1131	41.63	10.11
Forbes	2280	1243	54.52	1037	45.48	10
Fulham	1672	660	39.47	1012	60.53	7.24
Fulham Gardens	3105	1693	54.52	1412	45.48	11.57
Glandore	1125	555	49.33	570	50.67	9.37
Glenelg Central	1531	619	40.43	912	59.57	3.11
Glenelg East	1544	654	42.36	890	57.64	5.88
Glenelg North	2017	747	37.04	1270	62.96	2.75
Glenelg South	1649	544	32.99	1105	67.01	5.62
Glengowrie	1556	624	40.1	932	59.9	7
Grovene	1158	403	34.8	755	65.2	7.4
Henley Beach	2049	1016	49.59	1033	50.41	4.94
Henley South	1354	668	49.34	686	50.66	8.86
Kidman Park	978	497	50.82	481	49.18	6.16
Kidman Park South	2184	1088	49.82	1096	50.18	8.46
Kurralta Park	1253	670	53.47	583	46.53	5.6
Lockleys	1657	655	39.53	1002	60.47	6.87
Lockleys North	1111	518	46.62	593	53.38	7.48
Morphettville	1122	553	49.29	569	50.71	7.28
Netley	1484	819	55.19	665	44.81	11.48
Novar Gardens	1691	639	37.79	1052	62.21	8.42
Park Holme	1500	851	56.73	649	43.27	9.55
Park Holme South	1481	810	54.69	671	45.31	7.98
Plympton	1775	904	50.93	871	49.07	8.38
Plympton Park	1237	546	44.14	691	55.86	0.04
Plympton West	1278	610	47.73	668	52.27	5.83
Richmond	1566	910	58.11	656	41.89	7.66
Somerton Park East	1308	537	41.06	771	58.94	7.3
South Plympton	1147	583	50.83	564	49.17	13.07
Special Hospital Team 1	118	50	42.37	68	57.63	6.87
Special Hospital Team 2	54	24	44.44	30	55.56	10.62
Special Hospital Team 3	112	54	48.21	58	51.79	-0.72
Special Hospital Team 4	87	20	22.99	67	77.01	-
Torrensville	2334	1585	67.91	749	32.09	7.39
West Beach	2432	1021	41.98	1411	58.02	8.77
West Richmond	913	554	60.68	359	39.32	8.94
ABSENT	5785	2816	48.68	2969	51.32	-
POSTAL	4993	1995	39.96	2998	60.04	-
PRE POLL	3616	1571	43.45	2045	56.55	-
PROVISIONAL	530	316	59.62	214	40.38	-
Division Total	76324	37224	48.77	39100	51.23	6.83


Kingston						

Polling Place	Formal	COX		JEANES		Swing
	Votes	(ALP)	%	(LP)	%	%
Adelaide (Kingston)	55	33	60	22	40	3.68
Aldinga Beach	2747	1453	52.89	1294	47.11	6.04
Christie Downs	2165	1377	63.6	788	36.4	8.4
Christies Beach	1686	920	54.57	766	45.43	3.79
Christies North	956	555	58.05	401	41.95	5.38
Hackham	1913	1194	62.42	719	37.58	6.52
Hackham East	2981	1578	52.94	1403	47.06	3
Hackham South	1482	890	60.05	592	39.95	1.94
Hallett Cove	2478	1169	47.18	1309	52.82	1.14
Happy Valley	2008	719	35.81	1289	64.19	0.42
Karrara	3031	1376	45.4	1655	54.6	0.84
Lonsdale	822	498	60.58	324	39.42	3.49
Maslin Beach	467	267	57.17	200	42.83	9.09
Mclaren Flat	565	185	32.74	380	67.26	5.95
Mclaren Vale	1872	645	34.46	1227	65.54	3.25
Moana	1969	1029	52.26	940	47.74	3.21
Morphett Vale	2809	1575	56.07	1234	43.93	4.14
Morphett Vale East	2296	1223	53.27	1073	46.73	5.64
Morphett Vale North	1470	779	52.99	691	47.01	4.47
Morphett Vale South	924	591	63.96	333	36.04	6.42
Noarlunga Downs	1054	678	64.33	376	35.67	8.09
O'Halloran Hill	2603	1167	44.83	1436	55.17	2.53
O'Sullivan Beach	1190	756	63.53	434	36.47	6.23
Old Noarlunga	617	306	49.59	311	50.41	5.59
Onkaparinga Hills	1403	785	55.95	618	44.05	5.19
Pimpala	1862	951	51.07	911	48.93	5.4
Port Noarlunga	1432	760	53.07	672	46.93	7.36
Reynella	2294	1098	47.86	1196	52.14	-0.34
Reynella East	3000	1435	47.83	1565	52.17	0.07
Reynella South	2709	1411	52.09	1298	47.91	2.13
Seaford	2142	1258	58.73	884	41.27	6.04
Seaford Rise	1649	919	55.73	730	44.27	3.2
Sellicks Beach	704	374	53.12	330	46.87	6.01
Sheidow Park	2299	1072	46.63	1227	53.37	-2
Special Hospital Team 1	74	30	40.54	44	59.46	2.28
Special Hospital Team 2	230	70	30.43	160	69.57	-0.82
Special Hospital Team 3	115	37	32.17	78	67.83	-
Trott Park	1000	484	48.4	516	51.6	1.86
Willunga	1588	590	37.15	998	62.85	0.76
Woodcroft	3646	1647	45.17	1999	54.83	-1.22
ABSENT	5717	2607	45.6	3110	54.4	-
POSTAL	4555	2134	46.85	2421	53.15	-
PRE POLL	4099	2002	48.84	2097	51.16	-
PROVISIONAL	971	579	59.63	392	40.37	-
Division Total	81649	41206	50.47	40443	49.53	2.48


Makin						

Polling Place	Formal	GAGO		DRAPER		Swing
	Votes	(ALP)	%	(LP)	%	%
Adelaide (Makin)	62	30	48.39	32	51.61	-5.08
Banksia Park	2139	911	42.59	1228	57.41	1.5
Enfield North (Makin)	605	348	57.52	257	42.48	1.31
Fairview Park	1673	645	38.55	1028	61.45	-0.77
Golden Grove	353	146	41.36	207	58.64	6.44
Golden Grove Central	2242	941	41.97	1301	58.03	-5.48
Golden Grove East	1269	540	42.55	729	57.45	-4.81
Greenwith	3319	1456	43.87	1863	56.13	-2.86
Holden Hill North	1453	753	51.82	700	48.18	2.55
Hope Valley	1202	562	46.76	640	53.24	2.04
Ingle Farm	3381	2056	60.81	1325	39.19	0.04
Ingle Farm North	997	625	62.69	372	37.31	-0.67
Modbury Central	1906	960	50.37	946	49.63	2.63
Modbury Heights	3170	1550	48.9	1620	51.1	2.05
Modbury North	2393	1151	48.1	1242	51.9	1.49
Modbury West	2714	1359	50.07	1355	49.93	0.7
Para Hills	3408	1897	55.66	1511	44.34	3.34
Para Hills East	1367	723	52.89	644	47.11	3.02
Para Hills West	1565	958	61.21	607	38.79	5.54
Para Vista	2748	1576	57.35	1172	42.65	3.95
Pooraka	3372	2076	61.57	1296	38.43	3.39
Redwood Park	2121	927	43.71	1194	56.29	-2.41
Ridgehaven	2850	1366	47.93	1484	52.07	1.33
Salisbury East	2515	1424	56.62	1091	43.38	2.07
Salisbury East Central	2888	1505	52.11	1383	47.89	2.5
Salisbury Heights	2176	914	42	1262	58	-1.07
Special Hospital Team 1	102	54	52.94	48	47.06	-0.25
Special Hospital Team 2	54	22	40.74	32	59.26	-9.26
St Agnes	2620	1150	43.89	1470	56.11	0.2
St Agnes West	1375	588	42.76	787	57.24	-2.41
Surrey Downs	2266	1007	44.44	1259	55.56	-1.18
Tea Tree Gully	1321	503	38.08	818	61.92	-0.45
Valley View	1195	640	53.56	555	46.44	1.78
Wynn Vale	4214	1865	44.26	2349	55.74	-1.1
ABSENT	6355	3104	48.84	3251	51.16	-
POSTAL	4950	2257	45.6	2693	54.4	-
PRE POLL	3898	1701	43.64	2197	56.36	-
PROVISIONAL	562	330	58.72	232	41.28	-
Division Total	82800	40620	49.06	42180	50.94	0.14


Mayo						

Polling Place	Formal	EVANS		DOWNER		Swing
	Votes	(ALP)	%	(LP)	%	%
Aberfoyle Park	3189	1360	42.65	1829	57.35	-
Aberfoyle Park North	2048	769	37.55	1279	62.45	-
Aberfoyle Park South	712	301	42.28	411	57.72	-
Adelaide (Mayo)	82	37	45.12	45	54.88	-
Aldgate	1791	766	42.77	1025	57.23	-
Athelstone	3398	1548	45.56	1850	54.44	-
Athelstone West	2982	1429	47.92	1553	52.08	-
Balhannah	1278	384	30.05	894	69.95	-
Basket Range	105	48	45.71	57	54.29	-
Bridgewater	1421	632	44.48	789	55.52	-
Brukunga	157	76	48.41	81	51.59	-
Callington	267	116	43.45	151	56.55	-
Charleston	233	48	20.6	185	79.4	-
Cherry Gardens	466	149	31.97	317	68.03	-
Clarendon	386	139	36.01	247	63.99	-
Coromandel Valley (Mayo)	1390	520	37.41	870	62.59	-
Crafers	1121	437	38.98	684	61.02	-
Cudlee Creek	180	59	32.78	121	67.22	-
Dernancourt	1539	669	43.47	870	56.53	-
Echunga	675	194	28.74	481	71.26	-
Flagstaff Hill	3972	1453	36.58	2519	63.42	-
Flagstaff Hill East	726	228	31.4	498	68.6	-
