House of Representatives - 2001 Election: Queensland																													
Distribution of Preferences 																													
By Polling Place																													
Blair																													
						KYSON			THOMPSON			MCKENZIE			TURNER			RYAN			WENDT			JOHNSTON			COSGROVE		
		SECOND			2	25.00		1	12.50		1	12.50		2	25.00		0	0.00		0	0.00		2	25.00			Excluded		8
			TOTAL		62	1.76		1626	46.06		90	2.55		634	17.96		43	1.22		1008	28.56		67	1.90					3530
		THIRD			5	11.63		7	16.28		0	0.00		2	4.65			Excluded		5	11.63		24	55.81					43
			TOTAL		67	1.90		1633	46.26		90	2.55		636	18.02					1013	28.70		91	2.58					3530
		FOURTH			24	26.67		16	17.78			Excluded		18	20.00					15	16.67		17	18.89					90
			TOTAL		91	2.58		1649	46.71					654	18.53					1028	29.12		108	3.06					3530
		FIFTH			24	22.22		26	24.07					41	37.96					17	15.74			Excluded					108
			TOTAL		115	3.26		1675	47.45					695	19.69					1045	29.60								3530
		SIXTH				Excluded		33	28.70					30	26.09					52	45.22								115
			TOTAL					1708	48.39					725	20.54					1097	31.08								3530
		SEVENTH						441	60.83						Excluded					284	39.17								725
			TOTAL					2149	60.88											1381	39.12								3530
								Elected																					
																													
	PRE POLL																												
		FIRST			86	4.65		813	43.95		79	4.27		309	16.70		30	1.62		497	26.86		29	1.57		7	0.38		1850
		SECOND			0	0.00		1	14.29		1	14.29		0	0.00		0	0.00		2	28.57		3	42.86			Excluded		7
			TOTAL		86	4.65		814	44.00		80	4.32		309	16.70		30	1.62		499	26.97		32	1.73					1850
		THIRD			0	0.00		2	6.67		2	6.67		2	6.67			Excluded		7	23.33		17	56.67					30
			TOTAL		86	4.65		816	44.11		82	4.43		311	16.81					506	27.35		49	2.65					1850
		FOURTH			27	32.93		18	21.95			Excluded		3	3.66					29	35.37		5	6.10					82
			TOTAL		113	6.11		834	45.08					314	16.97					535	28.92		54	2.92					1850
		FIFTH			14	25.93		16	29.63					15	27.78					9	16.67			Excluded					54
			TOTAL		127	6.86		850	45.95					329	17.78					544	29.41								1850
		SIXTH				Excluded		59	46.46					17	13.39					51	40.16								127
			TOTAL					909	49.14					346	18.70					595	32.16								1850
		SEVENTH						200	57.80						Excluded					146	42.20								346
			TOTAL					1109	59.95											741	40.05								1850
								Elected																					
																													
	PROVISIONAL																												
		FIRST			25	7.06		98	27.68		16	4.52		74	20.90		9	2.54		117	33.05		8	2.26		7	1.98		354
		SECOND			3	42.86		0	0.00		1	14.29		0	0.00		0	0.00		1	14.29		2	28.57			Excluded		7
			TOTAL		28	7.91		98	27.68		17	4.80		74	20.90		9	2.54		118	33.33		10	2.82					354
		THIRD			3	33.33		1	11.11		0	0.00		2	22.22			Excluded		1	11.11		2	22.22					9
			TOTAL		31	8.76		99	27.97		17	4.80		76	21.47					119	33.62		12	3.39					354
		FOURTH			7	41.18		5	29.41			Excluded		0	0.00					4	23.53		1	5.88					17
			TOTAL		38	10.73		104	29.38					76	21.47					123	34.75		13	3.67					354
		FIFTH			3	23.08		0	0.00					5	38.46					5	38.46			Excluded					13
			TOTAL		41	11.58		104	29.38					81	22.88					128	36.16								354
		SIXTH				Excluded		22	53.66					5	12.20					14	34.15								41
			TOTAL					126	35.59					86	24.29					142	40.11								354
		SEVENTH						44	51.16						Excluded					42	48.84								86
			TOTAL					170	48.02											184	51.98								354
								Elected																					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
