House of Representatives - 2001 Election: Queensland																															
Distribution of Preferences																															
By Polling Place																															
Wide Bay																															
				WICKS			HETHERINGTON			TRUSS			DWYER			JANSEN			PITT			TREMLIN			SMITH			DALGLEISH			
	EIGHTH									261	53.93			Excluded								223	46.07								484
		TOTAL								1817	56.66											1390	43.34								3207
										Elected																					
																															
Urangan                                                        																															
	FIRST			123	3.39		6	0.17		1454	40.04		322	8.87		58	1.60		81	2.23		1270	34.98		58	1.60		259	7.13		3631
	SECOND			0	0.00			Excluded		3	50.00		1	16.67		1	16.67		0	0.00		0	0.00		0	0.00		1	16.67		6
		TOTAL		123	3.39					1457	40.13		323	8.90		59	1.62		81	2.23		1270	34.98		58	1.60		260	7.16		3631
	THIRD			1	1.72					9	15.52		3	5.17		17	29.31		3	5.17		13	22.41			Excluded		12	20.69		58
		TOTAL		124	3.42					1466	40.37		326	8.98		76	2.09		84	2.31		1283	35.33					272	7.49		3631
	FOURTH			16	21.05					11	14.47		6	7.89			Excluded		4	5.26		24	31.58					15	19.74		76
		TOTAL		140	3.86					1477	40.68		332	9.14					88	2.42		1307	36.00					287	7.90		3631
	FIFTH			44	50.00					5	5.68		13	14.77						Excluded		11	12.50					15	17.05		88
		TOTAL		184	5.07					1482	40.82		345	9.50								1318	36.30					302	8.32		3631
	SIXTH			106	35.10					55	18.21		81	26.82								60	19.87						Excluded		302
		TOTAL		290	7.99					1537	42.33		426	11.73								1378	37.95								3631
	SEVENTH				Excluded					91	31.38		143	49.31								56	19.31								290
		TOTAL								1628	44.84		569	15.67								1434	39.49								3631
	EIGHTH									286	50.26			Excluded								283	49.74								569
		TOTAL								1914	52.71											1717	47.29								3631
										Elected																					
																															
Urraween                                                       																															
	FIRST			48	2.88		2	0.12		877	52.70		137	8.23		21	1.26		40	2.40		393	23.62		19	1.14		127	7.63		1664
	SECOND			0	0.00			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		48	2.88					878	52.76		138	8.29		21	1.26		40	2.40		393	23.62		19	1.14		127	7.63		1664
	THIRD			0	0.00					3	15.79		0	0.00		4	21.05		2	10.53		7	36.84			Excluded		3	15.79		19
		TOTAL		48	2.88					881	52.94		138	8.29		25	1.50		42	2.52		400	24.04					130	7.81		1664
	FOURTH			7	28.00					4	16.00		1	4.00			Excluded		2	8.00		10	40.00					1	4.00		25
		TOTAL		55	3.31					885	53.19		139	8.35					44	2.64		410	24.64					131	7.87		1664
	FIFTH			31	70.45					0	0.00		3	6.82						Excluded		3	6.82					7	15.91		44
		TOTAL		86	5.17					885	53.19		142	8.53								413	24.82					138	8.29		1664
	SIXTH			29	21.01					30	21.74		56	40.58								23	16.67						Excluded		138
		TOTAL		115	6.91					915	54.99		198	11.90								436	26.20								1664
	SEVENTH				Excluded					40	34.78		56	48.70								19	16.52								115
		TOTAL								955	57.39		254	15.26								455	27.34								1664
	EIGHTH									134	52.76			Excluded								120	47.24								254
		TOTAL								1089	65.44											575	34.56								1664
										Elected																					
																															
Wallaville                                                     																															
	FIRST			18	5.98		0	0.00		156	51.83		32	10.63		8	2.66		10	3.32		63	20.93		4	1.33		10	3.32		301
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		18	5.98					156	51.83		32	10.63		8	2.66		10	3.32		63	20.93		4	1.33		10	3.32		301
	THIRD			0	0.00					1	25.00		1	25.00		2	50.00		0	0.00		0	0.00			Excluded		0	0.00		4
		TOTAL		18	5.98					157	52.16		33	10.96		10	3.32		10	3.32		63	20.93					10	3.32		301
	FOURTH			2	20.00					1	10.00		0	0.00			Excluded		2	20.00		2	20.00					3	30.00		10
		TOTAL		20	6.64					158	52.49		33	10.96					12	3.99		65	21.59					13	4.32		301
	FIFTH			7	58.33					1	8.33		0	0.00						Excluded		0	0.00					4	33.33		12
		TOTAL		27	8.97					159	52.82		33	10.96								65	21.59					17	5.65		301
	SIXTH			9	52.94					2	11.76		4	23.53								2	11.76						Excluded		17
		TOTAL		36	11.96					161	53.49		37	12.29								67	22.26								301
	SEVENTH				Excluded					9	25.00		21	58.33								6	16.67								36
		TOTAL								170	56.48		58	19.27								73	24.25								301
	EIGHTH									34	58.62			Excluded								24	41.38								58
		TOTAL								204	67.77											97	32.23								301
										Elected																					
																															
Widgee                                                         																															
	FIRST			27	8.60		3	0.96		134	42.68		62	19.75		7	2.23		10	3.18		61	19.43		5	1.59		5	1.59		314
	SECOND			0	0.00			Excluded		0	0.00		1	33.33		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		27	8.60					134	42.68		63	20.06		9	2.87		10	3.18		61	19.43		5	1.59		5	1.59		314
	THIRD			0	0.00					0	0.00		2	40.00		3	60.00		0	0.00		0	0.00			Excluded		0	0.00		5
		TOTAL		27	8.60					134	42.68		65	20.70		12	3.82		10	3.18		61	19.43					5	1.59		314
	FOURTH			4	33.33					3	25.00		1	8.33			Excluded		0	0.00		4	33.33					0	0.00		12
		TOTAL		31	9.87					137	43.63		66	21.02					10	3.18		65	20.70					5	1.59		314
	FIFTH			7	70.00					1	10.00		2	20.00						Excluded		0	0.00					0	0.00		10
		TOTAL		38	12.10					138	43.95		68	21.66								65	20.70					5	1.59		314
	SIXTH			3	60.00					0	0.00		1	20.00								1	20.00						Excluded		5
		TOTAL		41	13.06					138	43.95		69	21.97								66	21.02								314
	SEVENTH				Excluded					17	41.46		23	56.10								1	2.44								41
		TOTAL								155	49.36		92	29.30								67	21.34								314
	EIGHTH									55	59.78			Excluded								37	40.22								92
		TOTAL								210	66.88											104	33.12								314
										Elected																					
																															
Wondai                                                         																															
	FIRST			226	16.82		9	0.67		537	39.96		261	19.42		18	1.34		38	2.83		191	14.21		15	1.12		49	3.65		1344
	SECOND			5	55.56			Excluded		1	11.11		2	22.22		0	0.00		0	0.00		0	0.00		0	0.00		1	11.11		9
		TOTAL		231	17.19					538	40.03		263	19.57		18	1.34		38	2.83		191	14.21		15	1.12		50	3.72		1344
	THIRD			3	20.00					3	20.00		1	6.67		0	0.00		1	6.67		1	6.67			Excluded		6	40.00		15
		TOTAL		234	17.41					541	40.25		264	19.64		18	1.34		39	2.90		192	14.29					56	4.17		1344
	FOURTH			1	5.56					2	11.11		2	11.11			Excluded		6	33.33		5	27.78					2	11.11		18
		TOTAL		235	17.49					543	40.40		266	19.79					45	3.35		197	14.66					58	4.32		1344
	FIFTH			15	33.33					2	4.44		9	20.00						Excluded		3	6.67					16	35.56		45
		TOTAL		250	18.60					545	40.55		275	20.46								200	14.88					74	5.51		1344
	SIXTH			34	45.95					8	10.81		22	29.73								10	13.51						Excluded		74
		TOTAL		284	21.13					553	41.15		297	22.10								210	15.63								1344
	SEVENTH				Excluded					98	34.51		156	54.93								30	10.56								284
		TOTAL								651	48.44		453	33.71								240	17.86								1344
	EIGHTH									270	59.60			Excluded								183	40.40								453
		TOTAL								921	68.53											423	31.47								1344
										Elected																					
																															
Wonga Lower                                                    																															
	FIRST			17	7.30		2	0.86		90	38.63		61	26.18		7	3.00		8	3.43		36	15.45		5	2.15		7	3.00		233
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		18	7.73					90	38.63		61	26.18		7	3.00		9	3.86		36	15.45		5	2.15		7	3.00		233
	THIRD			0	0.00					0	0.00		0	0.00		4	80.00		0	0.00		1	20.00			Excluded		0	0.00		5
		TOTAL		18	7.73					90	38.63		61	26.18		11	4.72		9	3.86		37	15.88					7	3.00		233
	FOURTH			0	0.00					1	9.09		2	18.18			Excluded		1	9.09		6	54.55					1	9.09		11
		TOTAL		18	7.73					91	39.06		63	27.04					10	4.29		43	18.45					8	3.43		233
	FIFTH			4	40.00					0	0.00		1	10.00						Excluded		0	0.00					5	50.00		10
		TOTAL		22	9.44					91	39.06		64	27.47								43	18.45					13	5.58		233
	SIXTH			9	69.23					2	15.38		1	7.69								1	7.69						Excluded		13
		TOTAL		31	13.30					93	39.91		65	27.90								44	18.88								233
	SEVENTH				Excluded					6	19.35		23	74.19								2	6.45								31
		TOTAL								99	42.49		88	37.77								46	19.74								233
	EIGHTH									43	48.86			Excluded								45	51.14								88
		TOTAL								142	60.94											91	39.06								233
										Elected																					
																															
Woolooga                                                       																															
	FIRST			6	5.61		0	0.00		56	52.34		26	24.30		1	0.93		3	2.80		14	13.08		0	0.00		1	0.93		107
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		6	5.61					56	52.34		26	24.30		1	0.93		3	2.80		14	13.08		0	0.00		1	0.93		107
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		6	5.61					56	52.34		26	24.30		1	0.93		3	2.80		14	13.08					1	0.93		107
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1
		TOTAL		6	5.61					56	52.34		26	24.30					4	3.74		14	13.08					1	0.93		107
	FIFTH			2	50.00					0	0.00		1	25.00						Excluded		0	0.00					1	25.00		4
		TOTAL		8	7.48					56	52.34		27	25.23								14	13.08					2	1.87		107
	SIXTH			2	100.00					0	0.00		0	0.00								0	0.00						Excluded		2
		TOTAL		10	9.35					56	52.34		27	25.23								14	13.08								107
	SEVENTH				Excluded					4	40.00		4	40.00								2	20.00								10
		TOTAL								60	56.07		31	28.97								16	14.95								107
	EIGHTH									16	51.61			Excluded								15	48.39								31
		TOTAL								76	71.03											31	28.97								107
										Elected																					
																															
Wowan                                                          																															
	FIRST			16	6.81		12	5.11		131	55.74		40	17.02		4	1.70		1	0.43		26	11.06		1	0.43		4	1.70		235
	SECOND			4	33.33			Excluded		2	16.67		4	33.33		1	8.33		1	8.33		0	0.00		0	0.00		0	0.00		12
		TOTAL		20	8.51					133	56.60		44	18.72		5	2.13		2	0.85		26	11.06		1	0.43		4	1.70		235
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		20	8.51					133	56.60		44	18.72		5	2.13		2	0.85		27	11.49					4	1.70		235
	FOURTH			2	40.00					1	20.00		0	0.00			Excluded		0	0.00		1	20.00					1	20.00		5
		TOTAL		22	9.36					134	57.02		44	18.72					2	0.85		28	11.91					5	2.13		235
	FIFTH			0	0.00					0	0.00		1	50.00						Excluded		0	0.00					1	50.00		2
		TOTAL		22	9.36					134	57.02		45	19.15								28	11.91					6	2.55		235
	SIXTH			3	50.00					2	33.33		1	16.67								0	0.00						Excluded		6
		TOTAL		25	10.64					136	57.87		46	19.57								28	11.91								235
	SEVENTH				Excluded					12	48.00		8	32.00								5	20.00								25
		TOTAL								148	62.98		54	22.98								33	14.04								235
	EIGHTH									40	74.07			Excluded								14	25.93								54
		TOTAL								188	80.00											47	20.00								235
										Elected																					
																															
Special Hospital Team 1                                        																															
	FIRST			7	3.72		2	1.06		94	50.00		6	3.19		1	0.53		2	1.06		64	34.04		1	0.53		11	5.85		188
	SECOND			0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		7	3.72					95	50.53		6	3.19		1	0.53		2	1.06		64	34.04		1	0.53		12	6.38		188
	THIRD			0	0.00					0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		7	3.72					95	50.53		7	3.72		1	0.53		2	1.06		64	34.04					12	6.38		188
	FOURTH			1	100.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1
		TOTAL		8	4.26					95	50.53		7	3.72					2	1.06		64	34.04					12	6.38		188
	FIFTH			2	100.00					0	0.00		0	0.00						Excluded		0	0.00					0	0.00		2
		TOTAL		10	5.32					95	50.53		7	3.72								64	34.04					12	6.38		188
	SIXTH			3	25.00					1	8.33		8	66.67								0	0.00						Excluded		12
		TOTAL		13	6.91					96	51.06		15	7.98								64	34.04								188
	SEVENTH				Excluded					4	30.77		9	69.23								0	0.00								13
		TOTAL								100	53.19		24	12.77								64	34.04								188
	EIGHTH									17	70.83			Excluded								7	29.17								24
		TOTAL								117	62.23											71	37.77								188
										Elected																					
																															
Special Hospital Team 2                                        																															
	FIRST			7	4.40		1	0.63		84	52.83		6	3.77		5	3.14		5	3.14		49	30.82		0	0.00		2	1.26		159
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		7	4.40					85	53.46		6	3.77		5	3.14		5	3.14		49	30.82		0	0.00		2	1.26		159
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		7	4.40					85	53.46		6	3.77		5	3.14		5	3.14		49	30.82					2	1.26		159
	FOURTH			2	40.00					1	20.00		0	0.00			Excluded		0	0.00		1	20.00					1	20.00		5
		TOTAL		9	5.66					86	54.09		6	3.77					5	3.14		50	31.45					3	1.89		159
	FIFTH			2	40.00					1	20.00		1	20.00						Excluded		0	0.00					1	20.00		5
		TOTAL		11	6.92					87	54.72		7	4.40								50	31.45					4	2.52		159
	SIXTH			1	25.00					0	0.00		1	25.00								2	50.00						Excluded		4
		TOTAL		12	7.55					87	54.72		8	5.03								52	32.70								159
	SEVENTH				Excluded					9	75.00		1	8.33								2	16.67								12
		TOTAL								96	60.38		9	5.66								54	33.96								159
	EIGHTH									6	66.67			Excluded								3	33.33								9
		TOTAL								102	64.15											57	35.85								159
										Elected																					
																															
ABSENT																															
	FIRST			206	4.49		53	1.16		1945	42.43		555	12.11		164	3.58		114	2.49		1211	26.42		152	3.32		184	4.01		4584
	SECOND			14	26.42			Excluded		16	30.19		10	18.87		4	7.55		3	5.66		2	3.77		1	1.89		3	5.66		53
		TOTAL		220	4.80					1961	42.78		565	12.33		168	3.66		117	2.55		1213	26.46		153	3.34		187	4.08		4584
	THIRD			5	3.27					23	15.03		9	5.88		43	28.10		8	5.23		43	28.10			Excluded		22	14.38		153
		TOTAL		225	4.91					1984	43.28		574	12.52		211	4.60		125	2.73		1256	27.40					209	4.56		4584
	FOURTH			31	14.69					37	17.54		21	9.95			Excluded		24	11.37		73	34.60					25	11.85		211
		TOTAL		256	5.58					2021	44.09		595	12.98					149	3.25		1329	28.99					234	5.10		4584
	FIFTH			44	29.53					21	14.09		33	22.15						Excluded		22	14.77					29	19.46		149
		TOTAL		300	6.54					2042	44.55		628	13.70								1351	29.47					263	5.74		4584
	SIXTH			120	45.63					48	18.25		40	15.21								55	20.91						Excluded		263
		TOTAL		420	9.16					2090	45.59		668	14.57								1406	30.67								4584
	SEVENTH				Excluded					214	50.95		124	29.52								82	19.52								420
		TOTAL								2304	50.26		792	17.28								1488	32.46								4584
	EIGHTH									473	59.72			Excluded								319	40.28								792
		TOTAL								2777	60.58											1807	39.42								4584
										Elected																					
																															
POSTAL																															
	FIRST			173	3.18		44	0.81		2876	52.83		601	11.04		49	0.90		199	3.66		1264	23.22		87	1.60		151	2.77		5444
	SECOND			14	31.82			Excluded		7	15.91		16	36.36		0	0.00		3	6.82		2	4.55		0	0.00		2	4.55		44
		TOTAL		187	3.43					2883	52.96		617	11.33		49	0.90		202	3.71		1266	23.25		87	1.60		153	2.81		5444
	THIRD			5	5.75					16	18.39		2	2.30		22	25.29		0	0.00		28	32.18			Excluded		14	16.09		87
		TOTAL		192	3.53					2899	53.25		619	11.37		71	1.30		202	3.71		1294	23.77					167	3.07		5444
	FOURTH			10	14.08					9	12.68		9	12.68			Excluded		8	11.27		27	38.03					8	11.27		71
		TOTAL		202	3.71					2908	53.42		628	11.54					210	3.86		1321	24.27					175	3.21		5444
	FIFTH			95	45.24					16	7.62		40	19.05						Excluded		16	7.62					43	20.48		210
		TOTAL		297	5.46					2924	53.71		668	12.27								1337	24.56					218	4.00		5444
	SIXTH			103	47.25					52	23.85		42	19.27								21	9.63						Excluded		218
		TOTAL		400	7.35					2976	54.67		710	13.04								1358	24.94								5444
	SEVENTH				Excluded					124	31.00		217	54.25								59	14.75								400
		TOTAL								3100	56.94		927	17.03								1417	26.03								5444
	EIGHTH									581	62.68			Excluded								346	37.32								927
		TOTAL								3681	67.62											1763	32.38								5444
										Elected																					
																															
PRE POLL																															
	FIRST			110	3.34		13	0.39		1555	47.15		327	9.92		75	2.27		106	3.21		820	24.86		84	2.55		208	6.31		3298
	SECOND			4	30.77			Excluded		4	30.77		2	15.38		1	7.69		0	0.00		1	7.69		1	7.69		0	0.00		13
		TOTAL		114	3.46					1559	47.27		329	9.98		76	2.30		106	3.21		821	24.89		85	2.58		208	6.31		3298
	THIRD			7	8.24					16	18.82		3	3.53		23	27.06		2	2.35		23	27.06			Excluded		11	12.94		85
		TOTAL		121	3.67					1575	47.76		332	10.07		99	3.00		108	3.27		844	25.59					219	6.64		3298
	FOURTH			13	13.13					11	11.11		7	7.07			Excluded		15	15.15		43	43.43					10	10.10		99
		TOTAL		134	4.06					1586	48.09		339	10.28					123	3.73		887	26.90					229	6.94		3298
	FIFTH			49	39.84					15	12.20		23	18.70						Excluded		19	15.45					17	13.82		123
		TOTAL		183	5.55					1601	48.54		362	10.98								906	27.47					246	7.46		3298
	SIXTH			85	34.55					52	21.14		75	30.49								34	13.82						Excluded		246
		TOTAL		268	8.13					1653	50.12		437	13.25								940	28.50								3298
	SEVENTH				Excluded					121	45.15		108	40.30								39	14.55								268
		TOTAL								1774	53.79		545	16.53								979	29.68								3298
	EIGHTH									327	60.00			Excluded								218	40.00								545
		TOTAL								2101	63.71											1197	36.29								3298
										Elected																					
																															
PROVISIONAL																															
	FIRST			15	3.67		5	1.22		136	33.25		60	14.67		14	3.42		15	3.67		124	30.32		12	2.93		28	6.85		409
	SECOND			1	20.00			Excluded		2	40.00		1	20.00		0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		16	3.91					138	33.74		61	14.91		14	3.42		16	3.91		124	30.32		12	2.93		28	6.85		409
	THIRD			0	0.00					2	16.67		2	16.67		4	33.33		1	8.33		2	16.67			Excluded		1	8.33		12
		TOTAL		16	3.91					140	34.23		63	15.40		18	4.40		17	4.16		126	30.81					29	7.09		409
	FOURTH			6	33.33					4	22.22		2	11.11			Excluded		2	11.11		3	16.67					1	5.56		18
		TOTAL		22	5.38					144	35.21		65	15.89					19	4.65		129	31.54					30	7.33		409
	FIFTH			9	47.37					0	0.00		1	5.26						Excluded		3	15.79					6	31.58		19
		TOTAL		31	7.58					144	35.21		66	16.14								132	32.27					36	8.80		409
	SIXTH			12	33.33					7	19.44		10	27.78								7	19.44						Excluded		36
		TOTAL		43	10.51					151	36.92		76	18.58								139	33.99								409
	SEVENTH				Excluded					17	39.53		20	46.51								6	13.95								43
		TOTAL								168	41.08		96	23.47								145	35.45								409
	EIGHTH									61	63.54			Excluded								35	36.46								96
		TOTAL								229	55.99											180	44.01								409
										Elected																					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
