House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Kennedy																										
				WALL			RIVAS			NEILAN			LYLE			HARRIS			KATTER			BURNETT				
	FIFTH									15	18.07		11	13.25					57	68.67			Excluded		83	
		TOTAL								349	37.09		159	16.90					433	46.01					941	
	SIXTH									34	21.38			Excluded					125	78.62					159	
		TOTAL								383	40.70								558	59.30					941	
																			Elected							
																										
South Johnstone                                                																										
	FIRST			5	1.44		5	1.44		97	27.95		47	13.54		1	0.29		163	46.97		29	8.36		347	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		6	1.73		5	1.44		97	27.95		47	13.54					163	46.97		29	8.36		347	
	THIRD			1	20.00			Excluded		3	60.00		1	20.00					0	0.00		0	0.00		5	
		TOTAL		7	2.02					100	28.82		48	13.83					163	46.97		29	8.36		347	
	FOURTH				Excluded					5	71.43		0	0.00					1	14.29		1	14.29		7	
		TOTAL								105	30.26		48	13.83					164	47.26		30	8.65		347	
	FIFTH									5	16.67		4	13.33					21	70.00			Excluded		30	
		TOTAL								110	31.70		52	14.99					185	53.31					347	
	SIXTH									7	13.46			Excluded					45	86.54					52	
		TOTAL								117	33.72								230	66.28					347	
																			Elected							
																										
South Mission Beach                                            																										
	FIRST			29	4.39		37	5.61		111	16.82		123	18.64		2	0.30		308	46.67		50	7.58		660	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		29	4.39		37	5.61		111	16.82		124	18.79					309	46.82		50	7.58		660	
	THIRD			15	40.54			Excluded		14	37.84		3	8.11					3	8.11		2	5.41		37	
		TOTAL		44	6.67					125	18.94		127	19.24					312	47.27		52	7.88		660	
	FOURTH				Excluded					34	77.27		7	15.91					3	6.82		0	0.00		44	
		TOTAL								159	24.09		134	20.30					315	47.73		52	7.88		660	
	FIFTH									6	11.54		8	15.38					38	73.08			Excluded		52	
		TOTAL								165	25.00		142	21.52					353	53.48					660	
	SIXTH									29	20.42			Excluded					113	79.58					142	
		TOTAL								194	29.39								466	70.61					660	
																			Elected							
																										
Sunset                                                         																										
	FIRST			64	4.98		25	1.95		370	28.82		207	16.12		9	0.70		489	38.08		120	9.35		1284	
	SECOND			0	0.00		1	11.11		1	11.11		4	44.44			Excluded		2	22.22		1	11.11		9	
		TOTAL		64	4.98		26	2.02		371	28.89		211	16.43					491	38.24		121	9.42		1284	
	THIRD			11	42.31			Excluded		7	26.92		3	11.54					4	15.38		1	3.85		26	
		TOTAL		75	5.84					378	29.44		214	16.67					495	38.55		122	9.50		1284	
	FOURTH				Excluded					35	46.67		11	14.67					18	24.00		11	14.67		75	
		TOTAL								413	32.17		225	17.52					513	39.95		133	10.36		1284	
	FIFTH									20	15.04		25	18.80					88	66.17			Excluded		133	
		TOTAL								433	33.72		250	19.47					601	46.81					1284	
	SIXTH									59	23.60			Excluded					191	76.40					250	
		TOTAL								492	38.32								792	61.68					1284	
																			Elected							
																										
Tolga                                                          																										
	FIRST			34	2.77		23	1.87		196	15.95		201	16.35		2	0.16		618	50.28		155	12.61		1229	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		34	2.77		23	1.87		197	16.03		202	16.44					618	50.28		155	12.61		1229	
	THIRD			10	43.48			Excluded		5	21.74		6	26.09					1	4.35		1	4.35		23	
		TOTAL		44	3.58					202	16.44		208	16.92					619	50.37		156	12.69		1229	
	FOURTH				Excluded					23	52.27		11	25.00					7	15.91		3	6.82		44	
		TOTAL								225	18.31		219	17.82					626	50.94		159	12.94		1229	
	FIFTH									15	9.43		12	7.55					132	83.02			Excluded		159	
		TOTAL								240	19.53		231	18.80					758	61.68					1229	
	SIXTH									47	20.35			Excluded					184	79.65					231	
		TOTAL								287	23.35								942	76.65					1229	
																			Elected							
																										
Toobanna                                                       																										
	FIRST			6	1.69		2	0.56		70	19.77		57	16.10		0	0.00		191	53.95		28	7.91		354	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		6	1.69		2	0.56		70	19.77		57	16.10					191	53.95		28	7.91		354	
	THIRD			1	50.00			Excluded		0	0.00		0	0.00					1	50.00		0	0.00		2	
		TOTAL		7	1.98					70	19.77		57	16.10					192	54.24		28	7.91		354	
	FOURTH				Excluded					3	42.86		1	14.29					3	42.86		0	0.00		7	
		TOTAL								73	20.62		58	16.38					195	55.08		28	7.91		354	
	FIFTH									3	10.71		4	14.29					21	75.00			Excluded		28	
		TOTAL								76	21.47		62	17.51					216	61.02					354	
	SIXTH									10	16.13			Excluded					52	83.87					62	
		TOTAL								86	24.29								268	75.71					354	
																			Elected							
																										
Townview                                                       																										
	FIRST			41	4.43		12	1.30		276	29.81		122	13.17		5	0.54		383	41.36		87	9.40		926	
	SECOND			2	40.00		0	0.00		0	0.00		3	60.00			Excluded		0	0.00		0	0.00		5	
		TOTAL		43	4.64		12	1.30		276	29.81		125	13.50					383	41.36		87	9.40		926	
	THIRD			4	33.33			Excluded		2	16.67		0	0.00					3	25.00		3	25.00		12	
		TOTAL		47	5.08					278	30.02		125	13.50					386	41.68		90	9.72		926	
	FOURTH				Excluded					25	53.19		8	17.02					8	17.02		6	12.77		47	
		TOTAL								303	32.72		133	14.36					394	42.55		96	10.37		926	
	FIFTH									14	14.58		13	13.54					69	71.88			Excluded		96	
		TOTAL								317	34.23		146	15.77					463	50.00					926	
	SIXTH									29	19.86			Excluded					117	80.14					146	
		TOTAL								346	37.37								580	62.63					926	
																			Elected							
																										
Trebonne                                                       																										
	FIRST			8	1.84		3	0.69		46	10.60		95	21.89		0	0.00		244	56.22		38	8.76		434	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		8	1.84		3	0.69		46	10.60		95	21.89					244	56.22		38	8.76		434	
	THIRD			1	33.33			Excluded		2	66.67		0	0.00					0	0.00		0	0.00		3	
		TOTAL		9	2.07					48	11.06		95	21.89					244	56.22		38	8.76		434	
	FOURTH				Excluded					3	33.33		5	55.56					0	0.00		1	11.11		9	
		TOTAL								51	11.75		100	23.04					244	56.22		39	8.99		434	
	FIFTH									9	23.08		5	12.82					25	64.10			Excluded		39	
		TOTAL								60	13.82		105	24.19					269	61.98					434	
	SIXTH									11	10.48			Excluded					94	89.52					105	
		TOTAL								71	16.36								363	83.64					434	
																			Elected							
																										
Tully                                                          																										
	FIRST			40	3.09		32	2.47		260	20.06		164	12.65		3	0.23		682	52.62		115	8.87		1296	
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		3	
		TOTAL		40	3.09		33	2.55		261	20.14		164	12.65					683	52.70		115	8.87		1296	
	THIRD			15	45.45			Excluded		10	30.30		4	12.12					3	9.09		1	3.03		33	
		TOTAL		55	4.24					271	20.91		168	12.96					686	52.93		116	8.95		1296	
	FOURTH				Excluded					36	65.45		2	3.64					15	27.27		2	3.64		55	
		TOTAL								307	23.69		170	13.12					701	54.09		118	9.10		1296	
	FIFTH									19	16.10		16	13.56					83	70.34			Excluded		118	
		TOTAL								326	25.15		186	14.35					784	60.49					1296	
	SIXTH									27	14.52			Excluded					159	85.48					186	
		TOTAL								353	27.24								943	72.76					1296	
																			Elected							
																										
Tully Hospital                                                 																										
	FIRST			11	1.72		4	0.63		138	21.56		67	10.47		1	0.16		380	59.38		39	6.09		640	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		11	1.72		4	0.63		138	21.56		67	10.47					381	59.53		39	6.09		640	
	THIRD			2	50.00			Excluded		2	50.00		0	0.00					0	0.00		0	0.00		4	
		TOTAL		13	2.03					140	21.88		67	10.47					381	59.53		39	6.09		640	
	FOURTH				Excluded					7	53.85		2	15.38					3	23.08		1	7.69		13	
		TOTAL								147	22.97		69	10.78					384	60.00		40	6.25		640	
	FIFTH									3	7.50		3	7.50					34	85.00			Excluded		40	
		TOTAL								150	23.44		72	11.25					418	65.31					640	
	SIXTH									9	12.50			Excluded					63	87.50					72	
		TOTAL								159	24.84								481	75.16					640	
																			Elected							
																										
Upper Barron                                                   																										
	FIRST			2	1.60		0	0.00		12	9.60		11	8.80		0	0.00		79	63.20		21	16.80		125	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	1.60		0	0.00		12	9.60		11	8.80					79	63.20		21	16.80		125	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		2	1.60					12	9.60		11	8.80					79	63.20		21	16.80		125	
	FOURTH				Excluded					2	100.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL								14	11.20		11	8.80					79	63.20		21	16.80		125	
	FIFTH									1	4.76		1	4.76					19	90.48			Excluded		21	
		TOTAL								15	12.00		12	9.60					98	78.40					125	
	SIXTH									2	16.67			Excluded					10	83.33					12	
		TOTAL								17	13.60								108	86.40					125	
																			Elected							
																										
Upper Stone                                                    																										
	FIRST			2	2.94		2	2.94		5	7.35		14	20.59		0	0.00		39	57.35		6	8.82		68	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	2.94		2	2.94		5	7.35		14	20.59					39	57.35		6	8.82		68	
	THIRD			1	50.00			Excluded		1	50.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL		3	4.41					6	8.82		14	20.59					39	57.35		6	8.82		68	
	FOURTH				Excluded					2	66.67		0	0.00					1	33.33		0	0.00		3	
		TOTAL								8	11.76		14	20.59					40	58.82		6	8.82		68	
	FIFTH									0	0.00		1	16.67					5	83.33			Excluded		6	
		TOTAL								8	11.76		15	22.06					45	66.18					68	
	SIXTH									2	13.33			Excluded					13	86.67					15	
		TOTAL								10	14.71								58	85.29					68	
																			Elected							
																										
Victoria Estate                                                																										
	FIRST			7	1.43		10	2.04		61	12.42		86	17.52		0	0.00		267	54.38		60	12.22		491	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		7	1.43		10	2.04		61	12.42		86	17.52					267	54.38		60	12.22		491	
	THIRD			3	30.00			Excluded		2	20.00		1	10.00					4	40.00		0	0.00		10	
		TOTAL		10	2.04					63	12.83		87	17.72					271	55.19		60	12.22		491	
	FOURTH				Excluded					4	40.00		1	10.00					4	40.00		1	10.00		10	
		TOTAL								67	13.65		88	17.92					275	56.01		61	12.42		491	
	FIFTH									7	11.48		4	6.56					50	81.97			Excluded		61	
		TOTAL								74	15.07		92	18.74					325	66.19					491	
	SIXTH									17	18.48			Excluded					75	81.52					92	
		TOTAL								91	18.53								400	81.47					491	
																			Elected							
																										
Walkamin                                                       																										
	FIRST			10	3.47		4	1.39		36	12.50		56	19.44		4	1.39		148	51.39		30	10.42		288	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	75.00		1	25.00		4	
		TOTAL		10	3.47		4	1.39		36	12.50		56	19.44					151	52.43		31	10.76		288	
	THIRD			1	25.00			Excluded		2	50.00		0	0.00					1	25.00		0	0.00		4	
		TOTAL		11	3.82					38	13.19		56	19.44					152	52.78		31	10.76		288	
	FOURTH				Excluded					7	63.64		0	0.00					4	36.36		0	0.00		11	
		TOTAL								45	15.63		56	19.44					156	54.17		31	10.76		288	
	FIFTH									3	9.68		3	9.68					25	80.65			Excluded		31	
		TOTAL								48	16.67		59	20.49					181	62.85					288	
	SIXTH									9	15.25			Excluded					50	84.75					59	
		TOTAL								57	19.79								231	80.21					288	
																			Elected							
																										
Wangan                                                         																										
	FIRST			15	2.94		7	1.37		109	21.33		42	8.22		1	0.20		291	56.95		46	9.00		511	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		15	2.94		8	1.57		109	21.33		42	8.22					291	56.95		46	9.00		511	
	THIRD			0	0.00			Excluded		3	37.50		1	12.50					3	37.50		1	12.50		8	
		TOTAL		15	2.94					112	21.92		43	8.41					294	57.53		47	9.20		511	
	FOURTH				Excluded					10	66.67		0	0.00					4	26.67		1	6.67		15	
		TOTAL								122	23.87		43	8.41					298	58.32		48	9.39		511	
	FIFTH									1	2.08		2	4.17					45	93.75			Excluded		48	
		TOTAL								123	24.07		45	8.81					343	67.12					511	
	SIXTH									3	6.67			Excluded					42	93.33					45	
		TOTAL								126	24.66								385	75.34					511	
																			Elected							
																										
Wondecla                                                       																										
	FIRST			7	2.75		11	4.31		43	16.86		24	9.41		2	0.78		128	50.20		40	15.69		255	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		7	2.75		12	4.71		43	16.86		24	9.41					128	50.20		41	16.08		255	
	THIRD			2	16.67			Excluded		7	58.33		2	16.67					1	8.33		0	0.00		12	
		TOTAL		9	3.53					50	19.61		26	10.20					129	50.59		41	16.08		255	
	FOURTH				Excluded					4	44.44		1	11.11					2	22.22		2	22.22		9	
		TOTAL								54	21.18		27	10.59					131	51.37		43	16.86		255	
	FIFTH									4	9.30		1	2.33					38	88.37			Excluded		43	
		TOTAL								58	22.75		28	10.98					169	66.27					255	
	SIXTH									7	25.00			Excluded					21	75.00					28	
		TOTAL								65	25.49								190	74.51					255	
																			Elected							
																										
Yungaburra                                                     																										
	FIRST			35	3.42		53	5.18		181	17.68		137	13.38		2	0.20		499	48.73		117	11.43		1024	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		35	3.42		54	5.27		181	17.68		138	13.48					499	48.73		117	11.43		1024	
	THIRD			30	55.56			Excluded		17	31.48		4	7.41					1	1.85		2	3.70		54	
		TOTAL		65	6.35					198	19.34		142	13.87					500	48.83		119	11.62		1024	
	FOURTH				Excluded					45	69.23		9	13.85					9	13.85		2	3.08		65	
		TOTAL								243	23.73		151	14.75					509	49.71		121	11.82		1024	
	FIFTH									10	8.26		16	13.22					95	78.51			Excluded		121	
		TOTAL								253	24.71		167	16.31					604	58.98					1024	
	SIXTH									30	17.96			Excluded					137	82.04					167	
		TOTAL								283	27.64								741	72.36					1024	
																			Elected							
																										
Special Hospital Team 1                                        																										
	FIRST			0	0.00		0	0.00		6	40.00		2	13.33		0	0.00		4	26.67		3	20.00		15	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		6	40.00		2	13.33					4	26.67		3	20.00		15	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					6	40.00		2	13.33					4	26.67		3	20.00		15	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								6	40.00		2	13.33					4	26.67		3	20.00		15	
	FIFTH									0	0.00		0	0.00					3	100.00			Excluded		3	
		TOTAL								6	40.00		2	13.33					7	46.67					15	
	SIXTH									0	0.00			Excluded					2	100.00					2	
		TOTAL								6	40.00								9	60.00					15	
																			Elected							
																										
Special Hospital Team 2                                        																										
	FIRST			1	4.35		0	0.00		7	30.43		3	13.04		0	0.00		9	39.13		3	13.04		23	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		1	4.35		0	0.00		7	30.43		3	13.04					9	39.13		3	13.04		23	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		1	4.35					7	30.43		3	13.04					9	39.13		3	13.04		23	
	FOURTH				Excluded					1	100.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL								8	34.78		3	13.04					9	39.13		3	13.04		23	
	FIFTH									0	0.00		0	0.00					3	100.00			Excluded		3	
		TOTAL								8	34.78		3	13.04					12	52.17					23	
	SIXTH									0	0.00			Excluded					3	100.00					3	
		TOTAL								8	34.78								15	65.22					23	
																			Elected							
																										
Special Hospital Team 3                                        																										
	FIRST			1	2.50		1	2.50		10	25.00		3	7.50		0	0.00		23	57.50		2	5.00		40	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		1	2.50		1	2.50		10	25.00		3	7.50					23	57.50		2	5.00		40	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00		1	
		TOTAL		1	2.50					10	25.00		3	7.50					23	57.50		3	7.50		40	
	FOURTH				Excluded					1	100.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL								11	27.50		3	7.50					23	57.50		3	7.50		40	
	FIFTH									1	33.33		0	0.00					2	66.67			Excluded		3	
		TOTAL								12	30.00		3	7.50					25	62.50					40	
	SIXTH									1	33.33			Excluded					2	66.67					3	
		TOTAL								13	32.50								27	67.50					40	
																			Elected							
																										
Special Hospital Team 4                                        																										
	FIRST			0	0.00		0	0.00		15	30.00		6	12.00		0	0.00		27	54.00		2	4.00		50	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		15	30.00		6	12.00					27	54.00		2	4.00		50	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					15	30.00		6	12.00					27	54.00		2	4.00		50	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								15	30.00		6	12.00					27	54.00		2	4.00		50	
	FIFTH									0	0.00		0	0.00					2	100.00			Excluded		2	
		TOTAL								15	30.00		6	12.00					29	58.00					50	
	SIXTH									2	33.33			Excluded					4	66.67					6	
		TOTAL								17	34.00								33	66.00					50	
																			Elected							
																										
Special Hospital Team 5                                        																										
	FIRST			7	6.67		0	0.00		29	27.62		14	13.33		1	0.95		45	42.86		9	8.57		105	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		7	6.67		0	0.00		30	28.57		14	13.33					45	42.86		9	8.57		105	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		7	6.67					30	28.57		14	13.33					45	42.86		9	8.57		105	
	FOURTH				Excluded					6	85.71		1	14.29					0	0.00		0	0.00		7	
		TOTAL								36	34.29		15	14.29					45	42.86		9	8.57		105	
	FIFTH									2	22.22		0	0.00					7	77.78			Excluded		9	
		TOTAL								38	36.19		15	14.29					52	49.52					105	
	SIXTH									2	13.33			Excluded					13	86.67					15	
		TOTAL								40	38.10								65	61.90					105	
																			Elected							
																										
Special Hospital Team 6                                        																										
	FIRST			4	22.22		0	0.00		4	22.22		5	27.78		0	0.00		2	11.11		3	16.67		18	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		4	22.22		0	0.00		4	22.22		5	27.78					2	11.11		3	16.67		18	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		4	22.22					4	22.22		5	27.78					2	11.11		3	16.67		18	
	FOURTH				Excluded					4	100.00		0	0.00					0	0.00		0	0.00		4	
		TOTAL								8	44.44		5	27.78					2	11.11		3	16.67		18	
	FIFTH									0	0.00		0	0.00					3	100.00			Excluded		3	
		TOTAL								8	44.44		5	27.78					5	27.78					18	
	SIXTH									0	0.00			Excluded					5	100.00					5	
		TOTAL								8	44.44								10	55.56					18	
																			Elected							
																										
Special Hospital Team 7                                        																										
	FIRST			0	0.00		0	0.00		11	55.00		0	0.00		0	0.00		8	40.00		1	5.00		20	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		11	55.00		0	0.00					8	40.00		1	5.00		20	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					11	55.00		0	0.00					8	40.00		1	5.00		20	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								11	55.00		0	0.00					8	40.00		1	5.00		20	
	FIFTH									0	0.00		0	0.00					1	100.00			Excluded		1	
		TOTAL								11	55.00		0	0.00					9	45.00					20	
	SIXTH									0	0.00			Excluded					0	0.00					0	
		TOTAL								11	55.00								9	45.00					20	
																			Elected							
																										
Special Hospital Team 8                                        																										
	FIRST			0	0.00		1	4.76		6	28.57		5	23.81		0	0.00		7	33.33		2	9.52		21	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		1	4.76		6	28.57		5	23.81					7	33.33		2	9.52		21	
	THIRD			0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00		1	
		TOTAL		0	0.00					6	28.57		6	28.57					7	33.33		2	9.52		21	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								6	28.57		6	28.57					7	33.33		2	9.52		21	
	FIFTH									0	0.00		0	0.00					2	100.00			Excluded		2	
		TOTAL								6	28.57		6	28.57					9	42.86					21	
	SIXTH									1	16.67			Excluded					5	83.33					6	
		TOTAL								7	33.33								14	66.67					21	
																			Elected							
																										
Special Hospital Team 9                                        																										
	FIRST			3	14.29		3	14.29		7	33.33		1	4.76		0	0.00		7	33.33		0	0.00		21	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		3	14.29		3	14.29		7	33.33		1	4.76					7	33.33		0	0.00		21	
	THIRD			2	66.67			Excluded		1	33.33		0	0.00					0	0.00		0	0.00		3	
		TOTAL		5	23.81					8	38.10		1	4.76					7	33.33		0	0.00		21	
	FOURTH				Excluded					5	100.00		0	0.00					0	0.00		0	0.00		5	
		TOTAL								13	61.90		1	4.76					7	33.33		0	0.00		21	
	FIFTH									0	0.00		0	0.00					0	0.00			Excluded		0	
		TOTAL								13	61.90		1	4.76					7	33.33					21	
	SIXTH									0	0.00			Excluded					1	100.00					1	
		TOTAL								13	61.90								8	38.10					21	
																			Elected							
																										
ABSENT																										
	FIRST			259	5.24		162	3.27		1180	23.85		687	13.89		27	0.55		2099	42.43		533	10.77		4947	
	SECOND			4	14.81		3	11.11		5	18.52		4	14.81			Excluded		7	25.93		4	14.81		27	
		TOTAL		263	5.32		165	3.34		1185	23.95		691	13.97					2106	42.57		537	10.86		4947	
	THIRD			86	52.12			Excluded		30	18.18		15	9.09					20	12.12		14	8.48		165	
		TOTAL		349	7.05					1215	24.56		706	14.27					2126	42.98		551	11.14		4947	
	FOURTH				Excluded					194	55.59		49	14.04					79	22.64		27	7.74		349	
		TOTAL								1409	28.48		755	15.26					2205	44.57		578	11.68		4947	
	FIFTH									100	17.30		87	15.05					391	67.65			Excluded		578	
		TOTAL								1509	30.50		842	17.02					2596	52.48					4947	
	SIXTH									196	23.28			Excluded					646	76.72					842	
		TOTAL								1705	34.47								3242	65.53					4947	
																			Elected							
																										
POSTAL																										
	FIRST			66	1.67		54	1.37		538	13.65		896	22.73		14	0.36		2046	51.90		328	8.32		3942	
	SECOND			1	7.14		1	7.14		1	7.14		2	14.29			Excluded		6	42.86		3	21.43		14	
		TOTAL		67	1.70		55	1.40		539	13.67		898	22.78					2052	52.05		331	8.40		3942	
	THIRD			27	49.09			Excluded		14	25.45		5	9.09					4	7.27		5	9.09		55	
		TOTAL		94	2.38					553	14.03		903	22.91					2056	52.16		336	8.52		3942	
	FOURTH				Excluded					49	52.13		23	24.47					15	15.96		7	7.45		94	
		TOTAL								602	15.27		926	23.49					2071	52.54		343	8.70		3942	
	FIFTH									29	8.45		59	17.20					255	74.34			Excluded		343	
		TOTAL								631	16.01		985	24.99					2326	59.01					3942	
	SIXTH									104	10.56			Excluded					881	89.44					985	
		TOTAL								735	18.65								3207	81.35					3942	
																			Elected							
																										
PRE POLL																										
	FIRST			110	5.86		54	2.88		479	25.53		240	12.79		3	0.16		769	40.99		221	11.78		1876	
	SECOND			1	33.33		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		3	
		TOTAL		111	5.92		54	2.88		479	25.53		242	12.90					769	40.99		221	11.78		1876	
	THIRD			24	44.44			Excluded		15	27.78		3	5.56					9	16.67		3	5.56		54	
		TOTAL		135	7.20					494	26.33		245	13.06					778	41.47		224	11.94		1876	
	FOURTH				Excluded					67	49.63		28	20.74					32	23.70		8	5.93		135	
		TOTAL								561	29.90		273	14.55					810	43.18		232	12.37		1876	
	FIFTH									36	15.52		34	14.66					162	69.83			Excluded		232	
		TOTAL								597	31.82		307	16.36					972	51.81					1876	
	SIXTH									71	23.13			Excluded					236	76.87					307	
		TOTAL								668	35.61								1208	64.39					1876	
																			Elected							
																										
PROVISIONAL																										
	FIRST			36	4.68		24	3.12		242	31.47		80	10.40		3	0.39		310	40.31		74	9.62		769	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		1	33.33		3	
		TOTAL		36	4.68		24	3.12		242	31.47		81	10.53					311	40.44		75	9.75		769	
	THIRD			9	37.50			Excluded		6	25.00		2	8.33					4	16.67		3	12.50		24	
		TOTAL		45	5.85					248	32.25		83	10.79					315	40.96		78	10.14		769	
	FOURTH				Excluded					25	55.56		5	11.11					10	22.22		5	11.11		45	
		TOTAL								273	35.50		88	11.44					325	42.26		83	10.79		769	
	FIFTH									12	14.46		12	14.46					59	71.08			Excluded		83	
		TOTAL								285	37.06		100	13.00					384	49.93					769	
	SIXTH									28	28.00			Excluded					72	72.00					100	
		TOTAL								313	40.70								456	59.30					769	
																			Elected							
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
