General Information - 2001 Election: Queensland			
Polling Places			
			
Polling Place Name	Premises	Address	Suburb
Bracken Ridge	Bracken Ridge Uniting Church	Pellinore Rd	BRACKEN RIDGE
Bracken Ridge East	Bracken Ridge State School	1 Binburra St	BRACKEN RIDGE
Bracken Ridge West	Norris Road State School	28 Greenore St	BRACKEN RIDGE
Bridgeman Downs	Anglican Church Hall	30 Ridley Rd	BRIDGEMAN DOWNS
Brisbane City (Petrie)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Carseldine	QUT'S Carseldine Campus	Entrance Dorville Rd	CARSELDINE
Chermside	Prince Charles Hospital	Rode Rd	CHERMSIDE
Chermside Garden Settlement	Uhl Memorial Hall	930 Gympie Rd	CHERMSIDE
Chermside West	Craigslea State High School	Hamilton Rd	CHERMSIDE WEST
Clontarf	Clontarf Beach State School	Elizabeth Ave	CLONTARF
Clontarf Beach	Grace Primary School	38 Maine Rd	CLONTARF
Craigslea	Craigslea Kindergarten	Marban St	CHERMSIDE WEST
Deception Bay South (Petrie)	Deception Bay High School	Goverment Street	DECEPTION BAY
Everton Park (Petrie)	St Jude's Anglican Church Hall	27 McIlwraith St (cr Buller St)	EVERTON PARK
Everton Park North (Petrie)	Everton Park State School	1 Deakin St	EVERTON PARK
Kippa-Ring	Kippa-Ring State School	400 Elizabeth Ave	KIPPA-RING
Kippa-Ring North	Kippa-Ring Child Care Centre	McPherson St	KIPPA-RING
Kippa-Ring West	Hercules Road State School	Hercules Rd	KIPPA-RING
McDowall	McDowall State School	1018 Rode Rd	MCDOWALL
Mango Hill	Mango Hill Community Centre	Chermside Rd	MANGO HILL
Margate	Humpybong State School	Ernest St	MARGATE
Moreton Downs	Moreton Downs State School	Parsons Blvard	DECEPTION BAY
Redcliffe	Redcliffe State High School	Oxley Ave	REDCLIFFE
Redcliffe Hospital	Redcliffe Hospital	Anzac Ave	REDCLIFFE
Rothwell	Grace Lutheran College	Mews Rd	ROTHWELL
Scarborough	Scarborough State School	Eversleigh Rd	SCARBOROUGH
Scarborough North	Scarborough Freemasons Centre	72 Seaville Ave	SCARBOROUGH
Somerset Hills (Petrie)	Somerset Hills State School	241 Kitchener Rd	STAFFORD HEIGHTS
Stafford (Petrie)	Stafford State School	314 Stafford Rd	STAFFORD
Stafford Central	Queen of Apostles School	84 Appleby Rd	STAFFORD
Stafford Heights	Stafford Heights State School	95 Redwood St	STAFFORD HEIGHTS
Stafford West (Petrie)	Everton Park High School	624 Stafford Rd	EVERTON PARK
Taigum (Petrie)	Taigum State School	261 Handford Rd	TAIGUM
Woody Point	Woody Point Memorial Hall	Oxley Ave	WOODY POINT


Rankin			
Algester	Algester State School	Endiandra St	ALGESTER
Berrinba East	Berrinba East State School	Bardon Rd	BERRINBA
Boronia Heights	Boronia Heights State School	Middle Rd	BORONIA HEIGHTS
Brisbane City (Rankin)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Browns Plains	Browns Plains State School	Mayfair Dr	BROWNS PLAINS
Burrowes	Burrowes State School	Third Ave	MARSDEN
Calamvale (Rankin)	Calamvale State School	Beaudesert Rd	CALAMVALE
Crestmead	Crestmead State School	Augusta St	CRESTMEAD
Harris Fields	Harris Fields State School	Smith Rd	WOODRIDGE
Kingston	Kingston State School	Juers St	KINGSTON
Kuraby (Rankin)	Kuraby State School	Beenleigh Rd	KURABY
Loganholme (Rankin)	Loganholme State School	Wandilla Cres	LOGANHOLME
Mabel Park	Mabel Park State School	Paradise Rd	SLACKS CREEK
Marsden (Rankin)	Marsden State High School	Muchow Rd	WATERFORD WEST
Park Ridge (Rankin)	Park Ridge State High School	Lancewood St	PARK RIDGE
Regents Park	Regents Park State School	Emerald Dr	REGENTS PARK
Runcorn (Rankin)	Runcorn State School	Mains Rd	SUNNYBANK
Runcorn Heights	Runcorn Heights State School	Nemies Rd	RUNCORN
Slacks Creek (Rankin)	Slacks Creek State School	Daisy Hill Rd	SLACKS CREEK
Sunnybank (Rankin)	Sunnybank State High School	Gager St	SUNNYBANK
Sunnybank Hills	Sunnybank Hills State School	Symons Rd	SUNNYBANK HILLS
Woodridge	Woodridge State High School	Wembley Rd	BERRINBA
Woodridge North	Woodridge North State School	Arthur St	WOODRIDGE
Yugumbir	Yugumbir State School	Vansittart Rd	REGENTS PARK


Ryan			
Brisbane City (Ryan)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Brookfield	Brookfield State School	Boscombe Rd	BROOKFIELD
Chapel Hill	Chapel Hill State School	Ironbark Rd	CHAPEL HILL
Chapel Hill South	Chapel Hill Uniting Church	Cnr Chapel Hill and Moggill Rds	CHAPEL HILL
Corinda (Ryan)	St Joseph's Catholic Church	18 Clewley St	CORINDA
Corinda South	Corinda State School	330 Cliveden Ave	CORINDA
Darra	Darra Pre-School	Darra Station Rd	DARRA
Fig Tree Pocket	Fig Tree Pocket State School	Cubberla St	FIG TREE POCKET
Indooroopilly	Indooroopilly Uniting Church	Musgrave Rd	INDOOROOPILLY
Indooroopilly East	St Andrew's Anglican Church	Cnr Lambert Rd and Fairley St	INDOOROOPILLY
Indooroopilly West	Indooroopilly State School	Russell Tce	INDOOROOPILLY
Ironside	Ironside State School	2 Hawken Dr	ST LUCIA
Jamboree Heights	Jamboree Heights State School	35 Beanland St	JAMBOREE HEIGHTS
Jindalee	Jindalee State School	114 Burrendah Rd	JINDALEE
Jindalee South	Darra/Jindalee Catholic Pre-School	111 Yallambee Rd	JINDALEE
Kenmore	Kenmore State School	Moggill Rd	KENMORE
Kenmore South	Kenmore South State School	16 Kersley Rd	KENMORE
Middle Park	Middle Park State School	Macfarlane St	MIDDLE PARK
Moggill	Moggill State School	Moggill Rd	MOGGILL
Oxley	Oxley Senior Citizens' Hall	Oxley Station Rd	OXLEY
Oxley South	Oxley State School	Bannerman St	OXLEY
Pinjarra Hills	RSL War Veterans Home	2603 Moggill Rd	PINJARRA HILLS
Pullenvale	Pullenvale State Pre-School	120 Grandview Rd	PULLENVALE
St Lucia	Avalon Theatre	Sir Fred Schonell Dr	ST LUCIA
Sinnamon Park	Sinnamon Village	620 Seventeen Mile Rocks Rd	SINNAMON PARK
Taringa	Taringa Uniting Church	Rokeby Tce	TARINGA
The Gap	The Gap State School	Cnr Waterworks & Settlement Rds	THE GAP
The Gap East	Payne Road State School	Payne Rd	THE GAP
The Gap West	Hilder Road State School	Kaloma Rd	THE GAP
Toowong (Ryan)	Toowong Uniting Church	80 Sherwood Rd	TOOWONG
Toowong West	Toowong College	78 Bywong St	TOOWONG
Upper Brookfield	Upper Brookfield State School	496 Upper Brookfield Rd	UPPER BROOKFIELD


Wide Bay			
Baddow	Sunbury State School	Cnr Jupiter & Alice Sts	MARYBOROUGH
Banana	Banana State School	Dawson Hwy	BANANA
Bancroft	Bancroft Hall	Gladstone Monto Rd	BANCROFT
Baralaba	Baralaba State School	Power St	BARALABA
Bauple	Bauple State School	44 Forestry Rd	BAUPLE
Bell Hilltop	Aldridge State High School	Boys Ave	MARYBOROUGH
Biggenden	Biggenden State School	Frederick St	BIGGENDEN
Biloela	Biloela High School	Gladstone Rd	BILOELA
Binjour	Binjour Plateau State School	Burnett Hwy	BINJOUR
Boondooma	Boondooma State School	Mundubbera-Durong Rd	BOONDOOMA
Boonooroo	Boonooroo Hall	Eckert Rd	BOONOOROO
Booral	Booral Rural Fire Brigade	118 Oslove Dr	BOORAL
Brisbane City (Wide Bay)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Brooweena	Brooweena State School	Lahey St	BROOWEENA
Bullyard	Bullyard State School	Bucca Rd	BULLYARD
Burrum Heads	Burrum Heads Hall	Main St	BURRUM HEADS
Cherbourg	Cherbourg State Preschool	Fisher St	CHERBOURG
Cloyna	Cloyna State School	Cloyna East Rd	CLOYNA
Coalstoun Lakes	Coalstoun Lakes State School	3 Main St	COALSTOUN LAKES
Curra	Curra Community Hall	Cnr David Dr & Bruce Hwy	CURRA
Dululu	Dululu School of Arts	Burnett Hwy	DULULU
Dundowran	Dundowran Hall	Cnr Lower Mountain & Dundowran Rds	DUNDOWRAN
Eidsvold	Eidsvold State School	Hodgkinson St	EIDSVOLD
Gayndah	Gayndah Court House	20 Capper St	GAYNDAH
Gin Gin	Gin Gin State School	13 May St	GIN GIN
Glenwood	Glenwood State School	Bruce Hwy	GLENWOOD
Goomeri	Goomeri State School	Munro St	GOOMERI
Goovigen	Goovigen State School	Rannes Rd	GOOVIGEN
Granville	Granville Community Kindergarten	162 Cambridge St	GRANVILLE
Gunalda	Gunalda State School	King St	GUNALDA
Gundiah	Gundiah State School	Gundiah Tiaro Rd	GUNDIAH
Howard	Burrum District Community Centre	Steley St	HOWARD
Jambin	Jambin State School	Burnett Hwy	JAMBIN
Kawungan	Kawungan State School	Grevillea St	KAWUNGAN
Kilkivan	Kilkivan State School	Council St	KILKIVAN
Lawgi	Lawgi Hall	Burnett Hwy	LAWGI
Maryborough	St Paul's Memorial Hall	Adelaide St	MARYBOROUGH
Maryborough West	Maryborough West State School	North St	MARYBOROUGH
Mondure	Mondure Community Hall	McConnell Way	MONDURE
Monto	Monto Court House	Newton St	MONTO
Moonford Hall	Moonford Hall	Cania Rd	MOONFORD
Mount Perry	Memorial Room,Council Chambers	Heusman St	MOUNT PERRY
Moura	Moura School of Arts	Cnr Marshall & Young Sts	MOURA
Mulgildie	Mulgildie State School	Brigalow St	MULGILDIE
Mundubbera	Mundubbera State School	Bunce St	MUNDUBBERA
Mungar	Mungar State School	Mungar Rd	MUNGAR
Murgon	Murgon Shire Hall	Gore St	MURGON
Pialba	Hervey Bay PCYC	O'Rourke St	PIALBA
Point Vernon	Bayhaven Nursing Home	141 Long St	POINT VERNON
Proston	Proston State School	1 Rodney St	PROSTON
Rainbow Beach	Rainbow Beach State School	Warooga Rd	RAINBOW BEACH
St Helens	St Helens State School	Saltwater Creek Rd	MARYBOROUGH
Scarness	Bethshan	Stephenson St	SCARNESS
Tansey	Tansey Bowls Club	Burnett Hwy	TANSEY
Thangool	Thangool State School	Winston St	THANGOOL
Theodore	Theodore State School	The Boulevard	THEODORE
Tiaro	Tiaro State School	Forgan Tce	TIARO
Tinana	Tinana State School	Gympie Rd	TINANA
Tin Can Bay	Tin Can Bay State School	Schnapper Creek Rd	TIN CAN BAY
Toogoom	Toogoom Community Hall	Torbanlea Rd	TOOGOOM
Torbanlea	Torbanlea Hall	Robertson St	TORBANLEA
Torquay	Hervey Bay Senior Citizens Hall	Cnr Denmans Camp Rd & Totness St	TORQUAY
Urangan	Urangan Point State School	Herbert St	URANGAN
Urraween	Fraser Coast Baptist Church	Urraween Rd	URRAWEEN
Wallaville	Wallaville State School	Grey St	WALLAVILLE
Widgee	Widgee State School	Gympie-Woolooga Rd	WIDGEE
Wondai	Wondai Memorial Hall	Cnr Scott & MacKenzie Sts	WONDAI
Wonga Lower	Lower Wonga Hall	Wide Bay Hwy	WONGA LOWER
Woolooga	Woolooga State School	Edwards Rd	WOOLOOGA
Wowan	Wowan State School	Don St	WOWAN
