House of Representatives - 2001 Election: Queensland							
Swing to ALP							
By Division by Polling Place							
Blair							
							
Polling Place	Formal	WENDT		THOMPSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Kenmore South	3220	1160	36.02	2060	63.98	1.70
Middle Park	3672	1466	39.92	2206	60.08	-0.14
Moggill	3169	1158	36.54	2011	63.46	1.51
Oxley	1946	1093	56.17	853	43.83	1.56
Oxley South	750	421	56.13	329	43.87	-3.37
Pinjarra Hills	283	102	36.04	181	63.96	3.71
Pullenvale	1043	316	30.30	727	69.70	-0.39
Sinnamon Park	1951	785	40.24	1166	59.76	-1.41
Special Hospital Team 1	199	67	33.67	132	66.33	-1.07	
Special Hospital Team 2	213	54	25.35	159	74.65	-13.61	
St Lucia	2137	919	43.00	1218	57.00	0.95	
Taringa	1733	752	43.39	981	56.61	1.76	
The Gap	3094	1362	44.02	1732	55.98	1.64	
The Gap East	3360	1502	44.70	1858	55.30	1.71	
The Gap West	2212	869	39.29	1343	60.71	3.15	
Toowong (Ryan)	2792	1291	46.24	1501	53.76	3.88	
Toowong West	969	493	50.88	476	49.12	3.37	
Upper Brookfield	282	132	46.81	150	53.19	6.57	
ABSENT	5335	2236	41.91	3099	58.09	-	
POSTAL	3702	1413	38.17	2289	61.83	-	
PRE POLL	3861	1658	42.94	2203	57.06	-	
PROVISIONAL	366	165	45.08	201	54.92	-	
Division Total	81756	33828	41.38	47928	58.62	0.90	
							
							
Wide Bay							
							
Polling Place	Formal	TREMLIN		TRUSS		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Baddow	2028	873	43.05	1155	56.95	-10.33	
Banana	163	39	23.93	124	76.07	-8.63	
Bancroft	98	21	21.43	77	78.57	-0.79	
Baralaba	276	68	24.64	208	75.36	-7.38	
Bauple	316	154	48.73	162	51.27	-7.93	
Bell Hilltop	1485	652	43.91	833	56.09	-7.03	
Biggenden	740	231	31.22	509	68.78	-5.53	
Biloela	3146	1313	41.74	1833	58.26	-7.45	
Binjour	101	14	13.86	87	86.14	-15.46	
Boondooma	142	21	14.79	121	85.21	-5.07	
Boonooroo	355	165	46.48	190	53.52	-10.04	
Booral	520	228	43.85	292	56.15	-8.85
Brisbane City (Wide Bay)	85	29	34.12	56	65.88	-3.87
Brooweena	170	67	39.41	103	60.59	-1.61
Bullyard	139	50	35.97	89	64.03	-4.82
Burrum Heads	572	226	39.51	346	60.49	-12.44
Cherbourg	342	235	68.71	107	31.29	-14.86
Cloyna	179	37	20.67	142	79.33	-7.45
Coalstoun Lakes	99	9	9.09	90	90.91	-13.13
Curra	495	236	47.68	259	52.32	-8.01
Dululu	121	26	21.49	95	78.51	-6.61
Dundowran	911	323	35.46	588	64.54	-
Eidsvold	382	124	32.46	258	67.54	-9.64
Gayndah	1260	412	32.70	848	67.30	-8.15
Gin Gin	1400	564	40.29	836	59.71	-4.17
Glenwood	346	167	48.27	179	51.73	-4.94
Goomeri	415	93	22.41	322	77.59	-14.91
Goovigen	152	43	28.29	109	71.71	-3.16
Granville	1785	860	48.18	925	51.82	-8.72
Gunalda	384	159	41.41	225	58.59	-7.21
Gundiah	141	28	19.86	113	80.14	-14.45
Howard	1015	537	52.91	478	47.09	-7.86
Jambin	212	45	21.23	167	78.77	-5.04
Kawungan	2005	798	39.80	1207	60.20	-9.45
Kilkivan	452	162	35.84	290	64.16	-10.20
Lawgi	108	16	14.81	92	85.19	2.69
Maryborough	3648	1628	44.63	2020	55.37	-8.85
Maryborough West	2378	1123	47.22	1255	52.78	-9.70
Mondure	154	30	19.48	124	80.52	-14.77
Monto	945	262	27.72	683	72.28	-5.94
Moonford Hall	104	21	20.19	83	79.81	1.24
Mount Perry	224	74	33.04	150	66.96	-8.81
Moura	1038	575	55.39	463	44.61	-4.24
Mulgildie	239	43	17.99	196	82.01	-10.25
Mundubbera	1006	299	29.72	707	70.28	-4.53
Mungar	384	148	38.54	236	61.46	-13.35
Murgon	1566	451	28.80	1115	71.20	-8.95
Pialba	2951	1226	41.55	1725	58.45	-10.68
Point Vernon	2170	863	39.77	1307	60.23	-9.83
Proston	409	114	27.87	295	72.13	-13.62
Rainbow Beach	462	168	36.36	294	63.64	-10.35
Scarness	1317	553	41.99	764	58.01	-1.68
Special Hospital Team 1	188	71	37.77	117	62.23	0.27
Special Hospital Team 2	159	57	35.85	102	64.15	-2.90
St Helens	702	274	39.03	428	60.97	-10.81
Tansey	123	23	18.70	100	81.30	-13.58
Thangool	391	128	32.74	263	67.26	-2.92
Theodore	491	132	26.88	359	73.12	-6.16
Tiaro	439	140	31.89	299	68.11	-8.53
Tin Can Bay	1621	747	46.08	874	53.92	-5.16
Tinana	1965	762	38.78	1203	61.22	-11.64
Toogoom	570	252	44.21	318	55.79	-9.79
Torbanlea	404	200	49.50	204	50.50	-11.91
Torquay	3207	1390	43.34	1817	56.66	-6.52
Urangan	3631	1717	47.29	1914	52.71	-6.30
Urraween	1664	575	34.56	1089	65.44	-8.69
Wallaville	301	97	32.23	204	67.77	-4.77
Widgee	314	104	33.12	210	66.88	-13.75
Wondai	1344	423	31.47	921	68.53	-13.09
Wonga Lower	233	91	39.06	142	60.94	0.17
Woolooga	107	31	28.97	76	71.03	-4.36
Wowan	235	47	20.00	188	80.00	-10.00
ABSENT	4584	1807	39.42	2777	60.58	-
POSTAL	5444	1763	32.38	3681	67.62	-
PRE POLL	3298	1197	36.29	2101	63.71	-
PROVISIONAL	409	180	44.01	229	55.99	-	
Division Total	73359	28811	39.27	44548	60.73	-7.86	
							
