House of Representatives - 2001 Election: Queensland																														
Distribution of Preferences 																														
By Polling Place																														
Capricornia																														
				GILLHAM			CLARKE			LEVER			SCHUBACK			MURPHY			JOHNS			TAYLOR			MUIR			LIVERMORE		
	FIFTH					0	0.00		1	100.00								0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL				15	8.29		35	19.34								4	2.21		54	29.83					73	40.33		181
	SIXTH					1	25.00		1	25.00									Excluded		1	25.00					1	25.00		4
		TOTAL				16	8.84		36	19.89											55	30.39					74	40.88		181
	SEVENTH						Excluded		12	75.00											1	6.25					3	18.75		16
		TOTAL							48	26.52											56	30.94					77	42.54		181
	EIGHTH								42	75.00												Excluded					14	25.00		56
		TOTAL							90	49.72																	91	50.28		181
																											Elected			
																														
Special Hospital Team 2                                        																														
	FIRST		2	1.14		7	4.00		42	24.00		3	1.71		1	0.57		0	0.00		32	18.29		0	0.00		88	50.29		175
	SECOND		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL	2	1.14		7	4.00		43	24.57		3	1.71					0	0.00		32	18.29		0	0.00		88	50.29		175
	THIRD			Excluded		1	50.00		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				8	4.57		44	25.14		3	1.71					0	0.00		32	18.29		0	0.00		88	50.29		175
	FOURTH					0	0.00		0	0.00			Excluded					1	33.33		1	33.33		0	0.00		1	33.33		3
		TOTAL				8	4.57		44	25.14								1	0.57		33	18.86		0	0.00		89	50.86		175
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				8	4.57		44	25.14								1	0.57		33	18.86					89	50.86		175
	SIXTH					0	0.00		1	100.00									Excluded		0	0.00					0	0.00		1
		TOTAL				8	4.57		45	25.71											33	18.86					89	50.86		175
	SEVENTH						Excluded		4	50.00											0	0.00					4	50.00		8
		TOTAL							49	28.00											33	18.86					93	53.14		175
	EIGHTH								26	78.79												Excluded					7	21.21		33
		TOTAL							75	42.86																	100	57.14		175
																											Elected			
																														
Special Hospital Team 3                                        																														
	FIRST		7	5.11		2	1.46		42	30.66		0	0.00		0	0.00		1	0.73		32	23.36		1	0.73		52	37.96		137
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	7	5.11		2	1.46		42	30.66		0	0.00					1	0.73		32	23.36		1	0.73		52	37.96		137
	THIRD			Excluded		7	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		7
		TOTAL				9	6.57		42	30.66		0	0.00					1	0.73		32	23.36		1	0.73		52	37.96		137
	FOURTH					0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				9	6.57		42	30.66								1	0.73		32	23.36		1	0.73		52	37.96		137
	FIFTH					0	0.00		0	0.00								0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL				9	6.57		42	30.66								1	0.73		33	24.09					52	37.96		137
	SIXTH					0	0.00		0	0.00									Excluded		1	100.00					0	0.00		1
		TOTAL				9	6.57		42	30.66											34	24.82					52	37.96		137
	SEVENTH						Excluded		7	77.78											2	22.22					0	0.00		9
		TOTAL							49	35.77											36	26.28					52	37.96		137
	EIGHTH								28	77.78												Excluded					8	22.22		36
		TOTAL							77	56.20																	60	43.80		137
																											Elected			
																														
Special Hospital Team 4                                        																														
	FIRST		2	5.13		0	0.00		4	10.26		0	0.00		1	2.56		1	2.56		10	25.64		0	0.00		21	53.85		39
	SECOND		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL	2	5.13		0	0.00		5	12.82		0	0.00					1	2.56		10	25.64		0	0.00		21	53.85		39
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		2	100.00		2
		TOTAL				0	0.00		5	12.82		0	0.00					1	2.56		10	25.64		0	0.00		23	58.97		39
	FOURTH					0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				0	0.00		5	12.82								1	2.56		10	25.64		0	0.00		23	58.97		39
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				0	0.00		5	12.82								1	2.56		10	25.64					23	58.97		39
	SIXTH					0	0.00		1	100.00									Excluded		0	0.00					0	0.00		1
		TOTAL				0	0.00		6	15.38											10	25.64					23	58.97		39
	SEVENTH						Excluded		0	0.00											0	0.00					0	0.00		0
		TOTAL							6	15.38											10	25.64					23	58.97		39
	EIGHTH								5	50.00												Excluded					5	50.00		10
		TOTAL							11	28.21																	28	71.79		39
																											Elected			
																														
ABSENT																														
	FIRST		54	1.11		389	8.03		916	18.90		58	1.20		35	0.72		146	3.01		952	19.65		134	2.77		2162	44.61		4846
	SECOND		2	5.71		5	14.29		2	5.71		18	51.43			Excluded		2	5.71		2	5.71		2	5.71		2	5.71		35
		TOTAL	56	1.16		394	8.13		918	18.94		76	1.57					148	3.05		954	19.69		136	2.81		2164	44.66		4846
	THIRD			Excluded		26	46.43		17	30.36		4	7.14					0	0.00		3	5.36		0	0.00		6	10.71		56
		TOTAL				420	8.67		935	19.29		80	1.65					148	3.05		957	19.75		136	2.81		2170	44.78		4846
	FOURTH					21	26.25		19	23.75			Excluded					14	17.50		9	11.25		10	12.50		7	8.75		80
		TOTAL				441	9.10		954	19.69								162	3.34		966	19.93		146	3.01		2177	44.92		4846
	FIFTH					17	11.64		14	9.59								45	30.82		25	17.12			Excluded		45	30.82		146
		TOTAL				458	9.45		968	19.98								207	4.27		991	20.45					2222	45.85		4846
	SIXTH					23	11.11		34	16.43									Excluded		44	21.26					106	51.21		207
		TOTAL				481	9.93		1002	20.68											1035	21.36					2328	48.04		4846
	SEVENTH						Excluded		235	48.86											94	19.54					152	31.60		481
		TOTAL							1237	25.53											1129	23.30					2480	51.18		4846
	EIGHTH								852	75.47												Excluded					277	24.53		1129
		TOTAL							2089	43.11																	2757	56.89		4846
																											Elected			
																														
POSTAL																														
	FIRST		25	0.44		417	7.33		1622	28.51		38	0.67		23	0.40		69	1.21		1181	20.76		47	0.83		2267	39.85		5689
	SECOND		2	8.70		0	0.00		3	13.04		8	34.78			Excluded		1	4.35		4	17.39		2	8.70		3	13.04		23
		TOTAL	27	0.47		417	7.33		1625	28.56		46	0.81					70	1.23		1185	20.83		49	0.86		2270	39.90		5689
	THIRD			Excluded		16	59.26		3	11.11		3	11.11					1	3.70		1	3.70		1	3.70		2	7.41		27
		TOTAL				433	7.61		1628	28.62		49	0.86					71	1.25		1186	20.85		50	0.88		2272	39.94		5689
	FOURTH					19	38.78		10	20.41			Excluded					9	18.37		2	4.08		1	2.04		8	16.33		49
		TOTAL				452	7.95		1638	28.79								80	1.41		1188	20.88		51	0.90		2280	40.08		5689
	FIFTH					5	9.80		5	9.80								17	33.33		7	13.73			Excluded		17	33.33		51
		TOTAL				457	8.03		1643	28.88								97	1.71		1195	21.01					2297	40.38		5689
	SIXTH					10	10.31		18	18.56									Excluded		16	16.49					53	54.64		97
		TOTAL				467	8.21		1661	29.20											1211	21.29					2350	41.31		5689
	SEVENTH						Excluded		239	51.18											78	16.70					150	32.12		467
		TOTAL							1900	33.40											1289	22.66					2500	43.94		5689
	EIGHTH								1131	87.74												Excluded					158	12.26		1289
		TOTAL							3031	53.28																	2658	46.72		5689
																											Elected			
																														
PRE POLL																														
	FIRST		16	0.60		155	5.81		499	18.72		21	0.79		17	0.64		57	2.14		571	21.42		56	2.10		1274	47.79		2666
	SECOND		1	5.88		3	17.65		1	5.88		5	29.41			Excluded		1	5.88		3	17.65		0	0.00		3	17.65		17
		TOTAL	17	0.64		158	5.93		500	18.75		26	0.98					58	2.18		574	21.53		56	2.10		1277	47.90		2666
	THIRD			Excluded		11	64.71		2	11.76		2	11.76					1	5.88		0	0.00		0	0.00		1	5.88		17
		TOTAL				169	6.34		502	18.83		28	1.05					59	2.21		574	21.53		56	2.10		1278	47.94		2666
	FOURTH					7	25.00		5	17.86			Excluded					7	25.00		2	7.14		1	3.57		6	21.43		28
		TOTAL				176	6.60		507	19.02								66	2.48		576	21.61		57	2.14		1284	48.16		2666
	FIFTH					3	5.26		2	3.51								21	36.84		4	7.02			Excluded		27	47.37		57
		TOTAL				179	6.71		509	19.09								87	3.26		580	21.76					1311	49.17		2666
	SIXTH					5	5.75		15	17.24									Excluded		14	16.09					53	60.92		87
		TOTAL				184	6.90		524	19.65											594	22.28					1364	51.16		2666
	SEVENTH						Excluded		86	46.74											38	20.65					60	32.61		184
		TOTAL							610	22.88											632	23.71					1424	53.41		2666
	EIGHTH								513	81.17												Excluded					119	18.83		632
		TOTAL							1123	42.12																	1543	57.88		2666
																											Elected			
																														
PROVISIONAL																														
	FIRST		3	0.58		33	6.43		81	15.79		3	0.58		2	0.39		11	2.14		72	14.04		9	1.75		299	58.28		513
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		0	0.00		2
		TOTAL	3	0.58		33	6.43		81	15.79		3	0.58					13	2.53		72	14.04		9	1.75		299	58.28		513
	THIRD			Excluded		1	33.33		1	33.33		0	0.00					0	0.00		0	0.00		1	33.33		0	0.00		3
		TOTAL				34	6.63		82	15.98		3	0.58					13	2.53		72	14.04		10	1.95		299	58.28		513
	FOURTH					1	33.33		1	33.33			Excluded					0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL				35	6.82		83	16.18								13	2.53		72	14.04		10	1.95		300	58.48		513
	FIFTH					1	10.00		3	30.00								2	20.00		1	10.00			Excluded		3	30.00		10
		TOTAL				36	7.02		86	16.76								15	2.92		73	14.23					303	59.06		513
	SIXTH					2	13.33		5	33.33									Excluded		1	6.67					7	46.67		15
		TOTAL				38	7.41		91	17.74											74	14.42					310	60.43		513
	SEVENTH						Excluded		19	50.00											7	18.42					12	31.58		38
		TOTAL							110	21.44											81	15.79					322	62.77		513
	EIGHTH								60	74.07												Excluded					21	25.93		81
		TOTAL							170	33.14																	343	66.86		513
																											Elected			
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
