House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Riverina																										
				RICHTER			TURNER			ALBISTON			HULL			GRAHAM			DANCEY			MOORE				
	FOURTH						8	20.00		7	17.50		10	25.00		15	37.50						Excluded		40	
		TOTAL					146	6.26		525	22.51		1582	67.84		79	3.39								2332	
	FIFTH						5	6.33		35	44.30		39	49.37			Excluded								79	
		TOTAL					151	6.48		560	24.01		1621	69.51											2332	
	SIXTH							Excluded		53	35.10		98	64.90											151	
		TOTAL								613	26.29		1719	73.71											2332	
													Elected													
																										
PRE POLL																										
	FIRST			125	2.36		267	5.04		1049	19.81		3468	65.51		172	3.25		73	1.38		140	2.64		5294	
	SECOND			0	0.00		11	15.07		5	6.85		37	50.68		10	13.70			Excluded		10	13.70		73	
		TOTAL		125	2.36		278	5.25		1054	19.91		3505	66.21		182	3.44					150	2.83		5294	
	THIRD				Excluded		59	47.20		24	19.20		25	20.00		11	8.80					6	4.80		125	
		TOTAL					337	6.37		1078	20.36		3530	66.68		193	3.65					156	2.95		5294	
	FOURTH						12	7.69		37	23.72		38	24.36		69	44.23						Excluded		156	
		TOTAL					349	6.59		1115	21.06		3568	67.40		262	4.95								5294	
	FIFTH						22	8.40		108	41.22		132	50.38			Excluded								262	
		TOTAL					371	7.01		1223	23.10		3700	69.89											5294	
	SIXTH							Excluded		157	42.32		214	57.68											371	
		TOTAL								1380	26.07		3914	73.93											5294	
													Elected													
																										
PROVISIONAL																										
	FIRST			22	3.22		61	8.92		196	28.65		349	51.02		26	3.80		8	1.17		22	3.22		684	
	SECOND			0	0.00		0	0.00		0	0.00		8	100.00		0	0.00			Excluded		0	0.00		8	
		TOTAL		22	3.22		61	8.92		196	28.65		357	52.19		26	3.80					22	3.22		684	
	THIRD				Excluded		13	59.09		2	9.09		4	18.18		1	4.55					2	9.09		22	
		TOTAL					74	10.82		198	28.95		361	52.78		27	3.95					24	3.51		684	
	FOURTH						1	4.17		7	29.17		4	16.67		12	50.00						Excluded		24	
		TOTAL					75	10.96		205	29.97		365	53.36		39	5.70								684	
	FIFTH						4	10.26		22	56.41		13	33.33			Excluded								39	
		TOTAL					79	11.55		227	33.19		378	55.26											684	
	SIXTH							Excluded		46	58.23		33	41.77											79	
		TOTAL								273	39.91		411	60.09											684	
													Elected													
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
