House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Lindsay																																									
				PHILLIPS			BRADBURY			EDWARDS			COURTNEY			NIXON			WATERS			MITCHELL			WALKER			BROWN			KELLY			EYKAMP			LINDSAY-HENDERSON				
		TOTAL					932	46.05								122	6.03											150	7.41		820	40.51								2024	
	TENTH						63	42.00								36	24.00												Excluded		51	34.00								150	
		TOTAL					995	49.16								158	7.81														871	43.03								2024	
	ELEVENTH						85	53.80									Excluded														73	46.20								158	
		TOTAL					1080	53.36																							944	46.64								2024	
																															Elected										
																																									
Werrington County                                              																																									
	FIRST			36	2.00		710	39.49		35	1.95		25	1.39		80	4.45		16	0.89		3	0.17		0	0.00		113	6.28		761	42.32		10	0.56		9	0.50		1798	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		36	2.00		710	39.49		35	1.95		25	1.39		80	4.45		16	0.89		3	0.17					113	6.28		761	42.32		10	0.56		9	0.50		1798	
	THIRD			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33			Excluded					0	0.00		1	33.33		0	0.00		0	0.00		3	
		TOTAL		36	2.00		710	39.49		36	2.00		25	1.39		80	4.45		17	0.95								113	6.28		762	42.38		10	0.56		9	0.50		1798	
	FOURTH			2	22.22		0	0.00		0	0.00		2	22.22		1	11.11		0	0.00								0	0.00		1	11.11		3	33.33			Excluded		9	
		TOTAL		38	2.11		710	39.49		36	2.00		27	1.50		81	4.51		17	0.95								113	6.28		763	42.44		13	0.72					1798	
	FIFTH			0	0.00		3	23.08		1	7.69		0	0.00		2	15.38		3	23.08								2	15.38		2	15.38			Excluded					13	
		TOTAL		38	2.11		713	39.66		37	2.06		27	1.50		83	4.62		20	1.11								115	6.40		765	42.55								1798	
	SIXTH			3	11.11		3	11.11		3	11.11			Excluded		5	18.52		3	11.11								8	29.63		2	7.41								27	
		TOTAL		41	2.28		716	39.82		40	2.22					88	4.89		23	1.28								123	6.84		767	42.66								1798	
	SEVENTH			1	4.35		4	17.39		6	26.09					5	21.74			Excluded								4	17.39		3	13.04								23	
		TOTAL		42	2.34		720	40.04		46	2.56					93	5.17											127	7.06		770	42.83								1798	
	EIGHTH				Excluded		13	30.95		6	14.29					2	4.76											5	11.90		16	38.10								42	
		TOTAL					733	40.77		52	2.89					95	5.28											132	7.34		786	43.72								1798	
	NINTH						23	44.23			Excluded					4	7.69											21	40.38		4	7.69								52	
		TOTAL					756	42.05								99	5.51											153	8.51		790	43.94								1798	
	TENTH						65	42.48								31	20.26												Excluded		57	37.25								153	
		TOTAL					821	45.66								130	7.23														847	47.11								1798	
	ELEVENTH						55	42.31									Excluded														75	57.69								130	
		TOTAL					876	48.72																							922	51.28								1798	
																															Elected										
																																									
York                                                           																																									
	FIRST			66	2.05		1143	35.54		77	2.39		59	1.83		186	5.78		43	1.34		13	0.40		5	0.16		51	1.59		1540	47.89		21	0.65		12	0.37		3216	
	SECOND			0	0.00		0	0.00		1	20.00		1	20.00		0	0.00		0	0.00		0	0.00			Excluded		1	20.00		1	20.00		0	0.00		1	20.00		5	
		TOTAL		66	2.05		1143	35.54		78	2.43		60	1.87		186	5.78		43	1.34		13	0.40					52	1.62		1541	47.92		21	0.65		13	0.40		3216	
	THIRD			1	7.69		3	23.08		0	0.00		0	0.00		2	15.38		1	7.69			Excluded					0	0.00		3	23.08		2	15.38		1	7.69		13	
		TOTAL		67	2.08		1146	35.63		78	2.43		60	1.87		188	5.85		44	1.37								52	1.62		1544	48.01		23	0.72		14	0.44		3216	
	FOURTH			0	0.00		4	28.57		2	14.29		1	7.14		0	0.00		0	0.00								2	14.29		1	7.14		4	28.57			Excluded		14	
		TOTAL		67	2.08		1150	35.76		80	2.49		61	1.90		188	5.85		44	1.37								54	1.68		1545	48.04		27	0.84					3216	
	FIFTH			0	0.00		6	22.22		2	7.41		3	11.11		1	3.70		2	7.41								8	29.63		5	18.52			Excluded					27	
		TOTAL		67	2.08		1156	35.95		82	2.55		64	1.99		189	5.88		46	1.43								62	1.93		1550	48.20								3216	
	SIXTH			4	6.25		15	23.44		6	9.38			Excluded		6	9.38		8	12.50								5	7.81		20	31.25								64	
		TOTAL		71	2.21		1171	36.41		88	2.74					195	6.06		54	1.68								67	2.08		1570	48.82								3216	
	SEVENTH			3	5.56		15	27.78		12	22.22					4	7.41			Excluded								8	14.81		12	22.22								54	
		TOTAL		74	2.30		1186	36.88		100	3.11					199	6.19											75	2.33		1582	49.19								3216	
	EIGHTH				Excluded		18	24.32		10	13.51					8	10.81											14	18.92		24	32.43								74	
		TOTAL					1204	37.44		110	3.42					207	6.44											89	2.77		1606	49.94								3216	
	NINTH						37	33.64			Excluded					11	10.00											44	40.00		18	16.36								110	
		TOTAL					1241	38.59								218	6.78											133	4.14		1624	50.50								3216	
	TENTH						56	42.11								30	22.56												Excluded		47	35.34								133	
		TOTAL					1297	40.33								248	7.71														1671	51.96								3216	
	ELEVENTH						102	41.13									Excluded														146	58.87								248	
		TOTAL					1399	43.50																							1817	56.50								3216	
																															Elected										
																																									
Special Hospital Team 1                                        																																									
	FIRST			3	2.88		45	43.27		1	0.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	51.92		0	0.00		1	0.96		104	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.88		45	43.27		1	0.96		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		54	51.92		0	0.00		1	0.96		104	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.88		45	43.27		1	0.96		0	0.00		0	0.00		0	0.00								0	0.00		54	51.92		0	0.00		1	0.96		104	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00								0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		4	3.85		45	43.27		1	0.96		0	0.00		0	0.00		0	0.00								0	0.00		54	51.92		0	0.00					104	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00								0	0.00		0	0.00			Excluded					0	
		TOTAL		4	3.85		45	43.27		1	0.96		0	0.00		0	0.00		0	0.00								0	0.00		54	51.92								104	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00								0	0.00		0	0.00								0	
		TOTAL		4	3.85		45	43.27		1	0.96					0	0.00		0	0.00								0	0.00		54	51.92								104	
	SEVENTH			0	0.00		0	0.00		0	0.00					0	0.00			Excluded								0	0.00		0	0.00								0	
		TOTAL		4	3.85		45	43.27		1	0.96					0	0.00											0	0.00		54	51.92								104	
	EIGHTH				Excluded		1	25.00		1	25.00					0	0.00											0	0.00		2	50.00								4	
		TOTAL					46	44.23		2	1.92					0	0.00											0	0.00		56	53.85								104	
	NINTH						1	50.00			Excluded					0	0.00											1	50.00		0	0.00								2	
		TOTAL					47	45.19								0	0.00											1	0.96		56	53.85								104	
	TENTH						0	0.00								0	0.00												Excluded		1	100.00								1	
		TOTAL					47	45.19								0	0.00														57	54.81								104	
	ELEVENTH						0	0.00									Excluded														0	0.00								0	
		TOTAL					47	45.19																							57	54.81								104	
																															Elected										
																																									
ABSENT																																									
	FIRST			171	3.46		1558	31.55		238	4.82		51	1.03		281	5.69		173	3.50		27	0.55		26	0.53		147	2.98		2105	42.63		79	1.60		82	1.66		4938	
	SECOND			2	7.69		5	19.23		1	3.85		1	3.85		2	7.69		1	3.85		8	30.77			Excluded		2	7.69		3	11.54		0	0.00		1	3.85		26	
		TOTAL		173	3.50		1563	31.65		239	4.84		52	1.05		283	5.73		174	3.52		35	0.71					149	3.02		2108	42.69		79	1.60		83	1.68		4938	
	THIRD			2	5.71		2	5.71		1	2.86		3	8.57		3	8.57		16	45.71			Excluded					0	0.00		3	8.57		2	5.71		3	8.57		35	
		TOTAL		175	3.54		1565	31.69		240	4.86		55	1.11		286	5.79		190	3.85								149	3.02		2111	42.75		81	1.64		86	1.74		4938	
	FOURTH			10	11.63		6	6.98		4	4.65		10	11.63		5	5.81		2	2.33								5	5.81		17	19.77		27	31.40			Excluded		86	
		TOTAL		185	3.75		1571	31.81		244	4.94		65	1.32		291	5.89		192	3.89								154	3.12		2128	43.09		108	2.19					4938	
	FIFTH			7	6.48		16	14.81		9	8.33		10	9.26		14	12.96		6	5.56								14	12.96		32	29.63			Excluded					108	
		TOTAL		192	3.89		1587	32.14		253	5.12		75	1.52		305	6.18		198	4.01								168	3.40		2160	43.74								4938	
	SIXTH			9	12.00		15	20.00		17	22.67			Excluded		15	20.00		5	6.67								1	1.33		13	17.33								75	
		TOTAL		201	4.07		1602	32.44		270	5.47					320	6.48		203	4.11								169	3.42		2173	44.01								4938	
	SEVENTH			14	6.90		49	24.14		71	34.98					26	12.81			Excluded								15	7.39		28	13.79								203	
		TOTAL		215	4.35		1651	33.43		341	6.91					346	7.01											184	3.73		2201	44.57								4938	
	EIGHTH				Excluded		80	37.21		42	19.53					17	7.91											7	3.26		69	32.09								215	
		TOTAL					1731	35.05		383	7.76					363	7.35											191	3.87		2270	45.97								4938	
	NINTH						174	45.43			Excluded					54	14.10											97	25.33		58	15.14								383	
		TOTAL					1905	38.58								417	8.44											288	5.83		2328	47.14								4938	
	TENTH						114	39.58								76	26.39												Excluded		98	34.03								288	
		TOTAL					2019	40.89								493	9.98														2426	49.13								4938	
	ELEVENTH						284	57.61									Excluded														209	42.39								493	
		TOTAL					2303	46.64																							2635	53.36								4938	
																															Elected										
																																									
POSTAL																																									
	FIRST			30	1.47		709	34.82		28	1.38		8	0.39		133	6.53		51	2.50		5	0.25		5	0.25		37	1.82		1009	49.56		11	0.54		10	0.49		2036	
	SECOND			0	0.00		0	0.00		0	0.00		1	20.00		1	20.00		1	20.00		0	0.00			Excluded		1	20.00		0	0.00		1	20.00		0	0.00		5	
		TOTAL		30	1.47		709	34.82		28	1.38		9	0.44		134	6.58		52	2.55		5	0.25					38	1.87		1009	49.56		12	0.59		10	0.49		2036	
	THIRD			0	0.00		0	0.00		0	0.00		3	60.00		0	0.00		1	20.00			Excluded					0	0.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL		30	1.47		709	34.82		28	1.38		12	0.59		134	6.58		53	2.60								38	1.87		1009	49.56		12	0.59		11	0.54		2036	
	FOURTH			0	0.00		0	0.00		1	9.09		4	36.36		0	0.00		1	9.09								1	9.09		2	18.18		2	18.18			Excluded		11	
		TOTAL		30	1.47		709	34.82		29	1.42		16	0.79		134	6.58		54	2.65								39	1.92		1011	49.66		14	0.69					2036	
	FIFTH			0	0.00		3	21.43		2	14.29		2	14.29		2	14.29		1	7.14								0	0.00		4	28.57			Excluded					14	
		TOTAL		30	1.47		712	34.97		31	1.52		18	0.88		136	6.68		55	2.70								39	1.92		1015	49.85								2036	
	SIXTH			2	11.11		2	11.11		3	16.67			Excluded		1	5.56		4	22.22								3	16.67		3	16.67								18	
		TOTAL		32	1.57		714	35.07		34	1.67					137	6.73		59	2.90								42	2.06		1018	50.00								2036	
	SEVENTH			2	3.39		18	30.51		12	20.34					8	13.56			Excluded								8	13.56		11	18.64								59	
		TOTAL		34	1.67		732	35.95		46	2.26					145	7.12											50	2.46		1029	50.54								2036	
	EIGHTH				Excluded		9	26.47		5	14.71					4	11.76											4	11.76		12	35.29								34	
		TOTAL					741	36.39		51	2.50					149	7.32											54	2.65		1041	51.13								2036	
	NINTH						21	41.18			Excluded					6	11.76											15	29.41		9	17.65								51	
		TOTAL					762	37.43								155	7.61											69	3.39		1050	51.57								2036	
	TENTH						36	52.17								11	15.94												Excluded		22	31.88								69	
		TOTAL					798	39.19								166	8.15														1072	52.65								2036	
	ELEVENTH						86	51.81									Excluded														80	48.19								166	
		TOTAL					884	43.42																							1152	56.58								2036	
																															Elected										
																																									
PRE POLL																																									
	FIRST			75	2.63		938	32.84		56	1.96		23	0.81		173	6.06		96	3.36		16	0.56		3	0.11		69	2.42		1367	47.86		15	0.53		25	0.88		2856	
	SECOND			1	33.33		1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		76	2.66		939	32.88		56	1.96		23	0.81		174	6.09		96	3.36		16	0.56					69	2.42		1367	47.86		15	0.53		25	0.88		2856	
	THIRD			0	0.00		2	12.50		2	12.50		1	6.25		1	6.25		4	25.00			Excluded					2	12.50		2	12.50		0	0.00		2	12.50		16	
		TOTAL		76	2.66		941	32.95		58	2.03		24	0.84		175	6.13		100	3.50								71	2.49		1369	47.93		15	0.53		27	0.95		2856	
	FOURTH			2	7.41		2	7.41		0	0.00		7	25.93		0	0.00		2	7.41								1	3.70		2	7.41		11	40.74			Excluded		27	
		TOTAL		78	2.73		943	33.02		58	2.03		31	1.09		175	6.13		102	3.57								72	2.52		1371	48.00		26	0.91					2856	
	FIFTH			2	7.69		5	19.23		2	7.69		2	7.69		2	7.69		0	0.00								3	11.54		10	38.46			Excluded					26	
		TOTAL		80	2.80		948	33.19		60	2.10		33	1.16		177	6.20		102	3.57								75	2.63		1381	48.35								2856	
	SIXTH			1	3.03		7	21.21		3	9.09			Excluded		7	21.21		2	6.06								6	18.18		7	21.21								33	
		TOTAL		81	2.84		955	33.44		63	2.21					184	6.44		104	3.64								81	2.84		1388	48.60								2856	
	SEVENTH			4	3.85		28	26.92		42	40.38					5	4.81			Excluded								10	9.62		15	14.42								104	
		TOTAL		85	2.98		983	34.42		105	3.68					189	6.62											91	3.19		1403	49.12								2856	
	EIGHTH				Excluded		36	42.35		7	8.24					5	5.88											6	7.06		31	36.47								85	
		TOTAL					1019	35.68		112	3.92					194	6.79											97	3.40		1434	50.21								2856	
	NINTH						61	54.46			Excluded					12	10.71											25	22.32		14	12.50								112	
		TOTAL					1080	37.82								206	7.21											122	4.27		1448	50.70								2856	
	TENTH						57	46.72								28	22.95												Excluded		37	30.33								122	
		TOTAL					1137	39.81								234	8.19														1485	52.00								2856	
	ELEVENTH						106	45.30									Excluded														128	54.70								234	
		TOTAL					1243	43.52																							1613	56.48								2856	
																															Elected										
																																									
PROVISIONAL																																									
	FIRST			24	2.90		319	38.53		26	3.14		15	1.81		37	4.47		14	1.69		3	0.36		4	0.48		25	3.02		341	41.18		11	1.33		9	1.09		828	
	SECOND			0	0.00		1	25.00		1	25.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00		1	25.00		0	0.00		4	
		TOTAL		24	2.90		320	38.65		27	3.26		15	1.81		37	4.47		14	1.69		4	0.48					25	3.02		341	41.18		12	1.45		9	1.09		828	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded					0	0.00		0	0.00		1	25.00		2	50.00		4	
		TOTAL		24	2.90		320	38.65		27	3.26		15	1.81		37	4.47		15	1.81								25	3.02		341	41.18		13	1.57		11	1.33		828	
	FOURTH			0	0.00		2	18.18		0	0.00		0	0.00		0	0.00		1	9.09								1	9.09		4	36.36		3	27.27			Excluded		11	
		TOTAL		24	2.90		322	38.89		27	3.26		15	1.81		37	4.47		16	1.93								26	3.14		345	41.67		16	1.93					828	
	FIFTH			2	12.50		2	12.50		1	6.25		0	0.00		2	12.50		1	6.25								5	31.25		3	18.75			Excluded					16	
		TOTAL		26	3.14		324	39.13		28	3.38		15	1.81		39	4.71		17	2.05								31	3.74		348	42.03								828	
	SIXTH			4	26.67		4	26.67		3	20.00			Excluded		1	6.67		1	6.67								0	0.00		2	13.33								15	
		TOTAL		30	3.62		328	39.61		31	3.74					40	4.83		18	2.17								31	3.74		350	42.27								828	
	SEVENTH			0	0.00		4	22.22		3	16.67					4	22.22			Excluded								5	27.78		2	11.11								18	
		TOTAL		30	3.62		332	40.10		34	4.11					44	5.31											36	4.35		352	42.51								828	
	EIGHTH				Excluded		13	43.33		8	26.67					6	20.00											2	6.67		1	3.33								30	
		TOTAL					345	41.67		42	5.07					50	6.04											38	4.59		353	42.63								828	
	NINTH						17	40.48			Excluded					12	28.57											6	14.29		7	16.67								42	
		TOTAL					362	43.72								62	7.49											44	5.31		360	43.48								828	
	TENTH						23	52.27								11	25.00												Excluded		10	22.73								44	
		TOTAL					385	46.50								73	8.82														370	44.69								828	
	ELEVENTH						34	46.58									Excluded														39	53.42								73	
		TOTAL					419	50.60																							409	49.40								828	
																															Elected										
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
