House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences 																																								
By Polling Place																																								
																																								
Farrer																																								
				SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			LEY			CORBETT			PATERSON			TAYLOR			GIBSON			
																																								
Walla Walla                                                    																																								
	FIRST			9	1.88		0	0.00		142	29.71		19	3.97		8	1.67		8	1.67		62	12.97		208	43.51		1	0.21		11	2.30		9	1.88		1	0.21		478
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		10	2.09		0	0.00		142	29.71		19	3.97		8	1.67		8	1.67		62	12.97		208	43.51					11	2.30		9	1.88		1	0.21		478
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1
		TOTAL		11	2.30		0	0.00		142	29.71		19	3.97		8	1.67		8	1.67		62	12.97		208	43.51					11	2.30		9	1.88					478
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		11	2.30					142	29.71		19	3.97		8	1.67		8	1.67		62	12.97		208	43.51					11	2.30		9	1.88					478
	FIFTH			1	12.50					3	37.50		1	12.50		1	12.50			Excluded		0	0.00		0	0.00					0	0.00		2	25.00					8
		TOTAL		12	2.51					145	30.33		20	4.18		9	1.88					62	12.97		208	43.51					11	2.30		11	2.30					478
	SIXTH			0	0.00					0	0.00		1	11.11			Excluded					0	0.00		8	88.89					0	0.00		0	0.00					9
		TOTAL		12	2.51					145	30.33		21	4.39								62	12.97		216	45.19					11	2.30		11	2.30					478
	SEVENTH			2	18.18					0	0.00		3	27.27								4	36.36		2	18.18						Excluded		0	0.00					11
		TOTAL		14	2.93					145	30.33		24	5.02								66	13.81		218	45.61								11	2.30					478
	EIGHTH			1	9.09					1	9.09		5	45.45								2	18.18		2	18.18									Excluded					11
		TOTAL		15	3.14					146	30.54		29	6.07								68	14.23		220	46.03														478
	NINTH				Excluded					4	26.67		0	0.00								10	66.67		1	6.67														15
		TOTAL								150	31.38		29	6.07								78	16.32		221	46.23														478
	TENTH									10	34.48			Excluded								12	41.38		7	24.14														29
		TOTAL								160	33.47											90	18.83		228	47.70														478
	ELEVENTH									66	73.33												Excluded		24	26.67														90
		TOTAL								226	47.28														252	52.72														478
																									Elected															
																																								
Wanganella                                                     																																								
	FIRST			0	0.00		0	0.00		15	33.33		2	4.44		2	4.44		1	2.22		1	2.22		20	44.44		0	0.00		0	0.00		4	8.89		0	0.00		45
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		15	33.33		2	4.44		2	4.44		1	2.22		1	2.22		20	44.44					0	0.00		4	8.89		0	0.00		45
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		0	0.00		15	33.33		2	4.44		2	4.44		1	2.22		1	2.22		20	44.44					0	0.00		4	8.89					45
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					15	33.33		2	4.44		2	4.44		1	2.22		1	2.22		20	44.44					0	0.00		4	8.89					45
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00					1
		TOTAL		0	0.00					15	33.33		2	4.44		2	4.44					1	2.22		20	44.44					0	0.00		5	11.11					45
	SIXTH			0	0.00					2	100.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		0	0.00					17	37.78		2	4.44								1	2.22		20	44.44					0	0.00		5	11.11					45
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		0	0.00					17	37.78		2	4.44								1	2.22		20	44.44								5	11.11					45
	EIGHTH			0	0.00					2	40.00		0	0.00								0	0.00		3	60.00									Excluded					5
		TOTAL		0	0.00					19	42.22		2	4.44								1	2.22		23	51.11														45
	NINTH				Excluded					0	0.00		0	0.00								0	0.00		0	0.00														0
		TOTAL								19	42.22		2	4.44								1	2.22		23	51.11														45
	TENTH									0	0.00			Excluded								0	0.00		2	100.00														2
		TOTAL								19	42.22											1	2.22		25	55.56														45
	ELEVENTH									1	100.00												Excluded		0	0.00														1
		TOTAL								20	44.44														25	55.56														45
																									Elected															
																																								
Wentworth                                                      																																								
	FIRST			31	3.13		5	0.50		282	28.46		185	18.67		4	0.40		9	0.91		188	18.97		259	26.14		4	0.40		12	1.21		6	0.61		6	0.61		991
	SECOND			0	0.00		2	50.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00		4
		TOTAL		31	3.13		7	0.71		282	28.46		185	18.67		5	0.50		9	0.91		188	18.97		260	26.24					12	1.21		6	0.61		6	0.61		991
	THIRD			1	16.67		0	0.00		0	0.00		1	16.67		0	0.00		1	16.67		0	0.00		0	0.00					0	0.00		3	50.00			Excluded		6
		TOTAL		32	3.23		7	0.71		282	28.46		186	18.77		5	0.50		10	1.01		188	18.97		260	26.24					12	1.21		9	0.91					991
	FOURTH			2	28.57			Excluded		1	14.29		1	14.29		1	14.29		0	0.00		0	0.00		1	14.29					0	0.00		1	14.29					7
		TOTAL		34	3.43					283	28.56		187	18.87		6	0.61		10	1.01		188	18.97		261	26.34					12	1.21		10	1.01					991
	FIFTH			0	0.00					2	20.00		0	0.00		1	10.00			Excluded		0	0.00		2	20.00					0	0.00		5	50.00					10
		TOTAL		34	3.43					285	28.76		187	18.87		7	0.71					188	18.97		263	26.54					12	1.21		15	1.51					991
	SIXTH			1	14.29					2	28.57		0	0.00			Excluded					2	28.57		0	0.00					0	0.00		2	28.57					7
		TOTAL		35	3.53					287	28.96		187	18.87								190	19.17		263	26.54					12	1.21		17	1.72					991
	SEVENTH			4	33.33					0	0.00		0	0.00								3	25.00		3	25.00						Excluded		2	16.67					12
		TOTAL		39	3.94					287	28.96		187	18.87								193	19.48		266	26.84								19	1.92					991
	EIGHTH			6	31.58					3	15.79		6	31.58								1	5.26		3	15.79									Excluded					19
		TOTAL		45	4.54					290	29.26		193	19.48								194	19.58		269	27.14														991
	NINTH				Excluded					24	53.33		5	11.11								14	31.11		2	4.44														45
		TOTAL								314	31.69		198	19.98								208	20.99		271	27.35														991
	TENTH									48	24.24			Excluded								33	16.67		117	59.09														198
		TOTAL								362	36.53											241	24.32		388	39.15														991
	ELEVENTH									177	73.44												Excluded		64	26.56														241
		TOTAL								539	54.39														452	45.61														991
																									Elected															
																																								
Woomargama                                                     																																								
	FIRST			5	4.67		0	0.00		28	26.17		11	10.28		1	0.93		0	0.00		11	10.28		46	42.99		2	1.87		3	2.80		0	0.00		0	0.00		107
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		5	4.67		0	0.00		28	26.17		11	10.28		1	0.93		0	0.00		11	10.28		48	44.86					3	2.80		0	0.00		0	0.00		107
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		5	4.67		0	0.00		28	26.17		11	10.28		1	0.93		0	0.00		11	10.28		48	44.86					3	2.80		0	0.00					107
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		5	4.67					28	26.17		11	10.28		1	0.93		0	0.00		11	10.28		48	44.86					3	2.80		0	0.00					107
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		5	4.67					28	26.17		11	10.28		1	0.93					11	10.28		48	44.86					3	2.80		0	0.00					107
	SIXTH			0	0.00					0	0.00		1	100.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		5	4.67					28	26.17		12	11.21								11	10.28		48	44.86					3	2.80		0	0.00					107
	SEVENTH			2	66.67					1	33.33		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					3
		TOTAL		7	6.54					29	27.10		12	11.21								11	10.28		48	44.86								0	0.00					107
	EIGHTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					0
		TOTAL		7	6.54					29	27.10		12	11.21								11	10.28		48	44.86														107
	NINTH				Excluded					2	28.57		0	0.00								3	42.86		2	28.57														7
		TOTAL								31	28.97		12	11.21								14	13.08		50	46.73														107
	TENTH									2	16.67			Excluded								6	50.00		4	33.33														12
		TOTAL								33	30.84											20	18.69		54	50.47														107
	ELEVENTH									15	75.00												Excluded		5	25.00														20
		TOTAL								48	44.86														59	55.14														107
																									Elected															
																																								
Yerong Creek                                                   																																								
	FIRST			4	2.30		0	0.00		54	31.03		18	10.34		2	1.15		0	0.00		34	19.54		59	33.91		0	0.00		2	1.15		1	0.57		0	0.00		174
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	2.30		0	0.00		54	31.03		18	10.34		2	1.15		0	0.00		34	19.54		59	33.91					2	1.15		1	0.57		0	0.00		174
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		4	2.30		0	0.00		54	31.03		18	10.34		2	1.15		0	0.00		34	19.54		59	33.91					2	1.15		1	0.57					174
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		4	2.30					54	31.03		18	10.34		2	1.15		0	0.00		34	19.54		59	33.91					2	1.15		1	0.57					174
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		4	2.30					54	31.03		18	10.34		2	1.15					34	19.54		59	33.91					2	1.15		1	0.57					174
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		2	100.00					2
		TOTAL		4	2.30					54	31.03		18	10.34								34	19.54		59	33.91					2	1.15		3	1.72					174
	SEVENTH			0	0.00					0	0.00		1	50.00								0	0.00		0	0.00						Excluded		1	50.00					2
		TOTAL		4	2.30					54	31.03		19	10.92								34	19.54		59	33.91								4	2.30					174
	EIGHTH			1	25.00					1	25.00		1	25.00								0	0.00		1	25.00									Excluded					4
		TOTAL		5	2.87					55	31.61		20	11.49								34	19.54		60	34.48														174
	NINTH				Excluded					1	20.00		0	0.00								4	80.00		0	0.00														5
		TOTAL								56	32.18		20	11.49								38	21.84		60	34.48														174
	TENTH									9	45.00			Excluded								2	10.00		9	45.00														20
		TOTAL								65	37.36											40	22.99		69	39.66														174
	ELEVENTH									37	92.50												Excluded		3	7.50														40
		TOTAL								102	58.62														72	41.38														174
																									Elected															
																																								
Special Hospital Team 1                                        																																								
	FIRST			1	1.05		1	1.05		12	12.63		0	0.00		0	0.00		0	0.00		20	21.05		59	62.11		0	0.00		1	1.05		1	1.05		0	0.00		95
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	1.05		1	1.05		12	12.63		0	0.00		0	0.00		0	0.00		20	21.05		59	62.11					1	1.05		1	1.05		0	0.00		95
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		1	1.05		1	1.05		12	12.63		0	0.00		0	0.00		0	0.00		20	21.05		59	62.11					1	1.05		1	1.05					95
	FOURTH			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		2	2.11					12	12.63		0	0.00		0	0.00		0	0.00		20	21.05		59	62.11					1	1.05		1	1.05					95
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	2.11					12	12.63		0	0.00		0	0.00					20	21.05		59	62.11					1	1.05		1	1.05					95
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	2.11					12	12.63		0	0.00								20	21.05		59	62.11					1	1.05		1	1.05					95
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		1	100.00					1
		TOTAL		2	2.11					12	12.63		0	0.00								20	21.05		59	62.11								2	2.11					95
	EIGHTH			0	0.00					0	0.00		1	50.00								1	50.00		0	0.00									Excluded					2
		TOTAL		2	2.11					12	12.63		1	1.05								21	22.11		59	62.11														95
	NINTH				Excluded					0	0.00		1	50.00								1	50.00		0	0.00														2
		TOTAL								12	12.63		2	2.11								22	23.16		59	62.11														95
	TENTH									1	50.00			Excluded								0	0.00		1	50.00														2
		TOTAL								13	13.68											22	23.16		60	63.16														95
	ELEVENTH									19	86.36												Excluded		3	13.64														22
		TOTAL								32	33.68														63	66.32														95
																									Elected															
																																								
Special Hospital Team 2                                        																																								
	FIRST			0	0.00		1	1.56		24	37.50		1	1.56		0	0.00		0	0.00		16	25.00		20	31.25		0	0.00		1	1.56		1	1.56		0	0.00		64
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		1	1.56		24	37.50		1	1.56		0	0.00		0	0.00		16	25.00		20	31.25					1	1.56		1	1.56		0	0.00		64
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		1	1.56		24	37.50		1	1.56		0	0.00		0	0.00		16	25.00		20	31.25					1	1.56		1	1.56					64
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		0	0.00					24	37.50		1	1.56		1	1.56		0	0.00		16	25.00		20	31.25					1	1.56		1	1.56					64
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					24	37.50		1	1.56		1	1.56					16	25.00		20	31.25					1	1.56		1	1.56					64
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		1	100.00					1
		TOTAL		0	0.00					24	37.50		1	1.56								16	25.00		20	31.25					1	1.56		2	3.13					64
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		1	100.00					1
		TOTAL		0	0.00					24	37.50		1	1.56								16	25.00		20	31.25								3	4.69					64
	EIGHTH			0	0.00					1	33.33		1	33.33								0	0.00		1	33.33									Excluded					3
		TOTAL		0	0.00					25	39.06		2	3.13								16	25.00		21	32.81														64
	NINTH				Excluded					0	0.00		0	0.00								0	0.00		0	0.00														0
		TOTAL								25	39.06		2	3.13								16	25.00		21	32.81														64
	TENTH									0	0.00			Excluded								1	50.00		1	50.00														2
		TOTAL								25	39.06											17	26.56		22	34.38														64
	ELEVENTH									7	41.18												Excluded		10	58.82														17
		TOTAL								32	50.00														32	50.00														64
																									Elected															
																																								
Special Hospital Team 3                                        																																								
	FIRST			0	0.00		0	0.00		13	44.83		0	0.00		0	0.00		0	0.00		7	24.14		8	27.59		0	0.00		0	0.00		1	3.45		0	0.00		29
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		13	44.83		0	0.00		0	0.00		0	0.00		7	24.14		8	27.59					0	0.00		1	3.45		0	0.00		29
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		0	0.00		13	44.83		0	0.00		0	0.00		0	0.00		7	24.14		8	27.59					0	0.00		1	3.45					29
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					13	44.83		0	0.00		0	0.00		0	0.00		7	24.14		8	27.59					0	0.00		1	3.45					29
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					13	44.83		0	0.00		0	0.00					7	24.14		8	27.59					0	0.00		1	3.45					29
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					13	44.83		0	0.00								7	24.14		8	27.59					0	0.00		1	3.45					29
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		0	0.00					13	44.83		0	0.00								7	24.14		8	27.59								1	3.45					29
	EIGHTH			1	100.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					1
		TOTAL		1	3.45					13	44.83		0	0.00								7	24.14		8	27.59														29
	NINTH				Excluded					0	0.00		1	100.00								0	0.00		0	0.00														1
		TOTAL								13	44.83		1	3.45								7	24.14		8	27.59														29
	TENTH									1	100.00			Excluded								0	0.00		0	0.00														1
		TOTAL								14	48.28											7	24.14		8	27.59														29
	ELEVENTH									7	100.00												Excluded		0	0.00														7
		TOTAL								21	72.41														8	27.59														29
																									Elected															
																																								
Special Hospital Team 4                                        																																								
	FIRST			2	12.50		0	0.00		4	25.00		0	0.00		0	0.00		1	6.25		3	18.75		6	37.50		0	0.00		0	0.00		0	0.00		0	0.00		16
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	12.50		0	0.00		4	25.00		0	0.00		0	0.00		1	6.25		3	18.75		6	37.50					0	0.00		0	0.00		0	0.00		16
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		2	12.50		0	0.00		4	25.00		0	0.00		0	0.00		1	6.25		3	18.75		6	37.50					0	0.00		0	0.00					16
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	12.50					4	25.00		0	0.00		0	0.00		1	6.25		3	18.75		6	37.50					0	0.00		0	0.00					16
	FIFTH			0	0.00					1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		2	12.50					5	31.25		0	0.00		0	0.00					3	18.75		6	37.50					0	0.00		0	0.00					16
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	12.50					5	31.25		0	0.00								3	18.75		6	37.50					0	0.00		0	0.00					16
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		2	12.50					5	31.25		0	0.00								3	18.75		6	37.50								0	0.00					16
	EIGHTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					0
		TOTAL		2	12.50					5	31.25		0	0.00								3	18.75		6	37.50														16
	NINTH				Excluded					2	100.00		0	0.00								0	0.00		0	0.00														2
		TOTAL								7	43.75		0	0.00								3	18.75		6	37.50														16
	TENTH									0	0.00			Excluded								0	0.00		0	0.00														0
		TOTAL								7	43.75											3	18.75		6	37.50														16
	ELEVENTH									1	33.33												Excluded		2	66.67														3
		TOTAL								8	50.00														8	50.00														16
																									Elected															
																																								
Special Hospital Team 5                                        																																								
	FIRST			0	0.00		0	0.00		17	48.57		3	8.57		0	0.00		0	0.00		9	25.71		5	14.29		0	0.00		1	2.86		0	0.00		0	0.00		35
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		17	48.57		3	8.57		0	0.00		0	0.00		9	25.71		5	14.29					1	2.86		0	0.00		0	0.00		35
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		0	0.00		17	48.57		3	8.57		0	0.00		0	0.00		9	25.71		5	14.29					1	2.86		0	0.00					35
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					17	48.57		3	8.57		0	0.00		0	0.00		9	25.71		5	14.29					1	2.86		0	0.00					35
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					17	48.57		3	8.57		0	0.00					9	25.71		5	14.29					1	2.86		0	0.00					35
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					17	48.57		3	8.57								9	25.71		5	14.29					1	2.86		0	0.00					35
	SEVENTH			0	0.00					1	100.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					1
		TOTAL		0	0.00					18	51.43		3	8.57								9	25.71		5	14.29								0	0.00					35
	EIGHTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					0
		TOTAL		0	0.00					18	51.43		3	8.57								9	25.71		5	14.29														35
	NINTH				Excluded					0	0.00		0	0.00								0	0.00		0	0.00														0
		TOTAL								18	51.43		3	8.57								9	25.71		5	14.29														35
	TENTH									2	66.67			Excluded								1	33.33		0	0.00														3
		TOTAL								20	57.14											10	28.57		5	14.29														35
	ELEVENTH									8	80.00												Excluded		2	20.00														10
		TOTAL								28	80.00														7	20.00														35
																									Elected															
																																								
Special Hospital Team 6                                        																																								
	FIRST			0	0.00		2	3.64		1	1.82		0	0.00		1	1.82		0	0.00		25	45.45		26	47.27		0	0.00		0	0.00		0	0.00		0	0.00		55
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		2	3.64		1	1.82		0	0.00		1	1.82		0	0.00		25	45.45		26	47.27					0	0.00		0	0.00		0	0.00		55
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		2	3.64		1	1.82		0	0.00		1	1.82		0	0.00		25	45.45		26	47.27					0	0.00		0	0.00					55
	FOURTH			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		1	1.82					2	3.64		0	0.00		1	1.82		0	0.00		25	45.45		26	47.27					0	0.00		0	0.00					55
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		1	1.82					2	3.64		0	0.00		1	1.82					25	45.45		26	47.27					0	0.00		0	0.00					55
	SIXTH			0	0.00					1	100.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		1	1.82					3	5.45		0	0.00								25	45.45		26	47.27					0	0.00		0	0.00					55
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		1	1.82					3	5.45		0	0.00								25	45.45		26	47.27								0	0.00					55
	EIGHTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					0
		TOTAL		1	1.82					3	5.45		0	0.00								25	45.45		26	47.27														55
	NINTH				Excluded					1	100.00		0	0.00								0	0.00		0	0.00														1
		TOTAL								4	7.27		0	0.00								25	45.45		26	47.27														55
	TENTH									0	0.00			Excluded								0	0.00		0	0.00														0
		TOTAL								4	7.27											25	45.45		26	47.27														55
	ELEVENTH									24	96.00												Excluded		1	4.00														25
		TOTAL								28	50.91														27	49.09														55
																									Elected															
																																								
ABSENT																																								
	FIRST			135	6.73		13	0.65		466	23.22		115	5.73		39	1.94		11	0.55		378	18.83		675	33.63		9	0.45		99	4.93		43	2.14		24	1.20		2007
	SECOND			2	22.22		0	0.00		0	0.00		1	11.11		0	0.00		1	11.11		0	0.00		0	0.00			Excluded		1	11.11		2	22.22		2	22.22		9
		TOTAL		137	6.83		13	0.65		466	23.22		116	5.78		39	1.94		12	0.60		378	18.83		675	33.63					100	4.98		45	2.24		26	1.30		2007
	THIRD			1	3.85		0	0.00		1	3.85		0	0.00		3	11.54		1	3.85		1	3.85		0	0.00					3	11.54		16	61.54			Excluded		26
		TOTAL		138	6.88		13	0.65		467	23.27		116	5.78		42	2.09		13	0.65		379	18.88		675	33.63					103	5.13		61	3.04					2007
	FOURTH			1	7.69			Excluded		4	30.77		1	7.69		5	38.46		1	7.69		0	0.00		1	7.69					0	0.00		0	0.00					13
		TOTAL		139	6.93					471	23.47		117	5.83		47	2.34		14	0.70		379	18.88		676	33.68					103	5.13		61	3.04					2007
	FIFTH			1	7.14					5	35.71		2	14.29		3	21.43			Excluded		2	14.29		0	0.00					0	0.00		1	7.14					14
		TOTAL		140	6.98					476	23.72		119	5.93		50	2.49					381	18.98		676	33.68					103	5.13		62	3.09					2007
	SIXTH			6	12.00					10	20.00		6	12.00			Excluded					9	18.00		3	6.00					2	4.00		14	28.00					50
		TOTAL		146	7.27					486	24.22		125	6.23								390	19.43		679	33.83					105	5.23		76	3.79					2007
	SEVENTH			39	37.14					8	7.62		3	2.86								21	20.00		13	12.38						Excluded		21	20.00					105
		TOTAL		185	9.22					494	24.61		128	6.38								411	20.48		692	34.48								97	4.83					2007
	EIGHTH			27	27.84					13	13.40		17	17.53								15	15.46		25	25.77									Excluded					97
		TOTAL		212	10.56					507	25.26		145	7.22								426	21.23		717	35.72														2007
	NINTH				Excluded					79	37.26		22	10.38								79	37.26		32	15.09														212
		TOTAL								586	29.20		167	8.32								505	25.16		749	37.32														2007
	TENTH									64	38.32			Excluded								63	37.72		40	23.95														167
		TOTAL								650	32.39											568	28.30		789	39.31														2007
	ELEVENTH									371	65.32												Excluded		197	34.68														568
		TOTAL								1021	50.87														986	49.13														2007
																									Elected															
																																								
POSTAL																																								
	FIRST			69	1.89		19	0.52		1197	32.76		258	7.06		51	1.40		25	0.68		696	19.05		1179	32.27		17	0.47		76	2.08		53	1.45		14	0.38		3654
	SECOND			1	5.88		0	0.00		2	11.76		0	0.00		4	23.53		0	0.00		1	5.88		2	11.76			Excluded		1	5.88		4	23.53		2	11.76		17
		TOTAL		70	1.92		19	0.52		1199	32.81		258	7.06		55	1.51		25	0.68		697	19.07		1181	32.32					77	2.11		57	1.56		16	0.44		3654
	THIRD			0	0.00		1	6.25		4	25.00		1	6.25		1	6.25		0	0.00		2	12.50		0	0.00					0	0.00		7	43.75			Excluded		16
		TOTAL		70	1.92		20	0.55		1203	32.92		259	7.09		56	1.53		25	0.68		699	19.13		1181	32.32					77	2.11		64	1.75					3654
