House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences																																		
By Polling Place																																		
																																		
Cowper																																		
				MAGUIRE			BONFIELD			WILLEY			NEUSS			HARTSUYKER			VAN BLADEL			CRANNY			FENTON			KORN			STOKES			
	NINTH						36	11.18						Excluded		286	88.82																	322
		TOTAL					908	50.19								901	49.81																	1809
																Elected																		
																																		
Scotts Head                                                    																																		
	FIRST			4	0.77		191	36.94		9	1.74		90	17.41		101	19.54		1	0.19		72	13.93		4	0.77		11	2.13		34	6.58		517
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		4	0.77		191	36.94		9	1.74		90	17.41		101	19.54					72	13.93		5	0.97		11	2.13		34	6.58		517
	THIRD			1	11.11		1	11.11			Excluded		0	0.00		2	22.22					1	11.11		1	11.11		0	0.00		3	33.33		9
		TOTAL		5	0.97		192	37.14					90	17.41		103	19.92					73	14.12		6	1.16		11	2.13		37	7.16		517
	FOURTH			0	0.00		0	0.00					1	9.09		5	45.45					1	9.09		2	18.18			Excluded		2	18.18		11
		TOTAL		5	0.97		192	37.14					91	17.60		108	20.89					74	14.31		8	1.55					39	7.54		517
	FIFTH			0	0.00		3	37.50					0	0.00		0	0.00					5	62.50			Excluded					0	0.00		8
		TOTAL		5	0.97		195	37.72					91	17.60		108	20.89					79	15.28								39	7.54		517
	SIXTH				Excluded		4	80.00					0	0.00		0	0.00					0	0.00								1	20.00		5
		TOTAL					199	38.49					91	17.60		108	20.89					79	15.28								40	7.74		517
	SEVENTH						60	75.95					3	3.80		10	12.66						Excluded								6	7.59		79
		TOTAL					259	50.10					94	18.18		118	22.82														46	8.90		517
	EIGHTH						12	26.09					23	50.00		11	23.91															Excluded		46
		TOTAL					271	52.42					117	22.63		129	24.95																	517
	NINTH						11	9.40						Excluded		106	90.60																	117
		TOTAL					282	54.55								235	45.45																	517
																Elected																		
																																		
Smithtown                                                      																																		
	FIRST			11	2.40		161	35.15		4	0.87		114	24.89		109	23.80		2	0.44		10	2.18		5	1.09		2	0.44		40	8.73		458
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		11	2.40		161	35.15		4	0.87		114	24.89		110	24.02					10	2.18		6	1.31		2	0.44		40	8.73		458
	THIRD			0	0.00		1	25.00			Excluded		2	50.00		1	25.00					0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		11	2.40		162	35.37					116	25.33		111	24.24					10	2.18		6	1.31		2	0.44		40	8.73		458
	FOURTH			0	0.00		1	50.00					0	0.00		1	50.00					0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		11	2.40		163	35.59					116	25.33		112	24.45					10	2.18		6	1.31					40	8.73		458
	FIFTH			0	0.00		1	16.67					1	16.67		1	16.67					3	50.00			Excluded					0	0.00		6
		TOTAL		11	2.40		164	35.81					117	25.55		113	24.67					13	2.84								40	8.73		458
	SIXTH				Excluded		6	54.55					2	18.18		1	9.09					1	9.09								1	9.09		11
		TOTAL					170	37.12					119	25.98		114	24.89					14	3.06								41	8.95		458
	SEVENTH						5	35.71					3	21.43		4	28.57						Excluded								2	14.29		14
		TOTAL					175	38.21					122	26.64		118	25.76														43	9.39		458
	EIGHTH						12	27.91					18	41.86		13	30.23															Excluded		43
		TOTAL					187	40.83					140	30.57		131	28.60																	458
	NINTH						14	10.00						Excluded		126	90.00																	140
		TOTAL					201	43.89								257	56.11																	458
																Elected																		
																																		
South West Rocks                                               																																		
	FIRST			21	1.35		640	41.13		15	0.96		324	20.82		327	21.02		6	0.39		77	4.95		17	1.09		7	0.45		122	7.84		1556
	SECOND			0	0.00		2	33.33		1	16.67		1	16.67		1	16.67			Excluded		1	16.67		0	0.00		0	0.00		0	0.00		6
		TOTAL		21	1.35		642	41.26		16	1.03		325	20.89		328	21.08					78	5.01		17	1.09		7	0.45		122	7.84		1556
	THIRD			1	6.25		2	12.50			Excluded		4	25.00		2	12.50					2	12.50		1	6.25		1	6.25		3	18.75		16
		TOTAL		22	1.41		644	41.39					329	21.14		330	21.21					80	5.14		18	1.16		8	0.51		125	8.03		1556
	FOURTH			0	0.00		1	12.50					0	0.00		3	37.50					0	0.00		0	0.00			Excluded		4	50.00		8
		TOTAL		22	1.41		645	41.45					329	21.14		333	21.40					80	5.14		18	1.16					129	8.29		1556
	FIFTH			0	0.00		5	27.78					0	0.00		2	11.11					10	55.56			Excluded					1	5.56		18
		TOTAL		22	1.41		650	41.77					329	21.14		335	21.53					90	5.78								130	8.35		1556
	SIXTH				Excluded		12	54.55					4	18.18		1	4.55					1	4.55								4	18.18		22
		TOTAL					662	42.54					333	21.40		336	21.59					91	5.85								134	8.61		1556
	SEVENTH						58	63.74					6	6.59		14	15.38						Excluded								13	14.29		91
		TOTAL					720	46.27					339	21.79		350	22.49														147	9.45		1556
	EIGHTH						58	39.46					66	44.90		23	15.65															Excluded		147
		TOTAL					778	50.00					405	26.03		373	23.97																	1556
	NINTH						45	11.11						Excluded		360	88.89																	405
		TOTAL					823	52.89								733	47.11																	1556
																Elected																		
																																		
South West Rocks South                                         																																		
	FIRST			10	1.14		321	36.64		8	0.91		213	24.32		231	26.37		1	0.11		27	3.08		15	1.71		2	0.23		48	5.48		876
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		10	1.14		321	36.64		8	0.91		214	24.43		231	26.37					27	3.08		15	1.71		2	0.23		48	5.48		876
	THIRD			2	25.00		2	25.00			Excluded		0	0.00		0	0.00					1	12.50		1	12.50		0	0.00		2	25.00		8
		TOTAL		12	1.37		323	36.87					214	24.43		231	26.37					28	3.20		16	1.83		2	0.23		50	5.71		876
	FOURTH			1	50.00		0	0.00					0	0.00		1	50.00					0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		13	1.48		323	36.87					214	24.43		232	26.48					28	3.20		16	1.83					50	5.71		876
	FIFTH			2	12.50		5	31.25					0	0.00		4	25.00					5	31.25			Excluded					0	0.00		16
		TOTAL		15	1.71		328	37.44					214	24.43		236	26.94					33	3.77								50	5.71		876
	SIXTH				Excluded		8	53.33					3	20.00		1	6.67					3	20.00								0	0.00		15
		TOTAL					336	38.36					217	24.77		237	27.05					36	4.11								50	5.71		876
	SEVENTH						26	72.22					3	8.33		3	8.33						Excluded								4	11.11		36
		TOTAL					362	41.32					220	25.11		240	27.40														54	6.16		876
	EIGHTH						10	18.52					29	53.70		15	27.78															Excluded		54
		TOTAL					372	42.47					249	28.42		255	29.11																	876
	NINTH						15	6.02						Excluded		234	93.98																	249
		TOTAL					387	44.18								489	55.82																	876
																Elected																		
																																		
Stuarts Point                                                  																																		
	FIRST			17	2.28		301	40.29		8	1.07		104	13.92		175	23.43		5	0.67		46	6.16		19	2.54		14	1.87		58	7.76		747
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	40.00			Excluded		3	60.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		17	2.28		301	40.29		8	1.07		104	13.92		177	23.69					49	6.56		19	2.54		14	1.87		58	7.76		747
	THIRD			1	12.50		0	0.00			Excluded		1	12.50		1	12.50					1	12.50		1	12.50		0	0.00		3	37.50		8
		TOTAL		18	2.41		301	40.29					105	14.06		178	23.83					50	6.69		20	2.68		14	1.87		61	8.17		747
	FOURTH			1	7.14		4	28.57					2	14.29		5	35.71					0	0.00		1	7.14			Excluded		1	7.14		14
		TOTAL		19	2.54		305	40.83					107	14.32		183	24.50					50	6.69		21	2.81					62	8.30		747
	FIFTH			1	4.76		1	4.76					1	4.76		0	0.00					17	80.95			Excluded					1	4.76		21
		TOTAL		20	2.68		306	40.96					108	14.46		183	24.50					67	8.97								63	8.43		747
	SIXTH				Excluded		11	55.00					4	20.00		2	10.00					1	5.00								2	10.00		20
		TOTAL					317	42.44					112	14.99		185	24.77					68	9.10								65	8.70		747
	SEVENTH						52	76.47					4	5.88		6	8.82						Excluded								6	8.82		68
		TOTAL					369	49.40					116	15.53		191	25.57														71	9.50		747
	EIGHTH						26	36.62					19	26.76		26	36.62															Excluded		71
		TOTAL					395	52.88					135	18.07		217	29.05																	747
	NINTH						19	14.07						Excluded		116	85.93																	135
		TOTAL					414	55.42								333	44.58																	747
																Elected																		
																																		
Sydney (Cowper)                                                																																		
	FIRST			0	0.00		6	24.00		2	8.00		3	12.00		8	32.00		0	0.00		3	12.00		1	4.00		0	0.00		2	8.00		25
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		6	24.00		2	8.00		3	12.00		8	32.00					3	12.00		1	4.00		0	0.00		2	8.00		25
	THIRD			0	0.00		1	50.00			Excluded		0	0.00		1	50.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		0	0.00		7	28.00					3	12.00		9	36.00					3	12.00		1	4.00		0	0.00		2	8.00		25
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		0	0.00		7	28.00					3	12.00		9	36.00					3	12.00		1	4.00					2	8.00		25
	FIFTH			0	0.00		0	0.00					0	0.00		0	0.00					1	100.00			Excluded					0	0.00		1
		TOTAL		0	0.00		7	28.00					3	12.00		9	36.00					4	16.00								2	8.00		25
	SIXTH				Excluded		0	0.00					0	0.00		0	0.00					0	0.00								0	0.00		0
		TOTAL					7	28.00					3	12.00		9	36.00					4	16.00								2	8.00		25
	SEVENTH						3	75.00					0	0.00		0	0.00						Excluded								1	25.00		4
		TOTAL					10	40.00					3	12.00		9	36.00														3	12.00		25
	EIGHTH						0	0.00					2	66.67		1	33.33															Excluded		3
		TOTAL					10	40.00					5	20.00		10	40.00																	25
	NINTH						1	20.00						Excluded		4	80.00																	5
		TOTAL					11	44.00								14	56.00																	25
																Elected																		
																																		
Thora                                                          																																		
	FIRST			5	2.26		52	23.53		0	0.00		14	6.33		62	28.05		2	0.90		69	31.22		11	4.98		3	1.36		3	1.36		221
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		6	2.71		52	23.53		1	0.45		14	6.33		62	28.05					69	31.22		11	4.98		3	1.36		3	1.36		221
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		6	2.71		52	23.53					14	6.33		62	28.05					69	31.22		12	5.43		3	1.36		3	1.36		221
	FOURTH			0	0.00		0	0.00					0	0.00		2	66.67					1	33.33		0	0.00			Excluded		0	0.00		3
		TOTAL		6	2.71		52	23.53					14	6.33		64	28.96					70	31.67		12	5.43					3	1.36		221
	FIFTH			0	0.00		4	33.33					0	0.00		0	0.00					8	66.67			Excluded					0	0.00		12
		TOTAL		6	2.71		56	25.34					14	6.33		64	28.96					78	35.29								3	1.36		221
	SIXTH				Excluded		2	33.33					0	0.00		1	16.67					0	0.00								3	50.00		6
		TOTAL					58	26.24					14	6.33		65	29.41					78	35.29								6	2.71		221
	SEVENTH						71	91.03					3	3.85		3	3.85						Excluded								1	1.28		78
		TOTAL					129	58.37					17	7.69		68	30.77														7	3.17		221
	EIGHTH						4	57.14					1	14.29		2	28.57															Excluded		7
		TOTAL					133	60.18					18	8.14		70	31.67																	221
	NINTH						4	22.22						Excluded		14	77.78																	18
		TOTAL					137	61.99								84	38.01																	221
																Elected																		
																																		
Toormina                                                       																																		
	FIRST			111	4.19		873	32.96		27	1.02		298	11.25		914	34.50		15	0.57		73	2.76		61	2.30		87	3.28		190	7.17		2649
	SECOND			1	6.67		0	0.00		6	40.00		1	6.67		1	6.67			Excluded		1	6.67		2	13.33		1	6.67		2	13.33		15
		TOTAL		112	4.23		873	32.96		33	1.25		299	11.29		915	34.54					74	2.79		63	2.38		88	3.32		192	7.25		2649
	THIRD			6	18.18		3	9.09			Excluded		5	15.15		4	12.12					4	12.12		3	9.09		4	12.12		4	12.12		33
		TOTAL		118	4.45		876	33.07					304	11.48		919	34.69					78	2.94		66	2.49		92	3.47		196	7.40		2649
	FOURTH			5	5.43		6	6.52					7	7.61		58	63.04					4	4.35		2	2.17			Excluded		10	10.87		92
		TOTAL		123	4.64		882	33.30					311	11.74		977	36.88					82	3.10		68	2.57					206	7.78		2649
	FIFTH			15	22.06		18	26.47					1	1.47		4	5.88					24	35.29			Excluded					6	8.82		68
		TOTAL		138	5.21		900	33.98					312	11.78		981	37.03					106	4.00								212	8.00		2649
	SIXTH				Excluded		56	40.58					18	13.04		26	18.84					15	10.87								23	16.67		138
		TOTAL					956	36.09					330	12.46		1007	38.01					121	4.57								235	8.87		2649
	SEVENTH						63	52.07					10	8.26		31	25.62						Excluded								17	14.05		121
		TOTAL					1019	38.47					340	12.84		1038	39.18														252	9.51		2649
	EIGHTH						62	24.60					114	45.24		76	30.16															Excluded		252
		TOTAL					1081	40.81					454	17.14		1114	42.05																	2649
	NINTH						59	13.00						Excluded		395	87.00																	454
		TOTAL					1140	43.04								1509	56.96																	2649
																Elected																		
																																		
Tucabia                                                        																																		
	FIRST			5	1.50		94	28.23		1	0.30		25	7.51		140	42.04		2	0.60		23	6.91		16	4.80		1	0.30		26	7.81		333
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		5	1.50		94	28.23		2	0.60		25	7.51		140	42.04					23	6.91		16	4.80		1	0.30		27	8.11		333
	THIRD			1	50.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		6	1.80		95	28.53					25	7.51		140	42.04					23	6.91		16	4.80		1	0.30		27	8.11		333
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		6	1.80		95	28.53					25	7.51		140	42.04					23	6.91		16	4.80					28	8.41		333
	FIFTH			0	0.00		7	43.75					0	0.00		0	0.00					9	56.25			Excluded					0	0.00		16
		TOTAL		6	1.80		102	30.63					25	7.51		140	42.04					32	9.61								28	8.41		333
	SIXTH				Excluded		2	33.33					2	33.33		0	0.00					0	0.00								2	33.33		6
		TOTAL					104	31.23					27	8.11		140	42.04					32	9.61								30	9.01		333
	SEVENTH						26	81.25					0	0.00		5	15.63						Excluded								1	3.13		32
		TOTAL					130	39.04					27	8.11		145	43.54														31	9.31		333
	EIGHTH						12	38.71					8	25.81		11	35.48															Excluded		31
		TOTAL					142	42.64					35	10.51		156	46.85																	333
	NINTH						3	8.57						Excluded		32	91.43																	35
		TOTAL					145	43.54								188	56.46																	333
																Elected																		
																																		
Ulmarra                                                        																																		
	FIRST			11	1.95		147	26.06		6	1.06		35	6.21		261	46.28		1	0.18		14	2.48		11	1.95		15	2.66		63	11.17		564
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		11	1.95		147	26.06		6	1.06		36	6.38		261	46.28					14	2.48		11	1.95		15	2.66		63	11.17		564
	THIRD			1	16.67		0	0.00			Excluded		2	33.33		0	0.00					1	16.67		1	16.67		0	0.00		1	16.67		6
		TOTAL		12	2.13		147	26.06					38	6.74		261	46.28					15	2.66		12	2.13		15	2.66		64	11.35		564
	FOURTH			0	0.00		1	6.67					5	33.33		9	60.00					0	0.00		0	0.00			Excluded		0	0.00		15
		TOTAL		12	2.13		148	26.24					43	7.62		270	47.87					15	2.66		12	2.13					64	11.35		564
	FIFTH			1	8.33		3	25.00					0	0.00		2	16.67					5	41.67			Excluded					1	8.33		12
		TOTAL		13	2.30		151	26.77					43	7.62		272	48.23					20	3.55								65	11.52		564
	SIXTH				Excluded		3	23.08					3	23.08		2	15.38					3	23.08								2	15.38		13
		TOTAL					154	27.30					46	8.16		274	48.58					23	4.08								67	11.88		564
	SEVENTH						18	78.26					0	0.00		1	4.35						Excluded								4	17.39		23
		TOTAL					172	30.50					46	8.16		275	48.76														71	12.59		564
	EIGHTH						17	23.94					24	33.80		30	42.25															Excluded		71
		TOTAL					189	33.51					70	12.41		305	54.08																	564
	NINTH						14	20.00						Excluded		56	80.00																	70
		TOTAL					203	35.99								361	64.01																	564
																Elected																		
																																		
Ulong                                                          																																		
	FIRST			3	3.23		33	35.48		0	0.00		6	6.45		24	25.81		3	3.23		8	8.60		2	2.15		1	1.08		13	13.98		93
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		3	3.23		33	35.48		0	0.00		6	6.45		27	29.03					8	8.60		2	2.15		1	1.08		13	13.98		93
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	3.23		33	35.48					6	6.45		27	29.03					8	8.60		2	2.15		1	1.08		13	13.98		93
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		3	3.23		33	35.48					6	6.45		27	29.03					8	8.60		2	2.15					14	15.05		93
	FIFTH			1	50.00		1	50.00					0	0.00		0	0.00					0	0.00			Excluded					0	0.00		2
		TOTAL		4	4.30		34	36.56					6	6.45		27	29.03					8	8.60								14	15.05		93
	SIXTH				Excluded		2	50.00					0	0.00		0	0.00					2	50.00								0	0.00		4
		TOTAL					36	38.71					6	6.45		27	29.03					10	10.75								14	15.05		93
	SEVENTH						8	80.00					0	0.00		1	10.00						Excluded								1	10.00		10
		TOTAL					44	47.31					6	6.45		28	30.11														15	16.13		93
	EIGHTH						3	20.00					7	46.67		5	33.33															Excluded		15
		TOTAL					47	50.54					13	13.98		33	35.48																	93
	NINTH						3	23.08						Excluded		10	76.92																	13
		TOTAL					50	53.76								43	46.24																	93
																Elected																		
																																		
Upper Orara                                                    																																		
	FIRST			6	2.15		79	28.32		3	1.08		22	7.89		109	39.07		2	0.72		20	7.17		7	2.51		3	1.08		28	10.04		279
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		6	2.15		79	28.32		4	1.43		22	7.89		109	39.07					20	7.17		8	2.87		3	1.08		28	10.04		279
	THIRD			0	0.00		1	25.00			Excluded		0	0.00		0	0.00					2	50.00		0	0.00		0	0.00		1	25.00		4
		TOTAL		6	2.15		80	28.67					22	7.89		109	39.07					22	7.89		8	2.87		3	1.08		29	10.39		279
	FOURTH			0	0.00		0	0.00					0	0.00		2	66.67					0	0.00		1	33.33			Excluded		0	0.00		3
		TOTAL		6	2.15		80	28.67					22	7.89		111	39.78					22	7.89		9	3.23					29	10.39		279
	FIFTH			1	11.11		0	0.00					0	0.00		0	0.00					8	88.89			Excluded					0	0.00		9
		TOTAL		7	2.51		80	28.67					22	7.89		111	39.78					30	10.75								29	10.39		279
	SIXTH				Excluded		2	28.57					1	14.29		2	28.57					0	0.00								2	28.57		7
		TOTAL					82	29.39					23	8.24		113	40.50					30	10.75								31	11.11		279
	SEVENTH						22	73.33					2	6.67		4	13.33						Excluded								2	6.67		30
		TOTAL					104	37.28					25	8.96		117	41.94														33	11.83		279
	EIGHTH						7	21.21					18	54.55		8	24.24															Excluded		33
		TOTAL					111	39.78					43	15.41		125	44.80																	279
	NINTH						6	13.95						Excluded		37	86.05																	43
		TOTAL					117	41.94								162	58.06																	279
																Elected																		
																																		
Urunga                                                         																																		
	FIRST			23	1.23		701	37.43		74	3.95		317	16.92		478	25.52		11	0.59		85	4.54		38	2.03		22	1.17		124	6.62		1873
	SECOND			1	9.09		4	36.36		2	18.18		0	0.00		1	9.09			Excluded		2	18.18		0	0.00		0	0.00		1	9.09		11
		TOTAL		24	1.28		705	37.64		76	4.06		317	16.92		479	25.57					87	4.64		38	2.03		22	1.17		125	6.67		1873
	THIRD			10	13.16		17	22.37			Excluded		11	14.47		19	25.00					1	1.32		2	2.63		1	1.32		15	19.74		76
		TOTAL		34	1.82		722	38.55					328	17.51		498	26.59					88	4.70		40	2.14		23	1.23		140	7.47		1873
	FOURTH			0	0.00		2	8.70					4	17.39		8	34.78					2	8.70		2	8.70			Excluded		5	21.74		23
		TOTAL		34	1.82		724	38.65					332	17.73		506	27.02					90	4.81		42	2.24					145	7.74		1873
	FIFTH			5	11.90		4	9.52					3	7.14		6	14.29					23	54.76			Excluded					1	2.38		42
		TOTAL		39	2.08		728	38.87					335	17.89		512	27.34					113	6.03								146	7.79		1873
	SIXTH				Excluded		18	46.15					5	12.82		4	10.26					7	17.95								5	12.82		39
		TOTAL					746	39.83					340	18.15		516	27.55					120	6.41								151	8.06		1873
	SEVENTH						88	73.33					9	7.50		14	11.67						Excluded								9	7.50		120
		TOTAL					834	44.53					349	18.63		530	28.30														160	8.54		1873
	EIGHTH						58	36.25					55	34.38		47	29.38															Excluded		160
		TOTAL					892	47.62					404	21.57		577	30.81																	1873
	NINTH						47	11.63						Excluded		357	88.37																	404
		TOTAL					939	50.13								934	49.87																	1873
																Elected																		
																																		
Utungun                                                        																																		
	FIRST			4	2.41		32	19.28		7	4.22		29	17.47		61	36.75		1	0.60		9	5.42		2	1.20		5	3.01		16	9.64		166
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	3.01		32	19.28		7	4.22		29	17.47		61	36.75					9	5.42		2	1.20		5	3.01		16	9.64		166
	THIRD			1	14.29		0	0.00			Excluded		2	28.57		1	14.29					3	42.86		0	0.00		0	0.00		0	0.00		7
		TOTAL		6	3.61		32	19.28					31	18.67		62	37.35					12	7.23		2	1.20		5	3.01		16	9.64		166
	FOURTH			0	0.00		1	20.00					1	20.00		2	40.00					0	0.00		0	0.00			Excluded		1	20.00		5
		TOTAL		6	3.61		33	19.88					32	19.28		64	38.55					12	7.23		2	1.20					17	10.24		166
	FIFTH			0	0.00		1	50.00					0	0.00		0	0.00					1	50.00			Excluded					0	0.00		2
		TOTAL		6	3.61		34	20.48					32	19.28		64	38.55					13	7.83								17	10.24		166
	SIXTH				Excluded		1	16.67					2	33.33		1	16.67					1	16.67								1	16.67		6
		TOTAL					35	21.08					34	20.48		65	39.16					14	8.43								18	10.84		166
	SEVENTH						9	64.29					3	21.43		2	14.29						Excluded								0	0.00		14
		TOTAL					44	26.51					37	22.29		67	40.36														18	10.84		166
	EIGHTH						4	22.22					8	44.44		6	33.33															Excluded		18
		TOTAL					48	28.92					45	27.11		73	43.98																	166
	NINTH						9	20.00						Excluded		36	80.00																	45
		TOTAL					57	34.34								109	65.66																	166
																Elected																		
																																		
Valla Beach                                                    																																		
	FIRST			15	1.96		250	32.59		54	7.04		130	16.95		153	19.95		3	0.39		80	10.43		24	3.13		15	1.96		43	5.61		767
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		1	33.33		3
		TOTAL		15	1.96		250	32.59		55	7.17		130	16.95		153	19.95					81	10.56		24	3.13		15	1.96		44	5.74		767
	THIRD			5	9.09		14	25.45			Excluded		6	10.91		9	16.36					6	10.91		0	0.00		1	1.82		14	25.45		55
		TOTAL		20	2.61		264	34.42					136	17.73		162	21.12					87	11.34		24	3.13		16	2.09		58	7.56		767
	FOURTH			1	6.25		0	0.00					1	6.25		9	56.25					0	0.00		0	0.00			Excluded		5	31.25		16
		TOTAL		21	2.74		264	34.42					137	17.86		171	22.29					87	11.34		24	3.13					63	8.21		767
	FIFTH			2	8.33		4	16.67					1	4.17		0	0.00					14	58.33			Excluded					3	12.50		24
		TOTAL		23	3.00		268	34.94					138	17.99		171	22.29					101	13.17								66	8.60		767
	SIXTH				Excluded		13	56.52					1	4.35		2	8.70					4	17.39								3	13.04		23
		TOTAL					281	36.64					139	18.12		173	22.56					105	13.69								69	9.00		767
	SEVENTH						76	72.38					9	8.57		12	11.43						Excluded								8	7.62		105
		TOTAL					357	46.54					148	19.30		185	24.12														77	10.04		767
	EIGHTH						17	22.08					28	36.36		32	41.56															Excluded		77
		TOTAL					374	48.76					176	22.95		217	28.29																	767
	NINTH						20	11.36						Excluded		156	88.64																	176
		TOTAL					394	51.37								373	48.63																	767
																Elected																		
																																		
Vere Street (Cowper)                                           																																		
	FIRST			7	2.17		124	38.51		6	1.86		37	11.49		97	30.12		2	0.62		14	4.35		6	1.86		9	2.80		20	6.21		322
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		8	2.48		124	38.51		6	1.86		37	11.49		97	30.12					14	4.35		6	1.86		9	2.80		21	6.52		322
	THIRD			1	16.67		1	16.67			Excluded		0	0.00		2	33.33					1	16.67		0	0.00		1	16.67		0	0.00		6
		TOTAL		9	2.80		125	38.82					37	11.49		99	30.75					15	4.66		6	1.86		10	3.11		21	6.52		322
	FOURTH			0	0.00		0	0.00					2	20.00		3	30.00					2	20.00		1	10.00			Excluded		2	20.00		10
		TOTAL		9	2.80		125	38.82					39	12.11		102	31.68					17	5.28		7	2.17					23	7.14		322
	FIFTH			1	14.29		2	28.57					1	14.29		1	14.29					1	14.29			Excluded					1	14.29		7
		TOTAL		10	3.11		127	39.44					40	12.42		103	31.99					18	5.59								24	7.45		322
	SIXTH				Excluded		4	40.00					2	20.00		1	10.00					0	0.00								3	30.00		10
		TOTAL					131	40.68					42	13.04		104	32.30					18	5.59								27	8.39		322
	SEVENTH						11	61.11					1	5.56		3	16.67						Excluded								3	16.67		18
		TOTAL					142	44.10					43	13.35		107	33.23														30	9.32		322
	EIGHTH						10	33.33					5	16.67		15	50.00															Excluded		30
		TOTAL					152	47.20					48	14.91		122	37.89																	322
	NINTH						14	29.17						Excluded		34	70.83																	48
		TOTAL					166	51.55								156	48.45																	322
																Elected																		
																																		
Warrell Creek                                                  																																		
	FIRST			2	0.89		37	16.52		6	2.68		34	15.18		103	45.98		0	0.00		1	0.45		1	0.45		1	0.45		39	17.41		224
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	0.89		37	16.52		6	2.68		34	15.18		103	45.98					1	0.45		1	0.45		1	0.45		39	17.41		224
	THIRD			0	0.00		2	33.33			Excluded		1	16.67		1	16.67					0	0.00		0	0.00		0	0.00		2	33.33		6
		TOTAL		2	0.89		39	17.41					35	15.63		104	46.43					1	0.45		1	0.45		1	0.45		41	18.30		224
	FOURTH			0	0.00		1	100.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		2	0.89		40	17.86					35	15.63		104	46.43					1	0.45		1	0.45					41	18.30		224
	FIFTH			0	0.00		0	0.00					0	0.00		0	0.00					1	100.00			Excluded					0	0.00		1
		TOTAL		2	0.89		40	17.86					35	15.63		104	46.43					2	0.89								41	18.30		224
	SIXTH				Excluded		0	0.00					2	100.00		0	0.00					0	0.00								0	0.00		2
		TOTAL					40	17.86					37	16.52		104	46.43					2	0.89								41	18.30		224
	SEVENTH						2	100.00					0	0.00		0	0.00						Excluded								0	0.00		2
		TOTAL					42	18.75					37	16.52		104	46.43														41	18.30		224
	EIGHTH						6	14.63					22	53.66		13	31.71															Excluded		41
		TOTAL					48	21.43					59	26.34		117	52.23																	224
	NINTH						5	8.47						Excluded		54	91.53																	59
		TOTAL					53	23.66								171	76.34																	224
																Elected																		
																																		
Willawarrin                                                    																																		
