House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
		TOTAL		32	3.10		39	3.78		9	0.87		116	11.25		13	1.26		20	1.94		555	53.83		229	22.21					18	1.75		1031	
	THIRD			4	20.00		2	10.00		1	5.00		2	10.00		5	25.00			Excluded		3	15.00		3	15.00					0	0.00		20	
		TOTAL		36	3.49		41	3.98		10	0.97		118	11.45		18	1.75					558	54.12		232	22.50					18	1.75		1031	
	FOURTH				Excluded		27	75.00		3	8.33		0	0.00		1	2.78					1	2.78		0	0.00					4	11.11		36	
		TOTAL					68	6.60		13	1.26		118	11.45		19	1.84					559	54.22		232	22.50					22	2.13		1031	
	FIFTH						6	46.15			Excluded		1	7.69		3	23.08					0	0.00		2	15.38					1	7.69		13	
		TOTAL					74	7.18					119	11.54		22	2.13					559	54.22		234	22.70					23	2.23		1031	
	SIXTH						8	34.78					2	8.70		2	8.70					4	17.39		7	30.43						Excluded		23	
		TOTAL					82	7.95					121	11.74		24	2.33					563	54.61		241	23.38								1031	
	SEVENTH						7	29.17					4	16.67			Excluded					8	33.33		5	20.83								24	
		TOTAL					89	8.63					125	12.12								571	55.38		246	23.86								1031	
	EIGHTH							Excluded					49	55.06								18	20.22		22	24.72								89	
		TOTAL											174	16.88								589	57.13		268	25.99								1031	
	NINTH													Excluded								100	57.47		74	42.53								174	
		TOTAL																				689	66.83		342	33.17								1031	
																						Elected													
																																			
Wallabadah                                                     																																			
	FIRST			3	1.10		16	5.86		4	1.47		22	8.06		3	1.10		2	0.73		166	60.81		49	17.95		3	1.10		5	1.83		273	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		3	1.10		17	6.23		4	1.47		22	8.06		3	1.10		2	0.73		166	60.81		50	18.32					6	2.20		273	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00					0	0.00		2	
		TOTAL		3	1.10		17	6.23		4	1.47		23	8.42		3	1.10					167	61.17		50	18.32					6	2.20		273	
	FOURTH				Excluded		0	0.00		1	33.33		1	33.33		0	0.00					0	0.00		0	0.00					1	33.33		3	
		TOTAL					17	6.23		5	1.83		24	8.79		3	1.10					167	61.17		50	18.32					7	2.56		273	
	FIFTH						1	20.00			Excluded		2	40.00		1	20.00					0	0.00		1	20.00					0	0.00		5	
		TOTAL					18	6.59					26	9.52		4	1.47					167	61.17		51	18.68					7	2.56		273	
	SIXTH						3	42.86					0	0.00		1	14.29					2	28.57		1	14.29						Excluded		7	
		TOTAL					21	7.69					26	9.52		5	1.83					169	61.90		52	19.05								273	
	SEVENTH						1	20.00					1	20.00			Excluded					0	0.00		3	60.00								5	
		TOTAL					22	8.06					27	9.89								169	61.90		55	20.15								273	
	EIGHTH							Excluded					11	50.00								6	27.27		5	22.73								22	
		TOTAL											38	13.92								175	64.10		60	21.98								273	
	NINTH													Excluded								15	39.47		23	60.53								38	
		TOTAL																				190	69.60		83	30.40								273	
																						Elected													
																																			
Wanaaring                                                      																																			
	FIRST			0	0.00		0	0.00		0	0.00		1	2.78		2	5.56		1	2.78		29	80.56		3	8.33		0	0.00		0	0.00		36	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		1	2.78		2	5.56		1	2.78		29	80.56		3	8.33					0	0.00		36	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		0	0.00		1	2.78		0	0.00		1	2.78		2	5.56					29	80.56		3	8.33					0	0.00		36	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	2.78		0	0.00		1	2.78		2	5.56					29	80.56		3	8.33					0	0.00		36	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	2.78					1	2.78		2	5.56					29	80.56		3	8.33					0	0.00		36	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					1	2.78					1	2.78		2	5.56					29	80.56		3	8.33								36	
	SEVENTH						1	50.00					0	0.00			Excluded					0	0.00		1	50.00								2	
		TOTAL					2	5.56					1	2.78								29	80.56		4	11.11								36	
	EIGHTH							Excluded					0	0.00								2	100.00		0	0.00								2	
		TOTAL											1	2.78								31	86.11		4	11.11								36	
	NINTH													Excluded								0	0.00		1	100.00								1	
		TOTAL																				31	86.11		5	13.89								36	
																						Elected													
																																			
Warialda                                                       																																			
	FIRST			32	3.25		59	5.99		12	1.22		130	13.20		10	1.02		8	0.81		427	43.35		278	28.22		7	0.71		22	2.23		985	
	SECOND			0	0.00		1	14.29		1	14.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		5	71.43		7	
		TOTAL		32	3.25		60	6.09		13	1.32		130	13.20		10	1.02		8	0.81		427	43.35		278	28.22					27	2.74		985	
	THIRD			1	12.50		1	12.50		0	0.00		1	12.50		0	0.00			Excluded		4	50.00		0	0.00					1	12.50		8	
		TOTAL		33	3.35		61	6.19		13	1.32		131	13.30		10	1.02					431	43.76		278	28.22					28	2.84		985	
	FOURTH				Excluded		15	45.45		2	6.06		4	12.12		0	0.00					8	24.24		2	6.06					2	6.06		33	
		TOTAL					76	7.72		15	1.52		135	13.71		10	1.02					439	44.57		280	28.43					30	3.05		985	
	FIFTH						2	13.33			Excluded		1	6.67		4	26.67					2	13.33		6	40.00					0	0.00		15	
		TOTAL					78	7.92					136	13.81		14	1.42					441	44.77		286	29.04					30	3.05		985	
	SIXTH						11	36.67					8	26.67		0	0.00					3	10.00		8	26.67						Excluded		30	
		TOTAL					89	9.04					144	14.62		14	1.42					444	45.08		294	29.85								985	
	SEVENTH						5	35.71					0	0.00			Excluded					3	21.43		6	42.86								14	
		TOTAL					94	9.54					144	14.62								447	45.38		300	30.46								985	
	EIGHTH							Excluded					44	46.81								23	24.47		27	28.72								94	
		TOTAL											188	19.09								470	47.72		327	33.20								985	
	NINTH													Excluded								97	51.60		91	48.40								188	
		TOTAL																				567	57.56		418	42.44								985	
																						Elected													
																																			
Warialda Rail                                                  																																			
	FIRST			0	0.00		4	4.40		1	1.10		9	9.89		0	0.00		4	4.40		36	39.56		34	37.36		2	2.20		1	1.10		91	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		0	0.00		5	5.49		1	1.10		9	9.89		0	0.00		4	4.40		36	39.56		34	37.36					2	2.20		91	
	THIRD			0	0.00		0	0.00		0	0.00		2	50.00		1	25.00			Excluded		0	0.00		1	25.00					0	0.00		4	
		TOTAL		0	0.00		5	5.49		1	1.10		11	12.09		1	1.10					36	39.56		35	38.46					2	2.20		91	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					5	5.49		1	1.10		11	12.09		1	1.10					36	39.56		35	38.46					2	2.20		91	
	FIFTH						1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					6	6.59					11	12.09		1	1.10					36	39.56		35	38.46					2	2.20		91	
	SIXTH						0	0.00					0	0.00		0	0.00					1	50.00		1	50.00						Excluded		2	
		TOTAL					6	6.59					11	12.09		1	1.10					37	40.66		36	39.56								91	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		1	100.00								1	
		TOTAL					6	6.59					11	12.09								37	40.66		37	40.66								91	
	EIGHTH							Excluded					3	50.00								2	33.33		1	16.67								6	
		TOTAL											14	15.38								39	42.86		38	41.76								91	
	NINTH													Excluded								9	64.29		5	35.71								14	
		TOTAL																				48	52.75		43	47.25								91	
																						Elected													
																																			
Wee Waa                                                        																																			
	FIRST			6	0.44		58	4.28		16	1.18		131	9.68		6	0.44		13	0.96		913	67.43		162	11.96		4	0.30		45	3.32		1354	
	SECOND			0	0.00		2	50.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		6	0.44		60	4.43		16	1.18		132	9.75		6	0.44		13	0.96		913	67.43		162	11.96					46	3.40		1354	
	THIRD			1	7.69		0	0.00		1	7.69		0	0.00		2	15.38			Excluded		4	30.77		4	30.77					1	7.69		13	
		TOTAL		7	0.52		60	4.43		17	1.26		132	9.75		8	0.59					917	67.73		166	12.26					47	3.47		1354	
	FOURTH				Excluded		4	57.14		1	14.29		0	0.00		0	0.00					1	14.29		0	0.00					1	14.29		7	
		TOTAL					64	4.73		18	1.33		132	9.75		8	0.59					918	67.80		166	12.26					48	3.55		1354	
	FIFTH						4	22.22			Excluded		1	5.56		6	33.33					3	16.67		2	11.11					2	11.11		18	
		TOTAL					68	5.02					133	9.82		14	1.03					921	68.02		168	12.41					50	3.69		1354	
	SIXTH						21	42.00					8	16.00		1	2.00					13	26.00		7	14.00						Excluded		50	
		TOTAL					89	6.57					141	10.41		15	1.11					934	68.98		175	12.92								1354	
	SEVENTH						6	40.00					5	33.33			Excluded					2	13.33		2	13.33								15	
		TOTAL					95	7.02					146	10.78								936	69.13		177	13.07								1354	
	EIGHTH							Excluded					47	49.47								22	23.16		26	27.37								95	
		TOTAL											193	14.25								958	70.75		203	14.99								1354	
	NINTH													Excluded								95	49.22		98	50.78								193	
		TOTAL																				1053	77.77		301	22.23								1354	
																						Elected													
																																			
Weilmoringle                                                   																																			
	FIRST			1	2.33		1	2.33		0	0.00		5	11.63		0	0.00		1	2.33		24	55.81		11	25.58		0	0.00		0	0.00		43	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	2.33		1	2.33		0	0.00		5	11.63		0	0.00		1	2.33		24	55.81		11	25.58					0	0.00		43	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		2	4.65		1	2.33		0	0.00		5	11.63		0	0.00					24	55.81		11	25.58					0	0.00		43	
	FOURTH				Excluded		2	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					3	6.98		0	0.00		5	11.63		0	0.00					24	55.81		11	25.58					0	0.00		43	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					3	6.98					5	11.63		0	0.00					24	55.81		11	25.58					0	0.00		43	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					3	6.98					5	11.63		0	0.00					24	55.81		11	25.58								43	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					3	6.98					5	11.63								24	55.81		11	25.58								43	
	EIGHTH							Excluded					2	66.67								1	33.33		0	0.00								3	
		TOTAL											7	16.28								25	58.14		11	25.58								43	
	NINTH													Excluded								6	85.71		1	14.29								7	
		TOTAL																				31	72.09		12	27.91								43	
																						Elected													
																																			
Wellington                                                     																																			
	FIRST			25	1.38		104	5.74		25	1.38		173	9.54		24	1.32		16	0.88		897	49.48		539	29.73		7	0.39		3	0.17		1813	
	SECOND			0	0.00		0	0.00		0	0.00		1	14.29		0	0.00		2	28.57		0	0.00		0	0.00			Excluded		4	57.14		7	
		TOTAL		25	1.38		104	5.74		25	1.38		174	9.60		24	1.32		18	0.99		897	49.48		539	29.73					7	0.39		1813	
	THIRD			3	16.67		2	11.11		1	5.56		3	16.67		3	16.67			Excluded		2	11.11		4	22.22					0	0.00		18	
		TOTAL		28	1.54		106	5.85		26	1.43		177	9.76		27	1.49					899	49.59		543	29.95					7	0.39		1813	
	FOURTH				Excluded		13	46.43		3	10.71		3	10.71		2	7.14					1	3.57		0	0.00					6	21.43		28	
		TOTAL					119	6.56		29	1.60		180	9.93		29	1.60					900	49.64		543	29.95					13	0.72		1813	
	FIFTH						4	13.79			Excluded		3	10.34		8	27.59					6	20.69		7	24.14					1	3.45		29	
		TOTAL					123	6.78					183	10.09		37	2.04					906	49.97		550	30.34					14	0.77		1813	
	SIXTH						6	42.86					7	50.00		0	0.00					1	7.14		0	0.00						Excluded		14	
		TOTAL					129	7.12					190	10.48		37	2.04					907	50.03		550	30.34								1813	
	SEVENTH						12	32.43					7	18.92			Excluded					8	21.62		10	27.03								37	
		TOTAL					141	7.78					197	10.87								915	50.47		560	30.89								1813	
	EIGHTH							Excluded					62	43.97								40	28.37		39	27.66								141	
		TOTAL											259	14.29								955	52.68		599	33.04								1813	
	NINTH													Excluded								119	45.95		140	54.05								259	
		TOTAL																				1074	59.24		739	40.76								1813	
																						Elected													
																																			
Wellington East                                                																																			
	FIRST			5	0.64		47	5.97		11	1.40		59	7.50		7	0.89		8	1.02		386	49.05		255	32.40		3	0.38		6	0.76		787	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		5	0.64		47	5.97		11	1.40		59	7.50		7	0.89		8	1.02		386	49.05		255	32.40					9	1.14		787	
	THIRD			0	0.00		0	0.00		0	0.00		2	25.00		1	12.50			Excluded		2	25.00		2	25.00					1	12.50		8	
		TOTAL		5	0.64		47	5.97		11	1.40		61	7.75		8	1.02					388	49.30		257	32.66					10	1.27		787	
	FOURTH				Excluded		0	0.00		2	40.00		0	0.00		2	40.00					0	0.00		0	0.00					1	20.00		5	
		TOTAL					47	5.97		13	1.65		61	7.75		10	1.27					388	49.30		257	32.66					11	1.40		787	
	FIFTH						5	38.46			Excluded		2	15.38		2	15.38					3	23.08		1	7.69					0	0.00		13	
		TOTAL					52	6.61					63	8.01		12	1.52					391	49.68		258	32.78					11	1.40		787	
	SIXTH						4	36.36					1	9.09		1	9.09					2	18.18		3	27.27						Excluded		11	
		TOTAL					56	7.12					64	8.13		13	1.65					393	49.94		261	33.16								787	
	SEVENTH						5	38.46					2	15.38			Excluded					4	30.77		2	15.38								13	
		TOTAL					61	7.75					66	8.39								397	50.44		263	33.42								787	
	EIGHTH							Excluded					24	39.34								13	21.31		24	39.34								61	
		TOTAL											90	11.44								410	52.10		287	36.47								787	
	NINTH													Excluded								38	42.22		52	57.78								90	
		TOTAL																				448	56.93		339	43.07								787	
																						Elected													
																																			
Willow Tree                                                    																																			
	FIRST			2	0.60		22	6.65		6	1.81		38	11.48		1	0.30		8	2.42		199	60.12		50	15.11		0	0.00		5	1.51		331	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	0.60		22	6.65		6	1.81		38	11.48		1	0.30		8	2.42		199	60.12		50	15.11					5	1.51		331	
	THIRD			0	0.00		0	0.00		0	0.00		5	62.50		1	12.50			Excluded		1	12.50		1	12.50					0	0.00		8	
		TOTAL		2	0.60		22	6.65		6	1.81		43	12.99		2	0.60					200	60.42		51	15.41					5	1.51		331	
	FOURTH				Excluded		2	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					24	7.25		6	1.81		43	12.99		2	0.60					200	60.42		51	15.41					5	1.51		331	
	FIFTH						1	16.67			Excluded		0	0.00		1	16.67					3	50.00		1	16.67					0	0.00		6	
		TOTAL					25	7.55					43	12.99		3	0.91					203	61.33		52	15.71					5	1.51		331	
	SIXTH						1	20.00					1	20.00		0	0.00					3	60.00		0	0.00						Excluded		5	
		TOTAL					26	7.85					44	13.29		3	0.91					206	62.24		52	15.71								331	
	SEVENTH						0	0.00					2	66.67			Excluded					1	33.33		0	0.00								3	
		TOTAL					26	7.85					46	13.90								207	62.54		52	15.71								331	
	EIGHTH							Excluded					8	30.77								7	26.92		11	42.31								26	
		TOTAL											54	16.31								214	64.65		63	19.03								331	
	NINTH													Excluded								19	35.19		35	64.81								54	
		TOTAL																				233	70.39		98	29.61								331	
																						Elected													
																																			
Windeyer                                                       																																			
	FIRST			2	1.23		32	19.75		1	0.62		20	12.35		7	4.32		3	1.85		73	45.06		24	14.81		0	0.00		0	0.00		162	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.23		32	19.75		1	0.62		20	12.35		7	4.32		3	1.85		73	45.06		24	14.81					0	0.00		162	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					3	100.00		3	
		TOTAL		2	1.23		32	19.75		1	0.62		20	12.35		7	4.32					73	45.06		24	14.81					3	1.85		162	
	FOURTH				Excluded		2	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					34	20.99		1	0.62		20	12.35		7	4.32					73	45.06		24	14.81					3	1.85		162	
	FIFTH						0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					34	20.99					20	12.35		8	4.94					73	45.06		24	14.81					3	1.85		162	
	SIXTH						2	66.67					1	33.33		0	0.00					0	0.00		0	0.00						Excluded		3	
		TOTAL					36	22.22					21	12.96		8	4.94					73	45.06		24	14.81								162	
	SEVENTH						2	25.00					2	25.00			Excluded					0	0.00		4	50.00								8	
		TOTAL					38	23.46					23	14.20								73	45.06		28	17.28								162	
	EIGHTH							Excluded					20	52.63								13	34.21		5	13.16								38	
		TOTAL											43	26.54								86	53.09		33	20.37								162	
	NINTH													Excluded								14	32.56		29	67.44								43	
		TOTAL																				100	61.73		62	38.27								162	
																						Elected													
																																			
Wingen                                                         																																			
	FIRST			4	2.53		2	1.27		8	5.06		12	7.59		4	2.53		7	4.43		88	55.70		31	19.62		1	0.63		1	0.63		158	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		4	2.53		2	1.27		8	5.06		12	7.59		4	2.53		7	4.43		88	55.70		31	19.62					2	1.27		158	
	THIRD			0	0.00		1	14.29		0	0.00		4	57.14		0	0.00			Excluded		1	14.29		1	14.29					0	0.00		7	
		TOTAL		4	2.53		3	1.90		8	5.06		16	10.13		4	2.53					89	56.33		32	20.25					2	1.27		158	
	FOURTH				Excluded		3	75.00		0	0.00		0	0.00		0	0.00					1	25.00		0	0.00					0	0.00		4	
		TOTAL					6	3.80		8	5.06		16	10.13		4	2.53					90	56.96		32	20.25					2	1.27		158	
	FIFTH						2	25.00			Excluded		1	12.50		3	37.50					0	0.00		2	25.00					0	0.00		8	
		TOTAL					8	5.06					17	10.76		7	4.43					90	56.96		34	21.52					2	1.27		158	
	SIXTH						0	0.00					1	50.00		1	50.00					0	0.00		0	0.00						Excluded		2	
		TOTAL					8	5.06					18	11.39		8	5.06					90	56.96		34	21.52								158	
	SEVENTH						3	37.50					0	0.00			Excluded					1	12.50		4	50.00								8	
		TOTAL					11	6.96					18	11.39								91	57.59		38	24.05								158	
	EIGHTH							Excluded					5	45.45								3	27.27		3	27.27								11	
		TOTAL											23	14.56								94	59.49		41	25.95								158	
	NINTH													Excluded								14	60.87		9	39.13								23	
		TOTAL																				108	68.35		50	31.65								158	
																						Elected													
																																			
Wollar                                                         																																			
	FIRST			2	1.59		20	15.87		3	2.38		10	7.94		10	7.94		2	1.59		47	37.30		32	25.40		0	0.00		0	0.00		126	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.59		20	15.87		3	2.38		10	7.94		10	7.94		2	1.59		47	37.30		32	25.40					0	0.00		126	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00					0	0.00		2	
		TOTAL		2	1.59		20	15.87		3	2.38		11	8.73		10	7.94					47	37.30		33	26.19					0	0.00		126	
	FOURTH				Excluded		1	50.00		0	0.00		0	0.00		1	50.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					21	16.67		3	2.38		11	8.73		11	8.73					47	37.30		33	26.19					0	0.00		126	
	FIFTH						0	0.00			Excluded		1	33.33		1	33.33					1	33.33		0	0.00					0	0.00		3	
		TOTAL					21	16.67					12	9.52		12	9.52					48	38.10		33	26.19					0	0.00		126	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					21	16.67					12	9.52		12	9.52					48	38.10		33	26.19								126	
	SEVENTH						4	33.33					0	0.00			Excluded					4	33.33		4	33.33								12	
		TOTAL					25	19.84					12	9.52								52	41.27		37	29.37								126	
	EIGHTH							Excluded					14	56.00								3	12.00		8	32.00								25	
		TOTAL											26	20.63								55	43.65		45	35.71								126	
	NINTH													Excluded								13	50.00		13	50.00								26	
		TOTAL																				68	53.97		58	46.03								126	
																						Elected													
																																			
Special Hospital Team 1                                        																																			
	FIRST			2	3.92		2	3.92		0	0.00		2	3.92		0	0.00		0	0.00		23	45.10		18	35.29		0	0.00		4	7.84		51	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	3.92		2	3.92		0	0.00		2	3.92		0	0.00		0	0.00		23	45.10		18	35.29					4	7.84		51	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	3.92		2	3.92		0	0.00		2	3.92		0	0.00					23	45.10		18	35.29					4	7.84		51	
	FOURTH				Excluded		1	50.00		0	0.00		1	50.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					3	5.88		0	0.00		3	5.88		0	0.00					23	45.10		18	35.29					4	7.84		51	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					3	5.88					3	5.88		0	0.00					23	45.10		18	35.29					4	7.84		51	
	SIXTH						0	0.00					4	100.00		0	0.00					0	0.00		0	0.00						Excluded		4	
		TOTAL					3	5.88					7	13.73		0	0.00					23	45.10		18	35.29								51	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					3	5.88					7	13.73								23	45.10		18	35.29								51	
	EIGHTH							Excluded					3	100.00								0	0.00		0	0.00								3	
		TOTAL											10	19.61								23	45.10		18	35.29								51	
	NINTH													Excluded								5	50.00		5	50.00								10	
		TOTAL																				28	54.90		23	45.10								51	
																						Elected													
																																			
Special Hospital Team 2                                        																																			
	FIRST			1	0.74		0	0.00		0	0.00		14	10.37		1	0.74		0	0.00		94	69.63		24	17.78		0	0.00		1	0.74		135	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.74		0	0.00		0	0.00		14	10.37		1	0.74		0	0.00		94	69.63		24	17.78					1	0.74		135	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.74		0	0.00		0	0.00		14	10.37		1	0.74					94	69.63		24	17.78					1	0.74		135	
	FOURTH				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					1	0.74		0	0.00		14	10.37		1	0.74					94	69.63		24	17.78					1	0.74		135	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	0.74					14	10.37		1	0.74					94	69.63		24	17.78					1	0.74		135	
	SIXTH						1	100.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		1	
		TOTAL					2	1.48					14	10.37		1	0.74					94	69.63		24	17.78								135	
	SEVENTH						1	100.00					0	0.00			Excluded					0	0.00		0	0.00								1	
		TOTAL					3	2.22					14	10.37								94	69.63		24	17.78								135	
	EIGHTH							Excluded					3	100.00								0	0.00		0	0.00								3	
		TOTAL											17	12.59								94	69.63		24	17.78								135	
	NINTH													Excluded								7	41.18		10	58.82								17	
		TOTAL																				101	74.81		34	25.19								135	
																						Elected													
																																			
Special Hospital Team 3                                        																																			
	FIRST			2	1.41		5	3.52		0	0.00		1	0.70		1	0.70		0	0.00		98	69.01		33	23.24		1	0.70		1	0.70		142	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		2	1.41		5	3.52		0	0.00		1	0.70		1	0.70		0	0.00		98	69.01		33	23.24					2	1.41		142	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.41		5	3.52		0	0.00		1	0.70		1	0.70					98	69.01		33	23.24					2	1.41		142	
	FOURTH				Excluded		1	50.00		1	50.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					6	4.23		1	0.70		1	0.70		1	0.70					98	69.01		33	23.24					2	1.41		142	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00		1	
		TOTAL					6	4.23					1	0.70		1	0.70					99	69.72		33	23.24					2	1.41		142	
	SIXTH						1	50.00					0	0.00		0	0.00					0	0.00		1	50.00						Excluded		2	
		TOTAL					7	4.93					1	0.70		1	0.70					99	69.72		34	23.94								142	
	SEVENTH						1	100.00					0	0.00			Excluded					0	0.00		0	0.00								1	
		TOTAL					8	5.63					1	0.70								99	69.72		34	23.94								142	
	EIGHTH							Excluded					3	37.50								5	62.50		0	0.00								8	
		TOTAL											4	2.82								104	73.24		34	23.94								142	
	NINTH													Excluded								1	25.00		3	75.00								4	
		TOTAL																				105	73.94		37	26.06								142	
																						Elected													
																																			
Special Hospital Team 4                                        																																			
	FIRST			0	0.00		1	3.70		0	0.00		1	3.70		0	0.00		1	3.70		13	48.15		10	37.04		0	0.00		1	3.70		27	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		1	3.70		0	0.00		1	3.70		0	0.00		1	3.70		13	48.15		10	37.04					1	3.70		27	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		0	0.00		1	3.70		0	0.00		1	3.70		0	0.00					14	51.85		10	37.04					1	3.70		27	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	3.70		0	0.00		1	3.70		0	0.00					14	51.85		10	37.04					1	3.70		27	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	3.70					1	3.70		0	0.00					14	51.85		10	37.04					1	3.70		27	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		1	100.00						Excluded		1	
		TOTAL					1	3.70					1	3.70		0	0.00					14	51.85		11	40.74								27	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					1	3.70					1	3.70								14	51.85		11	40.74								27	
	EIGHTH							Excluded					0	0.00								0	0.00		1	100.00								1	
		TOTAL											1	3.70								14	51.85		12	44.44								27	
	NINTH													Excluded								1	100.00		0	0.00								1	
		TOTAL																				15	55.56		12	44.44								27	
																						Elected													
																																			
Special Hospital Team 5                                        																																			
