House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
		TOTAL					69	7.56								22	2.41								288	31.54		23	2.52		405	44.36					106	11.61		913	
	EIGHTH						9	40.91									Excluded								8	36.36		1	4.55		4	18.18					0	0.00		22	
		TOTAL					78	8.54																	296	32.42		24	2.63		409	44.80					106	11.61		913	
	NINTH						61	57.55																	9	8.49		5	4.72		31	29.25						Excluded		106	
		TOTAL					139	15.22																	305	33.41		29	3.18		440	48.19								913	
	TENTH						14	48.28																	12	41.38			Excluded		3	10.34								29	
		TOTAL					153	16.76																	317	34.72					443	48.52								913	
	ELEVENTH							Excluded																	97	63.40					56	36.60								153	
		TOTAL																							414	45.35					499	54.65								913	
																															Elected										
																																									
Westlawn                                                       																																									
	FIRST			13	1.47		16	1.81		2	0.23		5	0.57		13	1.47		7	0.79		10	1.13		335	37.90		21	2.38		407	46.04		2	0.23		53	6.00		884	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		13	1.47		16	1.81		2	0.23		6	0.68		13	1.47		7	0.79		10	1.13		335	37.90		21	2.38		407	46.04					54	6.11		884	
	THIRD			1	50.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		14	1.58		16	1.81					6	0.68		14	1.58		7	0.79		10	1.13		335	37.90		21	2.38		407	46.04					54	6.11		884	
	FOURTH			1	16.67		2	33.33						Excluded		1	16.67		2	33.33		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		6	
		TOTAL		15	1.70		18	2.04								15	1.70		9	1.02		10	1.13		335	37.90		21	2.38		407	46.04					54	6.11		884	
	FIFTH				Excluded		12	80.00								0	0.00		0	0.00		1	6.67		2	13.33		0	0.00		0	0.00					0	0.00		15	
		TOTAL					30	3.39								15	1.70		9	1.02		11	1.24		337	38.12		21	2.38		407	46.04					54	6.11		884	
	SIXTH						1	11.11								0	0.00			Excluded		1	11.11		2	22.22		4	44.44		0	0.00					1	11.11		9	
		TOTAL					31	3.51								15	1.70					12	1.36		339	38.35		25	2.83		407	46.04					55	6.22		884	
	SEVENTH						4	33.33								2	16.67						Excluded		0	0.00		0	0.00		4	33.33					2	16.67		12	
		TOTAL					35	3.96								17	1.92								339	38.35		25	2.83		411	46.49					57	6.45		884	
	EIGHTH						3	17.65									Excluded								4	23.53		2	11.76		4	23.53					4	23.53		17	
		TOTAL					38	4.30																	343	38.80		27	3.05		415	46.95					61	6.90		884	
	NINTH						11	18.03																	7	11.48		4	6.56		39	63.93						Excluded		61	
		TOTAL					49	5.54																	350	39.59		31	3.51		454	51.36								884	
	TENTH						15	48.39																	12	38.71			Excluded		4	12.90								31	
		TOTAL					64	7.24																	362	40.95					458	51.81								884	
	ELEVENTH							Excluded																	54	84.38					10	15.63								64	
		TOTAL																							416	47.06					468	52.94								884	
																															Elected										
																																									
Whiporie                                                       																																									
	FIRST			1	1.14		7	7.95		0	0.00		2	2.27		1	1.14		0	0.00		0	0.00		18	20.45		6	6.82		48	54.55		0	0.00		5	5.68		88	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.14		7	7.95		0	0.00		2	2.27		1	1.14		0	0.00		0	0.00		18	20.45		6	6.82		48	54.55					5	5.68		88	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	1.14		7	7.95					2	2.27		1	1.14		0	0.00		0	0.00		18	20.45		6	6.82		48	54.55					5	5.68		88	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL		1	1.14		7	7.95								1	1.14		1	1.14		0	0.00		18	20.45		6	6.82		49	55.68					5	5.68		88	
	FIFTH				Excluded		1	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					8	9.09								1	1.14		1	1.14		0	0.00		18	20.45		6	6.82		49	55.68					5	5.68		88	
	SIXTH						0	0.00								0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					8	9.09								1	1.14					1	1.14		18	20.45		6	6.82		49	55.68					5	5.68		88	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					1	100.00		1	
		TOTAL					8	9.09								1	1.14								18	20.45		6	6.82		49	55.68					6	6.82		88	
	EIGHTH						0	0.00									Excluded								1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					8	9.09																	19	21.59		6	6.82		49	55.68					6	6.82		88	
	NINTH						3	50.00																	2	33.33		0	0.00		1	16.67						Excluded		6	
		TOTAL					11	12.50																	21	23.86		6	6.82		50	56.82								88	
	TENTH						2	33.33																	4	66.67			Excluded		0	0.00								6	
		TOTAL					13	14.77																	25	28.41					50	56.82								88	
	ELEVENTH							Excluded																	9	69.23					4	30.77								13	
		TOTAL																							34	38.64					54	61.36								88	
																															Elected										
																																									
Wiangaree                                                      																																									
	FIRST			6	1.74		42	12.17		0	0.00		1	0.29		5	1.45		7	2.03		2	0.58		55	15.94		28	8.12		175	50.72		5	1.45		19	5.51		345	
	SECOND			0	0.00		2	40.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		6	1.74		44	12.75		0	0.00		1	0.29		5	1.45		7	2.03		2	0.58		55	15.94		29	8.41		176	51.01					20	5.80		345	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	1.74		44	12.75					1	0.29		5	1.45		7	2.03		2	0.58		55	15.94		29	8.41		176	51.01					20	5.80		345	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		6	1.74		44	12.75								5	1.45		7	2.03		2	0.58		55	15.94		30	8.70		176	51.01					20	5.80		345	
	FIFTH				Excluded		6	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		6	
		TOTAL					50	14.49								5	1.45		7	2.03		2	0.58		55	15.94		30	8.70		176	51.01					20	5.80		345	
	SIXTH						1	14.29								2	28.57			Excluded		0	0.00		0	0.00		4	57.14		0	0.00					0	0.00		7	
		TOTAL					51	14.78								7	2.03					2	0.58		55	15.94		34	9.86		176	51.01					20	5.80		345	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		1	50.00					1	50.00		2	
		TOTAL					51	14.78								7	2.03								55	15.94		34	9.86		177	51.30					21	6.09		345	
	EIGHTH						3	42.86									Excluded								0	0.00		4	57.14		0	0.00					0	0.00		7	
		TOTAL					54	15.65																	55	15.94		38	11.01		177	51.30					21	6.09		345	
	NINTH						6	28.57																	3	14.29		2	9.52		10	47.62						Excluded		21	
		TOTAL					60	17.39																	58	16.81		40	11.59		187	54.20								345	
	TENTH						21	52.50																	15	37.50			Excluded		4	10.00								40	
		TOTAL					81	23.48																	73	21.16					191	55.36								345	
	ELEVENTH							Excluded																	65	80.25					16	19.75								81	
		TOTAL																							138	40.00					207	60.00								345	
																															Elected										
																																									
Woodburn                                                       																																									
	FIRST			14	1.67		54	6.46		1	0.12		42	5.02		9	1.08		14	1.67		9	1.08		239	28.59		54	6.46		344	41.15		4	0.48		52	6.22		836	
	SECOND			1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		15	1.79		54	6.46		1	0.12		43	5.14		9	1.08		14	1.67		9	1.08		239	28.59		55	6.58		344	41.15					53	6.34		836	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		15	1.79		55	6.58					43	5.14		9	1.08		14	1.67		9	1.08		239	28.59		55	6.58		344	41.15					53	6.34		836	
	FOURTH			4	9.30		18	41.86						Excluded		3	6.98		1	2.33		3	6.98		2	4.65		3	6.98		6	13.95					3	6.98		43	
		TOTAL		19	2.27		73	8.73								12	1.44		15	1.79		12	1.44		241	28.83		58	6.94		350	41.87					56	6.70		836	
	FIFTH				Excluded		10	52.63								3	15.79		3	15.79		1	5.26		1	5.26		0	0.00		1	5.26					0	0.00		19	
		TOTAL					83	9.93								15	1.79		18	2.15		13	1.56		242	28.95		58	6.94		351	41.99					56	6.70		836	
	SIXTH						1	5.56								1	5.56			Excluded		0	0.00		5	27.78		9	50.00		2	11.11					0	0.00		18	
		TOTAL					84	10.05								16	1.91					13	1.56		247	29.55		67	8.01		353	42.22					56	6.70		836	
	SEVENTH						2	15.38								1	7.69						Excluded		0	0.00		1	7.69		8	61.54					1	7.69		13	
		TOTAL					86	10.29								17	2.03								247	29.55		68	8.13		361	43.18					57	6.82		836	
	EIGHTH						8	47.06									Excluded								3	17.65		5	29.41		1	5.88					0	0.00		17	
		TOTAL					94	11.24																	250	29.90		73	8.73		362	43.30					57	6.82		836	
	NINTH						30	52.63																	11	19.30		4	7.02		12	21.05						Excluded		57	
		TOTAL					124	14.83																	261	31.22		77	9.21		374	44.74								836	
	TENTH						26	33.77																	43	55.84			Excluded		8	10.39								77	
		TOTAL					150	17.94																	304	36.36					382	45.69								836	
	ELEVENTH							Excluded																	103	68.67					47	31.33								150	
		TOTAL																							407	48.68					429	51.32								836	
																															Elected										
																																									
Woodenbong                                                     																																									
	FIRST			5	1.92		34	13.08		1	0.38		0	0.00		1	0.38		0	0.00		17	6.54		40	15.38		4	1.54		154	59.23		0	0.00		4	1.54		260	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	1.92		34	13.08		1	0.38		0	0.00		1	0.38		0	0.00		17	6.54		40	15.38		4	1.54		154	59.23					4	1.54		260	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00		1	
		TOTAL		5	1.92		34	13.08					0	0.00		1	0.38		0	0.00		17	6.54		40	15.38		4	1.54		154	59.23					5	1.92		260	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		5	1.92		34	13.08								1	0.38		0	0.00		17	6.54		40	15.38		4	1.54		154	59.23					5	1.92		260	
	FIFTH				Excluded		1	20.00								0	0.00		0	0.00		1	20.00		0	0.00		1	20.00		1	20.00					1	20.00		5	
		TOTAL					35	13.46								1	0.38		0	0.00		18	6.92		40	15.38		5	1.92		155	59.62					6	2.31		260	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					35	13.46								1	0.38					18	6.92		40	15.38		5	1.92		155	59.62					6	2.31		260	
	SEVENTH						0	0.00								1	5.56						Excluded		10	55.56		2	11.11		5	27.78					0	0.00		18	
		TOTAL					35	13.46								2	0.77								50	19.23		7	2.69		160	61.54					6	2.31		260	
	EIGHTH						1	50.00									Excluded								1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					36	13.85																	51	19.62		7	2.69		160	61.54					6	2.31		260	
	NINTH						2	33.33																	0	0.00		1	16.67		3	50.00						Excluded		6	
		TOTAL					38	14.62																	51	19.62		8	3.08		163	62.69								260	
	TENTH						2	25.00																	2	25.00			Excluded		4	50.00								8	
		TOTAL					40	15.38																	53	20.38					167	64.23								260	
	ELEVENTH							Excluded																	20	50.00					20	50.00								40	
		TOTAL																							73	28.08					187	71.92								260	
																															Elected										
																																									
Woombah                                                        																																									
	FIRST			3	0.87		22	6.40		0	0.00		1	0.29		2	0.58		5	1.45		4	1.16		131	38.08		9	2.62		138	40.12		0	0.00		29	8.43		344	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.87		22	6.40		0	0.00		1	0.29		2	0.58		5	1.45		4	1.16		131	38.08		9	2.62		138	40.12					29	8.43		344	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	0.87		22	6.40					1	0.29		2	0.58		5	1.45		4	1.16		131	38.08		9	2.62		138	40.12					29	8.43		344	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	0.87		23	6.69								2	0.58		5	1.45		4	1.16		131	38.08		9	2.62		138	40.12					29	8.43		344	
	FIFTH				Excluded		3	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					26	7.56								2	0.58		5	1.45		4	1.16		131	38.08		9	2.62		138	40.12					29	8.43		344	
	SIXTH						2	40.00								3	60.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		5	
		TOTAL					28	8.14								5	1.45					4	1.16		131	38.08		9	2.62		138	40.12					29	8.43		344	
	SEVENTH						1	25.00								0	0.00						Excluded		1	25.00		0	0.00		2	50.00					0	0.00		4	
		TOTAL					29	8.43								5	1.45								132	38.37		9	2.62		140	40.70					29	8.43		344	
	EIGHTH						2	40.00									Excluded								2	40.00		1	20.00		0	0.00					0	0.00		5	
		TOTAL					31	9.01																	134	38.95		10	2.91		140	40.70					29	8.43		344	
	NINTH						12	41.38																	7	24.14		2	6.90		8	27.59						Excluded		29	
		TOTAL					43	12.50																	141	40.99		12	3.49		148	43.02								344	
	TENTH						3	25.00																	9	75.00			Excluded		0	0.00								12	
		TOTAL					46	13.37																	150	43.60					148	43.02								344	
	ELEVENTH							Excluded																	32	69.57					14	30.43								46	
		TOTAL																							182	52.91					162	47.09								344	
																															Elected										
																																									
Wyrallah                                                       																																									
	FIRST			6	1.56		59	15.36		0	0.00		2	0.52		10	2.60		1	0.26		8	2.08		77	20.05		32	8.33		175	45.57		0	0.00		14	3.65		384	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	1.56		59	15.36		0	0.00		2	0.52		10	2.60		1	0.26		8	2.08		77	20.05		32	8.33		175	45.57					14	3.65		384	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	1.56		59	15.36					2	0.52		10	2.60		1	0.26		8	2.08		77	20.05		32	8.33		175	45.57					14	3.65		384	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00					0	0.00		2	
		TOTAL		6	1.56		59	15.36								10	2.60		1	0.26		8	2.08		77	20.05		32	8.33		177	46.09					14	3.65		384	
	FIFTH				Excluded		2	33.33								0	0.00		1	16.67		1	16.67		0	0.00		0	0.00		1	16.67					1	16.67		6	
		TOTAL					61	15.89								10	2.60		2	0.52		9	2.34		77	20.05		32	8.33		178	46.35					15	3.91		384	
	SIXTH						0	0.00								1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					61	15.89								11	2.86					9	2.34		78	20.31		32	8.33		178	46.35					15	3.91		384	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		1	11.11		6	66.67					2	22.22		9	
		TOTAL					61	15.89								11	2.86								78	20.31		33	8.59		184	47.92					17	4.43		384	
	EIGHTH						6	54.55									Excluded								1	9.09		1	9.09		3	27.27					0	0.00		11	
		TOTAL					67	17.45																	79	20.57		34	8.85		187	48.70					17	4.43		384	
	NINTH						4	23.53																	4	23.53		3	17.65		6	35.29						Excluded		17	
		TOTAL					71	18.49																	83	21.61		37	9.64		193	50.26								384	
	TENTH						12	32.43																	24	64.86			Excluded		1	2.70								37	
		TOTAL					83	21.61																	107	27.86					194	50.52								384	
	ELEVENTH							Excluded																	44	53.01					39	46.99								83	
		TOTAL																							151	39.32					233	60.68								384	
																															Elected										
																																									
Special Hospital Team 1                                        																																									
	FIRST			2	3.33		1	1.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	31.67		0	0.00		37	61.67		0	0.00		1	1.67		60	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	3.33		1	1.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	31.67		0	0.00		37	61.67					1	1.67		60	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	3.33		1	1.67					0	0.00		0	0.00		0	0.00		0	0.00		19	31.67		0	0.00		37	61.67					1	1.67		60	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	3.33		1	1.67								0	0.00		0	0.00		0	0.00		19	31.67		0	0.00		37	61.67					1	1.67		60	
	FIFTH				Excluded		1	50.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL					2	3.33								0	0.00		0	0.00		0	0.00		19	31.67		0	0.00		38	63.33					1	1.67		60	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					2	3.33								0	0.00					0	0.00		19	31.67		0	0.00		38	63.33					1	1.67		60	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					2	3.33								0	0.00								19	31.67		0	0.00		38	63.33					1	1.67		60	
	EIGHTH						0	0.00									Excluded								0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					2	3.33																	19	31.67		0	0.00		38	63.33					1	1.67		60	
	NINTH						1	100.00																	0	0.00		0	0.00		0	0.00						Excluded		1	
		TOTAL					3	5.00																	19	31.67		0	0.00		38	63.33								60	
	TENTH						0	0.00																	0	0.00			Excluded		0	0.00								0	
		TOTAL					3	5.00																	19	31.67					38	63.33								60	
	ELEVENTH							Excluded																	2	66.67					1	33.33								3	
		TOTAL																							21	35.00					39	65.00								60	
																															Elected										
																																									
Special Hospital Team 2                                        																																									
	FIRST			6	27.27		1	4.55		0	0.00		0	0.00		2	9.09		0	0.00		0	0.00		5	22.73		0	0.00		7	31.82		0	0.00		1	4.55		22	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	27.27		1	4.55		0	0.00		0	0.00		2	9.09		0	0.00		0	0.00		5	22.73		0	0.00		7	31.82					1	4.55		22	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	27.27		1	4.55					0	0.00		2	9.09		0	0.00		0	0.00		5	22.73		0	0.00		7	31.82					1	4.55		22	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	27.27		1	4.55								2	9.09		0	0.00		0	0.00		5	22.73		0	0.00		7	31.82					1	4.55		22	
	FIFTH				Excluded		6	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		6	
		TOTAL					7	31.82								2	9.09		0	0.00		0	0.00		5	22.73		0	0.00		7	31.82					1	4.55		22	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					7	31.82								2	9.09					0	0.00		5	22.73		0	0.00		7	31.82					1	4.55		22	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					7	31.82								2	9.09								5	22.73		0	0.00		7	31.82					1	4.55		22	
	EIGHTH						2	100.00									Excluded								0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					9	40.91																	5	22.73		0	0.00		7	31.82					1	4.55		22	
	NINTH						1	100.00																	0	0.00		0	0.00		0	0.00						Excluded		1	
		TOTAL					10	45.45																	5	22.73		0	0.00		7	31.82								22	
	TENTH						0	0.00																	0	0.00			Excluded		0	0.00								0	
		TOTAL					10	45.45																	5	22.73					7	31.82								22	
	ELEVENTH							Excluded																	9	90.00					1	10.00								10	
		TOTAL																							14	63.64					8	36.36								22	
																															Elected										
																																									
Special Hospital Team 3                                        																																									
	FIRST			8	7.55		4	3.77		0	0.00		0	0.00		0	0.00		1	0.94		1	0.94		26	24.53		0	0.00		65	61.32		0	0.00		1	0.94		106	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	7.55		4	3.77		0	0.00		0	0.00		0	0.00		1	0.94		1	0.94		26	24.53		0	0.00		65	61.32					1	0.94		106	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		8	7.55		4	3.77					0	0.00		0	0.00		1	0.94		1	0.94		26	24.53		0	0.00		65	61.32					1	0.94		106	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		8	7.55		4	3.77								0	0.00		1	0.94		1	0.94		26	24.53		0	0.00		65	61.32					1	0.94		106	
	FIFTH				Excluded		5	62.50								1	12.50		0	0.00		0	0.00		1	12.50		0	0.00		1	12.50					0	0.00		8	
		TOTAL					9	8.49								1	0.94		1	0.94		1	0.94		27	25.47		0	0.00		66	62.26					1	0.94		106	
	SIXTH						0	0.00								0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					9	8.49								1	0.94					2	1.89		27	25.47		0	0.00		66	62.26					1	0.94		106	
	SEVENTH						0	0.00								0	0.00						Excluded		1	50.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL					9	8.49								1	0.94								28	26.42		0	0.00		67	63.21					1	0.94		106	
	EIGHTH						0	0.00									Excluded								0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL					9	8.49																	28	26.42		0	0.00		68	64.15					1	0.94		106	
	NINTH						0	0.00																	0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL					9	8.49																	28	26.42		0	0.00		69	65.09								106	
	TENTH						0	0.00																	0	0.00			Excluded		0	0.00								0	
		TOTAL					9	8.49																	28	26.42					69	65.09								106	
	ELEVENTH							Excluded																	7	77.78					2	22.22								9	
		TOTAL																							35	33.02					71	66.98								106	
																															Elected										
																																									
Special Hospital Team 4                                        																																									
	FIRST			7	5.07		1	0.72		0	0.00		0	0.00		4	2.90		1	0.72		5	3.62		37	26.81		0	0.00		82	59.42		0	0.00		1	0.72		138	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	5.07		1	0.72		0	0.00		0	0.00		4	2.90		1	0.72		5	3.62		37	26.81		0	0.00		82	59.42					1	0.72		138	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		7	5.07		1	0.72					0	0.00		4	2.90		1	0.72		5	3.62		37	26.81		0	0.00		82	59.42					1	0.72		138	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		7	5.07		1	0.72								4	2.90		1	0.72		5	3.62		37	26.81		0	0.00		82	59.42					1	0.72		138	
	FIFTH				Excluded		5	71.43								0	0.00		0	0.00		1	14.29		0	0.00		0	0.00		1	14.29					0	0.00		7	
		TOTAL					6	4.35								4	2.90		1	0.72		6	4.35		37	26.81		0	0.00		83	60.14					1	0.72		138	
	SIXTH						0	0.00								0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					6	4.35								4	2.90					7	5.07		37	26.81		0	0.00		83	60.14					1	0.72		138	
	SEVENTH						0	0.00								0	0.00						Excluded		1	14.29		1	14.29		5	71.43					0	0.00		7	
		TOTAL					6	4.35								4	2.90								38	27.54		1	0.72		88	63.77					1	0.72		138	
	EIGHTH						2	50.00									Excluded								1	25.00		0	0.00		1	25.00					0	0.00		4	
		TOTAL					8	5.80																	39	28.26		1	0.72		89	64.49					1	0.72		138	
	NINTH						0	0.00																	0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL					8	5.80																	39	28.26		1	0.72		90	65.22								138	
	TENTH						0	0.00																	0	0.00			Excluded		1	100.00								1	
		TOTAL					8	5.80																	39	28.26					91	65.94								138	
	ELEVENTH							Excluded																	8	100.00					0	0.00								8	
		TOTAL																							47	34.06					91	65.94								138	
																															Elected										
																																									
Special Hospital Team 5                                        																																									
	FIRST			4	3.92		1	0.98		0	0.00		1	0.98		1	0.98		1	0.98		0	0.00		32	31.37		1	0.98		58	56.86		0	0.00		3	2.94		102	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	3.92		1	0.98		0	0.00		1	0.98		1	0.98		1	0.98		0	0.00		32	31.37		1	0.98		58	56.86					3	2.94		102	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		4	3.92		1	0.98					1	0.98		1	0.98		1	0.98		0	0.00		32	31.37		1	0.98		58	56.86					3	2.94		102	
	FOURTH			0	0.00		0	0.00						Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	3.92		1	0.98								2	1.96		1	0.98		0	0.00		32	31.37		1	0.98		58	56.86					3	2.94		102	
	FIFTH				Excluded		4	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					5	4.90								2	1.96		1	0.98		0	0.00		32	31.37		1	0.98		58	56.86					3	2.94		102	
	SIXTH						0	0.00								1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					5	4.90								3	2.94					0	0.00		32	31.37		1	0.98		58	56.86					3	2.94		102	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					5	4.90								3	2.94								32	31.37		1	0.98		58	56.86					3	2.94		102	
	EIGHTH						2	66.67									Excluded								0	0.00		0	0.00		1	33.33					0	0.00		3	
