House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Robertson																																									
				KENISCIEHAD			BOYLE			HENNIG			MORAN			MUNN			LLOYD			LACEY			WILLS			LAING-PEACH			BAKER			PHILLIPS			MARTIN				
	NINTH						1	9.09					0	0.00					9	81.82		1	9.09									Excluded								11	
		TOTAL					9	5.88					66	43.14					70	45.75		8	5.23																	153	
	TENTH						4	50.00					4	50.00					0	0.00			Excluded																	8	
		TOTAL					13	8.50					70	45.75					70	45.75																				153	
	ELEVENTH							Excluded					9	69.23					4	30.77																				13	
		TOTAL											79	51.63					74	48.37																				153	
																			Elected																						
																																									
Springfield                                                    																																									
	FIRST			15	0.88		65	3.83		29	1.71		657	38.67		9	0.53		792	46.62		46	2.71		11	0.65		14	0.82		40	2.35		17	1.00		4	0.24		1699	
	SECOND			0	0.00		1	25.00		0	0.00		2	50.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		4	
		TOTAL		15	0.88		66	3.88		29	1.71		659	38.79		9	0.53		793	46.67		46	2.71		11	0.65		14	0.82		40	2.35		17	1.00					1699	
	THIRD			1	11.11		0	0.00		0	0.00		2	22.22			Excluded		2	22.22		0	0.00		0	0.00		1	11.11		0	0.00		3	33.33					9	
		TOTAL		16	0.94		66	3.88		29	1.71		661	38.91					795	46.79		46	2.71		11	0.65		15	0.88		40	2.35		20	1.18					1699	
	FOURTH			0	0.00		1	5.00		1	5.00		8	40.00					2	10.00		0	0.00		1	5.00		4	20.00		3	15.00			Excluded					20	
		TOTAL		16	0.94		67	3.94		30	1.77		669	39.38					797	46.91		46	2.71		12	0.71		19	1.12		43	2.53								1699	
	FIFTH			3	15.79		1	5.26		0	0.00		2	10.53					2	10.53		2	10.53		5	26.32			Excluded		4	21.05								19	
		TOTAL		19	1.12		68	4.00		30	1.77		671	39.49					799	47.03		48	2.83		17	1.00					47	2.77								1699	
	SIXTH				Excluded		6	31.58		0	0.00		2	10.53					1	5.26		2	10.53		8	42.11					0	0.00								19	
		TOTAL					74	4.36		30	1.77		673	39.61					800	47.09		50	2.94		25	1.47					47	2.77								1699	
	SEVENTH						1	4.00		0	0.00		3	12.00					6	24.00		5	20.00			Excluded					10	40.00								25	
		TOTAL					75	4.41		30	1.77		676	39.79					806	47.44		55	3.24								57	3.35								1699	
	EIGHTH						7	23.33			Excluded		5	16.67					15	50.00		1	3.33								2	6.67								30	
		TOTAL					82	4.83					681	40.08					821	48.32		56	3.30								59	3.47								1699	
	NINTH						13	22.03					12	20.34					16	27.12		18	30.51									Excluded								59	
		TOTAL					95	5.59					693	40.79					837	49.26		74	4.36																	1699	
	TENTH						28	37.84					25	33.78					21	28.38			Excluded																	74	
		TOTAL					123	7.24					718	42.26					858	50.50																				1699	
	ELEVENTH							Excluded					95	77.24					28	22.76																				123	
		TOTAL											813	47.85					886	52.15																				1699	
																			Elected																						
																																									
Sydney (Robertson)                                             																																									
	FIRST			1	1.22		2	2.44		1	1.22		23	28.05		1	1.22		41	50.00		7	8.54		0	0.00		1	1.22		4	4.88		0	0.00		1	1.22		82	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		1	1.22		2	2.44		1	1.22		23	28.05		1	1.22		41	50.00		8	9.76		0	0.00		1	1.22		4	4.88		0	0.00					82	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	
		TOTAL		1	1.22		2	2.44		2	2.44		23	28.05					41	50.00		8	9.76		0	0.00		1	1.22		4	4.88		0	0.00					82	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		1	1.22		2	2.44		2	2.44		23	28.05					41	50.00		8	9.76		0	0.00		1	1.22		4	4.88								82	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00			Excluded		0	0.00								1	
		TOTAL		1	1.22		2	2.44		2	2.44		23	28.05					41	50.00		8	9.76		1	1.22					4	4.88								82	
	SIXTH				Excluded		0	0.00		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00					0	0.00								1	
		TOTAL					2	2.44		2	2.44		24	29.27					41	50.00		8	9.76		1	1.22					4	4.88								82	
	SEVENTH						0	0.00		0	0.00		0	0.00					0	0.00		1	100.00			Excluded					0	0.00								1	
		TOTAL					2	2.44		2	2.44		24	29.27					41	50.00		9	10.98								4	4.88								82	
	EIGHTH						0	0.00			Excluded		1	50.00					0	0.00		0	0.00								1	50.00								2	
		TOTAL					2	2.44					25	30.49					41	50.00		9	10.98								5	6.10								82	
	NINTH						1	20.00					2	40.00					1	20.00		1	20.00									Excluded								5	
		TOTAL					3	3.66					27	32.93					42	51.22		10	12.20																	82	
	TENTH						6	60.00					3	30.00					1	10.00			Excluded																	10	
		TOTAL					9	10.98					30	36.59					43	52.44																				82	
	ELEVENTH							Excluded					7	77.78					2	22.22																				9	
		TOTAL											37	45.12					45	54.88																				82	
																			Elected																						
																																									
Terrigal (Robertson)                                           																																									
	FIRST			16	0.69		112	4.81		38	1.63		611	26.22		16	0.69		1342	57.60		118	5.06		21	0.90		14	0.60		33	1.42		6	0.26		3	0.13		2330	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		3	
		TOTAL		16	0.69		112	4.81		38	1.63		612	26.27		16	0.69		1342	57.60		118	5.06		22	0.94		14	0.60		33	1.42		7	0.30					2330	
	THIRD			2	12.50		0	0.00		0	0.00		5	31.25			Excluded		1	6.25		2	12.50		2	12.50		1	6.25		0	0.00		3	18.75					16	
		TOTAL		18	0.77		112	4.81		38	1.63		617	26.48					1343	57.64		120	5.15		24	1.03		15	0.64		33	1.42		10	0.43					2330	
	FOURTH			0	0.00		0	0.00		2	20.00		3	30.00					0	0.00		1	10.00		1	10.00		1	10.00		2	20.00			Excluded					10	
		TOTAL		18	0.77		112	4.81		40	1.72		620	26.61					1343	57.64		121	5.19		25	1.07		16	0.69		35	1.50								2330	
	FIFTH			4	25.00		0	0.00		0	0.00		3	18.75					5	31.25		2	12.50		2	12.50			Excluded		0	0.00								16	
		TOTAL		22	0.94		112	4.81		40	1.72		623	26.74					1348	57.85		123	5.28		27	1.16					35	1.50								2330	
	SIXTH				Excluded		10	45.45		1	4.55		2	9.09					2	9.09		3	13.64		3	13.64					1	4.55								22	
		TOTAL					122	5.24		41	1.76		625	26.82					1350	57.94		126	5.41		30	1.29					36	1.55								2330	
	SEVENTH						6	20.00		0	0.00		4	13.33					1	3.33		8	26.67			Excluded					11	36.67								30	
		TOTAL					128	5.49		41	1.76		629	27.00					1351	57.98		134	5.75								47	2.02								2330	
	EIGHTH						5	12.20			Excluded		2	4.88					24	58.54		10	24.39								0	0.00								41	
		TOTAL					133	5.71					631	27.08					1375	59.01		144	6.18								47	2.02								2330	
	NINTH						5	10.64					7	14.89					15	31.91		20	42.55									Excluded								47	
		TOTAL					138	5.92					638	27.38					1390	59.66		164	7.04																	2330	
	TENTH						74	45.12					56	34.15					34	20.73			Excluded																	164	
		TOTAL					212	9.10					694	29.79					1424	61.12																				2330	
	ELEVENTH							Excluded					154	72.64					58	27.36																				212	
		TOTAL											848	36.39					1482	63.61																				2330	
																			Elected																						
																																									
Terrigal Central                                               																																									
	FIRST			7	1.13		32	5.19		5	0.81		155	25.12		0	0.00		385	62.40		19	3.08		5	0.81		3	0.49		4	0.65		2	0.32		0	0.00		617	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		7	1.13		32	5.19		5	0.81		155	25.12		0	0.00		385	62.40		19	3.08		5	0.81		3	0.49		4	0.65		2	0.32					617	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		7	1.13		32	5.19		5	0.81		155	25.12					385	62.40		19	3.08		5	0.81		3	0.49		4	0.65		2	0.32					617	
	FOURTH			0	0.00		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					2	
		TOTAL		7	1.13		34	5.51		5	0.81		155	25.12					385	62.40		19	3.08		5	0.81		3	0.49		4	0.65								617	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					2	66.67		0	0.00		1	33.33			Excluded		0	0.00								3	
		TOTAL		7	1.13		34	5.51		5	0.81		155	25.12					387	62.72		19	3.08		6	0.97					4	0.65								617	
	SIXTH				Excluded		4	57.14		0	0.00		0	0.00					0	0.00		1	14.29		2	28.57					0	0.00								7	
		TOTAL					38	6.16		5	0.81		155	25.12					387	62.72		20	3.24		8	1.30					4	0.65								617	
	SEVENTH						2	25.00		1	12.50		0	0.00					3	37.50		2	25.00			Excluded					0	0.00								8	
		TOTAL					40	6.48		6	0.97		155	25.12					390	63.21		22	3.57								4	0.65								617	
	EIGHTH						1	16.67			Excluded		1	16.67					4	66.67		0	0.00								0	0.00								6	
		TOTAL					41	6.65					156	25.28					394	63.86		22	3.57								4	0.65								617	
	NINTH						1	25.00					0	0.00					2	50.00		1	25.00									Excluded								4	
		TOTAL					42	6.81					156	25.28					396	64.18		23	3.73																	617	
	TENTH						6	26.09					11	47.83					6	26.09			Excluded																	23	
		TOTAL					48	7.78					167	27.07					402	65.15																				617	
	ELEVENTH							Excluded					39	81.25					9	18.75																				48	
		TOTAL											206	33.39					411	66.61																				617	
																			Elected																						
																																									
Terrigal West                                                  																																									
	FIRST			7	0.72		29	2.96		12	1.23		248	25.33		3	0.31		631	64.45		28	2.86		2	0.20		6	0.61		11	1.12		0	0.00		2	0.20		979	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		7	0.72		30	3.06		12	1.23		248	25.33		4	0.41		631	64.45		28	2.86		2	0.20		6	0.61		11	1.12		0	0.00					979	
	THIRD			0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		2	50.00		0	0.00		1	25.00		0	0.00		0	0.00					4	
		TOTAL		7	0.72		30	3.06		12	1.23		249	25.43					631	64.45		30	3.06		2	0.20		7	0.72		11	1.12		0	0.00					979	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		7	0.72		30	3.06		12	1.23		249	25.43					631	64.45		30	3.06		2	0.20		7	0.72		11	1.12								979	
	FIFTH			2	28.57		0	0.00		0	0.00		3	42.86					0	0.00		0	0.00		2	28.57			Excluded		0	0.00								7	
		TOTAL		9	0.92		30	3.06		12	1.23		252	25.74					631	64.45		30	3.06		4	0.41					11	1.12								979	
	SIXTH				Excluded		5	55.56		1	11.11		0	0.00					1	11.11		1	11.11		1	11.11					0	0.00								9	
		TOTAL					35	3.58		13	1.33		252	25.74					632	64.56		31	3.17		5	0.51					11	1.12								979	
	SEVENTH						1	20.00		0	0.00		0	0.00					1	20.00		1	20.00			Excluded					2	40.00								5	
		TOTAL					36	3.68		13	1.33		252	25.74					633	64.66		32	3.27								13	1.33								979	
	EIGHTH						1	7.69			Excluded		6	46.15					6	46.15		0	0.00								0	0.00								13	
		TOTAL					37	3.78					258	26.35					639	65.27		32	3.27								13	1.33								979	
	NINTH						2	15.38					0	0.00					7	53.85		4	30.77									Excluded								13	
		TOTAL					39	3.98					258	26.35					646	65.99		36	3.68																	979	
	TENTH						12	33.33					17	47.22					7	19.44			Excluded																	36	
		TOTAL					51	5.21					275	28.09					653	66.70																				979	
	ELEVENTH							Excluded					37	72.55					14	27.45																				51	
		TOTAL											312	31.87					667	68.13																				979	
																			Elected																						
																																									
Umina Bullion St.                                              																																									
	FIRST			13	0.83		27	1.72		16	1.02		700	44.56		4	0.25		696	44.30		34	2.16		12	0.76		13	0.83		49	3.12		5	0.32		2	0.13		1571	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		13	0.83		27	1.72		16	1.02		700	44.56		4	0.25		696	44.30		34	2.16		14	0.89		13	0.83		49	3.12		5	0.32					1571	
	THIRD			0	0.00		0	0.00		0	0.00		3	75.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00					4	
		TOTAL		13	0.83		27	1.72		16	1.02		703	44.75					696	44.30		35	2.23		14	0.89		13	0.83		49	3.12		5	0.32					1571	
	FOURTH			1	20.00		0	0.00		1	20.00		1	20.00					0	0.00		1	20.00		0	0.00		0	0.00		1	20.00			Excluded					5	
		TOTAL		14	0.89		27	1.72		17	1.08		704	44.81					696	44.30		36	2.29		14	0.89		13	0.83		50	3.18								1571	
	FIFTH			2	15.38		0	0.00		1	7.69		5	38.46					0	0.00		1	7.69		2	15.38			Excluded		2	15.38								13	
		TOTAL		16	1.02		27	1.72		18	1.15		709	45.13					696	44.30		37	2.36		16	1.02					52	3.31								1571	
	SIXTH				Excluded		11	68.75		2	12.50		1	6.25					0	0.00		0	0.00		2	12.50					0	0.00								16	
		TOTAL					38	2.42		20	1.27		710	45.19					696	44.30		37	2.36		18	1.15					52	3.31								1571	
	SEVENTH						1	5.56		0	0.00		4	22.22					4	22.22		3	16.67			Excluded					6	33.33								18	
		TOTAL					39	2.48		20	1.27		714	45.45					700	44.56		40	2.55								58	3.69								1571	
	EIGHTH						2	10.00			Excluded		2	10.00					12	60.00		2	10.00								2	10.00								20	
		TOTAL					41	2.61					716	45.58					712	45.32		42	2.67								60	3.82								1571	
	NINTH						7	11.67					11	18.33					23	38.33		19	31.67									Excluded								60	
		TOTAL					48	3.06					727	46.28					735	46.79		61	3.88																	1571	
	TENTH						27	44.26					21	34.43					13	21.31			Excluded																	61	
		TOTAL					75	4.77					748	47.61					748	47.61																				1571	
	ELEVENTH							Excluded					52	69.33					23	30.67																				75	
		TOTAL											800	50.92					771	49.08																				1571	
																			Elected																						
																																									
Umina Central                                                  																																									
	FIRST			15	0.72		64	3.09		24	1.16		854	41.28		5	0.24		904	43.69		63	3.04		14	0.68		27	1.30		88	4.25		9	0.43		2	0.10		2069	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		15	0.72		64	3.09		24	1.16		854	41.28		5	0.24		905	43.74		63	3.04		14	0.68		28	1.35		88	4.25		9	0.43					2069	
	THIRD			0	0.00		0	0.00		1	20.00		0	0.00			Excluded		2	40.00		1	20.00		0	0.00		1	20.00		0	0.00		0	0.00					5	
		TOTAL		15	0.72		64	3.09		25	1.21		854	41.28					907	43.84		64	3.09		14	0.68		29	1.40		88	4.25		9	0.43					2069	
	FOURTH			0	0.00		0	0.00		0	0.00		6	66.67					0	0.00		1	11.11		2	22.22		0	0.00		0	0.00			Excluded					9	
		TOTAL		15	0.72		64	3.09		25	1.21		860	41.57					907	43.84		65	3.14		16	0.77		29	1.40		88	4.25								2069	
	FIFTH			7	24.14		2	6.90		0	0.00		7	24.14					5	17.24		2	6.90		2	6.90			Excluded		4	13.79								29	
		TOTAL		22	1.06		66	3.19		25	1.21		867	41.90					912	44.08		67	3.24		18	0.87					92	4.45								2069	
	SIXTH				Excluded		13	59.09		1	4.55		3	13.64					1	4.55		1	4.55		2	9.09					1	4.55								22	
		TOTAL					79	3.82		26	1.26		870	42.05					913	44.13		68	3.29		20	0.97					93	4.49								2069	
	SEVENTH						3	15.00		1	5.00		2	10.00					1	5.00		5	25.00			Excluded					8	40.00								20	
		TOTAL					82	3.96		27	1.30		872	42.15					914	44.18		73	3.53								101	4.88								2069	
	EIGHTH						4	14.81			Excluded		2	7.41					18	66.67		2	7.41								1	3.70								27	
		TOTAL					86	4.16					874	42.24					932	45.05		75	3.62								102	4.93								2069	
	NINTH						10	9.80					34	33.33					38	37.25		20	19.61									Excluded								102	
		TOTAL					96	4.64					908	43.89					970	46.88		95	4.59																	2069	
	TENTH						43	45.26					29	30.53					23	24.21			Excluded																	95	
		TOTAL					139	6.72					937	45.29					993	47.99																				2069	
	ELEVENTH							Excluded					110	79.14					29	20.86																				139	
		TOTAL											1047	50.60					1022	49.40																				2069	
																			Elected																						
																																									
Umina Mall                                                     																																									
	FIRST			22	1.21		58	3.18		12	0.66		756	41.49		8	0.44		785	43.08		52	2.85		9	0.49		15	0.82		89	4.88		10	0.55		6	0.33		1822	
	SECOND			0	0.00		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		4	66.67			Excluded		6	
		TOTAL		22	1.21		58	3.18		13	0.71		756	41.49		8	0.44		785	43.08		53	2.91		9	0.49		15	0.82		89	4.88		14	0.77					1822	
	THIRD			1	12.50		0	0.00		1	12.50		0	0.00			Excluded		1	12.50		1	12.50		2	25.00		1	12.50		0	0.00		1	12.50					8	
		TOTAL		23	1.26		58	3.18		14	0.77		756	41.49					786	43.14		54	2.96		11	0.60		16	0.88		89	4.88		15	0.82					1822	
	FOURTH			0	0.00		0	0.00		0	0.00		4	26.67					0	0.00		2	13.33		0	0.00		0	0.00		9	60.00			Excluded					15	
		TOTAL		23	1.26		58	3.18		14	0.77		760	41.71					786	43.14		56	3.07		11	0.60		16	0.88		98	5.38								1822	
	FIFTH			1	6.25		0	0.00		0	0.00		1	6.25					2	12.50		2	12.50		7	43.75			Excluded		3	18.75								16	
		TOTAL		24	1.32		58	3.18		14	0.77		761	41.77					788	43.25		58	3.18		18	0.99					101	5.54								1822	
	SIXTH				Excluded		15	62.50		3	12.50		2	8.33					1	4.17		0	0.00		3	12.50					0	0.00								24	
		TOTAL					73	4.01		17	0.93		763	41.88					789	43.30		58	3.18		21	1.15					101	5.54								1822	
	SEVENTH						5	23.81		3	14.29		6	28.57					0	0.00		2	9.52			Excluded					5	23.81								21	
		TOTAL					78	4.28		20	1.10		769	42.21					789	43.30		60	3.29								106	5.82								1822	
	EIGHTH						6	30.00			Excluded		4	20.00					9	45.00		1	5.00								0	0.00								20	
		TOTAL					84	4.61					773	42.43					798	43.80		61	3.35								106	5.82								1822	
	NINTH						11	10.38					21	19.81					58	54.72		16	15.09									Excluded								106	
		TOTAL					95	5.21					794	43.58					856	46.98		77	4.23																	1822	
	TENTH						27	35.06					25	32.47					25	32.47			Excluded																	77	
		TOTAL					122	6.70					819	44.95					881	48.35																				1822	
	ELEVENTH							Excluded					100	81.97					22	18.03																				122	
		TOTAL											919	50.44					903	49.56																				1822	
																			Elected																						
																																									
Woy Woy                                                        																																									
	FIRST			21	0.72		78	2.68		38	1.31		1140	39.18		27	0.93		1294	44.47		75	2.58		17	0.58		25	0.86		168	5.77		24	0.82		3	0.10		2910	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00			Excluded		3	
		TOTAL		22	0.76		78	2.68		38	1.31		1140	39.18		27	0.93		1294	44.47		75	2.58		17	0.58		25	0.86		170	5.84		24	0.82					2910	
	THIRD			3	11.11		1	3.70		1	3.70		3	11.11			Excluded		3	11.11		2	7.41		1	3.70		1	3.70		3	11.11		9	33.33					27	
		TOTAL		25	0.86		79	2.71		39	1.34		1143	39.28					1297	44.57		77	2.65		18	0.62		26	0.89		173	5.95		33	1.13					2910	
	FOURTH			3	9.09		1	3.03		9	27.27		10	30.30					2	6.06		3	9.09		2	6.06		0	0.00		3	9.09			Excluded					33	
		TOTAL		28	0.96		80	2.75		48	1.65		1153	39.62					1299	44.64		80	2.75		20	0.69		26	0.89		176	6.05								2910	
	FIFTH			3	11.54		0	0.00		1	3.85		9	34.62					7	26.92		1	3.85		2	7.69			Excluded		3	11.54								26	
		TOTAL		31	1.07		80	2.75		49	1.68		1162	39.93					1306	44.88		81	2.78		22	0.76					179	6.15								2910	
	SIXTH				Excluded		20	64.52		2	6.45		1	3.23					1	3.23		0	0.00		6	19.35					1	3.23								31	
		TOTAL					100	3.44		51	1.75		1163	39.97					1307	44.91		81	2.78		28	0.96					180	6.19								2910	
	SEVENTH						5	17.86		0	0.00		5	17.86					2	7.14		10	35.71			Excluded					6	21.43								28	
		TOTAL					105	3.61		51	1.75		1168	40.14					1309	44.98		91	3.13								186	6.39								2910	
	EIGHTH						8	15.69			Excluded		8	15.69					21	41.18		11	21.57								3	5.88								51	
		TOTAL					113	3.88					1176	40.41					1330	45.70		102	3.51								189	6.49								2910	
	NINTH						22	11.64					30	15.87					102	53.97		35	18.52									Excluded								189	
		TOTAL					135	4.64					1206	41.44					1432	49.21		137	4.71																	2910	
	TENTH						62	45.26					46	33.58					29	21.17			Excluded																	137	
		TOTAL					197	6.77					1252	43.02					1461	50.21																				2910	
	ELEVENTH							Excluded					152	77.16					45	22.84																				197	
		TOTAL											1404	48.25					1506	51.75																				2910	
																			Elected																						
																																									
Woy Woy Bay                                                    																																									
	FIRST			1	0.41		15	6.10		2	0.81		74	30.08		2	0.81		122	49.59		18	7.32		3	1.22		2	0.81		5	2.03		1	0.41		1	0.41		246	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		1	0.41		15	6.10		2	0.81		74	30.08		2	0.81		123	50.00		18	7.32		3	1.22		2	0.81		5	2.03		1	0.41					246	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		1	0.41		15	6.10		2	0.81		74	30.08					124	50.41		19	7.72		3	1.22		2	0.81		5	2.03		1	0.41					246	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded					1	
		TOTAL		1	0.41		15	6.10		2	0.81		74	30.08					124	50.41		19	7.72		3	1.22		2	0.81		6	2.44								246	
	FIFTH			0	0.00		0	0.00		0	0.00		1	50.00					1	50.00		0	0.00		0	0.00			Excluded		0	0.00								2	
		TOTAL		1	0.41		15	6.10		2	0.81		75	30.49					125	50.81		19	7.72		3	1.22					6	2.44								246	
	SIXTH				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00								1	
		TOTAL					16	6.50		2	0.81		75	30.49					125	50.81		19	7.72		3	1.22					6	2.44								246	
	SEVENTH						0	0.00		0	0.00		1	33.33					1	33.33		0	0.00			Excluded					1	33.33								3	
		TOTAL					16	6.50		2	0.81		76	30.89					126	51.22		19	7.72								7	2.85								246	
	EIGHTH						0	0.00			Excluded		0	0.00					0	0.00		2	100.00								0	0.00								2	
		TOTAL					16	6.50					76	30.89					126	51.22		21	8.54								7	2.85								246	
	NINTH						1	14.29					1	14.29					3	42.86		2	28.57									Excluded								7	
		TOTAL					17	6.91					77	31.30					129	52.44		23	9.35																	246	
	TENTH						12	52.17					8	34.78					3	13.04			Excluded																	23	
		TOTAL					29	11.79					85	34.55					132	53.66																				246	
	ELEVENTH							Excluded					16	55.17					13	44.83																				29	
		TOTAL											101	41.06					145	58.94																				246	
																			Elected																						
																																									
Woy Woy South                                                  																																									
	FIRST			11	1.02		40	3.70		12	1.11		449	41.54		6	0.56		459	42.46		28	2.59		16	1.48		3	0.28		51	4.72		3	0.28		3	0.28		1081	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		3	
		TOTAL		11	1.02		40	3.70		12	1.11		449	41.54		6	0.56		460	42.55		28	2.59		16	1.48		3	0.28		51	4.72		5	0.46					1081	
	THIRD			0	0.00		1	16.67		0	0.00		2	33.33			Excluded		0	0.00		0	0.00		1	16.67		1	16.67		1	16.67		0	0.00					6	
		TOTAL		11	1.02		41	3.79		12	1.11		451	41.72					460	42.55		28	2.59		17	1.57		4	0.37		52	4.81		5	0.46					1081	
	FOURTH			0	0.00		0	0.00		1	20.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		4	80.00			Excluded					5	
		TOTAL		11	1.02		41	3.79		13	1.20		451	41.72					460	42.55		28	2.59		17	1.57		4	0.37		56	5.18								1081	
	FIFTH			0	0.00		1	25.00		0	0.00		0	0.00					1	25.00		0	0.00		2	50.00			Excluded		0	0.00								4	
		TOTAL		11	1.02		42	3.89		13	1.20		451	41.72					461	42.65		28	2.59		19	1.76					56	5.18								1081	
	SIXTH				Excluded		9	81.82		1	9.09		0	0.00					0	0.00		0	0.00		1	9.09					0	0.00								11	
		TOTAL					51	4.72		14	1.30		451	41.72					461	42.65		28	2.59		20	1.85					56	5.18								1081	
	SEVENTH						3	15.00		3	15.00		5	25.00					3	15.00		3	15.00			Excluded					3	15.00								20	
		TOTAL					54	5.00		17	1.57		456	42.18					464	42.92		31	2.87								59	5.46								1081	
	EIGHTH						5	29.41			Excluded		2	11.76					7	41.18		2	11.76								1	5.88								17	
		TOTAL					59	5.46					458	42.37					471	43.57		33	3.05								60	5.55								1081	
	NINTH						3	5.00					11	18.33					24	40.00		22	36.67									Excluded								60	
		TOTAL					62	5.74					469	43.39					495	45.79		55	5.09																	1081	
	TENTH						30	54.55					14	25.45					11	20.00			Excluded																	55	
		TOTAL					92	8.51					483	44.68					506	46.81																				1081	
	ELEVENTH							Excluded					73	79.35					19	20.65																				92	
		TOTAL											556	51.43					525	48.57																				1081	
																			Elected																						
																																									
Wyoming (Robertson)                                            																																									
	FIRST			13	1.06		71	5.81		26	2.13		442	36.14		6	0.49		557	45.54		40	3.27		9	0.74		10	0.82		35	2.86		10	0.82		4	0.33		1223	
	SECOND			0	0.00		0	0.00		1	25.00		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00		0	0.00			Excluded		4	
		TOTAL		13	1.06		71	5.81		27	2.21		443	36.22		6	0.49		557	45.54		41	3.35		9	0.74		11	0.90		35	2.86		10	0.82					1223	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	16.67		2	33.33		2	33.33		1	16.67		0	0.00					6	
		TOTAL		13	1.06		71	5.81		27	2.21		443	36.22					557	45.54		42	3.43		11	0.90		13	1.06		36	2.94		10	0.82					1223	
	FOURTH			2	20.00		0	0.00		0	0.00		3	30.00					0	0.00		1	10.00		1	10.00		0	0.00		3	30.00			Excluded					10	
		TOTAL		15	1.23		71	5.81		27	2.21		446	36.47					557	45.54		43	3.52		12	0.98		13	1.06		39	3.19								1223	
	FIFTH			0	0.00		2	15.38		0	0.00		1	7.69					2	15.38		3	23.08		4	30.77			Excluded		1	7.69								13	
		TOTAL		15	1.23		73	5.97		27	2.21		447	36.55					559	45.71		46	3.76		16	1.31					40	3.27								1223	
	SIXTH				Excluded		7	46.67		1	6.67		1	6.67					3	20.00		1	6.67		2	13.33					0	0.00								15	
		TOTAL					80	6.54		28	2.29		448	36.63					562	45.95		47	3.84		18	1.47					40	3.27								1223	
	SEVENTH						6	33.33		1	5.56		2	11.11					6	33.33		1	5.56			Excluded					2	11.11								18	
		TOTAL					86	7.03		29	2.37		450	36.79					568	46.44		48	3.92								42	3.43								1223	
	EIGHTH						5	17.24			Excluded		4	13.79					18	62.07		2	6.90								0	0.00								29	
		TOTAL					91	7.44					454	37.12					586	47.91		50	4.09								42	3.43								1223	
