House of Representatives - 2001 Election: New South Wales																																						
Distribution of Preferences																																						
By Polling Place																																						
																																						
Richmond																																						
				NATHAN			ANTHONY			PENHALIGON			MCALLISTER			FAULKNER			BARHAM			PENIAZEV			BALK			JEFFERYS			ROLFE			SIMPSON				
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		12	1.76		354	51.98		4	0.59		218	32.01		1	0.15		23	3.38					23	3.38		9	1.32		36	5.29		1	0.15		681	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		12	1.76		354	51.98		5	0.73		218	32.01					23	3.38					23	3.38		9	1.32		36	5.29		1	0.15		681	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		12	1.76		354	51.98		5	0.73		218	32.01					23	3.38					23	3.38		10	1.47		36	5.29					681	
	FIFTH			0	0.00		3	60.00			Excluded		1	20.00					0	0.00					1	20.00		0	0.00		0	0.00					5	
		TOTAL		12	1.76		357	52.42					219	32.16					23	3.38					24	3.52		10	1.47		36	5.29					681	
	SIXTH			0	0.00		1	10.00					2	20.00					5	50.00					1	10.00			Excluded		1	10.00					10	
		TOTAL		12	1.76		358	52.57					221	32.45					28	4.11					25	3.67					37	5.43					681	
	SEVENTH				Excluded		9	75.00					1	8.33					0	0.00					2	16.67					0	0.00					12	
		TOTAL					367	53.89					222	32.60					28	4.11					27	3.96					37	5.43					681	
	EIGHTH						3	11.11					11	40.74					8	29.63						Excluded					5	18.52					27	
		TOTAL					370	54.33					233	34.21					36	5.29											42	6.17					681	
	NINTH						17	40.48					12	28.57					13	30.95												Excluded					42	
		TOTAL					387	56.83					245	35.98					49	7.20																	681	
	TENTH						10	20.41					39	79.59						Excluded																	49	
		TOTAL					397	58.30					284	41.70																							681	
							Elected																															
																																						
Pottsville Beach                                               																																						
	FIRST			16	0.98		695	42.38		4	0.24		655	39.94		2	0.12		97	5.91		3	0.18		43	2.62		12	0.73		108	6.59		5	0.30		1640	
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		3	
		TOTAL		16	0.98		695	42.38		4	0.24		657	40.06		2	0.12		97	5.91					43	2.62		12	0.73		109	6.65		5	0.30		1640	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00					1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		16	0.98		695	42.38		4	0.24		658	40.12					97	5.91					44	2.68		12	0.73		109	6.65		5	0.30		1640	
	FOURTH			1	20.00		0	0.00		0	0.00		1	20.00					0	0.00					0	0.00		0	0.00		3	60.00			Excluded		5	
		TOTAL		17	1.04		695	42.38		4	0.24		659	40.18					97	5.91					44	2.68		12	0.73		112	6.83					1640	
	FIFTH			0	0.00		3	75.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		1	25.00					4	
		TOTAL		17	1.04		698	42.56					659	40.18					97	5.91					44	2.68		12	0.73		113	6.89					1640	
	SIXTH			1	8.33		2	16.67					1	8.33					3	25.00					0	0.00			Excluded		5	41.67					12	
		TOTAL		18	1.10		700	42.68					660	40.24					100	6.10					44	2.68					118	7.20					1640	
	SEVENTH				Excluded		11	61.11					4	22.22					1	5.56					0	0.00					2	11.11					18	
		TOTAL					711	43.35					664	40.49					101	6.16					44	2.68					120	7.32					1640	
	EIGHTH						7	15.91					12	27.27					22	50.00						Excluded					3	6.82					44	
		TOTAL					718	43.78					676	41.22					123	7.50											123	7.50					1640	
	NINTH						75	60.98					26	21.14					22	17.89												Excluded					123	
		TOTAL					793	48.35					702	42.80					145	8.84																	1640	
	TENTH						28	19.31					117	80.69						Excluded																	145	
		TOTAL					821	50.06					819	49.94																							1640	
							Elected																															
																																						
Rous                                                           																																						
	FIRST			2	0.98		137	66.83		2	0.98		35	17.07		1	0.49		8	3.90		1	0.49		7	3.41		1	0.49		10	4.88		1	0.49		205	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	0.98		137	66.83		3	1.46		35	17.07		1	0.49		8	3.90					7	3.41		1	0.49		10	4.88		1	0.49		205	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		2	0.98		137	66.83		3	1.46		35	17.07					8	3.90					7	3.41		2	0.98		10	4.88		1	0.49		205	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		3	1.46		137	66.83		3	1.46		35	17.07					8	3.90					7	3.41		2	0.98		10	4.88					205	
	FIFTH			2	66.67		1	33.33			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					3	
		TOTAL		5	2.44		138	67.32					35	17.07					8	3.90					7	3.41		2	0.98		10	4.88					205	
	SIXTH			0	0.00		1	50.00					0	0.00					1	50.00					0	0.00			Excluded		0	0.00					2	
		TOTAL		5	2.44		139	67.80					35	17.07					9	4.39					7	3.41					10	4.88					205	
	SEVENTH				Excluded		3	60.00					0	0.00					2	40.00					0	0.00					0	0.00					5	
		TOTAL					142	69.27					35	17.07					11	5.37					7	3.41					10	4.88					205	
	EIGHTH						4	57.14					1	14.29					1	14.29						Excluded					1	14.29					7	
		TOTAL					146	71.22					36	17.56					12	5.85											11	5.37					205	
	NINTH						6	54.55					2	18.18					3	27.27												Excluded					11	
		TOTAL					152	74.15					38	18.54					15	7.32																	205	
	TENTH						6	40.00					9	60.00						Excluded																	15	
		TOTAL					158	77.07					47	22.93																							205	
							Elected																															
																																						
Stokers Siding                                                 																																						
	FIRST			5	1.63		125	40.72		3	0.98		119	38.76		1	0.33		27	8.79		0	0.00		13	4.23		7	2.28		7	2.28		0	0.00		307	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		5	1.63		125	40.72		3	0.98		119	38.76		1	0.33		27	8.79					13	4.23		7	2.28		7	2.28		0	0.00		307	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		5	1.63		125	40.72		3	0.98		119	38.76					27	8.79					13	4.23		8	2.61		7	2.28		0	0.00		307	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		5	1.63		125	40.72		3	0.98		119	38.76					27	8.79					13	4.23		8	2.61		7	2.28					307	
	FIFTH			0	0.00		1	33.33			Excluded		1	33.33					1	33.33					0	0.00		0	0.00		0	0.00					3	
		TOTAL		5	1.63		126	41.04					120	39.09					28	9.12					13	4.23		8	2.61		7	2.28					307	
	SIXTH			1	12.50		0	0.00					1	12.50					5	62.50					0	0.00			Excluded		1	12.50					8	
		TOTAL		6	1.95		126	41.04					121	39.41					33	10.75					13	4.23					8	2.61					307	
	SEVENTH				Excluded		0	0.00					2	33.33					3	50.00					0	0.00					1	16.67					6	
		TOTAL					126	41.04					123	40.07					36	11.73					13	4.23					9	2.93					307	
	EIGHTH						3	23.08					4	30.77					6	46.15						Excluded					0	0.00					13	
		TOTAL					129	42.02					127	41.37					42	13.68											9	2.93					307	
	NINTH						3	33.33					0	0.00					6	66.67												Excluded					9	
		TOTAL					132	43.00					127	41.37					48	15.64																	307	
	TENTH						4	8.33					44	91.67						Excluded																	48	
		TOTAL					136	44.30					171	55.70																							307	
							Elected																															
																																						
Sydney (Richmond)                                              																																						
	FIRST			1	6.25		3	18.75		0	0.00		7	43.75		0	0.00		1	6.25		0	0.00		3	18.75		1	6.25		0	0.00		0	0.00		16	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	6.25		3	18.75		0	0.00		7	43.75		0	0.00		1	6.25					3	18.75		1	6.25		0	0.00		0	0.00		16	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	6.25		3	18.75		0	0.00		7	43.75					1	6.25					3	18.75		1	6.25		0	0.00		0	0.00		16	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		1	6.25		3	18.75		0	0.00		7	43.75					1	6.25					3	18.75		1	6.25		0	0.00					16	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					0	
		TOTAL		1	6.25		3	18.75					7	43.75					1	6.25					3	18.75		1	6.25		0	0.00					16	
	SIXTH			0	0.00		0	0.00					0	0.00					1	100.00					0	0.00			Excluded		0	0.00					1	
		TOTAL		1	6.25		3	18.75					7	43.75					2	12.50					3	18.75					0	0.00					16	
	SEVENTH				Excluded		0	0.00					0	0.00					0	0.00					1	100.00					0	0.00					1	
		TOTAL					3	18.75					7	43.75					2	12.50					4	25.00					0	0.00					16	
	EIGHTH						1	25.00					1	25.00					2	50.00						Excluded					0	0.00					4	
		TOTAL					4	25.00					8	50.00					4	25.00											0	0.00					16	
	NINTH						0	0.00					0	0.00					0	0.00												Excluded					0	
		TOTAL					4	25.00					8	50.00					4	25.00																	16	
	TENTH						1	25.00					3	75.00						Excluded																	4	
		TOTAL					5	31.25					11	68.75																							16	
							Elected																															
																																						
Terranora                                                      																																						
	FIRST			4	0.34		717	60.25		15	1.26		304	25.55		2	0.17		52	4.37		1	0.08		38	3.19		5	0.42		48	4.03		4	0.34		1190	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		4	0.34		717	60.25		15	1.26		304	25.55		3	0.25		52	4.37					38	3.19		5	0.42		48	4.03		4	0.34		1190	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	33.33					0	0.00		1	33.33		0	0.00		1	33.33		3	
		TOTAL		4	0.34		717	60.25		15	1.26		304	25.55					53	4.45					38	3.19		6	0.50		48	4.03		5	0.42		1190	
	FOURTH			2	40.00		1	20.00		2	40.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		5	
		TOTAL		6	0.50		718	60.34		17	1.43		304	25.55					53	4.45					38	3.19		6	0.50		48	4.03					1190	
	FIFTH			3	17.65		5	29.41			Excluded		2	11.76					1	5.88					1	5.88		0	0.00		5	29.41					17	
		TOTAL		9	0.76		723	60.76					306	25.71					54	4.54					39	3.28		6	0.50		53	4.45					1190	
	SIXTH			0	0.00		0	0.00					1	16.67					3	50.00					1	16.67			Excluded		1	16.67					6	
		TOTAL		9	0.76		723	60.76					307	25.80					57	4.79					40	3.36					54	4.54					1190	
	SEVENTH				Excluded		4	44.44					1	11.11					2	22.22					1	11.11					1	11.11					9	
		TOTAL					727	61.09					308	25.88					59	4.96					41	3.45					55	4.62					1190	
	EIGHTH						5	12.20					7	17.07					24	58.54						Excluded					5	12.20					41	
		TOTAL					732	61.51					315	26.47					83	6.97											60	5.04					1190	
	NINTH						32	53.33					15	25.00					13	21.67												Excluded					60	
		TOTAL					764	64.20					330	27.73					96	8.07																	1190	
	TENTH						22	22.92					74	77.08						Excluded																	96	
		TOTAL					786	66.05					404	33.95																							1190	
							Elected																															
																																						
Tintenbar                                                      																																						
	FIRST			6	1.21		236	47.68		12	2.42		128	25.86		0	0.00		51	10.30		1	0.20		21	4.24		9	1.82		25	5.05		6	1.21		495	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		7	1.41		236	47.68		12	2.42		128	25.86		0	0.00		51	10.30					21	4.24		9	1.82		25	5.05		6	1.21		495	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		7	1.41		236	47.68		12	2.42		128	25.86					51	10.30					21	4.24		9	1.82		25	5.05		6	1.21		495	
	FOURTH			0	0.00		0	0.00		1	16.67		0	0.00					1	16.67					0	0.00		1	16.67		3	50.00			Excluded		6	
		TOTAL		7	1.41		236	47.68		13	2.63		128	25.86					52	10.51					21	4.24		10	2.02		28	5.66					495	
	FIFTH			3	23.08		4	30.77			Excluded		1	7.69					1	7.69					0	0.00		0	0.00		4	30.77					13	
		TOTAL		10	2.02		240	48.48					129	26.06					53	10.71					21	4.24		10	2.02		32	6.46					495	
	SIXTH			0	0.00		0	0.00					1	10.00					5	50.00					1	10.00			Excluded		3	30.00					10	
		TOTAL		10	2.02		240	48.48					130	26.26					58	11.72					22	4.44					35	7.07					495	
	SEVENTH				Excluded		6	60.00					1	10.00					0	0.00					2	20.00					1	10.00					10	
		TOTAL					246	49.70					131	26.46					58	11.72					24	4.85					36	7.27					495	
	EIGHTH						4	16.67					7	29.17					10	41.67						Excluded					3	12.50					24	
		TOTAL					250	50.51					138	27.88					68	13.74											39	7.88					495	
	NINTH						20	51.28					3	7.69					16	41.03												Excluded					39	
		TOTAL					270	54.55					141	28.48					84	16.97																	495	
	TENTH						15	17.86					69	82.14						Excluded																	84	
		TOTAL					285	57.58					210	42.42																							495	
							Elected																															
																																						
Tumbulgum                                                      																																						
	FIRST			3	0.78		149	38.50		2	0.52		159	41.09		0	0.00		44	11.37		2	0.52		7	1.81		2	0.52		18	4.65		1	0.26		387	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		3	0.78		149	38.50		2	0.52		159	41.09		0	0.00		46	11.89					7	1.81		2	0.52		18	4.65		1	0.26		387	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	0.78		149	38.50		2	0.52		159	41.09					46	11.89					7	1.81		2	0.52		18	4.65		1	0.26		387	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		3	0.78		149	38.50		2	0.52		159	41.09					46	11.89					7	1.81		2	0.52		19	4.91					387	
	FIFTH			0	0.00		2	100.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					2	
		TOTAL		3	0.78		151	39.02					159	41.09					46	11.89					7	1.81		2	0.52		19	4.91					387	
	SIXTH			0	0.00		1	50.00					0	0.00					1	50.00					0	0.00			Excluded		0	0.00					2	
		TOTAL		3	0.78		152	39.28					159	41.09					47	12.14					7	1.81					19	4.91					387	
	SEVENTH				Excluded		2	66.67					1	33.33					0	0.00					0	0.00					0	0.00					3	
		TOTAL					154	39.79					160	41.34					47	12.14					7	1.81					19	4.91					387	
	EIGHTH						0	0.00					3	42.86					2	28.57						Excluded					2	28.57					7	
		TOTAL					154	39.79					163	42.12					49	12.66											21	5.43					387	
	NINTH						9	42.86					5	23.81					7	33.33												Excluded					21	
		TOTAL					163	42.12					168	43.41					56	14.47																	387	
	TENTH						11	19.64					45	80.36						Excluded																	56	
		TOTAL					174	44.96					213	55.04																							387	
							Elected																															
																																						
Tweed Heads                                                    																																						
	FIRST			41	1.28		1522	47.55		31	0.97		1152	35.99		6	0.19		169	5.28		2	0.06		74	2.31		27	0.84		165	5.15		12	0.37		3201	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL		41	1.28		1522	47.55		31	0.97		1152	35.99		7	0.22		169	5.28					74	2.31		27	0.84		166	5.19		12	0.37		3201	
	THIRD			2	28.57		0	0.00		1	14.29		0	0.00			Excluded		0	0.00					2	28.57		0	0.00		2	28.57		0	0.00		7	
		TOTAL		43	1.34		1522	47.55		32	1.00		1152	35.99					169	5.28					76	2.37		27	0.84		168	5.25		12	0.37		3201	
	FOURTH			3	25.00		1	8.33		1	8.33		0	0.00					1	8.33					2	16.67		3	25.00		1	8.33			Excluded		12	
		TOTAL		46	1.44		1523	47.58		33	1.03		1152	35.99					170	5.31					78	2.44		30	0.94		169	5.28					3201	
	FIFTH			8	24.24		9	27.27			Excluded		5	15.15					2	6.06					3	9.09		0	0.00		6	18.18					33	
		TOTAL		54	1.69		1532	47.86					1157	36.14					172	5.37					81	2.53		30	0.94		175	5.47					3201	
	SIXTH			4	13.33		5	16.67					8	26.67					5	16.67					5	16.67			Excluded		3	10.00					30	
		TOTAL		58	1.81		1537	48.02					1165	36.39					177	5.53					86	2.69					178	5.56					3201	
	SEVENTH				Excluded		30	51.72					11	18.97					7	12.07					5	8.62					5	8.62					58	
		TOTAL					1567	48.95					1176	36.74					184	5.75					91	2.84					183	5.72					3201	
	EIGHTH						14	15.38					17	18.68					49	53.85						Excluded					11	12.09					91	
		TOTAL					1581	49.39					1193	37.27					233	7.28											194	6.06					3201	
	NINTH						113	58.25					33	17.01					48	24.74												Excluded					194	
		TOTAL					1694	52.92					1226	38.30					281	8.78																	3201	
	TENTH						66	23.49					215	76.51						Excluded																	281	
		TOTAL					1760	54.98					1441	45.02																							3201	
							Elected																															
																																						
Tweed Heads Central                                            																																						
	FIRST			33	1.34		1232	49.90		17	0.69		878	35.56		1	0.04		96	3.89		0	0.00		54	2.19		14	0.57		137	5.55		7	0.28		2469	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		33	1.34		1232	49.90		17	0.69		878	35.56		1	0.04		96	3.89					54	2.19		14	0.57		137	5.55		7	0.28		2469	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		33	1.34		1232	49.90		17	0.69		878	35.56					96	3.89					54	2.19		14	0.57		137	5.55		8	0.32		2469	
	FOURTH			2	25.00		1	12.50		0	0.00		0	0.00					1	12.50					1	12.50		0	0.00		3	37.50			Excluded		8	
		TOTAL		35	1.42		1233	49.94		17	0.69		878	35.56					97	3.93					55	2.23		14	0.57		140	5.67					2469	
	FIFTH			4	23.53		5	29.41			Excluded		4	23.53					1	5.88					1	5.88		0	0.00		2	11.76					17	
		TOTAL		39	1.58		1238	50.14					882	35.72					98	3.97					56	2.27		14	0.57		142	5.75					2469	
	SIXTH			0	0.00		2	14.29					0	0.00					8	57.14					3	21.43			Excluded		1	7.14					14	
		TOTAL		39	1.58		1240	50.22					882	35.72					106	4.29					59	2.39					143	5.79					2469	
	SEVENTH				Excluded		22	56.41					5	12.82					4	10.26					2	5.13					6	15.38					39	
		TOTAL					1262	51.11					887	35.93					110	4.46					61	2.47					149	6.03					2469	
	EIGHTH						12	19.67					11	18.03					35	57.38						Excluded					3	4.92					61	
		TOTAL					1274	51.60					898	36.37					145	5.87											152	6.16					2469	
	NINTH						95	62.50					29	19.08					28	18.42												Excluded					152	
		TOTAL					1369	55.45					927	37.55					173	7.01																	2469	
	TENTH						40	23.12					133	76.88						Excluded																	173	
		TOTAL					1409	57.07					1060	42.93																							2469	
							Elected																															
																																						
Tweed Heads South                                              																																						
	FIRST			43	1.49		1184	41.10		17	0.59		1240	43.04		6	0.21		100	3.47		5	0.17		49	1.70		35	1.21		193	6.70		9	0.31		2881	
	SECOND			2	40.00		1	20.00		1	20.00		0	0.00		1	20.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL		45	1.56		1185	41.13		18	0.62		1240	43.04		7	0.24		100	3.47					49	1.70		35	1.21		193	6.70		9	0.31		2881	
	THIRD			1	14.29		0	0.00		1	14.29		1	14.29			Excluded		1	14.29					1	14.29		1	14.29		0	0.00		1	14.29		7	
		TOTAL		46	1.60		1185	41.13		19	0.66		1241	43.08					101	3.51					50	1.74		36	1.25		193	6.70		10	0.35		2881	
	FOURTH			1	10.00		1	10.00		1	10.00		1	10.00					1	10.00					2	20.00		1	10.00		2	20.00			Excluded		10	
		TOTAL		47	1.63		1186	41.17		20	0.69		1242	43.11					102	3.54					52	1.80		37	1.28		195	6.77					2881	
	FIFTH			3	15.00		6	30.00			Excluded		3	15.00					1	5.00					3	15.00		0	0.00		4	20.00					20	
		TOTAL		50	1.74		1192	41.37					1245	43.21					103	3.58					55	1.91		37	1.28		199	6.91					2881	
	SIXTH			3	8.11		7	18.92					2	5.41					12	32.43					1	2.70			Excluded		12	32.43					37	
		TOTAL		53	1.84		1199	41.62					1247	43.28					115	3.99					56	1.94					211	7.32					2881	
	SEVENTH				Excluded		29	54.72					9	16.98					5	9.43					5	9.43					5	9.43					53	
		TOTAL					1228	42.62					1256	43.60					120	4.17					61	2.12					216	7.50					2881	
	EIGHTH						15	24.59					16	26.23					25	40.98						Excluded					5	8.20					61	
		TOTAL					1243	43.14					1272	44.15					145	5.03											221	7.67					2881	
	NINTH						120	54.30					45	20.36					56	25.34												Excluded					221	
		TOTAL					1363	47.31					1317	45.71					201	6.98																	2881	
	TENTH						57	28.36					144	71.64						Excluded																	201	
		TOTAL					1420	49.29					1461	50.71																							2881	
							Elected																															
																																						
Tyalgum                                                        																																						
	FIRST			0	0.00		170	39.63		17	3.96		127	29.60		2	0.47		73	17.02		2	0.47		9	2.10		6	1.40		23	5.36		0	0.00		429	
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		0	0.00		171	39.86		18	4.20		127	29.60		2	0.47		73	17.02					9	2.10		6	1.40		23	5.36		0	0.00		429	
	THIRD			2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		2	0.47		171	39.86		18	4.20		127	29.60					73	17.02					9	2.10		6	1.40		23	5.36		0	0.00		429	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		2	0.47		171	39.86		18	4.20		127	29.60					73	17.02					9	2.10		6	1.40		23	5.36					429	
	FIFTH			4	22.22		6	33.33			Excluded		0	0.00					0	0.00					0	0.00		1	5.56		7	38.89					18	
		TOTAL		6	1.40		177	41.26					127	29.60					73	17.02					9	2.10		7	1.63		30	6.99					429	
	SIXTH			0	0.00		2	28.57					1	14.29					3	42.86					0	0.00			Excluded		1	14.29					7	
		TOTAL		6	1.40		179	41.72					128	29.84					76	17.72					9	2.10					31	7.23					429	
	SEVENTH				Excluded		3	50.00					0	0.00					1	16.67					1	16.67					1	16.67					6	
		TOTAL					182	42.42					128	29.84					77	17.95					10	2.33					32	7.46					429	
	EIGHTH						0	0.00					6	60.00					4	40.00						Excluded					0	0.00					10	
		TOTAL					182	42.42					134	31.24					81	18.88											32	7.46					429	
	NINTH						16	50.00					8	25.00					8	25.00												Excluded					32	
		TOTAL					198	46.15					142	33.10					89	20.75																	429	
	TENTH						11	12.36					78	87.64						Excluded																	89	
		TOTAL					209	48.72					220	51.28																							429	
							Elected																															
																																						
Uki                                                            																																						
	FIRST			6	0.87		214	31.10		7	1.02		226	32.85		1	0.15		141	20.49		0	0.00		46	6.69		16	2.33		27	3.92		4	0.58		688	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	0.87		214	31.10		7	1.02		226	32.85		1	0.15		141	20.49					46	6.69		16	2.33		27	3.92		4	0.58		688	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		6	0.87		214	31.10		8	1.16		226	32.85					141	20.49					46	6.69		16	2.33		27	3.92		4	0.58		688	
	FOURTH			2	50.00		0	0.00		2	50.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		4	
		TOTAL		8	1.16		214	31.10		10	1.45		226	32.85					141	20.49					46	6.69		16	2.33		27	3.92					688	
	FIFTH			3	30.00		1	10.00			Excluded		3	30.00					0	0.00					0	0.00		1	10.00		2	20.00					10	
		TOTAL		11	1.60		215	31.25					229	33.28					141	20.49					46	6.69		17	2.47		29	4.22					688	
	SIXTH			1	5.88		2	11.76					2	11.76					8	47.06					3	17.65			Excluded		1	5.88					17	
		TOTAL		12	1.74		217	31.54					231	33.58					149	21.66					49	7.12					30	4.36					688	
	SEVENTH				Excluded		4	33.33					1	8.33					3	25.00					2	16.67					2	16.67					12	
		TOTAL					221	32.12					232	33.72					152	22.09					51	7.41					32	4.65					688	
	EIGHTH						1	1.96					10	19.61					36	70.59						Excluded					4	7.84					51	
		TOTAL					222	32.27					242	35.17					188	27.33											36	5.23					688	
	NINTH						17	47.22					9	25.00					10	27.78												Excluded					36	
		TOTAL					239	34.74					251	36.48					198	28.78																	688	
	TENTH						23	11.62					175	88.38						Excluded																	198	
		TOTAL					262	38.08					426	61.92																							688	
							Elected																															
																																						
Wilsons Creek                                                  																																						
	FIRST			4	2.47		11	6.79		0	0.00		42	25.93		2	1.23		82	50.62		1	0.62		6	3.70		12	7.41		2	1.23		0	0.00		162	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		4	2.47		11	6.79		0	0.00		42	25.93		2	1.23		82	50.62					6	3.70		13	8.02		2	1.23		0	0.00		162	
	THIRD			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		4	2.47		12	7.41		0	0.00		42	25.93					83	51.23					6	3.70		13	8.02		2	1.23		0	0.00		162	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		4	2.47		12	7.41		0	0.00		42	25.93					83	51.23					6	3.70		13	8.02		2	1.23					162	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					0	
		TOTAL		4	2.47		12	7.41					42	25.93					83	51.23					6	3.70		13	8.02		2	1.23					162	
	SIXTH			0	0.00		1	7.69					1	7.69					10	76.92					0	0.00			Excluded		1	7.69					13	
		TOTAL		4	2.47		13	8.02					43	26.54					93	57.41					6	3.70					3	1.85					162	
	SEVENTH				Excluded		3	75.00					0	0.00					1	25.00					0	0.00					0	0.00					4	
		TOTAL					16	9.88					43	26.54					94	58.02					6	3.70					3	1.85					162	
	EIGHTH						0	0.00					1	16.67					5	83.33						Excluded					0	0.00					6	
		TOTAL					16	9.88					44	27.16					99	61.11											3	1.85					162	
	NINTH						1	33.33					0	0.00					2	66.67												Excluded					3	
		TOTAL					17	10.49					44	27.16					101	62.35																	162	
	TENTH						9	8.91					92	91.09						Excluded																	101	
		TOTAL					26	16.05					136	83.95																							162	
							Elected																															
																																						
Wollongbar                                                     																																						
	FIRST			19	1.31		868	59.66		14	0.96		376	25.84		0	0.00		78	5.36		2	0.14		42	2.89		11	0.76		41	2.82		4	0.27		1455	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
