House of Representatives - 2001 Election: New South Wales																																
Distribution of Preferences																																
By Polling Place																																
																																
Newcastle																																
				WILLIAMS			WILLIAMS			CRITICOS			GRIERSON			SUTTON			KILLION-DELCASTILLO			BATTERSBY			KAVANAGH			LAWN				
	SECOND			0	0.00		0	0.00		0	0.00		1	12.50		5	62.50			Excluded		1	12.50		1	12.50		0	0.00		8	
		TOTAL		102	3.34		1085	35.50		87	2.85		1040	34.03		270	8.84					56	1.83		246	8.05		170	5.56		3056	
	THIRD			1	1.79		24	42.86		8	14.29		2	3.57		6	10.71						Excluded		11	19.64		4	7.14		56	
		TOTAL		103	3.37		1109	36.29		95	3.11		1042	34.10		276	9.03								257	8.41		174	5.69		3056	
	FOURTH			7	7.37		32	33.68			Excluded		19	20.00		17	17.89								12	12.63		8	8.42		95	
		TOTAL		110	3.60		1141	37.34					1061	34.72		293	9.59								269	8.80		182	5.96		3056	
	FIFTH				Excluded		44	40.00					41	37.27		10	9.09								8	7.27		7	6.36		110	
		TOTAL					1185	38.78					1102	36.06		303	9.91								277	9.06		189	6.18		3056	
	SIXTH						59	21.30					81	29.24		109	39.35									Excluded		28	10.11		277	
		TOTAL					1244	40.71					1183	38.71		412	13.48											217	7.10		3056	
	SEVENTH						91	41.94					51	23.50		75	34.56												Excluded		217	
		TOTAL					1335	43.68					1234	40.38		487	15.94														3056	
	EIGHTH						164	33.68					323	66.32			Excluded														487	
		TOTAL					1499	49.05					1557	50.95																	3056	
													Elected																			
																																
PROVISIONAL																																
	FIRST			31	8.93		84	24.21		5	1.44		138	39.77		35	10.09		1	0.29		5	1.44		36	10.37		12	3.46		347	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		31	8.93		84	24.21		6	1.73		138	39.77		35	10.09					5	1.44		36	10.37		12	3.46		347	
	THIRD			0	0.00		1	20.00		0	0.00		2	40.00		2	40.00						Excluded		0	0.00		0	0.00		5	
		TOTAL		31	8.93		85	24.50		6	1.73		140	40.35		37	10.66								36	10.37		12	3.46		347	
	FOURTH			0	0.00		2	33.33			Excluded		2	33.33		0	0.00								1	16.67		1	16.67		6	
		TOTAL		31	8.93		87	25.07					142	40.92		37	10.66								37	10.66		13	3.75		347	
	FIFTH				Excluded		9	29.03					14	45.16		5	16.13								1	3.23		2	6.45		31	
		TOTAL					96	27.67					156	44.96		42	12.10								38	10.95		15	4.32		347	
	SIXTH						9	23.68					9	23.68		17	44.74									Excluded		3	7.89		38	
		TOTAL					105	30.26					165	47.55		59	17.00											18	5.19		347	
	SEVENTH						3	16.67					2	11.11		13	72.22												Excluded		18	
		TOTAL					108	31.12					167	48.13		72	20.75														347	
	EIGHTH						18	25.00					54	75.00			Excluded														72	
		TOTAL					126	36.31					221	63.69																	347	
													Elected																			
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
