House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Eden-Monaro																																		
				WHAN			CHAPMAN			PHILLIPS			BEAUMONT			SWIFT			VLUG			URQUHART			COCHRAN			NAIRN			BRIDGES			
	NINTH			85	37.61																					Excluded		141	62.39					226
		TOTAL		1011	52.55																							913	47.45					1924
																												Elected						
																																		
Queanbeyan High                                                																																		
	FIRST			691	48.76		59	4.16		12	0.85		30	2.12		1	0.07		3	0.21		8	0.56		158	11.15		430	30.35		25	1.76		1417
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	66.67		3
		TOTAL		692	48.84		59	4.16		12	0.85		30	2.12		1	0.07					8	0.56		158	11.15		430	30.35		27	1.91		1417
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		692	48.84		60	4.23		12	0.85		30	2.12								8	0.56		158	11.15		430	30.35		27	1.91		1417
	FOURTH			3	37.50		0	0.00		0	0.00		0	0.00									Excluded		4	50.00		0	0.00		1	12.50		8
		TOTAL		695	49.05		60	4.23		12	0.85		30	2.12											162	11.43		430	30.35		28	1.98		1417
	FIFTH			3	25.00		0	0.00			Excluded		1	8.33											2	16.67		5	41.67		1	8.33		12
		TOTAL		698	49.26		60	4.23					31	2.19											164	11.57		435	30.70		29	2.05		1417
	SIXTH			20	33.33			Excluded					28	46.67											6	10.00		4	6.67		2	3.33		60
		TOTAL		718	50.67								59	4.16											170	12.00		439	30.98		31	2.19		1417
	SEVENTH			12	38.71								2	6.45											9	29.03		8	25.81			Excluded		31
		TOTAL		730	51.52								61	4.30											179	12.63		447	31.55					1417
	EIGHTH			44	72.13									Excluded											13	21.31		4	6.56					61
		TOTAL		774	54.62																				192	13.55		451	31.83					1417
	NINTH			80	41.67																					Excluded		112	58.33					192
		TOTAL		854	60.27																							563	39.73					1417
																												Elected						
																																		
Queanbeyan Hospital                                            																																		
	FIRST			317	47.53		27	4.05		5	0.75		25	3.75		2	0.30		3	0.45		1	0.15		53	7.95		224	33.58		10	1.50		667
	SECOND			1	33.33		2	66.67		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		318	47.68		29	4.35		5	0.75		25	3.75		2	0.30					1	0.15		53	7.95		224	33.58		10	1.50		667
	THIRD			0	0.00		0	0.00		1	50.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		318	47.68		29	4.35		6	0.90		26	3.90								1	0.15		53	7.95		224	33.58		10	1.50		667
	FOURTH			0	0.00		1	100.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		318	47.68		30	4.50		6	0.90		26	3.90											53	7.95		224	33.58		10	1.50		667
	FIFTH			1	16.67		1	16.67			Excluded		1	16.67											0	0.00		3	50.00		0	0.00		6
		TOTAL		319	47.83		31	4.65					27	4.05											53	7.95		227	34.03		10	1.50		667
	SIXTH			14	45.16			Excluded					11	35.48											1	3.23		2	6.45		3	9.68		31
		TOTAL		333	49.93								38	5.70											54	8.10		229	34.33		13	1.95		667
	SEVENTH			5	38.46								3	23.08											3	23.08		2	15.38			Excluded		13
		TOTAL		338	50.67								41	6.15											57	8.55		231	34.63					667
	EIGHTH			34	82.93									Excluded											6	14.63		1	2.44					41
		TOTAL		372	55.77																				63	9.45		232	34.78					667
	NINTH			25	39.68																					Excluded		38	60.32					63
		TOTAL		397	59.52																							270	40.48					667
																												Elected						
																																		
Queanbeyan North                                               																																		
	FIRST			608	46.59		61	4.67		17	1.30		67	5.13		4	0.31		4	0.31		3	0.23		119	9.12		391	29.96		31	2.38		1305
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	25.00		2	50.00		4
		TOTAL		609	46.67		61	4.67		17	1.30		67	5.13		4	0.31					3	0.23		119	9.12		392	30.04		33	2.53		1305
	THIRD			0	0.00		0	0.00		0	0.00		1	25.00			Excluded					3	75.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		609	46.67		61	4.67		17	1.30		68	5.21								6	0.46		119	9.12		392	30.04		33	2.53		1305
	FOURTH			0	0.00		1	16.67		0	0.00		0	0.00									Excluded		5	83.33		0	0.00		0	0.00		6
		TOTAL		609	46.67		62	4.75		17	1.30		68	5.21											124	9.50		392	30.04		33	2.53		1305
	FIFTH			3	17.65		2	11.76			Excluded		2	11.76											4	23.53		4	23.53		2	11.76		17
		TOTAL		612	46.90		64	4.90					70	5.36											128	9.81		396	30.34		35	2.68		1305
	SIXTH			19	29.69			Excluded					34	53.13											3	4.69		6	9.38		2	3.13		64
		TOTAL		631	48.35								104	7.97											131	10.04		402	30.80		37	2.84		1305
	SEVENTH			15	40.54								6	16.22											7	18.92		9	24.32			Excluded		37
		TOTAL		646	49.50								110	8.43											138	10.57		411	31.49					1305
	EIGHTH			84	76.36									Excluded											15	13.64		11	10.00					110
		TOTAL		730	55.94																				153	11.72		422	32.34					1305
	NINTH			57	37.25																					Excluded		96	62.75					153
		TOTAL		787	60.31																							518	39.69					1305
																												Elected						
																																		
Queanbeyan South                                               																																		
	FIRST			1820	51.82		130	3.70		46	1.31		102	2.90		8	0.23		6	0.17		6	0.17		344	9.79		972	27.68		78	2.22		3512
	SECOND			0	0.00		1	16.67		0	0.00		1	16.67		1	16.67			Excluded		0	0.00		0	0.00		1	16.67		2	33.33		6
		TOTAL		1820	51.82		131	3.73		46	1.31		103	2.93		9	0.26					6	0.17		344	9.79		973	27.71		80	2.28		3512
	THIRD			2	22.22		1	11.11		1	11.11		2	22.22			Excluded					2	22.22		1	11.11		0	0.00		0	0.00		9
		TOTAL		1822	51.88		132	3.76		47	1.34		105	2.99								8	0.23		345	9.82		973	27.71		80	2.28		3512
	FOURTH			3	37.50		1	12.50		1	12.50		0	0.00									Excluded		2	25.00		0	0.00		1	12.50		8
		TOTAL		1825	51.96		133	3.79		48	1.37		105	2.99											347	9.88		973	27.71		81	2.31		3512
	FIFTH			8	16.67		11	22.92			Excluded		9	18.75											4	8.33		13	27.08		3	6.25		48
		TOTAL		1833	52.19		144	4.10					114	3.25											351	9.99		986	28.08		84	2.39		3512
	SIXTH			44	30.56			Excluded					62	43.06											11	7.64		20	13.89		7	4.86		144
		TOTAL		1877	53.45								176	5.01											362	10.31		1006	28.64		91	2.59		3512
	SEVENTH			19	20.88								9	9.89											36	39.56		27	29.67			Excluded		91
		TOTAL		1896	53.99								185	5.27											398	11.33		1033	29.41					3512
	EIGHTH			141	76.22									Excluded											29	15.68		15	8.11					185
		TOTAL		2037	58.00																				427	12.16		1048	29.84					3512
	NINTH			167	39.11																					Excluded		260	60.89					427
		TOTAL		2204	62.76																							1308	37.24					3512
																												Elected						
																																		
Queanbeyan West                                                																																		
	FIRST			748	45.78		62	3.79		21	1.29		51	3.12		3	0.18		1	0.06		3	0.18		192	11.75		512	31.33		41	2.51		1634
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		748	45.78		63	3.86		21	1.29		51	3.12		3	0.18					3	0.18		192	11.75		512	31.33		41	2.51		1634
	THIRD			2	66.67		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		1	33.33		0	0.00		3
		TOTAL		750	45.90		63	3.86		21	1.29		51	3.12								3	0.18		192	11.75		513	31.40		41	2.51		1634
	FOURTH			0	0.00		0	0.00		1	33.33		1	33.33									Excluded		1	33.33		0	0.00		0	0.00		3
		TOTAL		750	45.90		63	3.86		22	1.35		52	3.18											193	11.81		513	31.40		41	2.51		1634
	FIFTH			9	40.91		1	4.55			Excluded		3	13.64											5	22.73		3	13.64		1	4.55		22
		TOTAL		759	46.45		64	3.92					55	3.37											198	12.12		516	31.58		42	2.57		1634
	SIXTH			21	32.81			Excluded					28	43.75											4	6.25		4	6.25		7	10.94		64
		TOTAL		780	47.74								83	5.08											202	12.36		520	31.82		49	3.00		1634
	SEVENTH			17	34.69								5	10.20											14	28.57		13	26.53			Excluded		49
		TOTAL		797	48.78								88	5.39											216	13.22		533	32.62					1634
	EIGHTH			65	73.86									Excluded											17	19.32		6	6.82					88
		TOTAL		862	52.75																				233	14.26		539	32.99					1634
	NINTH			97	41.63																					Excluded		136	58.37					233
		TOTAL		959	58.69																							675	41.31					1634
																												Elected						
																																		
South Durras                                                   																																		
	FIRST			76	40.86		6	3.23		2	1.08		16	8.60		1	0.54		0	0.00		0	0.00		6	3.23		74	39.78		5	2.69		186
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		76	40.86		6	3.23		2	1.08		16	8.60		1	0.54					0	0.00		6	3.23		74	39.78		5	2.69		186
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		76	40.86		7	3.76		2	1.08		16	8.60								0	0.00		6	3.23		74	39.78		5	2.69		186
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		76	40.86		7	3.76		2	1.08		16	8.60											6	3.23		74	39.78		5	2.69		186
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		2	100.00		0	0.00		2
		TOTAL		76	40.86		7	3.76					16	8.60											6	3.23		76	40.86		5	2.69		186
	SIXTH			1	14.29			Excluded					4	57.14											1	14.29		0	0.00		1	14.29		7
		TOTAL		77	41.40								20	10.75											7	3.76		76	40.86		6	3.23		186
	SEVENTH			1	16.67								0	0.00											5	83.33		0	0.00			Excluded		6
		TOTAL		78	41.94								20	10.75											12	6.45		76	40.86					186
	EIGHTH			16	80.00									Excluded											4	20.00		0	0.00					20
		TOTAL		94	50.54																				16	8.60		76	40.86					186
	NINTH			8	50.00																					Excluded		8	50.00					16
		TOTAL		102	54.84																							84	45.16					186
																												Elected						
																																		
Sunshine Bay                                                   																																		
	FIRST			676	34.76		39	2.01		59	3.03		48	2.47		3	0.15		1	0.05		5	0.26		81	4.16		966	49.67		67	3.44		1945
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		676	34.76		39	2.01		59	3.03		48	2.47		4	0.21					5	0.26		81	4.16		966	49.67		67	3.44		1945
	THIRD			0	0.00		0	0.00		0	0.00		1	25.00			Excluded					3	75.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		676	34.76		39	2.01		59	3.03		49	2.52								8	0.41		81	4.16		966	49.67		67	3.44		1945
	FOURTH			1	12.50		0	0.00		1	12.50		2	25.00									Excluded		3	37.50		0	0.00		1	12.50		8
		TOTAL		677	34.81		39	2.01		60	3.08		51	2.62											84	4.32		966	49.67		68	3.50		1945
	FIFTH			7	11.67		1	1.67			Excluded		2	3.33											2	3.33		46	76.67		2	3.33		60
		TOTAL		684	35.17		40	2.06					53	2.72											86	4.42		1012	52.03		70	3.60		1945
	SIXTH			13	32.50			Excluded					22	55.00											1	2.50		3	7.50		1	2.50		40
		TOTAL		697	35.84								75	3.86											87	4.47		1015	52.19		71	3.65		1945
	SEVENTH			10	14.08								7	9.86											31	43.66		23	32.39			Excluded		71
		TOTAL		707	36.35								82	4.22											118	6.07		1038	53.37					1945
	EIGHTH			52	63.41									Excluded											24	29.27		6	7.32					82
		TOTAL		759	39.02																				142	7.30		1044	53.68					1945
	NINTH			54	38.03																					Excluded		88	61.97					142
		TOTAL		813	41.80																							1132	58.20					1945
																												Elected						
																																		
Sutton (Eden-Monaro)                                           																																		
	FIRST			201	33.17		32	5.28		5	0.83		49	8.09		2	0.33		0	0.00		0	0.00		78	12.87		220	36.30		19	3.14		606
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		201	33.17		32	5.28		5	0.83		49	8.09		2	0.33					0	0.00		78	12.87		220	36.30		19	3.14		606
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	50.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		201	33.17		32	5.28		5	0.83		49	8.09								1	0.17		79	13.04		220	36.30		19	3.14		606
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		201	33.17		32	5.28		5	0.83		49	8.09											80	13.20		220	36.30		19	3.14		606
	FIFTH			0	0.00		1	20.00			Excluded		1	20.00											0	0.00		2	40.00		1	20.00		5
		TOTAL		201	33.17		33	5.45					50	8.25											80	13.20		222	36.63		20	3.30		606
	SIXTH			6	18.18			Excluded					15	45.45											6	18.18		6	18.18		0	0.00		33
		TOTAL		207	34.16								65	10.73											86	14.19		228	37.62		20	3.30		606
	SEVENTH			1	5.00								2	10.00											13	65.00		4	20.00			Excluded		20
		TOTAL		208	34.32								67	11.06											99	16.34		232	38.28					606
	EIGHTH			46	68.66									Excluded											17	25.37		4	5.97					67
		TOTAL		254	41.91																				116	19.14		236	38.94					606
	NINTH			28	24.14																					Excluded		88	75.86					116
		TOTAL		282	46.53																							324	53.47					606
																												Elected						
																																		
Sydney (Eden-Monaro)                                           																																		
	FIRST			22	43.14		2	3.92		0	0.00		2	3.92		0	0.00		0	0.00		0	0.00		3	5.88		20	39.22		2	3.92		51
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		22	43.14		2	3.92		0	0.00		2	3.92		0	0.00					0	0.00		3	5.88		20	39.22		2	3.92		51
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		22	43.14		2	3.92		0	0.00		2	3.92								0	0.00		3	5.88		20	39.22		2	3.92		51
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		22	43.14		2	3.92		0	0.00		2	3.92											3	5.88		20	39.22		2	3.92		51
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		22	43.14		2	3.92					2	3.92											3	5.88		20	39.22		2	3.92		51
	SIXTH			1	50.00			Excluded					0	0.00											0	0.00		1	50.00		0	0.00		2
		TOTAL		23	45.10								2	3.92											3	5.88		21	41.18		2	3.92		51
	SEVENTH			1	50.00								0	0.00											0	0.00		1	50.00			Excluded		2
		TOTAL		24	47.06								2	3.92											3	5.88		22	43.14					51
	EIGHTH			1	50.00									Excluded											0	0.00		1	50.00					2
		TOTAL		25	49.02																				3	5.88		23	45.10					51
	NINTH			1	33.33																					Excluded		2	66.67					3
		TOTAL		26	50.98																							25	49.02					51
																												Elected						
																																		
Tanja                                                          																																		
	FIRST			58	41.13		5	3.55		1	0.71		56	39.72		0	0.00		0	0.00		0	0.00		5	3.55		14	9.93		2	1.42		141
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		58	41.13		5	3.55		1	0.71		56	39.72		0	0.00					0	0.00		5	3.55		14	9.93		2	1.42		141
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		58	41.13		5	3.55		1	0.71		56	39.72								0	0.00		5	3.55		14	9.93		2	1.42		141
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		58	41.13		5	3.55		1	0.71		56	39.72											5	3.55		14	9.93		2	1.42		141
	FIFTH			0	0.00		0	0.00			Excluded		1	100.00											0	0.00		0	0.00		0	0.00		1
		TOTAL		58	41.13		5	3.55					57	40.43											5	3.55		14	9.93		2	1.42		141
	SIXTH			0	0.00			Excluded					4	80.00											0	0.00		0	0.00		1	20.00		5
		TOTAL		58	41.13								61	43.26											5	3.55		14	9.93		3	2.13		141
	SEVENTH			0	0.00								0	0.00											2	66.67		1	33.33			Excluded		3
		TOTAL		58	41.13								61	43.26											7	4.96		15	10.64					141
	EIGHTH			56	91.80									Excluded											3	4.92		2	3.28					61
		TOTAL		114	80.85																				10	7.09		17	12.06					141
	NINTH			5	50.00																					Excluded		5	50.00					10
		TOTAL		119	84.40																							22	15.60					141
																												Elected						
																																		
Tathra                                                         																																		
	FIRST			555	40.60		75	5.49		9	0.66		101	7.39		2	0.15		0	0.00		2	0.15		71	5.19		511	37.38		41	3.00		1367
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		555	40.60		75	5.49		9	0.66		101	7.39		2	0.15					2	0.15		71	5.19		511	37.38		41	3.00		1367
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded					1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		556	40.67		75	5.49		9	0.66		101	7.39								3	0.22		71	5.19		511	37.38		41	3.00		1367
	FOURTH			1	33.33		0	0.00		0	0.00		0	0.00									Excluded		2	66.67		0	0.00		0	0.00		3
		TOTAL		557	40.75		75	5.49		9	0.66		101	7.39											73	5.34		511	37.38		41	3.00		1367
	FIFTH			0	0.00		0	0.00			Excluded		1	11.11											1	11.11		6	66.67		1	11.11		9
		TOTAL		557	40.75		75	5.49					102	7.46											74	5.41		517	37.82		42	3.07		1367
	SIXTH			21	28.00			Excluded					50	66.67											1	1.33		1	1.33		2	2.67		75
		TOTAL		578	42.28								152	11.12											75	5.49		518	37.89		44	3.22		1367
	SEVENTH			11	25.00								3	6.82											19	43.18		11	25.00			Excluded		44
		TOTAL		589	43.09								155	11.34											94	6.88		529	38.70					1367
	EIGHTH			130	83.87									Excluded											10	6.45		15	9.68					155
		TOTAL		719	52.60																				104	7.61		544	39.80					1367
	NINTH			27	25.96																					Excluded		77	74.04					104
		TOTAL		746	54.57																							621	45.43					1367
																												Elected						
																																		
Thredbo                                                        																																		
	FIRST			29	27.36		7	6.60		0	0.00		10	9.43		1	0.94		0	0.00		0	0.00		3	2.83		56	52.83		0	0.00		106
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		29	27.36		7	6.60		0	0.00		10	9.43		1	0.94					0	0.00		3	2.83		56	52.83		0	0.00		106
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		29	27.36		7	6.60		0	0.00		10	9.43								1	0.94		3	2.83		56	52.83		0	0.00		106
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		29	27.36		7	6.60		0	0.00		10	9.43											3	2.83		56	52.83		1	0.94		106
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		29	27.36		7	6.60					10	9.43											3	2.83		56	52.83		1	0.94		106
	SIXTH			4	57.14			Excluded					2	28.57											1	14.29		0	0.00		0	0.00		7
		TOTAL		33	31.13								12	11.32											4	3.77		56	52.83		1	0.94		106
	SEVENTH			0	0.00								0	0.00											1	100.00		0	0.00			Excluded		1
		TOTAL		33	31.13								12	11.32											5	4.72		56	52.83					106
	EIGHTH			6	50.00									Excluded											2	16.67		4	33.33					12
		TOTAL		39	36.79																				7	6.60		60	56.60					106
	NINTH			2	28.57																					Excluded		5	71.43					7
		TOTAL		41	38.68																							65	61.32					106
																												Elected						
																																		
Tomakin                                                        																																		
	FIRST			259	37.76		19	2.77		3	0.44		46	6.71		1	0.15		1	0.15		1	0.15		41	5.98		277	40.38		38	5.54		686
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		259	37.76		19	2.77		3	0.44		46	6.71		1	0.15					2	0.29		41	5.98		277	40.38		38	5.54		686
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		259	37.76		19	2.77		3	0.44		46	6.71								3	0.44		41	5.98		277	40.38		38	5.54		686
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		2	66.67		0	0.00		1	33.33		3
		TOTAL		259	37.76		19	2.77		3	0.44		46	6.71											43	6.27		277	40.38		39	5.69		686
	FIFTH			0	0.00		0	0.00			Excluded		1	33.33											1	33.33		1	33.33		0	0.00		3
		TOTAL		259	37.76		19	2.77					47	6.85											44	6.41		278	40.52		39	5.69		686
	SIXTH			4	21.05			Excluded					12	63.16											2	10.53		1	5.26		0	0.00		19
		TOTAL		263	38.34								59	8.60											46	6.71		279	40.67		39	5.69		686
	SEVENTH			5	12.82								4	10.26											15	38.46		15	38.46			Excluded		39
		TOTAL		268	39.07								63	9.18											61	8.89		294	42.86					686
	EIGHTH			42	66.67									Excluded											12	19.05		9	14.29					63
		TOTAL		310	45.19																				73	10.64		303	44.17					686
	NINTH			27	36.99																					Excluded		46	63.01					73
		TOTAL		337	49.13																							349	50.87					686
																												Elected						
																																		
Towamba                                                        																																		
	FIRST			50	38.76		2	1.55		2	1.55		14	10.85		0	0.00		0	0.00		0	0.00		17	13.18		43	33.33		1	0.78		129
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		50	38.76		2	1.55		2	1.55		14	10.85		0	0.00					0	0.00		17	13.18		43	33.33		1	0.78		129
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		50	38.76		2	1.55		2	1.55		14	10.85								0	0.00		17	13.18		43	33.33		1	0.78		129
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		50	38.76		2	1.55		2	1.55		14	10.85											17	13.18		43	33.33		1	0.78		129
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		2	100.00		2
		TOTAL		50	38.76		2	1.55					14	10.85											17	13.18		43	33.33		3	2.33		129
	SIXTH			0	0.00			Excluded					2	100.00											0	0.00		0	0.00		0	0.00		2
		TOTAL		50	38.76								16	12.40											17	13.18		43	33.33		3	2.33		129
	SEVENTH			2	66.67								0	0.00											1	33.33		0	0.00			Excluded		3
		TOTAL		52	40.31								16	12.40											18	13.95		43	33.33					129
	EIGHTH			13	81.25									Excluded											3	18.75		0	0.00					16
		TOTAL		65	50.39																				21	16.28		43	33.33					129
	NINTH			6	28.57																					Excluded		15	71.43					21
		TOTAL		71	55.04																							58	44.96					129
																												Elected						
																																		
Tura Beach                                                     																																		
	FIRST			355	29.68		17	1.42		8	0.67		32	2.68		2	0.17		0	0.00		0	0.00		68	5.69		675	56.44		39	3.26		1196
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		355	29.68		17	1.42		8	0.67		32	2.68		2	0.17					0	0.00		68	5.69		675	56.44		39	3.26		1196
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					2	100.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		355	29.68		17	1.42		8	0.67		32	2.68								2	0.17		68	5.69		675	56.44		39	3.26		1196
	FOURTH			0	0.00		0	0.00		0	0.00		2	100.00									Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		355	29.68		17	1.42		8	0.67		34	2.84											68	5.69		675	56.44		39	3.26		1196
	FIFTH			1	12.50		0	0.00			Excluded		1	12.50											1	12.50		5	62.50		0	0.00		8
		TOTAL		356	29.77		17	1.42					35	2.93											69	5.77		680	56.86		39	3.26		1196
	SIXTH			8	47.06			Excluded					7	41.18											1	5.88		1	5.88		0	0.00		17
		TOTAL		364	30.43								42	3.51											70	5.85		681	56.94		39	3.26		1196
	SEVENTH			6	15.38								2	5.13											23	58.97		8	20.51			Excluded		39
		TOTAL		370	30.94								44	3.68											93	7.78		689	57.61					1196
	EIGHTH			32	72.73									Excluded											7	15.91		5	11.36					44
		TOTAL		402	33.61																				100	8.36		694	58.03					1196
	NINTH			22	22.00																					Excluded		78	78.00					100
		TOTAL		424	35.45																							772	64.55					1196
																												Elected						
																																		
Tuross Head                                                    																																		
	FIRST			561	40.71		25	1.81		20	1.45		54	3.92		2	0.15		2	0.15		3	0.22		54	3.92		615	44.63		42	3.05		1378
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		561	40.71		26	1.89		20	1.45		54	3.92		2	0.15					3	0.22		55	3.99		615	44.63		42	3.05		1378
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	50.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		561	40.71		26	1.89		20	1.45		54	3.92								4	0.29		55	3.99		616	44.70		42	3.05		1378
	FOURTH			0	0.00		1	25.00		0	0.00		0	0.00									Excluded		2	50.00		1	25.00		0	0.00		4
		TOTAL		561	40.71		27	1.96		20	1.45		54	3.92											57	4.14		617	44.78		42	3.05		1378
	FIFTH			2	10.00		1	5.00			Excluded		3	15.00											0	0.00		11	55.00		3	15.00		20
		TOTAL		563	40.86		28	2.03					57	4.14											57	4.14		628	45.57		45	3.27		1378
	SIXTH			11	39.29			Excluded					13	46.43											2	7.14		2	7.14		0	0.00		28
		TOTAL		574	41.65								70	5.08											59	4.28		630	45.72		45	3.27		1378
	SEVENTH			12	26.67								5	11.11											21	46.67		7	15.56			Excluded		45
		TOTAL		586	42.53								75	5.44											80	5.81		637	46.23					1378
	EIGHTH			56	74.67									Excluded											15	20.00		4	5.33					75
		TOTAL		642	46.59																				95	6.89		641	46.52					1378
	NINTH			28	29.47																					Excluded		67	70.53					95
		TOTAL		670	48.62																							708	51.38					1378
																												Elected						
																																		
Wallaga Lake Koori Village                                     																																		
	FIRST			35	97.22		0	0.00		0	0.00		1	2.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		35	97.22		0	0.00		0	0.00		1	2.78		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		36
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		35	97.22		0	0.00		0	0.00		1	2.78								0	0.00		0	0.00		0	0.00		0	0.00		36
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		35	97.22		0	0.00		0	0.00		1	2.78											0	0.00		0	0.00		0	0.00		36
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		35	97.22		0	0.00					1	2.78											0	0.00		0	0.00		0	0.00		36
	SIXTH			0	0.00			Excluded					0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		35	97.22								1	2.78											0	0.00		0	0.00		0	0.00		36
	SEVENTH			0	0.00								0	0.00											0	0.00		0	0.00			Excluded		0
		TOTAL		35	97.22								1	2.78											0	0.00		0	0.00					36
	EIGHTH			1	100.00									Excluded											0	0.00		0	0.00					1
		TOTAL		36	100.00																				0	0.00		0	0.00					36
	NINTH			0	0.00																					Excluded		0	0.00					0
