Senate - 1996 Election: New South Wales    														
Result of the Transfer and Distribution of Preferences														
Election of 6 Senators														
														
Quota = 3682283   +   1 =  526041														
6 + 1														
														
				First			Count 2			Count 3			Count 4	
C	"MATSON, Murray"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"NASH, Chris"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
D	"HALE, Sylvia"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	69	63547		159	63706		2327	66033		-66033	0	Excluded
F	"O'REGAN, Bevan"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	274	319638		206	319844		262	320106		1311	321417	
G	"BARGHOUT, Rima"	ALP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"BOURNE, Vicki"	DEM	639	366017		9565	375582		363	375945		2344	378289	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"LARCOS, Andrew"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"ANDERSON, Troy"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"SCHOLLBACH, Robert Frederick"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	105	74653		3674	78327		204	78531		56603	135134	
J	"BOURKE, Robyn"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	-18059	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	326	37560		-37560	0	Excluded	0	0	Excluded	0	0	Excluded
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	35	74187		433	74620		38699	113319		898	114217	
R	"WEBSTER, Elaine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"JONES, Morris"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"IVOR, F"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PINNIGER, Gretel"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"UNDERWOOD, Dian"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PATTERSON, Ray"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
	Exhausted Votes		21	198		22	220		184	404		130	534	
	Loss by Fraction		1	199		0	199		-12	187		-8	179	
														
	Total Votes		18059	3682283		37560	3682283		50531	3682283		66033	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Duncan, D"			"Findlay-Barnes, T"			"Kitson, D"			"Phillips, J"		
														
														
														
				Count 211-215			Count 216			Count 217-222			Count 223	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Total	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
A	"O'CALLAGHAN, Carolyn"	RARI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	69344	553678	Elected	-27637	526041	Elected	0	526041	Elected	0	526041	Elected
B	"CONSTANTIN, Abraham"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
C	"SPERLING, Karla"	GRN	813	144828		313	145141		-145141	0	Excluded	0	0	Excluded
C	"DENTON, Peter"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ELIX, Jane"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"MATSON, Murray"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"NASH, Chris"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
D	"HALE, Sylvia"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
F	"O'REGAN, Bevan"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	1035	322452		48	322500		5206	327706		71696	399402	
G	"BARGHOUT, Rima"	ALP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"BOURNE, Vicki"	DEM	2556	380845		350	381195		136289	517484		106675	624159	Elected
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"LARCOS, Andrew"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"ANDERSON, Troy"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"SCHOLLBACH, Robert Frederick"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	40318	175452		26912	202364		3413	205777		-178638	27139	Excluded
J	"BOURKE, Robyn"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	-114217	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"WEBSTER, Elaine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"JONES, Morris"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"IVOR, F"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PINNIGER, Gretel"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"UNDERWOOD, Dian"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PATTERSON, Ray"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
	Exhausted Votes		158	692		12	704		250	954		267	1221	
	Loss by Fraction		-7	172		2	174		-17	157		0	157	
														
	Total Votes		114217	3682283		27637	3682283		145141	3682283		178638	3682283	
														
	Notes		Candidate Excluded			Surplus Distributed			Candidate Excluded			Candidate Partially Excluded		
			"Webster, A"			"Coonan, H"			"Sperling, K"			"Sims, R"		
														
			Candidate Elected									Candidate Elected		
			"5. Coonan, H"									"6. Bourne, V"		
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
