Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Dubbo North		                                	25	1.07	 	1090	46.86	 	17	0.73	 	1	0.04	 	5	0.21	 	31	1.33	 	745	32.03	 	92	3.96	 	2	0.09	 	206	8.86	 	0	0	 	18	0.77	 	1	0.04	 	0	0	 	0	0	 	2	0.09	 	14	0.6	 	75	3.22	 	2	0.09	 	2326	96.39	 	87	3.61	 	2413	3.13
Dubbo South		                                	21	1.11	 	972	51.56	 	25	1.33	 	2	0.11	 	3	0.16	 	20	1.06	 	512	27.16	 	108	5.73	 	3	0.16	 	103	5.46	 	0	0	 	15	0.8	 	0	0	 	2	0.11	 	0	0	 	1	0.05	 	6	0.32	 	88	4.67	 	4	0.21	 	1885	96.32	 	72	3.68	 	1957	2.54
Dubbo West		                                 	17	0.84	 	917	45.15	 	31	1.53	 	1	0.05	 	4	0.2	 	14	0.69	 	674	33.19	 	96	4.73	 	1	0.05	 	176	8.67	 	0	0	 	20	0.98	 	0	0	 	0	0	 	4	0.2	 	2	0.1	 	14	0.69	 	59	2.9	 	1	0.05	 	2031	97.18	 	59	2.82	 	2090	2.71
Emmagool		                                   	1	0.92	 	81	74.31	 	0	0	 	0	0	 	0	0	 	2	1.83	 	7	6.42	 	4	3.67	 	0	0	 	10	9.17	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	3.67	 	0	0	 	109	100	 	0	0	 	109	0.14
Enngonia		                                   	1	1.33	 	45	60	 	0	0	 	0	0	 	0	0	 	1	1.33	 	23	30.67	 	2	2.67	 	0	0	 	1	1.33	 	0	0	 	2	2.67	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	75	100	 	0	0	 	75	0.1
Euabalong		                                  	0	0	 	56	44.44	 	1	0.79	 	0	0	 	2	1.59	 	0	0	 	54	42.86	 	3	2.38	 	0	0	 	6	4.76	 	0	0	 	1	0.79	 	0	0	 	1	0.79	 	0	0	 	0	0	 	1	0.79	 	1	0.79	 	0	0	 	126	95.45	 	6	4.55	 	132	0.17
Eumungerie		                                 	4	1.98	 	122	60.4	 	5	2.48	 	0	0	 	0	0	 	4	1.98	 	23	11.39	 	11	5.45	 	0	0	 	28	13.86	 	0	0	 	2	0.99	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.5	 	2	0.99	 	0	0	 	202	98.06	 	4	1.94	 	206	0.27
Excelsior		                                  	9	0.75	 	248	20.77	 	13	1.09	 	1	0.08	 	4	0.34	 	13	1.09	 	746	62.48	 	68	5.7	 	1	0.08	 	54	4.52	 	0	0	 	14	1.17	 	0	0	 	0	0	 	2	0.17	 	1	0.08	 	6	0.5	 	14	1.17	 	0	0	 	1194	96.92	 	38	3.08	 	1232	1.6
Fifield		                                    	0	0	 	37	56.06	 	0	0	 	0	0	 	0	0	 	1	1.52	 	16	24.24	 	0	0	 	0	0	 	7	10.61	 	0	0	 	0	0	 	1	1.52	 	0	0	 	0	0	 	0	0	 	1	1.52	 	3	4.55	 	0	0	 	66	98.51	 	1	1.49	 	67	0.09
Forbes		                                     	41	1.35	 	1569	51.49	 	18	0.59	 	5	0.16	 	6	0.2	 	40	1.31	 	939	30.82	 	117	3.84	 	2	0.07	 	170	5.58	 	1	0.03	 	39	1.28	 	0	0	 	4	0.13	 	1	0.03	 	1	0.03	 	16	0.53	 	72	2.36	 	6	0.2	 	3047	95.61	 	140	4.39	 	3187	4.13
Forbes Hospital		                            	6	1.54	 	219	56.15	 	1	0.26	 	1	0.26	 	0	0	 	11	2.82	 	106	27.18	 	22	5.64	 	0	0	 	11	2.82	 	0	0	 	2	0.51	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.51	 	9	2.31	 	0	0	 	390	97.26	 	11	2.74	 	401	0.52
Forbes North		                               	17	1.31	 	582	45.01	 	13	1.01	 	3	0.23	 	1	0.08	 	13	1.01	 	495	38.28	 	50	3.87	 	0	0	 	53	4.1	 	2	0.15	 	13	1.01	 	2	0.15	 	0	0	 	0	0	 	2	0.15	 	16	1.24	 	31	2.4	 	0	0	 	1293	95.99	 	54	4.01	 	1347	1.75
Forbes South		                               	1	0.22	 	250	54.23	 	1	0.22	 	0	0	 	2	0.43	 	2	0.43	 	147	31.89	 	24	5.21	 	0	0	 	18	3.9	 	0	0	 	2	0.43	 	0	0	 	0	0	 	1	0.22	 	0	0	 	2	0.43	 	11	2.39	 	0	0	 	461	93.32	 	33	6.68	 	494	0.64
Garema		                                     	0	0	 	62	82.67	 	0	0	 	0	0	 	0	0	 	0	0	 	6	8	 	1	1.33	 	0	0	 	2	2.67	 	0	0	 	0	0	 	0	0	 	1	1.33	 	0	0	 	0	0	 	0	0	 	3	4	 	0	0	 	75	97.4	 	2	2.6	 	77	0.1
Girilambone		                                	1	1.11	 	49	54.44	 	0	0	 	0	0	 	0	0	 	1	1.11	 	19	21.11	 	5	5.56	 	0	0	 	12	13.33	 	0	0	 	1	1.11	 	0	0	 	0	0	 	0	0	 	1	1.11	 	1	1.11	 	0	0	 	0	0	 	90	98.9	 	1	1.1	 	91	0.12
Goodooga		                                   	0	0	 	46	28.05	 	2	1.22	 	0	0	 	0	0	 	2	1.22	 	108	65.85	 	1	0.61	 	0	0	 	3	1.83	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.61	 	1	0.61	 	0	0	 	164	95.35	 	8	4.65	 	172	0.22
Gunningbland		                               	1	1.92	 	38	73.08	 	0	0	 	0	0	 	0	0	 	0	0	 	5	9.62	 	3	5.77	 	0	0	 	4	7.69	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.92	 	52	98.11	 	1	1.89	 	53	0.07
Hermidale		                                  	2	1.9	 	80	76.19	 	0	0	 	0	0	 	0	0	 	2	1.9	 	15	14.29	 	1	0.95	 	0	0	 	3	2.86	 	0	0	 	1	0.95	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.95	 	0	0	 	105	97.22	 	3	2.78	 	108	0.14
Hillside		                                   	18	1.06	 	284	16.77	 	23	1.36	 	1	0.06	 	2	0.12	 	13	0.77	 	1090	64.34	 	99	5.84	 	2	0.12	 	100	5.9	 	1	0.06	 	18	1.06	 	0	0	 	0	0	 	3	0.18	 	1	0.06	 	8	0.47	 	31	1.83	 	0	0	 	1694	96.52	 	61	3.48	 	1755	2.27
Ivanhoe		                                    	2	0.97	 	103	50	 	4	1.94	 	0	0	 	0	0	 	0	0	 	88	42.72	 	2	0.97	 	0	0	 	5	2.43	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.97	 	0	0	 	0	0	 	206	97.63	 	5	2.37	 	211	0.27
Lake Cargelligo		                            	9	1.11	 	528	65.35	 	7	0.87	 	0	0	 	1	0.12	 	7	0.87	 	188	23.27	 	25	3.09	 	0	0	 	21	2.6	 	0	0	 	12	1.49	 	0	0	 	0	0	 	0	0	 	1	0.12	 	4	0.5	 	3	0.37	 	2	0.25	 	808	93.19	 	59	6.81	 	867	1.12
Lourdes Hospital		                           	4	0.88	 	230	50.66	 	11	2.42	 	0	0	 	3	0.66	 	8	1.76	 	123	27.09	 	32	7.05	 	0	0	 	29	6.39	 	0	0	 	3	0.66	 	0	0	 	0	0	 	1	0.22	 	1	0.22	 	3	0.66	 	5	1.1	 	1	0.22	 	454	96.39	 	17	3.61	 	471	0.61
Louth		                                      	0	0	 	35	60.34	 	0	0	 	0	0	 	0	0	 	0	0	 	8	13.79	 	3	5.17	 	0	0	 	12	20.69	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	58	96.67	 	2	3.33	 	60	0.08
Menindee		                                   	5	1.11	 	101	22.35	 	2	0.44	 	0	0	 	1	0.22	 	4	0.88	 	296	65.49	 	16	3.54	 	0	0	 	19	4.2	 	0	0	 	2	0.44	 	0	0	 	0	0	 	1	0.22	 	0	0	 	3	0.66	 	2	0.44	 	0	0	 	452	98.05	 	9	1.95	 	461	0.6
Morgan Street		                              	9	0.57	 	387	24.52	 	17	1.08	 	0	0	 	6	0.38	 	27	1.71	 	891	56.46	 	100	6.34	 	0	0	 	76	4.82	 	0	0	 	9	0.57	 	0	0	 	0	0	 	3	0.19	 	0	0	 	2	0.13	 	51	3.23	 	0	0	 	1578	96.51	 	57	3.49	 	1635	2.12
Murrin Bridge		                              	0	0	 	4	6.67	 	0	0	 	0	0	 	0	0	 	0	0	 	42	70	 	0	0	 	2	3.33	 	0	0	 	0	0	 	10	16.67	 	0	0	 	0	0	 	0	0	 	0	0	 	2	3.33	 	0	0	 	0	0	 	60	95.24	 	3	4.76	 	63	0.08
Narromine		                                  	24	0.95	 	1296	51.12	 	22	0.87	 	2	0.08	 	12	0.47	 	25	0.99	 	713	28.13	 	125	4.93	 	2	0.08	 	197	7.77	 	0	0	 	19	0.75	 	0	0	 	2	0.08	 	2	0.08	 	1	0.04	 	12	0.47	 	78	3.08	 	3	0.12	 	2535	95.84	 	110	4.16	 	2645	3.43
Nevertire		                                  	4	2.58	 	96	61.94	 	0	0	 	0	0	 	0	0	 	0	0	 	22	14.19	 	4	2.58	 	0	0	 	26	16.77	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.29	 	1	0.65	 	155	96.27	 	6	3.73	 	161	0.21
Nymagee		                                    	0	0	 	57	74.03	 	1	1.3	 	0	0	 	0	0	 	9	11.69	 	0	0	 	2	2.6	 	0	0	 	7	9.09	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.3	 	0	0	 	0	0	 	0	0	 	77	98.72	 	1	1.28	 	78	0.1
Nyngan		                                     	18	1.28	 	630	44.68	 	19	1.35	 	0	0	 	3	0.21	 	17	1.21	 	537	38.09	 	54	3.83	 	1	0.07	 	80	5.67	 	0	0	 	13	0.92	 	0	0	 	0	0	 	5	0.35	 	3	0.21	 	9	0.64	 	20	1.42	 	1	0.07	 	1410	94.25	 	86	5.75	 	1496	1.94
Ootha		                                      	0	0	 	44	75.86	 	1	1.72	 	0	0	 	0	0	 	1	1.72	 	4	6.9	 	3	5.17	 	0	0	 	1	1.72	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	6.9	 	0	0	 	58	100	 	0	0	 	58	0.08
Orana Heights		                              	25	0.86	 	1483	50.84	 	31	1.06	 	3	0.1	 	6	0.21	 	25	0.86	 	802	27.49	 	188	6.44	 	0	0	 	167	5.73	 	0	0	 	16	0.55	 	1	0.03	 	5	0.17	 	1	0.03	 	3	0.1	 	8	0.27	 	151	5.18	 	2	0.07	 	2917	97.2	 	84	2.8	 	3001	3.89
Parkes		                                     	19	1.23	 	755	48.99	 	12	0.78	 	6	0.39	 	7	0.45	 	21	1.36	 	474	30.76	 	92	5.97	 	2	0.13	 	74	4.8	 	1	0.06	 	13	0.84	 	0	0	 	1	0.06	 	1	0.06	 	3	0.19	 	10	0.65	 	49	3.18	 	1	0.06	 	1541	95.01	 	81	4.99	 	1622	2.1
Parkes East		                                	6	0.55	 	605	55.2	 	10	0.91	 	0	0	 	9	0.82	 	12	1.09	 	299	27.28	 	48	4.38	 	2	0.18	 	27	2.46	 	0	0	 	4	0.36	 	0	0	 	0	0	 	3	0.27	 	0	0	 	4	0.36	 	66	6.02	 	1	0.09	 	1096	97.34	 	30	2.66	 	1126	1.46
Parkes High		                                	10	1.21	 	367	44.54	 	9	1.09	 	0	0	 	4	0.49	 	3	0.36	 	278	33.74	 	59	7.16	 	0	0	 	46	5.58	 	0	0	 	4	0.49	 	0	0	 	0	0	 	3	0.36	 	2	0.24	 	6	0.73	 	30	3.64	 	3	0.36	 	824	97.4	 	22	2.6	 	846	1.1
Parkes Hospital		                            	10	1.71	 	265	45.22	 	3	0.51	 	1	0.17	 	0	0	 	3	0.51	 	226	38.57	 	25	4.27	 	2	0.34	 	24	4.1	 	0	0	 	2	0.34	 	0	0	 	0	0	 	0	0	 	1	0.17	 	2	0.34	 	22	3.75	 	0	0	 	586	98.32	 	10	1.68	 	596	0.77
Peak Hill		                                  	8	1	 	444	55.57	 	1	0.13	 	0	0	 	0	0	 	6	0.75	 	247	30.91	 	37	4.63	 	1	0.13	 	21	2.63	 	0	0	 	7	0.88	 	0	0	 	1	0.13	 	1	0.13	 	0	0	 	4	0.5	 	21	2.63	 	0	0	 	799	97.2	 	23	2.8	 	822	1.07
Railway Gates		                              	16	0.91	 	696	39.64	 	27	1.54	 	3	0.17	 	6	0.34	 	25	1.42	 	695	39.58	 	73	4.16	 	0	0	 	124	7.06	 	0	0	 	22	1.25	 	0	0	 	1	0.06	 	0	0	 	4	0.23	 	17	0.97	 	44	2.51	 	3	0.17	 	1756	96.22	 	69	3.78	 	1825	2.37
Rees Avenue		                                	6	1.22	 	260	52.85	 	2	0.41	 	0	0	 	0	0	 	1	0.2	 	149	30.28	 	14	2.85	 	0	0	 	16	3.25	 	0	0	 	1	0.2	 	0	0	 	0	0	 	0	0	 	1	0.2	 	2	0.41	 	40	8.13	 	0	0	 	492	96.47	 	18	3.53	 	510	0.66
Sydney (Parkes)		                            	1	1.96	 	24	47.06	 	3	5.88	 	0	0	 	0	0	 	0	0	 	16	31.37	 	3	5.88	 	0	0	 	0	0	 	0	0	 	1	1.96	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.96	 	2	3.92	 	0	0	 	51	100	 	0	0	 	51	0.07
Tibooburra		                                 	0	0	 	46	51.11	 	1	1.11	 	0	0	 	1	1.11	 	1	1.11	 	23	25.56	 	5	5.56	 	1	1.11	 	10	11.11	 	0	0	 	2	2.22	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	90	95.74	 	4	4.26	 	94	0.12
Tilpa		                                      	0	0	 	27	65.85	 	0	0	 	0	0	 	0	0	 	1	2.44	 	3	7.32	 	0	0	 	0	0	 	8	19.51	 	0	0	 	1	2.44	 	0	0	 	0	0	 	0	0	 	0	0	 	1	2.44	 	0	0	 	0	0	 	41	100	 	0	0	 	41	0.05
Tomingley		                                  	0	0	 	117	63.24	 	0	0	 	0	0	 	0	0	 	1	0.54	 	19	10.27	 	10	5.41	 	0	0	 	24	12.97	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.54	 	13	7.03	 	0	0	 	185	96.86	 	6	3.14	 	191	0.25
Tottenham		                                  	4	1.02	 	255	64.72	 	0	0	 	0	0	 	0	0	 	4	1.02	 	63	15.99	 	11	2.79	 	0	0	 	48	12.18	 	0	0	 	1	0.25	 	0	0	 	0	0	 	0	0	 	1	0.25	 	2	0.51	 	5	1.27	 	0	0	 	394	96.57	 	14	3.43	 	408	0.53
Trangie		                                    	8	1.01	 	481	60.43	 	5	0.63	 	2	0.25	 	2	0.25	 	2	0.25	 	193	24.25	 	26	3.27	 	1	0.13	 	49	6.16	 	0	0	 	9	1.13	 	0	0	 	1	0.13	 	0	0	 	1	0.13	 	2	0.25	 	13	1.63	 	1	0.13	 	796	95.33	 	39	4.67	 	835	1.08
Trundle		                                    	3	0.6	 	342	68.4	 	2	0.4	 	0	0	 	0	0	 	4	0.8	 	93	18.6	 	27	5.4	 	0	0	 	16	3.2	 	0	0	 	2	0.4	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.8	 	7	1.4	 	0	0	 	500	94.16	 	31	5.84	 	531	0.69
Tullamore		                                  	5	1.72	 	212	72.85	 	0	0	 	1	0.34	 	0	0	 	2	0.69	 	42	14.43	 	11	3.78	 	0	0	 	15	5.15	 	0	0	 	1	0.34	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.34	 	1	0.34	 	0	0	 	291	97	 	9	3	 	300	0.39
Tullibigeal		                                	1	0.46	 	199	91.71	 	0	0	 	0	0	 	0	0	 	0	0	 	7	3.23	 	5	2.3	 	0	0	 	3	1.38	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.92	 	0	0	 	217	93.94	 	14	6.06	 	231	0.3
Wanaaring		                                  	0	0	 	62	82.67	 	0	0	 	0	0	 	0	0	 	0	0	 	6	8	 	1	1.33	 	0	0	 	5	6.67	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.33	 	0	0	 	0	0	 	75	100	 	0	0	 	75	0.1
Warren		                                     	17	1.16	 	756	51.53	 	12	0.82	 	1	0.07	 	5	0.34	 	21	1.43	 	444	30.27	 	46	3.14	 	1	0.07	 	112	7.63	 	1	0.07	 	15	1.02	 	1	0.07	 	1	0.07	 	2	0.14	 	1	0.07	 	12	0.82	 	15	1.02	 	4	0.27	 	1467	95.69	 	66	4.31	 	1533	1.99
Warroo		                                     	0	0	 	84	78.5	 	1	0.93	 	0	0	 	0	0	 	0	0	 	11	10.28	 	5	4.67	 	4	3.74	 	2	1.87	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	107	97.27	 	3	2.73	 	110	0.14
Weilmoringle		                               	0	0	 	42	57.53	 	0	0	 	0	0	 	0	0	 	0	0	 	23	31.51	 	2	2.74	 	0	0	 	3	4.11	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	4.11	 	0	0	 	0	0	 	73	100	 	0	0	 	73	0.09
White Cliffs		                               	0	0	 	55	61.11	 	3	3.33	 	0	0	 	1	1.11	 	1	1.11	 	18	20	 	3	3.33	 	0	0	 	7	7.78	 	0	0	 	1	1.11	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.11	 	0	0	 	0	0	 	90	98.9	 	1	1.1	 	91	0.12
Wilcannia		                                  	5	1.29	 	99	25.52	 	9	2.32	 	1	0.26	 	1	0.26	 	6	1.55	 	235	60.57	 	6	1.55	 	0	0	 	9	2.32	 	0	0	 	5	1.29	 	0	0	 	2	0.52	 	0	0	 	2	0.52	 	3	0.77	 	5	1.29	 	0	0	 	388	98.73	 	5	1.27	 	393	0.51
Wirrinya		                                   	0	0	 	48	80	 	0	0	 	0	0	 	0	0	 	0	0	 	5	8.33	 	3	5	 	0	0	 	2	3.33	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	3.33	 	0	0	 	60	100	 	0	0	 	60	0.08
Wongarbon		                                  	5	1.68	 	180	60.4	 	1	0.34	 	0	0	 	1	0.34	 	0	0	 	66	22.15	 	11	3.69	 	2	0.67	 	22	7.38	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.34	 	1	0.34	 	8	2.68	 	0	0	 	298	97.39	 	8	2.61	 	306	0.4
Yantabulla		                                 	0	0	 	20	74.07	 	0	0	 	0	0	 	0	0	 	0	0	 	1	3.7	 	0	0	 	0	0	 	6	22.22	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	27	100	 	0	0	 	27	0.03
Special Hospitals		                          	4	0.85	 	233	49.57	 	1	0.21	 	1	0.21	 	1	0.21	 	3	0.64	 	209	44.47	 	9	1.91	 	0	0	 	1	0.21	 	0	0	 	1	0.21	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.21	 	6	1.28	 	0	0	 	470	95.53	 	22	4.47	 	492	0.64
Remote Mobiles		                             	1	0.98	 	58	56.86	 	1	0.98	 	0	0	 	0	0	 	2	1.96	 	28	27.45	 	0	0	 	0	0	 	8	7.84	 	0	0	 	2	1.96	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.98	 	1	0.98	 	102	98.08	 	2	1.92	 	104	0.13
Total Ordinary		                             	647	1.03	 	27483	43.96	 	632	1.01	 	65	0.1	 	156	0.25	 	640	1.02	 	23372	37.38	 	2894	4.63	 	52	0.08	 	3756	6.01	 	10	0.02	 	488	0.78	 	11	0.02	 	39	0.06	 	61	0.1	 	60	0.1	 	365	0.58	 	1730	2.77	 	64	0.1	 	62525	96.23	 	2448	3.77	 	64973	84.22
ABSENT		                                     	47	0.99	 	2436	51.26	 	103	2.17	 	6	0.13	 	5	0.11	 	49	1.03	 	1362	28.66	 	281	5.91	 	1	0.02	 	259	5.45	 	0	0	 	30	0.63	 	0	0	 	4	0.08	 	2	0.04	 	3	0.06	 	34	0.72	 	128	2.69	 	2	0.04	 	4752	98.73	 	61	1.27	 	4813	6.24
POSTAL		                                     	30	1.07	 	1710	60.96	 	23	0.82	 	0	0	 	9	0.32	 	31	1.11	 	681	24.28	 	109	3.89	 	1	0.04	 	93	3.32	 	1	0.04	 	18	0.64	 	1	0.04	 	0	0	 	9	0.32	 	4	0.14	 	14	0.5	 	67	2.39	 	4	0.14	 	2805	99.08	 	26	0.92	 	2831	3.67
PRE_POLL		                                   	35	0.91	 	1675	43.78	 	60	1.57	 	6	0.16	 	5	0.13	 	47	1.23	 	1450	37.9	 	216	5.65	 	5	0.13	 	172	4.5	 	2	0.05	 	27	0.71	 	0	0	 	1	0.03	 	4	0.1	 	5	0.13	 	33	0.86	 	80	2.09	 	3	0.08	 	3826	98.46	 	60	1.54	 	3886	5.04
PROVISIONAL		                                	13	2.09	 	200	32.1	 	15	2.41	 	2	0.32	 	2	0.32	 	12	1.93	 	258	41.41	 	15	2.41	 	1	0.16	 	65	10.43	 	0	0	 	10	1.61	 	0	0	 	1	0.16	 	1	0.16	 	0	0	 	11	1.77	 	16	2.57	 	1	0.16	 	623	97.04	 	19	2.96	 	642	0.83
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	772	1.04	 	33504	44.95	 	833	1.12	 	79	0.11	 	177	0.24	 	779	1.05	 	27123	36.39	 	3515	4.72	 	60	0.08	 	4345	5.83	 	13	0.02	 	573	0.77	 	12	0.02	 	45	0.06	 	77	0.1	 	72	0.1	 	457	0.61	 	2021	2.71	 	74	0.1	 	74531	96.61	 	2614	3.39	 	77145	96.12
 																																																																			


Parramatta (77692)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ballandella Road		                           	18	1.59	 	406	35.96	 	15	1.33	 	4	0.35	 	3	0.27	 	39	3.45	 	473	41.9	 	107	9.48	 	3	0.27	 	19	1.68	 	0	0	 	7	0.62	 	0	0	 	0	0	 	2	0.18	 	0	0	 	3	0.27	 	26	2.3	 	4	0.35	 	1129	95.19	 	57	4.81	 	1186	1.57
Baulkham Hills (Parramatta)		                	4	0.54	 	402	53.82	 	13	1.74	 	1	0.13	 	1	0.13	 	15	2.01	 	185	24.77	 	89	11.91	 	0	0	 	7	0.94	 	0	0	 	3	0.4	 	1	0.13	 	0	0	 	0	0	 	2	0.27	 	2	0.27	 	21	2.81	 	1	0.13	 	747	97.65	 	18	2.35	 	765	1.01
Carlingford		                                	13	0.98	 	713	53.57	 	10	0.75	 	1	0.08	 	4	0.3	 	27	2.03	 	369	27.72	 	128	9.62	 	2	0.15	 	8	0.6	 	0	0	 	4	0.3	 	0	0	 	0	0	 	2	0.15	 	0	0	 	11	0.83	 	37	2.78	 	2	0.15	 	1331	97.51	 	34	2.49	 	1365	1.81
Carlingford North		                          	16	0.81	 	1125	56.82	 	28	1.41	 	1	0.05	 	2	0.1	 	34	1.72	 	483	24.39	 	215	10.86	 	1	0.05	 	17	0.86	 	0	0	 	7	0.35	 	0	0	 	1	0.05	 	1	0.05	 	0	0	 	3	0.15	 	44	2.22	 	2	0.1	 	1980	98.41	 	32	1.59	 	2012	2.67
Carlingford West		                           	25	0.76	 	1765	53.96	 	36	1.1	 	6	0.18	 	9	0.28	 	119	3.64	 	809	24.73	 	337	10.3	 	4	0.12	 	26	0.79	 	0	0	 	7	0.21	 	1	0.03	 	1	0.03	 	4	0.12	 	1	0.03	 	7	0.21	 	107	3.27	 	7	0.21	 	3271	97.88	 	71	2.12	 	3342	4.43
Darcy Road		                                 	23	1.28	 	659	36.8	 	25	1.4	 	4	0.22	 	6	0.34	 	41	2.29	 	777	43.38	 	174	9.72	 	1	0.06	 	20	1.12	 	0	0	 	4	0.22	 	0	0	 	0	0	 	9	0.5	 	1	0.06	 	7	0.39	 	35	1.95	 	5	0.28	 	1791	94.41	 	106	5.59	 	1897	2.51
Dundas		                                     	36	1.58	 	930	40.84	 	35	1.54	 	4	0.18	 	7	0.31	 	66	2.9	 	821	36.06	 	282	12.38	 	4	0.18	 	29	1.27	 	0	0	 	3	0.13	 	0	0	 	1	0.04	 	4	0.18	 	2	0.09	 	6	0.26	 	41	1.8	 	6	0.26	 	2277	95.43	 	109	4.57	 	2386	3.16
Dundas Valley		                              	10	1.31	 	275	35.9	 	13	1.7	 	2	0.26	 	2	0.26	 	8	1.04	 	298	38.9	 	119	15.54	 	1	0.13	 	3	0.39	 	0	0	 	3	0.39	 	0	0	 	0	0	 	2	0.26	 	1	0.13	 	6	0.78	 	20	2.61	 	3	0.39	 	766	96.84	 	25	3.16	 	791	1.05
Ermington (Parramatta)		                     	3	1.24	 	102	42.15	 	9	3.72	 	0	0	 	0	0	 	5	2.07	 	96	39.67	 	17	7.02	 	0	0	 	1	0.41	 	0	0	 	1	0.41	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.83	 	6	2.48	 	0	0	 	242	94.16	 	15	5.84	 	257	0.34
Ermington Central		                          	30	1.68	 	602	33.76	 	16	0.9	 	3	0.17	 	4	0.22	 	54	3.03	 	828	46.44	 	176	9.87	 	4	0.22	 	28	1.57	 	0	0	 	1	0.06	 	0	0	 	0	0	 	0	0	 	2	0.11	 	9	0.5	 	21	1.18	 	5	0.28	 	1783	93.45	 	125	6.55	 	1908	2.53
Ermington West		                             	36	1.44	 	972	39	 	34	1.36	 	8	0.32	 	3	0.12	 	71	2.85	 	1014	40.69	 	253	10.15	 	0	0	 	28	1.12	 	3	0.12	 	8	0.32	 	0	0	 	2	0.08	 	2	0.08	 	5	0.2	 	8	0.32	 	41	1.65	 	4	0.16	 	2492	94.9	 	134	5.1	 	2626	3.48
Girraween		                                  	31	1.52	 	725	35.63	 	26	1.28	 	7	0.34	 	5	0.25	 	40	1.97	 	901	44.28	 	195	9.58	 	8	0.39	 	26	1.28	 	0	0	 	5	0.25	 	1	0.05	 	2	0.1	 	7	0.34	 	5	0.25	 	20	0.98	 	28	1.38	 	3	0.15	 	2035	95	 	107	5	 	2142	2.84
