Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
West Ipswich		                               	7	1.4	 	0	0	 	1	0.2	 	2	0.4	 	13	2.61	 	4	0.8	 	3	0.6	 	1	0.2	 	124	24.85	 	1	0.2	 	1	0.2	 	0	0	 	2	0.4	 	42	8.42	 	2	0.4	 	193	38.68	 	87	17.43	 	2	0.4	 	0	0	 	1	0.2	 	13	2.61	 	0	0	 	499	96.33	 	19	3.67	 	518	0.69
Special Hospitals		                          	3	1.49	 	0	0	 	0	0	 	0	0	 	9	4.48	 	3	1.49	 	3	1.49	 	2	1	 	28	13.93	 	2	1	 	3	1.49	 	2	1	 	1	0.5	 	3	1.49	 	1	0.5	 	80	39.8	 	59	29.35	 	0	0	 	0	0	 	1	0.5	 	1	0.5	 	0	0	 	201	96.63	 	7	3.37	 	208	0.28
Total Ordinary		                             	513	0.82	 	34	0.05	 	27	0.04	 	345	0.55	 	1206	1.93	 	131	0.21	 	617	0.99	 	135	0.22	 	11311	18.12	 	29	0.05	 	300	0.48	 	47	0.08	 	154	0.25	 	4979	7.98	 	482	0.77	 	27129	43.46	 	13507	21.64	 	251	0.4	 	17	0.03	 	165	0.26	 	1009	1.62	 	41	0.07	 	62429	96.81	 	2054	3.19	 	64483	85.77
ABSENT		                                     	30	0.6	 	1	0.02	 	3	0.06	 	34	0.68	 	136	2.72	 	13	0.26	 	71	1.42	 	15	0.3	 	813	16.27	 	8	0.16	 	36	0.72	 	8	0.16	 	10	0.2	 	391	7.82	 	24	0.48	 	1994	39.9	 	1203	24.07	 	36	0.72	 	0	0	 	21	0.42	 	150	3	 	0	0	 	4997	98.31	 	86	1.69	 	5083	6.76
POSTAL		                                     	17	0.63	 	0	0	 	1	0.04	 	11	0.41	 	89	3.29	 	6	0.22	 	35	1.29	 	2	0.07	 	496	18.31	 	2	0.07	 	10	0.37	 	1	0.04	 	1	0.04	 	155	5.72	 	1	0.04	 	1276	47.1	 	543	20.04	 	19	0.7	 	1	0.04	 	3	0.11	 	39	1.44	 	1	0.04	 	2709	98.54	 	40	1.46	 	2749	3.66
PRE_POLL		                                   	14	0.6	 	3	0.13	 	1	0.04	 	15	0.64	 	69	2.95	 	3	0.13	 	22	0.94	 	4	0.17	 	467	19.95	 	1	0.04	 	14	0.6	 	1	0.04	 	5	0.21	 	177	7.56	 	0	0	 	864	36.91	 	599	25.59	 	15	0.64	 	1	0.04	 	8	0.34	 	55	2.35	 	3	0.13	 	2341	98.78	 	29	1.22	 	2370	3.15
PROVISIONAL		                                	4	0.83	 	0	0	 	0	0	 	10	2.07	 	6	1.24	 	3	0.62	 	5	1.04	 	3	0.62	 	71	14.73	 	0	0	 	6	1.24	 	1	0.21	 	0	0	 	13	2.7	 	1	0.21	 	254	52.7	 	80	16.6	 	5	1.04	 	0	0	 	1	0.21	 	17	3.53	 	2	0.41	 	482	96.59	 	17	3.41	 	499	0.66
Division Summary		                           	578	0.79	 	38	0.05	 	32	0.04	 	415	0.57	 	1506	2.06	 	156	0.21	 	750	1.03	 	159	0.22	 	13158	18.04	 	40	0.05	 	366	0.5	 	58	0.08	 	170	0.23	 	5715	7.83	 	508	0.7	 	31517	43.2	 	15932	21.84	 	326	0.45	 	19	0.03	 	198	0.27	 	1270	1.74	 	47	0.06	 	72958	97.04	 	2226	2.96	 	75184	94.89
 																																																																												

Petrie (84436)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aspley (Petrie)		                            	4	0.55	 	0	0	 	0	0	 	1	0.14	 	25	3.45	 	1	0.14	 	7	0.97	 	0	0	 	66	9.12	 	2	0.28	 	2	0.28	 	0	0	 	0	0	 	51	7.04	 	2	0.28	 	192	26.52	 	349	48.2	 	5	0.69	 	1	0.14	 	1	0.14	 	15	2.07	 	0	0	 	724	97.84	 	16	2.16	 	740	0.92
Aspley West		                                	6	0.17	 	3	0.08	 	0	0	 	28	0.79	 	198	5.6	 	3	0.08	 	19	0.54	 	0	0	 	202	5.72	 	1	0.03	 	3	0.08	 	2	0.06	 	1	0.03	 	360	10.19	 	3	0.08	 	856	24.23	 	1783	50.47	 	9	0.25	 	0	0	 	6	0.17	 	50	1.42	 	0	0	 	3533	97.49	 	91	2.51	 	3624	4.53
Bald Hills		                                 	14	0.57	 	2	0.08	 	2	0.08	 	12	0.49	 	85	3.48	 	4	0.16	 	23	0.94	 	4	0.16	 	276	11.31	 	1	0.04	 	12	0.49	 	1	0.04	 	5	0.2	 	288	11.8	 	7	0.29	 	992	40.66	 	658	26.97	 	7	0.29	 	0	0	 	7	0.29	 	39	1.6	 	1	0.04	 	2440	95.31	 	120	4.69	 	2560	3.2
Bald Hills North		                           	0	0	 	1	0.15	 	1	0.15	 	3	0.44	 	11	1.63	 	2	0.3	 	15	2.22	 	0	0	 	78	11.56	 	0	0	 	5	0.74	 	0	0	 	1	0.15	 	78	11.56	 	2	0.3	 	256	37.93	 	206	30.52	 	0	0	 	2	0.3	 	0	0	 	14	2.07	 	0	0	 	675	98.68	 	9	1.32	 	684	0.85
Ballycara		                                  	3	0.31	 	0	0	 	0	0	 	0	0	 	20	2.05	 	0	0	 	11	1.13	 	1	0.1	 	98	10.05	 	0	0	 	6	0.62	 	0	0	 	1	0.1	 	84	8.62	 	1	0.1	 	274	28.1	 	460	47.18	 	3	0.31	 	0	0	 	2	0.21	 	11	1.13	 	0	0	 	975	94.94	 	52	5.06	 	1027	1.28
Bracken Ridge		                              	17	0.88	 	3	0.15	 	2	0.1	 	2	0.1	 	15	0.77	 	5	0.26	 	30	1.55	 	2	0.1	 	194	10.01	 	0	0	 	2	0.1	 	1	0.05	 	3	0.15	 	203	10.47	 	5	0.26	 	798	41.16	 	616	31.77	 	4	0.21	 	1	0.05	 	3	0.15	 	32	1.65	 	1	0.05	 	1939	97.63	 	47	2.37	 	1986	2.48
Bracken Ridge East		                         	9	0.3	 	0	0	 	1	0.03	 	7	0.24	 	128	4.32	 	4	0.13	 	21	0.71	 	7	0.24	 	265	8.93	 	1	0.03	 	7	0.24	 	3	0.1	 	2	0.07	 	322	10.86	 	4	0.13	 	1031	34.76	 	1093	36.85	 	8	0.27	 	1	0.03	 	5	0.17	 	45	1.52	 	2	0.07	 	2966	97.12	 	88	2.88	 	3054	3.81
Bracken Ridge West		                         	9	0.37	 	2	0.08	 	0	0	 	15	0.61	 	43	1.75	 	1	0.04	 	23	0.94	 	1	0.04	 	238	9.69	 	1	0.04	 	7	0.29	 	0	0	 	1	0.04	 	273	11.12	 	1	0.04	 	953	38.82	 	833	33.93	 	10	0.41	 	0	0	 	4	0.16	 	40	1.63	 	0	0	 	2455	97.65	 	59	2.35	 	2514	3.14
Bridgeman Downs		                            	5	0.27	 	0	0	 	0	0	 	8	0.44	 	36	1.98	 	3	0.16	 	7	0.38	 	1	0.05	 	135	7.42	 	0	0	 	3	0.16	 	0	0	 	0	0	 	142	7.81	 	2	0.11	 	356	19.57	 	1090	59.92	 	4	0.22	 	1	0.05	 	3	0.16	 	23	1.26	 	0	0	 	1819	97.59	 	45	2.41	 	1864	2.33
Brisbane City (Petrie)		                     	0	0	 	0	0	 	0	0	 	3	1.22	 	10	4.08	 	0	0	 	3	1.22	 	0	0	 	11	4.49	 	0	0	 	1	0.41	 	0	0	 	0	0	 	39	15.92	 	0	0	 	94	38.37	 	70	28.57	 	1	0.41	 	0	0	 	6	2.45	 	7	2.86	 	0	0	 	245	97.22	 	7	2.78	 	252	0.31
Carseldine		                                 	16	0.65	 	1	0.04	 	1	0.04	 	22	0.9	 	44	1.79	 	2	0.08	 	14	0.57	 	1	0.04	 	149	6.07	 	1	0.04	 	5	0.2	 	0	0	 	3	0.12	 	222	9.04	 	2	0.08	 	768	31.28	 	1163	47.37	 	7	0.29	 	1	0.04	 	2	0.08	 	31	1.26	 	0	0	 	2455	97.04	 	75	2.96	 	2530	3.16
Chermside		                                  	1	0.2	 	0	0	 	1	0.2	 	3	0.6	 	9	1.79	 	1	0.2	 	3	0.6	 	0	0	 	44	8.76	 	1	0.2	 	3	0.6	 	0	0	 	0	0	 	55	10.96	 	1	0.2	 	215	42.83	 	153	30.48	 	2	0.4	 	0	0	 	2	0.4	 	8	1.59	 	0	0	 	502	96.91	 	16	3.09	 	518	0.65
Chermside Garden Settlement		                	4	0.75	 	0	0	 	0	0	 	0	0	 	8	1.5	 	0	0	 	3	0.56	 	0	0	 	29	5.43	 	0	0	 	2	0.37	 	1	0.19	 	1	0.19	 	26	4.87	 	0	0	 	211	39.51	 	239	44.76	 	2	0.37	 	0	0	 	1	0.19	 	6	1.12	 	1	0.19	 	534	90.97	 	53	9.03	 	587	0.73
Chermside West		                             	8	0.27	 	0	0	 	1	0.03	 	12	0.4	 	171	5.71	 	1	0.03	 	26	0.87	 	0	0	 	263	8.78	 	0	0	 	5	0.17	 	1	0.03	 	5	0.17	 	410	13.68	 	2	0.07	 	927	30.93	 	1092	36.44	 	7	0.23	 	2	0.07	 	4	0.13	 	59	1.97	 	1	0.03	 	2997	97.46	 	78	2.54	 	3075	3.84
Clontarf		                                   	20	0.83	 	0	0	 	0	0	 	11	0.46	 	67	2.77	 	4	0.17	 	22	0.91	 	2	0.08	 	381	15.77	 	2	0.08	 	13	0.54	 	2	0.08	 	2	0.08	 	212	8.77	 	5	0.21	 	887	36.71	 	732	30.3	 	10	0.41	 	0	0	 	8	0.33	 	36	1.49	 	0	0	 	2416	97.3	 	67	2.7	 	2483	3.1
Clontarf Beach		                             	7	0.33	 	0	0	 	0	0	 	1	0.05	 	27	1.29	 	4	0.19	 	22	1.05	 	0	0	 	339	16.18	 	0	0	 	11	0.53	 	3	0.14	 	1	0.05	 	172	8.21	 	0	0	 	862	41.15	 	612	29.21	 	1	0.05	 	0	0	 	10	0.48	 	23	1.1	 	0	0	 	2095	96.9	 	67	3.1	 	2162	2.7
Craigslea		                                  	3	0.33	 	0	0	 	0	0	 	4	0.44	 	22	2.4	 	1	0.11	 	5	0.54	 	0	0	 	84	9.15	 	0	0	 	0	0	 	0	0	 	0	0	 	92	10.02	 	1	0.11	 	248	27.02	 	440	47.93	 	1	0.11	 	0	0	 	4	0.44	 	13	1.42	 	0	0	 	918	95.33	 	45	4.67	 	963	1.2
Deception Bay South (Petrie)		               	9	0.8	 	0	0	 	0	0	 	2	0.18	 	15	1.34	 	1	0.09	 	12	1.07	 	0	0	 	214	19.07	 	1	0.09	 	6	0.53	 	0	0	 	1	0.09	 	77	6.86	 	3	0.27	 	467	41.62	 	306	27.27	 	5	0.45	 	0	0	 	3	0.27	 	0	0	 	0	0	 	1122	96.81	 	37	3.19	 	1159	1.45
Everton Park (Petrie)		                      	4	1.01	 	0	0	 	2	0.51	 	2	0.51	 	8	2.02	 	0	0	 	0	0	 	0	0	 	32	8.08	 	0	0	 	0	0	 	1	0.25	 	0	0	 	43	10.86	 	1	0.25	 	153	38.64	 	146	36.87	 	2	0.51	 	0	0	 	1	0.25	 	1	0.25	 	0	0	 	396	94.74	 	22	5.26	 	418	0.52
Everton Park North (Petrie)		                	5	0.45	 	0	0	 	1	0.09	 	8	0.72	 	21	1.9	 	2	0.18	 	13	1.18	 	1	0.09	 	68	6.15	 	2	0.18	 	1	0.09	 	0	0	 	1	0.09	 	142	12.85	 	1	0.09	 	312	28.24	 	511	46.24	 	2	0.18	 	0	0	 	1	0.09	 	13	1.18	 	0	0	 	1105	96.84	 	36	3.16	 	1141	1.42
Kippa-Ring		                                 	21	0.67	 	2	0.06	 	1	0.03	 	18	0.57	 	91	2.89	 	10	0.32	 	37	1.17	 	4	0.13	 	460	14.59	 	1	0.03	 	14	0.44	 	2	0.06	 	2	0.06	 	259	8.22	 	8	0.25	 	1326	42.07	 	820	26.02	 	13	0.41	 	0	0	 	7	0.22	 	56	1.78	 	0	0	 	3152	95.78	 	139	4.22	 	3291	4.11
Kippa-Ring North		                           	9	0.55	 	1	0.06	 	1	0.06	 	4	0.24	 	27	1.64	 	4	0.24	 	14	0.85	 	5	0.3	 	230	13.96	 	0	0	 	8	0.49	 	0	0	 	2	0.12	 	128	7.77	 	5	0.3	 	617	37.44	 	560	33.98	 	5	0.3	 	0	0	 	7	0.42	 	21	1.27	 	0	0	 	1648	98.04	 	33	1.96	 	1681	2.1
Kippa-Ring West		                            	1	0.07	 	1	0.07	 	1	0.07	 	4	0.26	 	94	6.12	 	1	0.07	 	14	0.91	 	4	0.26	 	259	16.86	 	0	0	 	5	0.33	 	0	0	 	4	0.26	 	112	7.29	 	3	0.2	 	607	39.52	 	392	25.52	 	12	0.78	 	0	0	 	2	0.13	 	19	1.24	 	1	0.07	 	1536	98.4	 	25	1.6	 	1561	1.95
McDowall		                                   	10	0.28	 	3	0.08	 	0	0	 	15	0.42	 	141	3.97	 	2	0.06	 	34	0.96	 	1	0.03	 	216	6.08	 	0	0	 	2	0.06	 	2	0.06	 	4	0.11	 	380	10.69	 	2	0.06	 	965	27.15	 	1712	48.17	 	9	0.25	 	0	0	 	8	0.23	 	46	1.29	 	2	0.06	 	3554	97.4	 	95	2.6	 	3649	4.56
Mango Hill		                                 	2	0.26	 	0	0	 	0	0	 	1	0.13	 	20	2.64	 	0	0	 	18	2.38	 	2	0.26	 	107	14.13	 	0	0	 	0	0	 	0	0	 	0	0	 	71	9.38	 	5	0.66	 	259	34.21	 	261	34.48	 	1	0.13	 	0	0	 	1	0.13	 	9	1.19	 	0	0	 	757	99.34	 	5	0.66	 	762	0.95
Margate		                                    	27	0.84	 	1	0.03	 	1	0.03	 	13	0.4	 	115	3.57	 	7	0.22	 	40	1.24	 	4	0.12	 	467	14.51	 	5	0.16	 	10	0.31	 	2	0.06	 	2	0.06	 	293	9.11	 	2	0.06	 	1326	41.21	 	844	26.23	 	7	0.22	 	1	0.03	 	4	0.12	 	45	1.4	 	2	0.06	 	3218	96.78	 	107	3.22	 	3325	4.15
Moreton Downs		                              	1	0.23	 	0	0	 	1	0.23	 	2	0.46	 	6	1.38	 	1	0.23	 	6	1.38	 	4	0.92	 	61	14.06	 	0	0	 	2	0.46	 	0	0	 	1	0.23	 	36	8.29	 	0	0	 	170	39.17	 	128	29.49	 	6	1.38	 	1	0.23	 	1	0.23	 	7	1.61	 	0	0	 	434	99.09	 	4	0.91	 	438	0.55
Redcliffe		                                  	14	0.54	 	2	0.08	 	1	0.04	 	12	0.46	 	122	4.7	 	1	0.04	 	27	1.04	 	7	0.27	 	385	14.82	 	3	0.12	 	6	0.23	 	2	0.08	 	3	0.12	 	232	8.93	 	5	0.19	 	1002	38.58	 	700	26.95	 	14	0.54	 	0	0	 	4	0.15	 	55	2.12	 	0	0	 	2597	96.08	 	106	3.92	 	2703	3.38
Redcliffe Hospital		                         	13	1.16	 	1	0.09	 	0	0	 	5	0.44	 	24	2.14	 	6	0.53	 	10	0.89	 	1	0.09	 	184	16.37	 	2	0.18	 	0	0	 	1	0.09	 	0	0	 	87	7.74	 	0	0	 	462	41.1	 	310	27.58	 	4	0.36	 	0	0	 	5	0.44	 	9	0.8	 	0	0	 	1124	93.28	 	81	6.72	 	1205	1.5
Rothwell		                                   	7	0.63	 	1	0.09	 	0	0	 	3	0.27	 	15	1.34	 	2	0.18	 	40	3.57	 	2	0.18	 	160	14.3	 	1	0.09	 	1	0.09	 	0	0	 	0	0	 	63	5.63	 	6	0.54	 	385	34.41	 	416	37.18	 	5	0.45	 	0	0	 	3	0.27	 	9	0.8	 	0	0	 	1119	97.47	 	29	2.53	 	1148	1.43
Scarborough		                                	10	0.35	 	0	0	 	0	0	 	11	0.39	 	45	1.58	 	6	0.21	 	27	0.95	 	2	0.07	 	445	15.61	 	3	0.11	 	5	0.18	 	0	0	 	4	0.14	 	278	9.75	 	10	0.35	 	1017	35.67	 	914	32.06	 	13	0.46	 	0	0	 	5	0.18	 	53	1.86	 	3	0.11	 	2851	96.94	 	90	3.06	 	2941	3.67
Scarborough North		                          	8	0.66	 	0	0	 	0	0	 	5	0.41	 	19	1.57	 	3	0.25	 	13	1.08	 	1	0.08	 	212	17.56	 	1	0.08	 	5	0.41	 	0	0	 	2	0.17	 	81	6.71	 	2	0.17	 	427	35.38	 	408	33.8	 	4	0.33	 	0	0	 	1	0.08	 	15	1.24	 	0	0	 	1207	94.52	 	70	5.48	 	1277	1.59
Somerset Hills (Petrie)		                    	16	0.93	 	1	0.06	 	0	0	 	9	0.52	 	38	2.2	 	4	0.23	 	11	0.64	 	1	0.06	 	142	8.23	 	0	0	 	3	0.17	 	2	0.12	 	1	0.06	 	202	11.7	 	3	0.17	 	685	39.69	 	558	32.33	 	10	0.58	 	0	0	 	9	0.52	 	30	1.74	 	1	0.06	 	1726	97.13	 	51	2.87	 	1777	2.22
Stafford (Petrie)		                          	1	0.17	 	0	0	 	0	0	 	2	0.34	 	25	4.23	 	1	0.17	 	2	0.34	 	0	0	 	57	9.64	 	1	0.17	 	1	0.17	 	0	0	 	0	0	 	67	11.34	 	2	0.34	 	235	39.76	 	187	31.64	 	3	0.51	 	0	0	 	1	0.17	 	6	1.02	 	0	0	 	591	95.48	 	28	4.52	 	619	0.77
Stafford Central		                           	9	0.76	 	1	0.08	 	0	0	 	6	0.51	 	24	2.03	 	5	0.42	 	11	0.93	 	2	0.17	 	80	6.77	 	0	0	 	0	0	 	1	0.08	 	0	0	 	138	11.69	 	1	0.08	 	485	41.07	 	394	33.36	 	2	0.17	 	1	0.08	 	5	0.42	 	16	1.35	 	0	0	 	1181	97.12	 	35	2.88	 	1216	1.52
Stafford Heights		                           	16	0.63	 	1	0.04	 	0	0	 	8	0.31	 	34	1.34	 	5	0.2	 	26	1.02	 	6	0.24	 	211	8.3	 	0	0	 	10	0.39	 	0	0	 	0	0	 	364	14.32	 	10	0.39	 	938	36.9	 	858	33.75	 	8	0.31	 	0	0	 	4	0.16	 	41	1.61	 	2	0.08	 	2542	96.25	 	99	3.75	 	2641	3.3
Stafford West (Petrie)		                     	4	0.47	 	0	0	 	0	0	 	3	0.35	 	9	1.06	 	0	0	 	9	1.06	 	0	0	 	64	7.57	 	0	0	 	2	0.24	 	0	0	 	1	0.12	 	76	8.98	 	2	0.24	 	334	39.48	 	317	37.47	 	5	0.59	 	0	0	 	4	0.47	 	16	1.89	 	0	0	 	846	97.8	 	19	2.2	 	865	1.08
Woody Point		                                	13	0.75	 	1	0.06	 	1	0.06	 	3	0.17	 	32	1.84	 	3	0.17	 	18	1.04	 	0	0	 	284	16.37	 	2	0.12	 	5	0.29	 	1	0.06	 	2	0.12	 	140	8.07	 	2	0.12	 	681	39.25	 	495	28.53	 	9	0.52	 	1	0.06	 	5	0.29	 	37	2.13	 	0	0	 	1735	95.49	 	82	4.51	 	1817	2.27
Special Hospitals		                          	1	0.21	 	0	0	 	0	0	 	1	0.21	 	17	3.59	 	1	0.21	 	2	0.42	 	0	0	 	21	4.44	 	1	0.21	 	3	0.63	 	1	0.21	 	2	0.42	 	9	1.9	 	0	0	 	144	30.44	 	267	56.45	 	0	0	 	0	0	 	1	0.21	 	2	0.42	 	0	0	 	473	95.94	 	20	4.06	 	493	0.62
Total Ordinary		                             	327	0.51	 	28	0.04	 	19	0.03	 	269	0.42	 	1861	2.88	 	101	0.16	 	638	0.99	 	66	0.1	 	7211	11.16	 	33	0.05	 	176	0.27	 	29	0.04	 	58	0.09	 	6307	9.76	 	111	0.17	 	22917	35.47	 	23093	35.75	 	220	0.34	 	13	0.02	 	150	0.23	 	958	1.48	 	17	0.03	 	64602	96.78	 	2148	3.22	 	66750	83.36
ABSENT		                                     	23	0.41	 	2	0.04	 	3	0.05	 	42	0.75	 	159	2.82	 	14	0.25	 	76	1.35	 	3	0.05	 	617	10.96	 	2	0.04	 	18	0.32	 	7	0.12	 	3	0.05	 	535	9.5	 	13	0.23	 	2066	36.68	 	1848	32.81	 	24	0.43	 	2	0.04	 	20	0.36	 	151	2.68	 	4	0.07	 	5632	98.22	 	102	1.78	 	5734	7.16
POSTAL		                                     	14	0.38	 	0	0	 	1	0.03	 	8	0.22	 	120	3.29	 	6	0.16	 	36	0.99	 	2	0.05	 	360	9.86	 	1	0.03	 	2	0.05	 	4	0.11	 	4	0.11	 	234	6.41	 	8	0.22	 	1358	37.21	 	1436	39.34	 	15	0.41	 	2	0.05	 	3	0.08	 	36	0.99	 	0	0	 	3650	98.49	 	56	1.51	 	3706	4.63
PRE_POLL		                                   	15	0.43	 	1	0.03	 	0	0	 	17	0.48	 	106	3.01	 	6	0.17	 	46	1.31	 	1	0.03	 	433	12.29	 	1	0.03	 	10	0.28	 	2	0.06	 	1	0.03	 	267	7.58	 	5	0.14	 	1179	33.46	 	1355	38.45	 	5	0.14	 	0	0	 	4	0.11	 	70	1.99	 	0	0	 	3524	98.88	 	40	1.12	 	3564	4.45
PROVISIONAL		                                	1	0.32	 	0	0	 	1	0.32	 	0	0	 	4	1.29	 	1	0.32	 	2	0.65	 	0	0	 	44	14.24	 	0	0	 	1	0.32	 	1	0.32	 	0	0	 	16	5.18	 	2	0.65	 	149	48.22	 	76	24.6	 	1	0.32	 	0	0	 	0	0	 	9	2.91	 	1	0.32	 	309	97.17	 	9	2.83	 	318	0.4
Division Summary		                           	380	0.49	 	31	0.04	 	24	0.03	 	336	0.43	 	2250	2.9	 	128	0.16	 	798	1.03	 	72	0.09	 	8665	11.15	 	37	0.05	 	207	0.27	 	43	0.06	 	66	0.08	 	7359	9.47	 	139	0.18	 	27669	35.6	 	27808	35.78	 	265	0.34	 	17	0.02	 	177	0.23	 	1224	1.57	 	22	0.03	 	77717	97.06	 	2355	2.94	 	80072	94.83
 																																																																												

Rankin (77968)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Algester		                                   	22	0.47	 	2	0.04	 	1	0.02	 	22	0.47	 	59	1.26	 	9	0.19	 	71	1.52	 	5	0.11	 	460	9.82	 	1	0.02	 	6	0.13	 	2	0.04	 	3	0.06	 	515	11	 	7	0.15	 	1669	35.64	 	1740	37.16	 	12	0.26	 	0	0	 	9	0.19	 	67	1.43	 	1	0.02	 	4683	96.52	 	169	3.48	 	4852	6.67
Berrinba East		                              	23	1.11	 	0	0	 	2	0.1	 	15	0.72	 	18	0.87	 	2	0.1	 	34	1.64	 	4	0.19	 	344	16.55	 	1	0.05	 	15	0.72	 	1	0.05	 	4	0.19	 	147	7.07	 	1	0.05	 	1117	53.75	 	310	14.92	 	6	0.29	 	1	0.05	 	6	0.29	 	27	1.3	 	0	0	 	2078	95.98	 	87	4.02	 	2165	2.98
Boronia Heights		                            	22	0.64	 	1	0.03	 	2	0.06	 	20	0.58	 	43	1.25	 	5	0.15	 	48	1.4	 	3	0.09	 	473	13.76	 	2	0.06	 	20	0.58	 	4	0.12	 	4	0.12	 	228	6.63	 	15	0.44	 	1509	43.9	 	933	27.15	 	14	0.41	 	1	0.03	 	16	0.47	 	73	2.12	 	1	0.03	 	3437	95.45	 	164	4.55	 	3601	4.95
Brisbane City (Rankin)		                     	2	1.12	 	0	0	 	0	0	 	2	1.12	 	2	1.12	 	0	0	 	1	0.56	 	0	0	 	11	6.15	 	0	0	 	1	0.56	 	2	1.12	 	0	0	 	33	18.44	 	1	0.56	 	69	38.55	 	40	22.35	 	1	0.56	 	0	0	 	1	0.56	 	11	6.15	 	2	1.12	 	179	96.76	 	6	3.24	 	185	0.25
Browns Plains		                              	24	0.87	 	2	0.07	 	0	0	 	14	0.51	 	47	1.7	 	10	0.36	 	64	2.32	 	3	0.11	 	404	14.63	 	0	0	 	12	0.43	 	2	0.07	 	2	0.07	 	226	8.18	 	10	0.36	 	1195	43.27	 	678	24.55	 	15	0.54	 	0	0	 	3	0.11	 	50	1.81	 	1	0.04	 	2762	95.57	 	128	4.43	 	2890	3.97
Burrowes		                                   	13	0.75	 	0	0	 	1	0.06	 	11	0.64	 	24	1.39	 	0	0	 	26	1.5	 	4	0.23	 	263	15.21	 	0	0	 	12	0.69	 	2	0.12	 	1	0.06	 	119	6.88	 	3	0.17	 	819	47.37	 	374	21.63	 	8	0.46	 	0	0	 	4	0.23	 	45	2.6	 	0	0	 	1729	97.35	 	47	2.65	 	1776	2.44
Calamvale (Rankin)		                         	14	0.39	 	0	0	 	1	0.03	 	25	0.69	 	187	5.17	 	4	0.11	 	47	1.3	 	4	0.11	 	262	7.24	 	0	0	 	10	0.28	 	0	0	 	3	0.08	 	318	8.79	 	8	0.22	 	1183	32.69	 	1490	41.17	 	7	0.19	 	0	0	 	6	0.17	 	49	1.35	 	1	0.03	 	3619	96.15	 	145	3.85	 	3764	5.17
Crestmead		                                  	28	0.9	 	2	0.06	 	5	0.16	 	14	0.45	 	77	2.48	 	9	0.29	 	86	2.77	 	7	0.23	 	516	16.59	 	0	0	 	17	0.55	 	1	0.03	 	3	0.1	 	145	4.66	 	9	0.29	 	1530	49.2	 	583	18.75	 	14	0.45	 	1	0.03	 	9	0.29	 	53	1.7	 	1	0.03	 	3110	96.58	 	110	3.42	 	3220	4.43
Harris Fields		                              	31	1	 	2	0.06	 	1	0.03	 	22	0.71	 	42	1.35	 	4	0.13	 	58	1.86	 	5	0.16	 	487	15.65	 	2	0.06	 	18	0.58	 	2	0.06	 	10	0.32	 	211	6.78	 	12	0.39	 	1619	52.02	 	510	16.39	 	19	0.61	 	1	0.03	 	5	0.16	 	51	1.64	 	0	0	 	3112	94.68	 	175	5.32	 	3287	4.52
