House of Representatives - 2001 Election: Victoria																												
Distribution of Preferences																												
By Polling Place																												
Wannon																												
				MCDONALD			PACKER			O'BRIEN			BLAIR			WITNEY			SCHMIDT			HAWKER			MORROW			
		TOTAL		29	1.34		76	3.52					156	7.23		47	2.18		42	1.95		1034	47.94		773	35.84		2157
	THIRD			10	21.28		0	0.00					12	25.53			Excluded		6	12.77		10	21.28		9	19.15		47
		TOTAL		39	1.81		76	3.52					168	7.79					48	2.23		1044	48.40		782	36.25		2157
	FOURTH				Excluded		20	51.28					7	17.95					2	5.13		6	15.38		4	10.26		39
		TOTAL					96	4.45					175	8.11					50	2.32		1050	48.68		786	36.44		2157
	FIFTH						5	10.00					12	24.00						Excluded		20	40.00		13	26.00		50
		TOTAL					101	4.68					187	8.67								1070	49.61		799	37.04		2157
	SIXTH							Excluded					58	57.43								18	17.82		25	24.75		101
		TOTAL											245	11.36								1088	50.44		824	38.20		2157
	SEVENTH													Excluded								100	40.82		145	59.18		245
		TOTAL																				1188	55.08		969	44.92		2157
																						Elected						
																												
Warrnambool Hospital                                           																												
	FIRST			3	0.84		16	4.48		9	2.52		22	6.16		2	0.56		4	1.12		153	42.86		148	41.46		357
	SECOND			1	11.11		0	0.00			Excluded		2	22.22		2	22.22		0	0.00		3	33.33		1	11.11		9
		TOTAL		4	1.12		16	4.48					24	6.72		4	1.12		4	1.12		156	43.70		149	41.74		357
	THIRD			1	25.00		1	25.00					0	0.00			Excluded		0	0.00		2	50.00		0	0.00		4
		TOTAL		5	1.40		17	4.76					24	6.72					4	1.12		158	44.26		149	41.74		357
	FOURTH				Excluded		2	40.00					0	0.00					2	40.00		0	0.00		1	20.00		5
		TOTAL					19	5.32					24	6.72					6	1.68		158	44.26		150	42.02		357
	FIFTH						0	0.00					2	33.33						Excluded		3	50.00		1	16.67		6
		TOTAL					19	5.32					26	7.28								161	45.10		151	42.30		357
	SIXTH							Excluded					12	63.16								3	15.79		4	21.05		19
		TOTAL											38	10.64								164	45.94		155	43.42		357
	SEVENTH													Excluded								17	44.74		21	55.26		38
		TOTAL																				181	50.70		176	49.30		357
																						Elected						
																												
Warrnambool North                                              																												
	FIRST			21	1.52		45	3.25		26	1.88		74	5.34		35	2.53		24	1.73		674	48.63		487	35.14		1386
	SECOND			9	34.62		5	19.23			Excluded		5	19.23		1	3.85		2	7.69		2	7.69		2	7.69		26
		TOTAL		30	2.16		50	3.61					79	5.70		36	2.60		26	1.88		676	48.77		489	35.28		1386
	THIRD			5	13.89		1	2.78					4	11.11			Excluded		5	13.89		12	33.33		9	25.00		36
		TOTAL		35	2.53		51	3.68					83	5.99					31	2.24		688	49.64		498	35.93		1386
	FOURTH				Excluded		11	31.43					6	17.14					4	11.43		10	28.57		4	11.43		35
		TOTAL					62	4.47					89	6.42					35	2.53		698	50.36		502	36.22		1386
	FIFTH						5	14.29					9	25.71						Excluded		10	28.57		11	31.43		35
		TOTAL					67	4.83					98	7.07								708	51.08		513	37.01		1386
	SIXTH							Excluded					39	58.21								14	20.90		14	20.90		67
		TOTAL											137	9.88								722	52.09		527	38.02		1386
	SEVENTH													Excluded								45	32.85		92	67.15		137
		TOTAL																				767	55.34		619	44.66		1386
																						Elected						
																												
Warrnambool SDS                                                																												
	FIRST			15	1.30		26	2.26		25	2.17		54	4.69		17	1.48		18	1.56		530	46.01		467	40.54		1152
	SECOND			4	16.00		6	24.00			Excluded		5	20.00		3	12.00		0	0.00		1	4.00		6	24.00		25
		TOTAL		19	1.65		32	2.78					59	5.12		20	1.74		18	1.56		531	46.09		473	41.06		1152
	THIRD			0	0.00		0	0.00					7	35.00			Excluded		5	25.00		7	35.00		1	5.00		20
		TOTAL		19	1.65		32	2.78					66	5.73					23	2.00		538	46.70		474	41.15		1152
	FOURTH				Excluded		9	47.37					5	26.32					1	5.26		2	10.53		2	10.53		19
		TOTAL					41	3.56					71	6.16					24	2.08		540	46.88		476	41.32		1152
	FIFTH						1	4.17					5	20.83						Excluded		10	41.67		8	33.33		24
		TOTAL					42	3.65					76	6.60								550	47.74		484	42.01		1152
	SIXTH							Excluded					19	45.24								13	30.95		10	23.81		42
		TOTAL											95	8.25								563	48.87		494	42.88		1152
	SEVENTH													Excluded								27	28.42		68	71.58		95
		TOTAL																				590	51.22		562	48.78		1152
																						Elected						
																												
Warrnambool South                                              																												
	FIRST			3	0.63		10	2.11		12	2.54		16	3.38		13	2.75		13	2.75		226	47.78		180	38.05		473
	SECOND			1	8.33		1	8.33			Excluded		3	25.00		0	0.00		0	0.00		2	16.67		5	41.67		12
		TOTAL		4	0.85		11	2.33					19	4.02		13	2.75		13	2.75		228	48.20		185	39.11		473
	THIRD			1	7.69		1	7.69					2	15.38			Excluded		2	15.38		2	15.38		5	38.46		13
		TOTAL		5	1.06		12	2.54					21	4.44					15	3.17		230	48.63		190	40.17		473
	FOURTH				Excluded		2	40.00					2	40.00					0	0.00		0	0.00		1	20.00		5
		TOTAL					14	2.96					23	4.86					15	3.17		230	48.63		191	40.38		473
	FIFTH						0	0.00					5	33.33						Excluded		5	33.33		5	33.33		15
		TOTAL					14	2.96					28	5.92								235	49.68		196	41.44		473
	SIXTH							Excluded					4	28.57								3	21.43		7	50.00		14
		TOTAL											32	6.77								238	50.32		203	42.92		473
	SEVENTH													Excluded								9	28.13		23	71.88		32
		TOTAL																				247	52.22		226	47.78		473
																						Elected						
																												
Warrnambool West                                               																												
	FIRST			24	1.07		77	3.42		30	1.33		55	2.44		36	1.60		63	2.80		1166	51.80		800	35.54		2251
	SECOND			3	10.00		7	23.33			Excluded		8	26.67		2	6.67		1	3.33		0	0.00		9	30.00		30
		TOTAL		27	1.20		84	3.73					63	2.80		38	1.69		64	2.84		1166	51.80		809	35.94		2251
	THIRD			8	21.05		2	5.26					9	23.68			Excluded		7	18.42		8	21.05		4	10.53		38
		TOTAL		35	1.55		86	3.82					72	3.20					71	3.15		1174	52.15		813	36.12		2251
	FOURTH				Excluded		17	48.57					6	17.14					4	11.43		5	14.29		3	8.57		35
		TOTAL					103	4.58					78	3.47					75	3.33		1179	52.38		816	36.25		2251
	FIFTH						14	18.67					11	14.67						Excluded		27	36.00		23	30.67		75
		TOTAL					117	5.20					89	3.95								1206	53.58		839	37.27		2251
	SIXTH							Excluded					72	61.54								17	14.53		28	23.93		117
		TOTAL											161	7.15								1223	54.33		867	38.52		2251
	SEVENTH													Excluded								86	53.42		75	46.58		161
		TOTAL																				1309	58.15		942	41.85		2251
																						Elected						
																												
Willaura                                                       																												
	FIRST			4	1.08		8	2.15		7	1.88		10	2.69		0	0.00		15	4.03		234	62.90		94	25.27		372
	SECOND			2	28.57		1	14.29			Excluded		0	0.00		0	0.00		1	14.29		2	28.57		1	14.29		7
		TOTAL		6	1.61		9	2.42					10	2.69		0	0.00		16	4.30		236	63.44		95	25.54		372
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		6	1.61		9	2.42					10	2.69					16	4.30		236	63.44		95	25.54		372
	FOURTH				Excluded		2	33.33					1	16.67					3	50.00		0	0.00		0	0.00		6
		TOTAL					11	2.96					11	2.96					19	5.11		236	63.44		95	25.54		372
	FIFTH						2	10.53					4	21.05						Excluded		10	52.63		3	15.79		19
		TOTAL					13	3.49					15	4.03								246	66.13		98	26.34		372
	SIXTH							Excluded					9	69.23								3	23.08		1	7.69		13
		TOTAL											24	6.45								249	66.94		99	26.61		372
	SEVENTH													Excluded								13	54.17		11	45.83		24
		TOTAL																				262	70.43		110	29.57		372
																						Elected						
																												
Wiridjil (Wannon)                                              																												
	FIRST			2	2.04		1	1.02		0	0.00		2	2.04		2	2.04		2	2.04		83	84.69		6	6.12		98
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	2.04		1	1.02					2	2.04		2	2.04		2	2.04		83	84.69		6	6.12		98
	THIRD			1	50.00		0	0.00					0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2
		TOTAL		3	3.06		1	1.02					2	2.04					2	2.04		84	85.71		6	6.12		98
	FOURTH				Excluded		1	33.33					0	0.00					1	33.33		0	0.00		1	33.33		3
		TOTAL					2	2.04					2	2.04					3	3.06		84	85.71		7	7.14		98
	FIFTH						0	0.00					1	33.33						Excluded		2	66.67		0	0.00		3
		TOTAL					2	2.04					3	3.06								86	87.76		7	7.14		98
	SIXTH							Excluded					2	100.00								0	0.00		0	0.00		2
		TOTAL											5	5.10								86	87.76		7	7.14		98
	SEVENTH													Excluded								4	80.00		1	20.00		5
		TOTAL																				90	91.84		8	8.16		98
																						Elected						
																												
Woodford                                                       																												
	FIRST			9	2.28		7	1.77		3	0.76		19	4.81		10	2.53		8	2.03		241	61.01		98	24.81		395
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		2	66.67		3
		TOTAL		9	2.28		7	1.77					19	4.81		11	2.78		8	2.03		241	61.01		100	25.32		395
	THIRD			2	18.18		0	0.00					3	27.27			Excluded		1	9.09		3	27.27		2	18.18		11
		TOTAL		11	2.78		7	1.77					22	5.57					9	2.28		244	61.77		102	25.82		395
	FOURTH				Excluded		5	45.45					1	9.09					1	9.09		3	27.27		1	9.09		11
		TOTAL					12	3.04					23	5.82					10	2.53		247	62.53		103	26.08		395
	FIFTH						0	0.00					5	50.00						Excluded		2	20.00		3	30.00		10
		TOTAL					12	3.04					28	7.09								249	63.04		106	26.84		395
	SIXTH							Excluded					10	83.33								0	0.00		2	16.67		12
		TOTAL											38	9.62								249	63.04		108	27.34		395
	SEVENTH													Excluded								16	42.11		22	57.89		38
		TOTAL																				265	67.09		130	32.91		395
																						Elected						
																												
Woolsthorpe                                                    																												
	FIRST			10	3.13		5	1.57		5	1.57		16	5.02		6	1.88		7	2.19		192	60.19		78	24.45		319
	SECOND			1	20.00		0	0.00			Excluded		0	0.00		0	0.00		1	20.00		1	20.00		2	40.00		5
		TOTAL		11	3.45		5	1.57					16	5.02		6	1.88		8	2.51		193	60.50		80	25.08		319
	THIRD			1	16.67		0	0.00					0	0.00			Excluded		1	16.67		2	33.33		2	33.33		6
		TOTAL		12	3.76		5	1.57					16	5.02					9	2.82		195	61.13		82	25.71		319
	FOURTH				Excluded		3	25.00					1	8.33					0	0.00		5	41.67		3	25.00		12
		TOTAL					8	2.51					17	5.33					9	2.82		200	62.70		85	26.65		319
	FIFTH						2	22.22					3	33.33						Excluded		3	33.33		1	11.11		9
		TOTAL					10	3.13					20	6.27								203	63.64		86	26.96		319
	SIXTH							Excluded					4	40.00								5	50.00		1	10.00		10
		TOTAL											24	7.52								208	65.20		87	27.27		319
	SEVENTH													Excluded								13	54.17		11	45.83		24
		TOTAL																				221	69.28		98	30.72		319
																						Elected						
																												
Woorndoo                                                       																												
	FIRST			0	0.00		1	1.67		0	0.00		4	6.67		1	1.67		1	1.67		48	80.00		5	8.33		60
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		1	1.67					4	6.67		1	1.67		1	1.67		48	80.00		5	8.33		60
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		0	0.00		1	1.67					4	6.67					1	1.67		48	80.00		6	10.00		60
	FOURTH				Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					1	1.67					4	6.67					1	1.67		48	80.00		6	10.00		60
	FIFTH						0	0.00					1	100.00						Excluded		0	0.00		0	0.00		1
		TOTAL					1	1.67					5	8.33								48	80.00		6	10.00		60
	SIXTH							Excluded					0	0.00								0	0.00		1	100.00		1
		TOTAL											5	8.33								48	80.00		7	11.67		60
	SEVENTH													Excluded								3	60.00		2	40.00		5
		TOTAL																				51	85.00		9	15.00		60
																						Elected						
																												
Yambuk                                                         																												
	FIRST			5	2.39		8	3.83		2	0.96		9	4.31		12	5.74		12	5.74		132	63.16		29	13.88		209
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		5	2.39		8	3.83					9	4.31		13	6.22		12	5.74		132	63.16		30	14.35		209
	THIRD			2	15.38		0	0.00					3	23.08			Excluded		4	30.77		3	23.08		1	7.69		13
		TOTAL		7	3.35		8	3.83					12	5.74					16	7.66		135	64.59		31	14.83		209
	FOURTH				Excluded		2	28.57					1	14.29					0	0.00		3	42.86		1	14.29		7
		TOTAL					10	4.78					13	6.22					16	7.66		138	66.03		32	15.31		209
	FIFTH						3	18.75					3	18.75						Excluded		5	31.25		5	31.25		16
		TOTAL					13	6.22					16	7.66								143	68.42		37	17.70		209
	SIXTH							Excluded					6	46.15								5	38.46		2	15.38		13
		TOTAL											22	10.53								148	70.81		39	18.66		209
	SEVENTH													Excluded								5	22.73		17	77.27		22
		TOTAL																				153	73.21		56	26.79		209
																						Elected						
																												
Special Hospital Team 1                                        																												
	FIRST			4	3.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		61	59.80		37	36.27		102
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	3.92		0	0.00					0	0.00		0	0.00		0	0.00		61	59.80		37	36.27		102
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	3.92		0	0.00					0	0.00					0	0.00		61	59.80		37	36.27		102
	FOURTH				Excluded		3	75.00					0	0.00					0	0.00		1	25.00		0	0.00		4
		TOTAL					3	2.94					0	0.00					0	0.00		62	60.78		37	36.27		102
	FIFTH						0	0.00					0	0.00						Excluded		0	0.00		0	0.00		0
		TOTAL					3	2.94					0	0.00								62	60.78		37	36.27		102
	SIXTH							Excluded					3	100.00								0	0.00		0	0.00		3
		TOTAL											3	2.94								62	60.78		37	36.27		102
	SEVENTH													Excluded								3	100.00		0	0.00		3
		TOTAL																				65	63.73		37	36.27		102
																						Elected						
																												
Special Hospital Team 2                                        																												
	FIRST			2	1.68		0	0.00		0	0.00		0	0.00		0	0.00		1	0.84		79	66.39		37	31.09		119
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.68		0	0.00					0	0.00		0	0.00		1	0.84		79	66.39		37	31.09		119
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.68		0	0.00					0	0.00					1	0.84		79	66.39		37	31.09		119
	FOURTH				Excluded		1	50.00					0	0.00					0	0.00		1	50.00		0	0.00		2
		TOTAL					1	0.84					0	0.00					1	0.84		80	67.23		37	31.09		119
	FIFTH						0	0.00					0	0.00						Excluded		1	100.00		0	0.00		1
		TOTAL					1	0.84					0	0.00								81	68.07		37	31.09		119
	SIXTH							Excluded					1	100.00								0	0.00		0	0.00		1
		TOTAL											1	0.84								81	68.07		37	31.09		119
	SEVENTH													Excluded								1	100.00		0	0.00		1
		TOTAL																				82	68.91		37	31.09		119
																						Elected						
																												
Special Hospital Team 3                                        																												
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		33	53.23		29	46.77		62
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		33	53.23		29	46.77		62
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00					0	0.00					0	0.00		33	53.23		29	46.77		62
	FOURTH				Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					0	0.00					0	0.00					0	0.00		33	53.23		29	46.77		62
	FIFTH						0	0.00					0	0.00						Excluded		0	0.00		0	0.00		0
		TOTAL					0	0.00					0	0.00								33	53.23		29	46.77		62
	SIXTH							Excluded					0	0.00								0	0.00		0	0.00		0
		TOTAL											0	0.00								33	53.23		29	46.77		62
	SEVENTH													Excluded								0	0.00		0	0.00		0
		TOTAL																				33	53.23		29	46.77		62
																						Elected						
																												
ABSENT																												
	FIRST			121	2.96		283	6.92		56	1.37		282	6.89		115	2.81		117	2.86		1942	47.47		1175	28.72		4091
	SECOND			19	33.93		8	14.29			Excluded		12	21.43		5	8.93		3	5.36		4	7.14		5	8.93		56
		TOTAL		140	3.42		291	7.11					294	7.19		120	2.93		120	2.93		1946	47.57		1180	28.84		4091
	THIRD			20	16.67		11	9.17					21	17.50			Excluded		13	10.83		35	29.17		20	16.67		120
		TOTAL		160	3.91		302	7.38					315	7.70					133	3.25		1981	48.42		1200	29.33		4091
	FOURTH				Excluded		75	46.88					25	15.63					17	10.63		28	17.50		15	9.38		160
		TOTAL					377	9.22					340	8.31					150	3.67		2009	49.11		1215	29.70		4091
	FIFTH						24	16.00					40	26.67						Excluded		62	41.33		24	16.00		150
		TOTAL					401	9.80					380	9.29								2071	50.62		1239	30.29		4091
	SIXTH							Excluded					224	55.86								84	20.95		93	23.19		401
		TOTAL											604	14.76								2155	52.68		1332	32.56		4091
	SEVENTH													Excluded								261	43.21		343	56.79		604
		TOTAL																				2416	59.06		1675	40.94		4091
																						Elected						
																												
POSTAL																												
	FIRST			90	2.06		104	2.38		23	0.53		85	1.94		54	1.23		180	4.12		2678	61.24		1159	26.50		4373
	SECOND			8	34.78		2	8.70			Excluded		2	8.70		5	21.74		1	4.35		3	13.04		2	8.70		23
		TOTAL		98	2.24		106	2.42					87	1.99		59	1.35		181	4.14		2681	61.31		1161	26.55		4373
	THIRD			11	18.64		9	15.25					4	6.78			Excluded		13	22.03		10	16.95		12	20.34		59
		TOTAL		109	2.49		115	2.63					91	2.08					194	4.44		2691	61.54		1173	26.82		4373
	FOURTH				Excluded		35	32.11					11	10.09					28	25.69		26	23.85		9	8.26		109
		TOTAL					150	3.43					102	2.33					222	5.08		2717	62.13		1182	27.03		4373
	FIFTH						43	19.37					33	14.86						Excluded		90	40.54		56	25.23		222
		TOTAL					193	4.41					135	3.09								2807	64.19		1238	28.31		4373
	SIXTH							Excluded					99	51.30								51	26.42		43	22.28		193
		TOTAL											234	5.35								2858	65.36		1281	29.29		4373
	SEVENTH													Excluded								105	44.87		129	55.13		234
		TOTAL																				2963	67.76		1410	32.24		4373
																						Elected						
																												
PRE POLL																												
	FIRST			98	2.24		146	3.34		59	1.35		188	4.30		64	1.46		120	2.74		2305	52.69		1395	31.89		4375
	SECOND			13	22.03		11	18.64			Excluded		12	20.34		5	8.47		1	1.69		9	15.25		8	13.56		59
		TOTAL		111	2.54		157	3.59					200	4.57		69	1.58		121	2.77		2314	52.89		1403	32.07		4375
	THIRD			12	17.39		5	7.25					17	24.64			Excluded		11	15.94		20	28.99		4	5.80		69
		TOTAL		123	2.81		162	3.70					217	4.96					132	3.02		2334	53.35		1407	32.16		4375
	FOURTH				Excluded		52	42.28					12	9.76					20	16.26		24	19.51		15	12.20		123
		TOTAL					214	4.89					229	5.23					152	3.47		2358	53.90		1422	32.50		4375
	FIFTH						28	18.42					29	19.08						Excluded		65	42.76		30	19.74		152
		TOTAL					242	5.53					258	5.90								2423	55.38		1452	33.19		4375
	SIXTH							Excluded					134	55.37								56	23.14		52	21.49		242
		TOTAL											392	8.96								2479	56.66		1504	34.38		4375
	SEVENTH													Excluded								174	44.39		218	55.61		392
		TOTAL																				2653	60.64		1722	39.36		4375
																						Elected						
																												
PROVISIONAL																												
	FIRST			13	2.98		15	3.44		9	2.06		27	6.19		16	3.67		10	2.29		190	43.58		156	35.78		436
	SECOND			2	22.22		0	0.00			Excluded		2	22.22		1	11.11		0	0.00		2	22.22		2	22.22		9
		TOTAL		15	3.44		15	3.44					29	6.65		17	3.90		10	2.29		192	44.04		158	36.24		436
	THIRD			4	23.53		1	5.88					2	11.76			Excluded		2	11.76		3	17.65		5	29.41		17
		TOTAL		19	4.36		16	3.67					31	7.11					12	2.75		195	44.72		163	37.39		436
	FOURTH				Excluded		10	52.63					4	21.05					1	5.26		2	10.53		2	10.53		19
		TOTAL					26	5.96					35	8.03					13	2.98		197	45.18		165	37.84		436
	FIFTH						1	7.69					3	23.08						Excluded		5	38.46		4	30.77		13
		TOTAL					27	6.19					38	8.72								202	46.33		169	38.76		436
	SIXTH							Excluded					20	74.07								3	11.11		4	14.81		27
		TOTAL											58	13.30								205	47.02		173	39.68		436
	SEVENTH													Excluded								32	55.17		26	44.83		58
		TOTAL																				237	54.36		199	45.64		436
																						Elected						
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
