House of Representatives - 2001 Election: Victoria																																
Distribution of Preferences																																
By Polling Place																																
Indi																																
				ADAMS			MURDOCH			BENNETTS			CHUCK			SEYMOUR			WARDLE			CHAMBERS			PANOPOULOS			MCINTOSH				
		TOTAL					11	10.68		2	1.94								5	4.85		11	10.68		53	51.46		21	20.39		103	
	FIFTH						0	0.00			Excluded								0	0.00		0	0.00		1	50.00		1	50.00		2	
		TOTAL					11	10.68											5	4.85		11	10.68		54	52.43		22	21.36		103	
	SIXTH						3	60.00												Excluded		1	20.00		0	0.00		1	20.00		5	
		TOTAL					14	13.59														12	11.65		54	52.43		23	22.33		103	
	SEVENTH						6	26.09														6	26.09		11	47.83			Excluded		23	
		TOTAL					20	19.42														18	17.48		65	63.11					103	
	EIGHTH						0	0.00															Excluded		18	100.00					18	
		TOTAL					20	19.42																	83	80.58					103	
																									Elected							
																																
Tarrawingee                                                    																																
	FIRST			4	1.79		43	19.28		6	2.69		10	4.48		1	0.45		7	3.14		64	28.70		83	37.22		5	2.24		223	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		4	1.79		43	19.28		6	2.69		10	4.48					7	3.14		65	29.15		83	37.22		5	2.24		223	
	THIRD				Excluded		1	25.00		2	50.00		0	0.00					0	0.00		0	0.00		1	25.00		0	0.00		4	
		TOTAL					44	19.73		8	3.59		10	4.48					7	3.14		65	29.15		84	37.67		5	2.24		223	
	FOURTH						1	10.00		0	0.00			Excluded					4	40.00		2	20.00		2	20.00		1	10.00		10	
		TOTAL					45	20.18		8	3.59								11	4.93		67	30.04		86	38.57		6	2.69		223	
	FIFTH						1	12.50			Excluded								0	0.00		2	25.00		1	12.50		4	50.00		8	
		TOTAL					46	20.63											11	4.93		69	30.94		87	39.01		10	4.48		223	
	SIXTH						7	63.64												Excluded		3	27.27		1	9.09		0	0.00		11	
		TOTAL					53	23.77														72	32.29		88	39.46		10	4.48		223	
	SEVENTH						5	50.00														4	40.00		1	10.00			Excluded		10	
		TOTAL					58	26.01														76	34.08		89	39.91					223	
	EIGHTH						8	10.53															Excluded		68	89.47					76	
		TOTAL					66	29.60																	157	70.40					223	
																									Elected							
																																
Tatong                                                         																																
	FIRST			4	2.27		47	26.70		4	2.27		6	3.41		0	0.00		11	6.25		29	16.48		71	40.34		4	2.27		176	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	2.27		47	26.70		4	2.27		6	3.41					11	6.25		29	16.48		71	40.34		4	2.27		176	
	THIRD				Excluded		2	50.00		0	0.00		0	0.00					1	25.00		0	0.00		0	0.00		1	25.00		4	
		TOTAL					49	27.84		4	2.27		6	3.41					12	6.82		29	16.48		71	40.34		5	2.84		176	
	FOURTH						0	0.00		0	0.00			Excluded					3	50.00		0	0.00		3	50.00		0	0.00		6	
		TOTAL					49	27.84		4	2.27								15	8.52		29	16.48		74	42.05		5	2.84		176	
	FIFTH						0	0.00			Excluded								0	0.00		1	25.00		1	25.00		2	50.00		4	
		TOTAL					49	27.84											15	8.52		30	17.05		75	42.61		7	3.98		176	
	SIXTH						8	53.33												Excluded		3	20.00		1	6.67		3	20.00		15	
		TOTAL					57	32.39														33	18.75		76	43.18		10	5.68		176	
	SEVENTH						4	40.00														3	30.00		3	30.00			Excluded		10	
		TOTAL					61	34.66														36	20.45		79	44.89					176	
	EIGHTH						7	19.44															Excluded		29	80.56					36	
		TOTAL					68	38.64																	108	61.36					176	
																									Elected							
																																
Tawonga                                                        																																
	FIRST			1	0.27		98	26.27		16	4.29		12	3.22		12	3.22		14	3.75		23	6.17		164	43.97		33	8.85		373	
	SECOND			0	0.00		0	0.00		1	8.33		2	16.67			Excluded		3	25.00		0	0.00		3	25.00		3	25.00		12	
		TOTAL		1	0.27		98	26.27		17	4.56		14	3.75					17	4.56		23	6.17		167	44.77		36	9.65		373	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					99	26.54		17	4.56		14	3.75					17	4.56		23	6.17		167	44.77		36	9.65		373	
	FOURTH						5	35.71		2	14.29			Excluded					6	42.86		1	7.14		0	0.00		0	0.00		14	
		TOTAL					104	27.88		19	5.09								23	6.17		24	6.43		167	44.77		36	9.65		373	
	FIFTH						5	26.32			Excluded								2	10.53		2	10.53		3	15.79		7	36.84		19	
		TOTAL					109	29.22											25	6.70		26	6.97		170	45.58		43	11.53		373	
	SIXTH						13	52.00												Excluded		1	4.00		3	12.00		8	32.00		25	
		TOTAL					122	32.71														27	7.24		173	46.38		51	13.67		373	
	SEVENTH						28	54.90														16	31.37		7	13.73			Excluded		51	
		TOTAL					150	40.21														43	11.53		180	48.26					373	
	EIGHTH						6	13.95															Excluded		37	86.05					43	
		TOTAL					156	41.82																	217	58.18					373	
																									Elected							
																																
Thoona                                                         																																
	FIRST			1	0.47		39	18.14		15	6.98		11	5.12		5	2.33		11	5.12		60	27.91		63	29.30		10	4.65		215	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	60.00		2	40.00		0	0.00		5	
		TOTAL		1	0.47		39	18.14		15	6.98		11	5.12					11	5.12		63	29.30		65	30.23		10	4.65		215	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					40	18.60		15	6.98		11	5.12					11	5.12		63	29.30		65	30.23		10	4.65		215	
	FOURTH						2	18.18		0	0.00			Excluded					4	36.36		0	0.00		1	9.09		4	36.36		11	
		TOTAL					42	19.53		15	6.98								15	6.98		63	29.30		66	30.70		14	6.51		215	
	FIFTH						2	13.33			Excluded								0	0.00		4	26.67		1	6.67		8	53.33		15	
		TOTAL					44	20.47											15	6.98		67	31.16		67	31.16		22	10.23		215	
	SIXTH						5	33.33												Excluded		2	13.33		2	13.33		6	40.00		15	
		TOTAL					49	22.79														69	32.09		69	32.09		28	13.02		215	
	SEVENTH						12	42.86														9	32.14		7	25.00			Excluded		28	
		TOTAL					61	28.37														78	36.28		76	35.35					215	
	EIGHTH						8	10.26															Excluded		70	89.74					78	
		TOTAL					69	32.09																	146	67.91					215	
																									Elected							
																																
Tungamah                                                       																																
	FIRST			2	0.72		109	39.21		8	2.88		6	2.16		0	0.00		4	1.44		51	18.35		78	28.06		20	7.19		278	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	0.72		109	39.21		8	2.88		6	2.16					4	1.44		51	18.35		78	28.06		20	7.19		278	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					111	39.93		8	2.88		6	2.16					4	1.44		51	18.35		78	28.06		20	7.19		278	
	FOURTH						2	33.33		0	0.00			Excluded					2	33.33		1	16.67		0	0.00		1	16.67		6	
		TOTAL					113	40.65		8	2.88								6	2.16		52	18.71		78	28.06		21	7.55		278	
	FIFTH						3	37.50			Excluded								1	12.50		1	12.50		1	12.50		2	25.00		8	
		TOTAL					116	41.73											7	2.52		53	19.06		79	28.42		23	8.27		278	
	SIXTH						4	57.14												Excluded		0	0.00		0	0.00		3	42.86		7	
		TOTAL					120	43.17														53	19.06		79	28.42		26	9.35		278	
	SEVENTH						9	34.62														10	38.46		7	26.92			Excluded		26	
		TOTAL					129	46.40														63	22.66		86	30.94					278	
	EIGHTH						3	4.76															Excluded		60	95.24					63	
		TOTAL					132	47.48																	146	52.52					278	
																									Elected							
																																
Violet Town                                                    																																
	FIRST			11	1.47		194	26.01		40	5.36		28	3.75		7	0.94		63	8.45		90	12.06		284	38.07		29	3.89		746	
	SECOND			0	0.00		0	0.00		0	0.00		2	28.57			Excluded		1	14.29		1	14.29		0	0.00		3	42.86		7	
		TOTAL		11	1.47		194	26.01		40	5.36		30	4.02					64	8.58		91	12.20		284	38.07		32	4.29		746	
	THIRD				Excluded		6	54.55		1	9.09		0	0.00					1	9.09		0	0.00		1	9.09		2	18.18		11	
		TOTAL					200	26.81		41	5.50		30	4.02					65	8.71		91	12.20		285	38.20		34	4.56		746	
	FOURTH						6	20.00		2	6.67			Excluded					16	53.33		2	6.67		3	10.00		1	3.33		30	
		TOTAL					206	27.61		43	5.76								81	10.86		93	12.47		288	38.61		35	4.69		746	
	FIFTH						11	25.58			Excluded								4	9.30		6	13.95		7	16.28		15	34.88		43	
		TOTAL					217	29.09											85	11.39		99	13.27		295	39.54		50	6.70		746	
	SIXTH						54	63.53												Excluded		9	10.59		4	4.71		18	21.18		85	
		TOTAL					271	36.33														108	14.48		299	40.08		68	9.12		746	
	SEVENTH						21	30.88														26	38.24		21	30.88			Excluded		68	
		TOTAL					292	39.14														134	17.96		320	42.90					746	
	EIGHTH						15	11.19															Excluded		119	88.81					134	
		TOTAL					307	41.15																	439	58.85					746	
																									Elected							
																																
Wahgunyah                                                      																																
	FIRST			5	0.99		143	28.43		23	4.57		18	3.58		6	1.19		11	2.19		121	24.06		143	28.43		33	6.56		503	
	SECOND			0	0.00		1	16.67		0	0.00		0	0.00			Excluded		1	16.67		1	16.67		2	33.33		1	16.67		6	
		TOTAL		5	0.99		144	28.63		23	4.57		18	3.58					12	2.39		122	24.25		145	28.83		34	6.76		503	
	THIRD				Excluded		3	60.00		1	20.00		0	0.00					0	0.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL					147	29.22		24	4.77		18	3.58					12	2.39		122	24.25		145	28.83		35	6.96		503	
	FOURTH						2	11.11		2	11.11			Excluded					4	22.22		5	27.78		3	16.67		2	11.11		18	
		TOTAL					149	29.62		26	5.17								16	3.18		127	25.25		148	29.42		37	7.36		503	
	FIFTH						5	19.23			Excluded								3	11.54		2	7.69		6	23.08		10	38.46		26	
		TOTAL					154	30.62											19	3.78		129	25.65		154	30.62		47	9.34		503	
	SIXTH						8	42.11												Excluded		4	21.05		1	5.26		6	31.58		19	
		TOTAL					162	32.21														133	26.44		155	30.82		53	10.54		503	
	SEVENTH						21	39.62														21	39.62		11	20.75			Excluded		53	
		TOTAL					183	36.38														154	30.62		166	33.00					503	
	EIGHTH						26	16.88															Excluded		128	83.12					154	
		TOTAL					209	41.55																	294	58.45					503	
																									Elected							
																																
Walwa                                                          																																
	FIRST			1	0.56		32	17.98		12	6.74		9	5.06		0	0.00		8	4.49		24	13.48		75	42.13		17	9.55		178	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.56		32	17.98		12	6.74		9	5.06					8	4.49		24	13.48		75	42.13		17	9.55		178	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					33	18.54		12	6.74		9	5.06					8	4.49		24	13.48		75	42.13		17	9.55		178	
	FOURTH						2	22.22		0	0.00			Excluded					2	22.22		0	0.00		5	55.56		0	0.00		9	
		TOTAL					35	19.66		12	6.74								10	5.62		24	13.48		80	44.94		17	9.55		178	
	FIFTH						1	8.33			Excluded								3	25.00		0	0.00		2	16.67		6	50.00		12	
		TOTAL					36	20.22											13	7.30		24	13.48		82	46.07		23	12.92		178	
	SIXTH						5	38.46												Excluded		1	7.69		2	15.38		5	38.46		13	
		TOTAL					41	23.03														25	14.04		84	47.19		28	15.73		178	
	SEVENTH						9	32.14														10	35.71		9	32.14			Excluded		28	
		TOTAL					50	28.09														35	19.66		93	52.25					178	
	EIGHTH						6	17.14															Excluded		29	82.86					35	
		TOTAL					56	31.46																	122	68.54					178	
																									Elected							
																																
Wandiligong                                                    																																
	FIRST			2	1.02		72	36.55		10	5.08		11	5.58		0	0.00		16	8.12		11	5.58		65	32.99		10	5.08		197	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.02		72	36.55		10	5.08		11	5.58					16	8.12		11	5.58		65	32.99		10	5.08		197	
	THIRD				Excluded		1	50.00		0	0.00		1	50.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					73	37.06		10	5.08		12	6.09					16	8.12		11	5.58		65	32.99		10	5.08		197	
	FOURTH						2	16.67		0	0.00			Excluded					10	83.33		0	0.00		0	0.00		0	0.00		12	
		TOTAL					75	38.07		10	5.08								26	13.20		11	5.58		65	32.99		10	5.08		197	
	FIFTH						5	50.00			Excluded								0	0.00		0	0.00		4	40.00		1	10.00		10	
		TOTAL					80	40.61											26	13.20		11	5.58		69	35.03		11	5.58		197	
	SIXTH						15	57.69												Excluded		1	3.85		1	3.85		9	34.62		26	
		TOTAL					95	48.22														12	6.09		70	35.53		20	10.15		197	
	SEVENTH						8	40.00														10	50.00		2	10.00			Excluded		20	
		TOTAL					103	52.28														22	11.17		72	36.55					197	
	EIGHTH						6	27.27															Excluded		16	72.73					22	
		TOTAL					109	55.33																	88	44.67					197	
																									Elected							
																																
Wangaratta                                                     																																
	FIRST			14	0.69		547	26.96		58	2.86		123	6.06		24	1.18		110	5.42		257	12.67		807	39.77		89	4.39		2029	
	SECOND			0	0.00		2	8.33		2	8.33		2	8.33			Excluded		3	12.50		2	8.33		8	33.33		5	20.83		24	
		TOTAL		14	0.69		549	27.06		60	2.96		125	6.16					113	5.57		259	12.76		815	40.17		94	4.63		2029	
	THIRD				Excluded		10	71.43		3	21.43		0	0.00					0	0.00		0	0.00		0	0.00		1	7.14		14	
		TOTAL					559	27.55		63	3.10		125	6.16					113	5.57		259	12.76		815	40.17		95	4.68		2029	
	FOURTH						29	23.20		2	1.60			Excluded					65	52.00		13	10.40		9	7.20		7	5.60		125	
		TOTAL					588	28.98		65	3.20								178	8.77		272	13.41		824	40.61		102	5.03		2029	
	FIFTH						18	27.69			Excluded								5	7.69		9	13.85		11	16.92		22	33.85		65	
		TOTAL					606	29.87											183	9.02		281	13.85		835	41.15		124	6.11		2029	
	SIXTH						79	43.17												Excluded		25	13.66		15	8.20		64	34.97		183	
		TOTAL					685	33.76														306	15.08		850	41.89		188	9.27		2029	
	SEVENTH						64	34.04														94	50.00		30	15.96			Excluded		188	
		TOTAL					749	36.91														400	19.71		880	43.37					2029	
	EIGHTH						70	17.50															Excluded		330	82.50					400	
		TOTAL					819	40.36																	1210	59.64					2029	
																									Elected							
																																
Wangaratta Hospital                                            																																
	FIRST			1	0.59		61	36.09		4	2.37		8	4.73		2	1.18		4	2.37		25	14.79		59	34.91		5	2.96		169	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		2	1.18		62	36.69		4	2.37		8	4.73					4	2.37		25	14.79		59	34.91		5	2.96		169	
	THIRD				Excluded		1	50.00		0	0.00		0	0.00					1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					63	37.28		4	2.37		8	4.73					5	2.96		25	14.79		59	34.91		5	2.96		169	
	FOURTH						3	37.50		0	0.00			Excluded					2	25.00		0	0.00		1	12.50		2	25.00		8	
		TOTAL					66	39.05		4	2.37								7	4.14		25	14.79		60	35.50		7	4.14		169	
	FIFTH						0	0.00			Excluded								0	0.00		3	75.00		0	0.00		1	25.00		4	
		TOTAL					66	39.05											7	4.14		28	16.57		60	35.50		8	4.73		169	
	SIXTH						0	0.00												Excluded		2	28.57		2	28.57		3	42.86		7	
		TOTAL					66	39.05														30	17.75		62	36.69		11	6.51		169	
	SEVENTH						5	45.45														4	36.36		2	18.18			Excluded		11	
		TOTAL					71	42.01														34	20.12		64	37.87					169	
	EIGHTH						4	11.76															Excluded		30	88.24					34	
		TOTAL					75	44.38																	94	55.62					169	
																									Elected							
																																
Wangaratta West                                                																																
	FIRST			25	1.13		634	28.64		66	2.98		116	5.24		10	0.45		64	2.89		338	15.27		867	39.16		94	4.25		2214	
	SECOND			1	10.00		1	10.00		2	20.00		1	10.00			Excluded		0	0.00		3	30.00		2	20.00		0	0.00		10	
		TOTAL		26	1.17		635	28.68		68	3.07		117	5.28					64	2.89		341	15.40		869	39.25		94	4.25		2214	
	THIRD				Excluded		13	50.00		3	11.54		1	3.85					0	0.00		1	3.85		3	11.54		5	19.23		26	
		TOTAL					648	29.27		71	3.21		118	5.33					64	2.89		342	15.45		872	39.39		99	4.47		2214	
	FOURTH						28	23.73		6	5.08			Excluded					48	40.68		14	11.86		10	8.47		12	10.17		118	
		TOTAL					676	30.53		77	3.48								112	5.06		356	16.08		882	39.84		111	5.01		2214	
	FIFTH						20	25.97			Excluded								4	5.19		8	10.39		10	12.99		35	45.45		77	
		TOTAL					696	31.44											116	5.24		364	16.44		892	40.29		146	6.59		2214	
	SIXTH						47	40.52												Excluded		16	13.79		8	6.90		45	38.79		116	
		TOTAL					743	33.56														380	17.16		900	40.65		191	8.63		2214	
	SEVENTH						48	25.13														92	48.17		51	26.70			Excluded		191	
		TOTAL					791	35.73														472	21.32		951	42.95					2214	
	EIGHTH						69	14.62															Excluded		403	85.38					472	
		TOTAL					860	38.84																	1354	61.16					2214	
																									Elected							
																																
West End                                                       																																
	FIRST			19	0.77		602	24.55		80	3.26		138	5.63		12	0.49		84	3.43		385	15.70		1061	43.27		71	2.90		2452	
	SECOND			0	0.00		0	0.00		1	8.33		0	0.00			Excluded		2	16.67		2	16.67		0	0.00		7	58.33		12	
		TOTAL		19	0.77		602	24.55		81	3.30		138	5.63					86	3.51		387	15.78		1061	43.27		78	3.18		2452	
	THIRD				Excluded		8	42.11		2	10.53		1	5.26					0	0.00		2	10.53		1	5.26		5	26.32		19	
		TOTAL					610	24.88		83	3.38		139	5.67					86	3.51		389	15.86		1062	43.31		83	3.38		2452	
	FOURTH						30	21.58		4	2.88			Excluded					66	47.48		16	11.51		11	7.91		12	8.63		139	
		TOTAL					640	26.10		87	3.55								152	6.20		405	16.52		1073	43.76		95	3.87		2452	
	FIFTH						24	27.59			Excluded								2	2.30		11	12.64		8	9.20		42	48.28		87	
		TOTAL					664	27.08											154	6.28		416	16.97		1081	44.09		137	5.59		2452	
	SIXTH						71	46.10												Excluded		10	6.49		12	7.79		61	39.61		154	
		TOTAL					735	29.98														426	17.37		1093	44.58		198	8.08		2452	
	SEVENTH						54	27.27														93	46.97		51	25.76			Excluded		198	
		TOTAL					789	32.18														519	21.17		1144	46.66					2452	
	EIGHTH						70	13.49															Excluded		449	86.51					519	
		TOTAL					859	35.03																	1593	64.97					2452	
																									Elected							
																																
Whitfield                                                      																																
	FIRST			0	0.00		58	28.29		9	4.39		4	1.95		3	1.46		27	13.17		51	24.88		46	22.44		7	3.41		205	
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		3	
		TOTAL		0	0.00		58	28.29		10	4.88		5	2.44					27	13.17		51	24.88		47	22.93		7	3.41		205	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					58	28.29		10	4.88		5	2.44					27	13.17		51	24.88		47	22.93		7	3.41		205	
	FOURTH						2	40.00		0	0.00			Excluded					2	40.00		1	20.00		0	0.00		0	0.00		5	
		TOTAL					60	29.27		10	4.88								29	14.15		52	25.37		47	22.93		7	3.41		205	
	FIFTH						3	30.00			Excluded								0	0.00		2	20.00		5	50.00		0	0.00		10	
		TOTAL					63	30.73											29	14.15		54	26.34		52	25.37		7	3.41		205	
	SIXTH						19	65.52												Excluded		2	6.90		2	6.90		6	20.69		29	
		TOTAL					82	40.00														56	27.32		54	26.34		13	6.34		205	
	SEVENTH						4	30.77														4	30.77		5	38.46			Excluded		13	
		TOTAL					86	41.95														60	29.27		59	28.78					205	
	EIGHTH						7	11.67															Excluded		53	88.33					60	
		TOTAL					93	45.37																	112	54.63					205	
																									Elected							
																																
Whorouly                                                       																																
	FIRST			1	0.28		59	16.76		18	5.11		7	1.99		1	0.28		8	2.27		104	29.55		137	38.92		17	4.83		352	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	0.57		59	16.76		18	5.11		7	1.99					8	2.27		104	29.55		137	38.92		17	4.83		352	
	THIRD				Excluded		0	0.00		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL					59	16.76		19	5.40		7	1.99					8	2.27		104	29.55		137	38.92		18	5.11		352	
	FOURTH						0	0.00		0	0.00			Excluded					2	28.57		0	0.00		1	14.29		4	57.14		7	
		TOTAL					59	16.76		19	5.40								10	2.84		104	29.55		138	39.20		22	6.25		352	
	FIFTH						2	10.53			Excluded								2	10.53		4	21.05		6	31.58		5	26.32		19	
		TOTAL					61	17.33											12	3.41		108	30.68		144	40.91		27	7.67		352	
	SIXTH						6	50.00												Excluded		1	8.33		0	0.00		5	41.67		12	
		TOTAL					67	19.03														109	30.97		144	40.91		32	9.09		352	
	SEVENTH						12	37.50														15	46.88		5	15.63			Excluded		32	
		TOTAL					79	22.44														124	35.23		149	42.33					352	
	EIGHTH						8	6.45															Excluded		116	93.55					124	
		TOTAL					87	24.72																	265	75.28					352	
																									Elected							
																																
Wodonga                                                        																																
	FIRST			88	1.31		1828	27.26		313	4.67		248	3.70		105	1.57		212	3.16		473	7.05		2785	41.53		654	9.75		6706	
	SECOND			2	1.90		13	12.38		3	2.86		7	6.67			Excluded		4	3.81		10	9.52		35	33.33		31	29.52		105	
		TOTAL		90	1.34		1841	27.45		316	4.71		255	3.80					216	3.22		483	7.20		2820	42.05		685	10.21		6706	
	THIRD				Excluded		48	53.33		9	10.00		9	10.00					3	3.33		2	2.22		8	8.89		11	12.22		90	
		TOTAL					1889	28.17		325	4.85		264	3.94					219	3.27		485	7.23		2828	42.17		696	10.38		6706	
	FOURTH						57	21.59		17	6.44			Excluded					135	51.14		14	5.30		22	8.33		19	7.20		264	
		TOTAL					1946	29.02		342	5.10								354	5.28		499	7.44		2850	42.50		715	10.66		6706	
	FIFTH						63	18.42			Excluded								34	9.94		32	9.36		59	17.25		154	45.03		342	
		TOTAL					2009	29.96											388	5.79		531	7.92		2909	43.38		869	12.96		6706	
	SIXTH						146	37.63												Excluded		51	13.14		31	7.99		160	41.24		388	
		TOTAL					2155	32.14														582	8.68		2940	43.84		1029	15.34		6706	
	SEVENTH						264	25.66														477	46.36		288	27.99			Excluded		1029	
		TOTAL					2419	36.07														1059	15.79		3228	48.14					6706	
	EIGHTH						261	24.65															Excluded		798	75.35					1059	
		TOTAL					2680	39.96																	4026	60.04					6706	
																									Elected							
																																
Wodonga Central                                                																																
	FIRST			47	1.47		938	29.40		135	4.23		106	3.32		56	1.76		107	3.35		230	7.21		1316	41.25		255	7.99		3190	
	SECOND			2	3.57		2	3.57		5	8.93		2	3.57			Excluded		3	5.36		8	14.29		24	42.86		10	17.86		56	
		TOTAL		49	1.54		940	29.47		140	4.39		108	3.39					110	3.45		238	7.46		1340	42.01		265	8.31		3190	
	THIRD				Excluded		24	48.98		9	18.37		3	6.12					2	4.08		2	4.08		4	8.16		5	10.20		49	
		TOTAL					964	30.22		149	4.67		111	3.48					112	3.51		240	7.52		1344	42.13		270	8.46		3190	
	FOURTH						18	16.22		6	5.41			Excluded					56	50.45		11	9.91		8	7.21		12	10.81		111	
		TOTAL					982	30.78		155	4.86								168	5.27		251	7.87		1352	42.38		282	8.84		3190	
	FIFTH						48	30.97			Excluded								21	13.55		15	9.68		25	16.13		46	29.68		155	
		TOTAL					1030	32.29											189	5.92		266	8.34		1377	43.17		328	10.28		3190	
	SIXTH						68	35.98												Excluded		19	10.05		25	13.23		77	40.74		189	
		TOTAL					1098	34.42														285	8.93		1402	43.95		405	12.70		3190	
	SEVENTH						100	24.69														205	50.62		100	24.69			Excluded		405	
		TOTAL					1198	37.55														490	15.36		1502	47.08					3190	
	EIGHTH						127	25.92															Excluded		363	74.08					490	
		TOTAL					1325	41.54																	1865	58.46					3190	
																									Elected							
																																
Wodonga District Hospital                                      																																
	FIRST			1	0.37		88	32.59		5	1.85		5	1.85		1	0.37		8	2.96		28	10.37		113	41.85		21	7.78		270	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		1	0.37		88	32.59		5	1.85		5	1.85					8	2.96		28	10.37		113	41.85		22	8.15		270	
	THIRD				Excluded		0	0.00		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					88	32.59		6	2.22		5	1.85					8	2.96		28	10.37		113	41.85		22	8.15		270	
	FOURTH						1	20.00		0	0.00			Excluded					2	40.00		1	20.00		0	0.00		1	20.00		5	
		TOTAL					89	32.96		6	2.22								10	3.70		29	10.74		113	41.85		23	8.52		270	
	FIFTH						1	16.67			Excluded								1	16.67		1	16.67		2	33.33		1	16.67		6	
		TOTAL					90	33.33											11	4.07		30	11.11		115	42.59		24	8.89		270	
	SIXTH						4	36.36												Excluded		2	18.18		3	27.27		2	18.18		11	
		TOTAL					94	34.81														32	11.85		118	43.70		26	9.63		270	
	SEVENTH						8	30.77														13	50.00		5	19.23			Excluded		26	
		TOTAL					102	37.78														45	16.67		123	45.56					270	
	EIGHTH						9	20.00															Excluded		36	80.00					45	
		TOTAL					111	41.11																	159	58.89					270	
																									Elected							
																																
Wodonga South                                                  																																
	FIRST			19	0.62		761	24.93		101	3.31		112	3.67		46	1.51		71	2.33		233	7.63		1375	45.04		335	10.97		3053	
	SECOND			1	2.17		4	8.70		4	8.70		4	8.70			Excluded		4	8.70		5	10.87		14	30.43		10	21.74		46	
		TOTAL		20	0.66		765	25.06		105	3.44		116	3.80					75	2.46		238	7.80		1389	45.50		345	11.30		3053	
	THIRD				Excluded		10	50.00		4	20.00		1	5.00					2	10.00		0	0.00		0	0.00		3	15.00		20	
		TOTAL					775	25.38		109	3.57		117	3.83					77	2.52		238	7.80		1389	45.50		348	11.40		3053	
	FOURTH						15	12.82		2	1.71			Excluded					70	59.83		12	10.26		10	8.55		8	6.84		117	
		TOTAL					790	25.88		111	3.64								147	4.81		250	8.19		1399	45.82		356	11.66		3053	
	FIFTH						30	27.03			Excluded								11	9.91		9	8.11		14	12.61		47	42.34		111	
		TOTAL					820	26.86											158	5.18		259	8.48		1413	46.28		403	13.20		3053	
	SIXTH						58	36.71												Excluded		14	8.86		11	6.96		75	47.47		158	
		TOTAL					878	28.76														273	8.94		1424	46.64		478	15.66		3053	
	SEVENTH						108	22.59														242	50.63		128	26.78			Excluded		478	
		TOTAL					986	32.30														515	16.87		1552	50.84					3053	
	EIGHTH						98	19.03															Excluded		417	80.97					515	
		TOTAL					1084	35.51																	1969	64.49					3053	
																									Elected							
																																
Wodonga West                                                   																																
	FIRST			23	1.04		608	27.47		81	3.66		93	4.20		39	1.76		72	3.25		186	8.40		904	40.85		207	9.35		2213	
	SECOND			0	0.00		5	12.82		1	2.56		3	7.69			Excluded		0	0.00		6	15.38		10	25.64		14	35.90		39	
		TOTAL		23	1.04		613	27.70		82	3.71		96	4.34					72	3.25		192	8.68		914	41.30		221	9.99		2213	
	THIRD				Excluded		12	52.17		6	26.09		2	8.70					0	0.00		0	0.00		2	8.70		1	4.35		23	
		TOTAL					625	28.24		88	3.98		98	4.43					72	3.25		192	8.68		916	41.39		222	10.03		2213	
	FOURTH						16	16.33		2	2.04			Excluded					51	52.04		9	9.18		7	7.14		13	13.27		98	
		TOTAL					641	28.97		90	4.07								123	5.56		201	9.08		923	41.71		235	10.62		2213	
	FIFTH						22	24.44			Excluded								9	10.00		11	12.22		19	21.11		29	32.22		90	
		TOTAL					663	29.96											132	5.96		212	9.58		942	42.57		264	11.93		2213	
