House of Representatives - 2001 Election: Victoria																															
Distribution of Preferences																															
By Polling Place																															
Bendigo																															
				GIBBONS			BARROW			ZEGERS			PASQUARELLI			LILLEY			SHARKEY			SMITH			RIVENDELL			ARNOLD			
	SIXTH			3	27.27											3	27.27		3	27.27			Excluded		2	18.18					11
		TOTAL		141	40.99											17	4.94		140	40.70					46	13.37					344
	SEVENTH			6	35.29												Excluded		0	0.00					11	64.71					17
		TOTAL		147	42.73														140	40.70					57	16.57					344
	EIGHTH			46	80.70														11	19.30						Excluded					57
		TOTAL		193	56.10														151	43.90											344
				Elected																											
																															
Tarnagulla                                                     																															
	FIRST			83	47.98		0	0.00		0	0.00		3	1.73		4	2.31		65	37.57		11	6.36		6	3.47		1	0.58		173
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		83	47.98					0	0.00		3	1.73		4	2.31		65	37.57		11	6.36		6	3.47		1	0.58		173
	THIRD			0	0.00					2	66.67			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		83	47.98					2	1.16					5	2.89		65	37.57		11	6.36		6	3.47		1	0.58		173
	FOURTH			0	0.00					0	0.00					0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		83	47.98					2	1.16					5	2.89		66	38.15		11	6.36		6	3.47					173
	FIFTH			1	50.00						Excluded					0	0.00		0	0.00		1	50.00		0	0.00					2
		TOTAL		84	48.55											5	2.89		66	38.15		12	6.94		6	3.47					173
	SIXTH			7	58.33											0	0.00		3	25.00			Excluded		2	16.67					12
		TOTAL		91	52.60											5	2.89		69	39.88					8	4.62					173
	SEVENTH			3	60.00												Excluded		1	20.00					1	20.00					5
		TOTAL		94	54.34														70	40.46					9	5.20					173
	EIGHTH			7	77.78														2	22.22						Excluded					9
		TOTAL		101	58.38														72	41.62											173
				Elected																											
																															
Tooborac                                                       																															
	FIRST			30	29.41		2	1.96		1	0.98		1	0.98		1	0.98		54	52.94		4	3.92		6	5.88		3	2.94		102
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		30	29.41					1	0.98		1	0.98		2	1.96		54	52.94		4	3.92		7	6.86		3	2.94		102
	THIRD			0	0.00					1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		30	29.41					2	1.96					2	1.96		54	52.94		4	3.92		7	6.86		3	2.94		102
	FOURTH			0	0.00					0	0.00					0	0.00		3	100.00		0	0.00		0	0.00			Excluded		3
		TOTAL		30	29.41					2	1.96					2	1.96		57	55.88		4	3.92		7	6.86					102
	FIFTH			1	50.00						Excluded					0	0.00		0	0.00		0	0.00		1	50.00					2
		TOTAL		31	30.39											2	1.96		57	55.88		4	3.92		8	7.84					102
	SIXTH			0	0.00											0	0.00		2	50.00			Excluded		2	50.00					4
		TOTAL		31	30.39											2	1.96		59	57.84					10	9.80					102
	SEVENTH			0	0.00												Excluded		1	50.00					1	50.00					2
		TOTAL		31	30.39														60	58.82					11	10.78					102
	EIGHTH			6	54.55														5	45.45						Excluded					11
		TOTAL		37	36.27														65	63.73											102
				Elected																											
																															
Wedderburn                                                     																															
	FIRST			318	43.98		4	0.55		12	1.66		21	2.90		14	1.94		291	40.25		26	3.60		12	1.66		25	3.46		723
	SECOND			0	0.00			Excluded		4	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		318	43.98					16	2.21		21	2.90		14	1.94		291	40.25		26	3.60		12	1.66		25	3.46		723
	THIRD			1	4.76					13	61.90			Excluded		0	0.00		2	9.52		2	9.52		1	4.76		2	9.52		21
		TOTAL		319	44.12					29	4.01					14	1.94		293	40.53		28	3.87		13	1.80		27	3.73		723
	FOURTH			2	7.41					1	3.70					1	3.70		21	77.78		2	7.41		0	0.00			Excluded		27
		TOTAL		321	44.40					30	4.15					15	2.07		314	43.43		30	4.15		13	1.80					723
	FIFTH			6	20.00						Excluded					2	6.67		11	36.67		7	23.33		4	13.33					30
		TOTAL		327	45.23											17	2.35		325	44.95		37	5.12		17	2.35					723
	SIXTH			5	13.51											7	18.92		12	32.43			Excluded		13	35.14					37
		TOTAL		332	45.92											24	3.32		337	46.61					30	4.15					723
	SEVENTH			6	25.00												Excluded		9	37.50					9	37.50					24
		TOTAL		338	46.75														346	47.86					39	5.39					723
	EIGHTH			25	64.10														14	35.90						Excluded					39
		TOTAL		363	50.21														360	49.79											723
				Elected																											
																															
Weeroona                                                       																															
	FIRST			960	49.66		24	1.24		20	1.03		23	1.19		75	3.88		688	35.59		40	2.07		71	3.67		32	1.66		1933
	SECOND			6	25.00			Excluded		2	8.33		2	8.33		0	0.00		11	45.83		1	4.17		2	8.33		0	0.00		24
		TOTAL		966	49.97					22	1.14		25	1.29		75	3.88		699	36.16		41	2.12		73	3.78		32	1.66		1933
	THIRD			2	8.00					11	44.00			Excluded		1	4.00		6	24.00		2	8.00		2	8.00		1	4.00		25
		TOTAL		968	50.08					33	1.71					76	3.93		705	36.47		43	2.22		75	3.88		33	1.71		1933
	FOURTH			4	12.12					1	3.03					2	6.06		23	69.70		1	3.03		2	6.06			Excluded		33
		TOTAL		972	50.28					34	1.76					78	4.04		728	37.66		44	2.28		77	3.98					1933
	FIFTH			3	8.82						Excluded					11	32.35		11	32.35		5	14.71		4	11.76					34
		TOTAL		975	50.44											89	4.60		739	38.23		49	2.53		81	4.19					1933
	SIXTH			15	30.61											5	10.20		20	40.82			Excluded		9	18.37					49
		TOTAL		990	51.22											94	4.86		759	39.27					90	4.66					1933
	SEVENTH			23	24.47												Excluded		12	12.77					59	62.77					94
		TOTAL		1013	52.41														771	39.89					149	7.71					1933
	EIGHTH			123	82.55														26	17.45						Excluded					149
		TOTAL		1136	58.77														797	41.23											1933
				Elected																											
																															
White Hills                                                    																															
	FIRST			689	45.21		11	0.72		26	1.71		19	1.25		47	3.08		614	40.29		31	2.03		54	3.54		33	2.17		1524
	SECOND			1	9.09			Excluded		2	18.18		1	9.09		0	0.00		5	45.45		1	9.09		0	0.00		1	9.09		11
		TOTAL		690	45.28					28	1.84		20	1.31		47	3.08		619	40.62		32	2.10		54	3.54		34	2.23		1524
	THIRD			4	20.00					4	20.00			Excluded		3	15.00		2	10.00		2	10.00		3	15.00		2	10.00		20
		TOTAL		694	45.54					32	2.10					50	3.28		621	40.75		34	2.23		57	3.74		36	2.36		1524
	FOURTH			4	11.11					2	5.56					2	5.56		18	50.00		2	5.56		8	22.22			Excluded		36
		TOTAL		698	45.80					34	2.23					52	3.41		639	41.93		36	2.36		65	4.27					1524
	FIFTH			8	23.53						Excluded					4	11.76		4	11.76		13	38.24		5	14.71					34
		TOTAL		706	46.33											56	3.67		643	42.19		49	3.22		70	4.59					1524
	SIXTH			17	34.69											6	12.24		16	32.65			Excluded		10	20.41					49
		TOTAL		723	47.44											62	4.07		659	43.24					80	5.25					1524
	SEVENTH			22	35.48												Excluded		13	20.97					27	43.55					62
		TOTAL		745	48.88														672	44.09					107	7.02					1524
	EIGHTH			74	69.16														33	30.84						Excluded					107
		TOTAL		819	53.74														705	46.26											1524
				Elected																											
																															
Winters Flat                                                   																															
	FIRST			321	46.25		8	1.15		8	1.15		17	2.45		16	2.31		251	36.17		11	1.59		43	6.20		19	2.74		694
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		5	62.50		2	25.00		0	0.00		1	12.50		8
		TOTAL		321	46.25					8	1.15		17	2.45		16	2.31		256	36.89		13	1.87		43	6.20		20	2.88		694
	THIRD			1	5.88					7	41.18			Excluded		0	0.00		2	11.76		6	35.29		0	0.00		1	5.88		17
		TOTAL		322	46.40					15	2.16					16	2.31		258	37.18		19	2.74		43	6.20		21	3.03		694
	FOURTH			3	14.29					2	9.52					0	0.00		11	52.38		0	0.00		5	23.81			Excluded		21
		TOTAL		325	46.83					17	2.45					16	2.31		269	38.76		19	2.74		48	6.92					694
	FIFTH			7	41.18						Excluded					1	5.88		1	5.88		6	35.29		2	11.76					17
		TOTAL		332	47.84											17	2.45		270	38.90		25	3.60		50	7.20					694
	SIXTH			10	40.00											2	8.00		8	32.00			Excluded		5	20.00					25
		TOTAL		342	49.28											19	2.74		278	40.06					55	7.93					694
	SEVENTH			6	31.58												Excluded		4	21.05					9	47.37					19
		TOTAL		348	50.14														282	40.63					64	9.22					694
	EIGHTH			50	78.13														14	21.88						Excluded					64
		TOTAL		398	57.35														296	42.65											694
				Elected																											
																															
Woodvale                                                       																															
	FIRST			72	35.29		1	0.49		5	2.45		3	1.47		5	2.45		90	44.12		13	6.37		9	4.41		6	2.94		204
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		72	35.29					6	2.94		3	1.47		5	2.45		90	44.12		13	6.37		9	4.41		6	2.94		204
	THIRD			1	33.33					2	66.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		73	35.78					8	3.92					5	2.45		90	44.12		13	6.37		9	4.41		6	2.94		204
	FOURTH			0	0.00					0	0.00					0	0.00		6	100.00		0	0.00		0	0.00			Excluded		6
		TOTAL		73	35.78					8	3.92					5	2.45		96	47.06		13	6.37		9	4.41					204
	FIFTH			4	50.00						Excluded					0	0.00		1	12.50		1	12.50		2	25.00					8
		TOTAL		77	37.75											5	2.45		97	47.55		14	6.86		11	5.39					204
	SIXTH			1	7.14											3	21.43		10	71.43			Excluded		0	0.00					14
		TOTAL		78	38.24											8	3.92		107	52.45					11	5.39					204
	SEVENTH			2	25.00												Excluded		2	25.00					4	50.00					8
		TOTAL		80	39.22														109	53.43					15	7.35					204
	EIGHTH			11	73.33														4	26.67						Excluded					15
		TOTAL		91	44.61														113	55.39											204
				Elected																											
																															
Special Hospital Team 1                                        																															
	FIRST			66	49.25		1	0.75		1	0.75		0	0.00		3	2.24		62	46.27		0	0.00		0	0.00		1	0.75		134
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		66	49.25					1	0.75		0	0.00		3	2.24		63	47.01		0	0.00		0	0.00		1	0.75		134
	THIRD			0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		66	49.25					1	0.75					3	2.24		63	47.01		0	0.00		0	0.00		1	0.75		134
	FOURTH			0	0.00					0	0.00					0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		66	49.25					1	0.75					3	2.24		63	47.01		0	0.00		1	0.75					134
	FIFTH			0	0.00						Excluded					0	0.00		0	0.00		1	100.00		0	0.00					1
		TOTAL		66	49.25											3	2.24		63	47.01		1	0.75		1	0.75					134
	SIXTH			0	0.00											1	100.00		0	0.00			Excluded		0	0.00					1
		TOTAL		66	49.25											4	2.99		63	47.01					1	0.75					134
	SEVENTH			2	50.00												Excluded		0	0.00					2	50.00					4
		TOTAL		68	50.75														63	47.01					3	2.24					134
	EIGHTH			2	66.67														1	33.33						Excluded					3
		TOTAL		70	52.24														64	47.76											134
				Elected																											
																															
Special Hospital Team 2                                        																															
	FIRST			77	36.67		4	1.90		2	0.95		0	0.00		2	0.95		115	54.76		3	1.43		4	1.90		3	1.43		210
	SECOND			1	25.00			Excluded		1	25.00		1	25.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		78	37.14					3	1.43		1	0.48		2	0.95		116	55.24		3	1.43		4	1.90		3	1.43		210
	THIRD			1	100.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		79	37.62					3	1.43					2	0.95		116	55.24		3	1.43		4	1.90		3	1.43		210
	FOURTH			1	33.33					1	33.33					0	0.00		0	0.00		1	33.33		0	0.00			Excluded		3
		TOTAL		80	38.10					4	1.90					2	0.95		116	55.24		4	1.90		4	1.90					210
	FIFTH			0	0.00						Excluded					2	50.00		0	0.00		1	25.00		1	25.00					4
		TOTAL		80	38.10											4	1.90		116	55.24		5	2.38		5	2.38					210
	SIXTH			0	0.00											0	0.00		3	60.00			Excluded		2	40.00					5
		TOTAL		80	38.10											4	1.90		119	56.67					7	3.33					210
	SEVENTH			0	0.00												Excluded		2	50.00					2	50.00					4
		TOTAL		80	38.10														121	57.62					9	4.29					210
	EIGHTH			3	33.33														6	66.67						Excluded					9
		TOTAL		83	39.52														127	60.48											210
				Elected																											
																															
Special Hospital Team 3                                        																															
	FIRST			73	38.83		2	1.06		0	0.00		1	0.53		3	1.60		106	56.38		2	1.06		0	0.00		1	0.53		188
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		74	39.36					0	0.00		1	0.53		3	1.60		107	56.91		2	1.06		0	0.00		1	0.53		188
	THIRD			0	0.00					0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		74	39.36					0	0.00					3	1.60		108	57.45		2	1.06		0	0.00		1	0.53		188
	FOURTH			0	0.00					0	0.00					0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		74	39.36					0	0.00					3	1.60		109	57.98		2	1.06		0	0.00					188
	FIFTH			0	0.00						Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		74	39.36											3	1.60		109	57.98		2	1.06		0	0.00					188
	SIXTH			2	100.00											0	0.00		0	0.00			Excluded		0	0.00					2
		TOTAL		76	40.43											3	1.60		109	57.98					0	0.00					188
	SEVENTH			1	33.33												Excluded		2	66.67					0	0.00					3
		TOTAL		77	40.96														111	59.04					0	0.00					188
	EIGHTH			0	0.00														0	0.00						Excluded					0
		TOTAL		77	40.96														111	59.04											188
				Elected																											
																															
Special Hospital Team 4                                        																															
	FIRST			75	44.12		1	0.59		0	0.00		1	0.59		2	1.18		87	51.18		3	1.76		1	0.59		0	0.00		170
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		76	44.71					0	0.00		1	0.59		2	1.18		87	51.18		3	1.76		1	0.59		0	0.00		170
	THIRD			0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		76	44.71					0	0.00					2	1.18		87	51.18		3	1.76		1	0.59		1	0.59		170
	FOURTH			0	0.00					0	0.00					0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		76	44.71					0	0.00					2	1.18		87	51.18		3	1.76		2	1.18					170
	FIFTH			0	0.00						Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		76	44.71											2	1.18		87	51.18		3	1.76		2	1.18					170
	SIXTH			2	66.67											0	0.00		1	33.33			Excluded		0	0.00					3
		TOTAL		78	45.88											2	1.18		88	51.76					2	1.18					170
	SEVENTH			0	0.00												Excluded		2	100.00					0	0.00					2
		TOTAL		78	45.88														90	52.94					2	1.18					170
	EIGHTH			0	0.00														2	100.00						Excluded					2
		TOTAL		78	45.88														92	54.12											170
				Elected																											
																															
ABSENT																															
	FIRST			1503	37.45		23	0.57		54	1.35		54	1.35		291	7.25		1576	39.27		110	2.74		329	8.20		73	1.82		4013
	SECOND			10	43.48			Excluded		5	21.74		1	4.35		0	0.00		1	4.35		2	8.70		3	13.04		1	4.35		23
		TOTAL		1513	37.70					59	1.47		55	1.37		291	7.25		1577	39.30		112	2.79		332	8.27		74	1.84		4013
	THIRD			10	18.18					21	38.18			Excluded		4	7.27		10	18.18		9	16.36		0	0.00		1	1.82		55
		TOTAL		1523	37.95					80	1.99					295	7.35		1587	39.55		121	3.02		332	8.27		75	1.87		4013
	FOURTH			10	13.33					6	8.00					6	8.00		34	45.33		2	2.67		17	22.67			Excluded		75
		TOTAL		1533	38.20					86	2.14					301	7.50		1621	40.39		123	3.07		349	8.70					4013
	FIFTH			13	15.12						Excluded					24	27.91		12	13.95		19	22.09		18	20.93					86
		TOTAL		1546	38.52											325	8.10		1633	40.69		142	3.54		367	9.15					4013
	SIXTH			36	25.35											19	13.38		58	40.85			Excluded		29	20.42					142
		TOTAL		1582	39.42											344	8.57		1691	42.14					396	9.87					4013
	SEVENTH			110	31.98												Excluded		75	21.80					159	46.22					344
		TOTAL		1692	42.16														1766	44.01					555	13.83					4013
	EIGHTH			414	74.59														141	25.41						Excluded					555
		TOTAL		2106	52.48														1907	47.52											4013
				Elected																											
																															
POSTAL																															
	FIRST			1815	45.91		34	0.86		34	0.86		34	0.86		99	2.50		1680	42.50		127	3.21		89	2.25		41	1.04		3953
	SECOND			9	26.47			Excluded		5	14.71		5	14.71		0	0.00		9	26.47		3	8.82		1	2.94		2	5.88		34
		TOTAL		1824	46.14					39	0.99		39	0.99		99	2.50		1689	42.73		130	3.29		90	2.28		43	1.09		3953
	THIRD			4	10.26					11	28.21			Excluded		1	2.56		12	30.77		9	23.08		2	5.13		0	0.00		39
		TOTAL		1828	46.24					50	1.26					100	2.53		1701	43.03		139	3.52		92	2.33		43	1.09		3953
	FOURTH			5	11.63					2	4.65					5	11.63		23	53.49		6	13.95		2	4.65			Excluded		43
		TOTAL		1833	46.37					52	1.32					105	2.66		1724	43.61		145	3.67		94	2.38					3953
	FIFTH			10	19.23						Excluded					9	17.31		12	23.08		13	25.00		8	15.38					52
		TOTAL		1843	46.62											114	2.88		1736	43.92		158	4.00		102	2.58					3953
	SIXTH			48	30.38											30	18.99		50	31.65			Excluded		30	18.99					158
		TOTAL		1891	47.84											144	3.64		1786	45.18					132	3.34					3953
	SEVENTH			41	28.47												Excluded		44	30.56					59	40.97					144
		TOTAL		1932	48.87														1830	46.29					191	4.83					3953
	EIGHTH			125	65.45														66	34.55						Excluded					191
		TOTAL		2057	52.04														1896	47.96											3953
				Elected																											
																															
PRE POLL																															
	FIRST			1392	39.92		25	0.72		82	2.35		27	0.77		127	3.64		1503	43.10		87	2.49		193	5.53		51	1.46		3487
	SECOND			7	28.00			Excluded		2	8.00		5	20.00		1	4.00		5	20.00		2	8.00		1	4.00		2	8.00		25
		TOTAL		1399	40.12					84	2.41		32	0.92		128	3.67		1508	43.25		89	2.55		194	5.56		53	1.52		3487
	THIRD			5	15.63					14	43.75			Excluded		3	9.38		7	21.88		2	6.25		1	3.13		0	0.00		32
		TOTAL		1404	40.26					98	2.81					131	3.76		1515	43.45		91	2.61		195	5.59		53	1.52		3487
	FOURTH			6	11.32					3	5.66					5	9.43		27	50.94		5	9.43		7	13.21			Excluded		53
		TOTAL		1410	40.44					101	2.90					136	3.90		1542	44.22		96	2.75		202	5.79					3487
	FIFTH			25	24.75						Excluded					15	14.85		19	18.81		33	32.67		9	8.91					101
		TOTAL		1435	41.15											151	4.33		1561	44.77		129	3.70		211	6.05					3487
	SIXTH			41	31.78											8	6.20		55	42.64			Excluded		25	19.38					129
		TOTAL		1476	42.33											159	4.56		1616	46.34					236	6.77					3487
	SEVENTH			45	28.30												Excluded		37	23.27					77	48.43					159
		TOTAL		1521	43.62														1653	47.40					313	8.98					3487
	EIGHTH			231	73.80														82	26.20						Excluded					313
		TOTAL		1752	50.24														1735	49.76											3487
				Elected																											
																															
PROVISIONAL																															
	FIRST			258	51.91		6	1.21		10	2.01		8	1.61		14	2.82		149	29.98		22	4.43		27	5.43		3	0.60		497
	SECOND			1	16.67			Excluded		0	0.00		2	33.33		0	0.00		2	33.33		1	16.67		0	0.00		0	0.00		6
		TOTAL		259	52.11					10	2.01		10	2.01		14	2.82		151	30.38		23	4.63		27	5.43		3	0.60		497
	THIRD			2	20.00					5	50.00			Excluded		0	0.00		0	0.00		2	20.00		0	0.00		1	10.00		10
		TOTAL		261	52.52					15	3.02					14	2.82		151	30.38		25	5.03		27	5.43		4	0.80		497
	FOURTH			0	0.00					0	0.00					1	25.00		1	25.00		0	0.00		2	50.00			Excluded		4
		TOTAL		261	52.52					15	3.02					15	3.02		152	30.58		25	5.03		29	5.84					497
	FIFTH			3	20.00						Excluded					3	20.00		3	20.00		6	40.00		0	0.00					15
		TOTAL		264	53.12											18	3.62		155	31.19		31	6.24		29	5.84					497
	SIXTH			9	29.03											4	12.90		12	38.71			Excluded		6	19.35					31
		TOTAL		273	54.93											22	4.43		167	33.60					35	7.04					497
	SEVENTH			5	22.73												Excluded		2	9.09					15	68.18					22
		TOTAL		278	55.94														169	34.00					50	10.06					497
	EIGHTH			40	80.00														10	20.00						Excluded					50
		TOTAL		318	63.98														179	36.02											497
				Elected																											
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
