House of Representatives - 2001 Election: Victoria																																									
Distribution of Preferences																																									
By Polling Place																																									
Gippsland																																									
				JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			MCGAURAN			ROBINSON			AITKEN				
	FIFTH			2	66.67		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		0	0.00		1	33.33					0	0.00		3	
		TOTAL		6	4.84		11	8.87		9	7.26		1	0.81											21	16.94		10	8.06		57	45.97					9	7.26		124	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded											0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		6	4.84		11	8.87		9	7.26														21	16.94		11	8.87		57	45.97					9	7.26		124	
	SEVENTH				Excluded		2	33.33		0	0.00														0	0.00		2	33.33		1	16.67					1	16.67		6	
		TOTAL					13	10.48		9	7.26														21	16.94		13	10.48		58	46.77					10	8.06		124	
	EIGHTH						1	11.11			Excluded														1	11.11		3	33.33		1	11.11					3	33.33		9	
		TOTAL					14	11.29																	22	17.74		16	12.90		59	47.58					13	10.48		124	
	NINTH							Excluded																	1	7.14		10	71.43		1	7.14					2	14.29		14	
		TOTAL																							23	18.55		26	20.97		60	48.39					15	12.10		124	
	TENTH																								5	33.33		6	40.00		4	26.67						Excluded		15	
		TOTAL																							28	22.58		32	25.81		64	51.61								124	
	ELEVENTH																								16	50.00			Excluded		16	50.00								32	
		TOTAL																							44	35.48					80	64.52								124	
																															Elected										
																																									
Welshpool                                                      																																									
	FIRST			10	1.88		35	6.58		9	1.69		8	1.50		13	2.44		7	1.32		2	0.38		115	21.62		32	6.02		271	50.94		2	0.38		28	5.26		532	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00		2	
		TOTAL		10	1.88		35	6.58		9	1.69		8	1.50		13	2.44		7	1.32					115	21.62		32	6.02		272	51.13		3	0.56		28	5.26		532	
	THIRD			0	0.00		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	33.33			Excluded		0	0.00		3	
		TOTAL		10	1.88		37	6.95		9	1.69		8	1.50		13	2.44		7	1.32					115	21.62		32	6.02		273	51.32					28	5.26		532	
	FOURTH			3	42.86		1	14.29		1	14.29		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					2	28.57		7	
		TOTAL		13	2.44		38	7.14		10	1.88		8	1.50		13	2.44								115	21.62		32	6.02		273	51.32					30	5.64		532	
	FIFTH			1	7.69		3	23.08		0	0.00		0	0.00			Excluded								2	15.38		4	30.77		3	23.08					0	0.00		13	
		TOTAL		14	2.63		41	7.71		10	1.88		8	1.50											117	21.99		36	6.77		276	51.88					30	5.64		532	
	SIXTH			1	12.50		0	0.00		3	37.50			Excluded											1	12.50		3	37.50		0	0.00					0	0.00		8	
		TOTAL		15	2.82		41	7.71		13	2.44														118	22.18		39	7.33		276	51.88					30	5.64		532	
	SEVENTH				Excluded		3	20.00		3	20.00														1	6.67		5	33.33		0	0.00					3	20.00		15	
		TOTAL					44	8.27		16	3.01														119	22.37		44	8.27		276	51.88					33	6.20		532	
	EIGHTH						6	37.50			Excluded														2	12.50		4	25.00		1	6.25					3	18.75		16	
		TOTAL					50	9.40																	121	22.74		48	9.02		277	52.07					36	6.77		532	
	NINTH							Excluded																	19	38.00		20	40.00		7	14.00					4	8.00		50	
		TOTAL																							140	26.32		68	12.78		284	53.38					40	7.52		532	
	TENTH																								17	42.50		14	35.00		9	22.50						Excluded		40	
		TOTAL																							157	29.51		82	15.41		293	55.08								532	
	ELEVENTH																								39	47.56			Excluded		43	52.44								82	
		TOTAL																							196	36.84					336	63.16								532	
																															Elected										
																																									
Won Wron                                                       																																									
	FIRST			2	1.89		8	7.55		4	3.77		7	6.60		4	3.77		1	0.94		0	0.00		18	16.98		10	9.43		46	43.40		1	0.94		5	4.72		106	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.89		8	7.55		4	3.77		7	6.60		4	3.77		1	0.94					18	16.98		10	9.43		46	43.40		1	0.94		5	4.72		106	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		2	1.89		8	7.55		4	3.77		7	6.60		4	3.77		1	0.94					18	16.98		10	9.43		46	43.40					6	5.66		106	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		2	1.89		8	7.55		4	3.77		7	6.60		4	3.77								18	16.98		11	10.38		46	43.40					6	5.66		106	
	FIFTH			1	25.00		0	0.00		0	0.00		2	50.00			Excluded								0	0.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL		3	2.83		8	7.55		4	3.77		9	8.49											18	16.98		12	11.32		46	43.40					6	5.66		106	
	SIXTH			3	33.33		0	0.00		2	22.22			Excluded											0	0.00		4	44.44		0	0.00					0	0.00		9	
		TOTAL		6	5.66		8	7.55		6	5.66														18	16.98		16	15.09		46	43.40					6	5.66		106	
	SEVENTH				Excluded		1	16.67		2	33.33														0	0.00		0	0.00		1	16.67					2	33.33		6	
		TOTAL					9	8.49		8	7.55														18	16.98		16	15.09		47	44.34					8	7.55		106	
	EIGHTH						3	37.50			Excluded														3	37.50		0	0.00		0	0.00					2	25.00		8	
		TOTAL					12	11.32																	21	19.81		16	15.09		47	44.34					10	9.43		106	
	NINTH							Excluded																	4	33.33		6	50.00		0	0.00					2	16.67		12	
		TOTAL																							25	23.58		22	20.75		47	44.34					12	11.32		106	
	TENTH																								6	50.00		4	33.33		2	16.67						Excluded		12	
		TOTAL																							31	29.25		26	24.53		49	46.23								106	
	ELEVENTH																								13	50.00			Excluded		13	50.00								26	
		TOTAL																							44	41.51					62	58.49								106	
																															Elected										
																																									
Wonthaggi                                                      																																									
	FIRST			53	2.80		72	3.80		57	3.01		27	1.43		11	0.58		13	0.69		7	0.37		919	48.52		55	2.90		559	29.51		7	0.37		114	6.02		1894	
	SECOND			4	57.14		0	0.00		0	0.00		0	0.00		0	0.00		1	14.29			Excluded		1	14.29		0	0.00		0	0.00		0	0.00		1	14.29		7	
		TOTAL		57	3.01		72	3.80		57	3.01		27	1.43		11	0.58		14	0.74					920	48.57		55	2.90		559	29.51		7	0.37		115	6.07		1894	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	14.29		0	0.00					2	28.57		3	42.86		0	0.00			Excluded		1	14.29		7	
		TOTAL		57	3.01		72	3.80		57	3.01		27	1.43		12	0.63		14	0.74					922	48.68		58	3.06		559	29.51					116	6.12		1894	
	FOURTH			2	14.29		0	0.00		0	0.00		1	7.14		3	21.43			Excluded					2	14.29		5	35.71		0	0.00					1	7.14		14	
		TOTAL		59	3.12		72	3.80		57	3.01		28	1.48		15	0.79								924	48.79		63	3.33		559	29.51					117	6.18		1894	
	FIFTH			1	6.67		1	6.67		1	6.67		4	26.67			Excluded								2	13.33		3	20.00		1	6.67					2	13.33		15	
		TOTAL		60	3.17		73	3.85		58	3.06		32	1.69											926	48.89		66	3.48		560	29.57					119	6.28		1894	
	SIXTH			6	18.75		0	0.00		4	12.50			Excluded											1	3.13		19	59.38		1	3.13					1	3.13		32	
		TOTAL		66	3.48		73	3.85		62	3.27														927	48.94		85	4.49		561	29.62					120	6.34		1894	
	SEVENTH				Excluded		35	53.03		10	15.15														2	3.03		18	27.27		1	1.52					0	0.00		66	
		TOTAL					108	5.70		72	3.80														929	49.05		103	5.44		562	29.67					120	6.34		1894	
	EIGHTH						10	13.89			Excluded														16	22.22		8	11.11		5	6.94					33	45.83		72	
		TOTAL					118	6.23																	945	49.89		111	5.86		567	29.94					153	8.08		1894	
	NINTH							Excluded																	64	54.24		37	31.36		10	8.47					7	5.93		118	
		TOTAL																							1009	53.27		148	7.81		577	30.46					160	8.45		1894	
	TENTH																								92	57.50		35	21.88		33	20.63						Excluded		160	
		TOTAL																							1101	58.13		183	9.66		610	32.21								1894	
	ELEVENTH																								96	52.46			Excluded		87	47.54								183	
		TOTAL																							1197	63.20					697	36.80								1894	
																															Elected										
																																									
Wonthaggi North                                                																																									
	FIRST			43	2.42		72	4.05		66	3.71		25	1.41		11	0.62		8	0.45		9	0.51		755	42.49		47	2.64		645	36.30		18	1.01		78	4.39		1777	
	SECOND			4	44.44		2	22.22		1	11.11		0	0.00		1	11.11		1	11.11			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	
		TOTAL		47	2.64		74	4.16		67	3.77		25	1.41		12	0.68		9	0.51					755	42.49		47	2.64		645	36.30		18	1.01		78	4.39		1777	
	THIRD			9	50.00		1	5.56		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	16.67		4	22.22			Excluded		1	5.56		18	
		TOTAL		56	3.15		75	4.22		67	3.77		25	1.41		12	0.68		9	0.51					755	42.49		50	2.81		649	36.52					79	4.45		1777	
	FOURTH			0	0.00		1	11.11		1	11.11		0	0.00		4	44.44			Excluded					2	22.22		1	11.11		0	0.00					0	0.00		9	
		TOTAL		56	3.15		76	4.28		68	3.83		25	1.41		16	0.90								757	42.60		51	2.87		649	36.52					79	4.45		1777	
	FIFTH			2	12.50		0	0.00		0	0.00		6	37.50			Excluded								1	6.25		5	31.25		1	6.25					1	6.25		16	
		TOTAL		58	3.26		76	4.28		68	3.83		31	1.74											758	42.66		56	3.15		650	36.58					80	4.50		1777	
	SIXTH			7	22.58		0	0.00		4	12.90			Excluded											2	6.45		16	51.61		2	6.45					0	0.00		31	
		TOTAL		65	3.66		76	4.28		72	4.05														760	42.77		72	4.05		652	36.69					80	4.50		1777	
	SEVENTH				Excluded		27	41.54		10	15.38														4	6.15		22	33.85		2	3.08					0	0.00		65	
		TOTAL					103	5.80		82	4.61														764	42.99		94	5.29		654	36.80					80	4.50		1777	
	EIGHTH						12	14.63			Excluded														13	15.85		14	17.07		8	9.76					35	42.68		82	
		TOTAL					115	6.47																	777	43.73		108	6.08		662	37.25					115	6.47		1777	
	NINTH							Excluded																	48	41.74		52	45.22		6	5.22					9	7.83		115	
		TOTAL																							825	46.43		160	9.00		668	37.59					124	6.98		1777	
	TENTH																								68	54.84		31	25.00		25	20.16						Excluded		124	
		TOTAL																							893	50.25		191	10.75		693	39.00								1777	
	ELEVENTH																								107	56.02			Excluded		84	43.98								191	
		TOTAL																							1000	56.27					777	43.73								1777	
																															Elected										
																																									
Woodside                                                       																																									
	FIRST			19	5.59		41	12.06		8	2.35		0	0.00		6	1.76		0	0.00		1	0.29		77	22.65		40	11.76		132	38.82		5	1.47		11	3.24		340	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		20	5.88		41	12.06		8	2.35		0	0.00		6	1.76		0	0.00					77	22.65		40	11.76		132	38.82		5	1.47		11	3.24		340	
	THIRD			4	80.00		0	0.00		0	0.00		0	0.00		1	20.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		24	7.06		41	12.06		8	2.35		0	0.00		7	2.06		0	0.00					77	22.65		40	11.76		132	38.82					11	3.24		340	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		24	7.06		41	12.06		8	2.35		0	0.00		7	2.06								77	22.65		40	11.76		132	38.82					11	3.24		340	
	FIFTH			1	14.29		0	0.00		1	14.29		2	28.57			Excluded								0	0.00		0	0.00		3	42.86					0	0.00		7	
		TOTAL		25	7.35		41	12.06		9	2.65		2	0.59											77	22.65		40	11.76		135	39.71					11	3.24		340	
	SIXTH			0	0.00		0	0.00		2	100.00			Excluded											0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		25	7.35		41	12.06		11	3.24														77	22.65		40	11.76		135	39.71					11	3.24		340	
	SEVENTH				Excluded		4	16.00		2	8.00														2	8.00		15	60.00		2	8.00					0	0.00		25	
		TOTAL					45	13.24		13	3.82														79	23.24		55	16.18		137	40.29					11	3.24		340	
	EIGHTH						0	0.00			Excluded														4	30.77		2	15.38		0	0.00					7	53.85		13	
		TOTAL					45	13.24																	83	24.41		57	16.76		137	40.29					18	5.29		340	
	NINTH							Excluded																	10	22.22		35	77.78		0	0.00					0	0.00		45	
		TOTAL																							93	27.35		92	27.06		137	40.29					18	5.29		340	
	TENTH																								5	27.78		8	44.44		5	27.78						Excluded		18	
		TOTAL																							98	28.82		100	29.41		142	41.76								340	
	ELEVENTH																								60	60.00			Excluded		40	40.00								100	
		TOTAL																							158	46.47					182	53.53								340	
																															Elected										
																																									
Wurruk                                                         																																									
	FIRST			8	2.29		16	4.57		10	2.86		5	1.43		3	0.86		2	0.57		0	0.00		85	24.29		23	6.57		187	53.43		3	0.86		8	2.29		350	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	2.29		16	4.57		10	2.86		5	1.43		3	0.86		2	0.57					85	24.29		23	6.57		187	53.43		3	0.86		8	2.29		350	
	THIRD			2	66.67		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		10	2.86		16	4.57		10	2.86		6	1.71		3	0.86		2	0.57					85	24.29		23	6.57		187	53.43					8	2.29		350	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		10	2.86		16	4.57		10	2.86		6	1.71		3	0.86								87	24.86		23	6.57		187	53.43					8	2.29		350	
	FIFTH			2	66.67		0	0.00		0	0.00		0	0.00			Excluded								1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL		12	3.43		16	4.57		10	2.86		6	1.71											88	25.14		23	6.57		187	53.43					8	2.29		350	
	SIXTH			2	33.33		1	16.67		0	0.00			Excluded											0	0.00		3	50.00		0	0.00					0	0.00		6	
		TOTAL		14	4.00		17	4.86		10	2.86														88	25.14		26	7.43		187	53.43					8	2.29		350	
	SEVENTH				Excluded		3	21.43		5	35.71														0	0.00		6	42.86		0	0.00					0	0.00		14	
		TOTAL					20	5.71		15	4.29														88	25.14		32	9.14		187	53.43					8	2.29		350	
	EIGHTH						3	20.00			Excluded														3	20.00		1	6.67		6	40.00					2	13.33		15	
		TOTAL					23	6.57																	91	26.00		33	9.43		193	55.14					10	2.86		350	
	NINTH							Excluded																	6	26.09		16	69.57		1	4.35					0	0.00		23	
		TOTAL																							97	27.71		49	14.00		194	55.43					10	2.86		350	
	TENTH																								3	30.00		4	40.00		3	30.00						Excluded		10	
		TOTAL																							100	28.57		53	15.14		197	56.29								350	
	ELEVENTH																								28	52.83			Excluded		25	47.17								53	
		TOTAL																							128	36.57					222	63.43								350	
																															Elected										
																																									
Wy Yung                                                        																																									
	FIRST			7	0.95		36	4.88		26	3.53		40	5.43		25	3.39		9	1.22		3	0.41		117	15.88		35	4.75		411	55.77		3	0.41		25	3.39		737	
	SECOND			0	0.00		1	33.33		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		7	0.95		37	5.02		26	3.53		42	5.70		25	3.39		9	1.22					117	15.88		35	4.75		411	55.77		3	0.41		25	3.39		737	
	THIRD			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00					0	0.00		1	33.33		1	33.33			Excluded		0	0.00		3	
		TOTAL		7	0.95		37	5.02		27	3.66		42	5.70		25	3.39		9	1.22					117	15.88		36	4.88		412	55.90					25	3.39		737	
	FOURTH			1	11.11		0	0.00		0	0.00		0	0.00		3	33.33			Excluded					1	11.11		3	33.33		0	0.00					1	11.11		9	
		TOTAL		8	1.09		37	5.02		27	3.66		42	5.70		28	3.80								118	16.01		39	5.29		412	55.90					26	3.53		737	
	FIFTH			4	14.29		2	7.14		4	14.29		4	14.29			Excluded								4	14.29		4	14.29		5	17.86					1	3.57		28	
		TOTAL		12	1.63		39	5.29		31	4.21		46	6.24											122	16.55		43	5.83		417	56.58					27	3.66		737	
	SIXTH			7	15.22		3	6.52		3	6.52			Excluded											4	8.70		25	54.35		3	6.52					1	2.17		46	
		TOTAL		19	2.58		42	5.70		34	4.61														126	17.10		68	9.23		420	56.99					28	3.80		737	
	SEVENTH				Excluded		7	36.84		3	15.79														0	0.00		6	31.58		3	15.79					0	0.00		19	
		TOTAL					49	6.65		37	5.02														126	17.10		74	10.04		423	57.39					28	3.80		737	
	EIGHTH						8	21.62			Excluded														9	24.32		8	21.62		3	8.11					9	24.32		37	
		TOTAL					57	7.73																	135	18.32		82	11.13		426	57.80					37	5.02		737	
	NINTH							Excluded																	13	22.81		33	57.89		9	15.79					2	3.51		57	
		TOTAL																							148	20.08		115	15.60		435	59.02					39	5.29		737	
	TENTH																								18	46.15		13	33.33		8	20.51						Excluded		39	
		TOTAL																							166	22.52		128	17.37		443	60.11								737	
	ELEVENTH																								58	45.31			Excluded		70	54.69								128	
		TOTAL																							224	30.39					513	69.61								737	
																															Elected										
																																									
Yanakie                                                        																																									
	FIRST			1	0.60		14	8.33		7	4.17		2	1.19		0	0.00		1	0.60		0	0.00		35	20.83		7	4.17		85	50.60		0	0.00		16	9.52		168	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.60		14	8.33		7	4.17		2	1.19		0	0.00		1	0.60					35	20.83		7	4.17		85	50.60		0	0.00		16	9.52		168	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.60		14	8.33		7	4.17		2	1.19		0	0.00		1	0.60					35	20.83		7	4.17		85	50.60					16	9.52		168	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		2	1.19		14	8.33		7	4.17		2	1.19		0	0.00								35	20.83		7	4.17		85	50.60					16	9.52		168	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.19		14	8.33		7	4.17		2	1.19											35	20.83		7	4.17		85	50.60					16	9.52		168	
	SIXTH			0	0.00		1	50.00		0	0.00			Excluded											1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		2	1.19		15	8.93		7	4.17														36	21.43		7	4.17		85	50.60					16	9.52		168	
	SEVENTH				Excluded		2	100.00		0	0.00														0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					17	10.12		7	4.17														36	21.43		7	4.17		85	50.60					16	9.52		168	
	EIGHTH						0	0.00			Excluded														1	14.29		1	14.29		2	28.57					3	42.86		7	
		TOTAL					17	10.12																	37	22.02		8	4.76		87	51.79					19	11.31		168	
	NINTH							Excluded																	5	29.41		6	35.29		4	23.53					2	11.76		17	
		TOTAL																							42	25.00		14	8.33		91	54.17					21	12.50		168	
	TENTH																								11	52.38		6	28.57		4	19.05						Excluded		21	
		TOTAL																							53	31.55		20	11.90		95	56.55								168	
	ELEVENTH																								9	45.00			Excluded		11	55.00								20	
		TOTAL																							62	36.90					106	63.10								168	
																															Elected										
																																									
Yarram                                                         																																									
	FIRST			59	4.19		62	4.40		26	1.85		23	1.63		34	2.41		8	0.57		1	0.07		378	26.85		62	4.40		689	48.93		5	0.36		61	4.33		1408	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		59	4.19		62	4.40		26	1.85		24	1.70		34	2.41		8	0.57					378	26.85		62	4.40		689	48.93		5	0.36		61	4.33		1408	
	THIRD			1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00					0	0.00		1	20.00		0	0.00			Excluded		2	40.00		5	
		TOTAL		60	4.26		62	4.40		26	1.85		24	1.70		34	2.41		9	0.64					378	26.85		63	4.47		689	48.93					63	4.47		1408	
	FOURTH			4	44.44		0	0.00		1	11.11		1	11.11		1	11.11			Excluded					0	0.00		0	0.00		0	0.00					2	22.22		9	
		TOTAL		64	4.55		62	4.40		27	1.92		25	1.78		35	2.49								378	26.85		63	4.47		689	48.93					65	4.62		1408	
	FIFTH			9	25.71		2	5.71		4	11.43		4	11.43			Excluded								5	14.29		3	8.57		6	17.14					2	5.71		35	
		TOTAL		73	5.18		64	4.55		31	2.20		29	2.06											383	27.20		66	4.69		695	49.36					67	4.76		1408	
	SIXTH			8	27.59		2	6.90		4	13.79			Excluded											3	10.34		7	24.14		3	10.34					2	6.90		29	
		TOTAL		81	5.75		66	4.69		35	2.49														386	27.41		73	5.18		698	49.57					69	4.90		1408	
	SEVENTH				Excluded		23	28.40		11	13.58														5	6.17		32	39.51		6	7.41					4	4.94		81	
		TOTAL					89	6.32		46	3.27														391	27.77		105	7.46		704	50.00					73	5.18		1408	
	EIGHTH						12	26.09			Excluded														8	17.39		8	17.39		6	13.04					12	26.09		46	
		TOTAL					101	7.17																	399	28.34		113	8.03		710	50.43					85	6.04		1408	
	NINTH							Excluded																	36	35.64		53	52.48		6	5.94					6	5.94		101	
		TOTAL																							435	30.89		166	11.79		716	50.85					91	6.46		1408	
	TENTH																								44	48.35		21	23.08		26	28.57						Excluded		91	
		TOTAL																							479	34.02		187	13.28		742	52.70								1408	
	ELEVENTH																								106	56.68			Excluded		81	43.32								187	
		TOTAL																							585	41.55					823	58.45								1408	
																															Elected										
																																									
Special Hospital Team 1                                        																																									
	FIRST			10	5.49		2	1.10		5	2.75		2	1.10		1	0.55		1	0.55		0	0.00		36	19.78		7	3.85		117	64.29		0	0.00		1	0.55		182	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		10	5.49		2	1.10		5	2.75		2	1.10		1	0.55		1	0.55					36	19.78		7	3.85		117	64.29		0	0.00		1	0.55		182	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		10	5.49		2	1.10		5	2.75		2	1.10		1	0.55		1	0.55					36	19.78		7	3.85		117	64.29					1	0.55		182	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		11	6.04		2	1.10		5	2.75		2	1.10		1	0.55								36	19.78		7	3.85		117	64.29					1	0.55		182	
	FIFTH			0	0.00		0	0.00		0	0.00		1	100.00			Excluded								0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		11	6.04		2	1.10		5	2.75		3	1.65											36	19.78		7	3.85		117	64.29					1	0.55		182	
	SIXTH			0	0.00		0	0.00		1	33.33			Excluded											0	0.00		1	33.33		1	33.33					0	0.00		3	
		TOTAL		11	6.04		2	1.10		6	3.30														36	19.78		8	4.40		118	64.84					1	0.55		182	
	SEVENTH				Excluded		2	18.18		1	9.09														0	0.00		6	54.55		2	18.18					0	0.00		11	
		TOTAL					4	2.20		7	3.85														36	19.78		14	7.69		120	65.93					1	0.55		182	
	EIGHTH						2	28.57			Excluded														2	28.57		3	42.86		0	0.00					0	0.00		7	
		TOTAL					6	3.30																	38	20.88		17	9.34		120	65.93					1	0.55		182	
	NINTH							Excluded																	5	83.33		1	16.67		0	0.00					0	0.00		6	
		TOTAL																							43	23.63		18	9.89		120	65.93					1	0.55		182	
	TENTH																								1	100.00		0	0.00		0	0.00						Excluded		1	
		TOTAL																							44	24.18		18	9.89		120	65.93								182	
	ELEVENTH																								5	27.78			Excluded		13	72.22								18	
		TOTAL																							49	26.92					133	73.08								182	
																															Elected										
																																									
Special Hospital Team 2                                        																																									
	FIRST			11	8.40		1	0.76		1	0.76		5	3.82		4	3.05		1	0.76		1	0.76		34	25.95		9	6.87		62	47.33		1	0.76		1	0.76		131	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		11	8.40		1	0.76		1	0.76		5	3.82		4	3.05		1	0.76					35	26.72		9	6.87		62	47.33		1	0.76		1	0.76		131	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		11	8.40		1	0.76		1	0.76		5	3.82		4	3.05		1	0.76					35	26.72		10	7.63		62	47.33					1	0.76		131	
	FOURTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		11	8.40		2	1.53		1	0.76		5	3.82		4	3.05								35	26.72		10	7.63		62	47.33					1	0.76		131	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								1	25.00		1	25.00		2	50.00					0	0.00		4	
		TOTAL		11	8.40		2	1.53		1	0.76		5	3.82											36	27.48		11	8.40		64	48.85					1	0.76		131	
	SIXTH			3	60.00		0	0.00		0	0.00			Excluded											0	0.00		2	40.00		0	0.00					0	0.00		5	
		TOTAL		14	10.69		2	1.53		1	0.76														36	27.48		13	9.92		64	48.85					1	0.76		131	
	SEVENTH				Excluded		12	85.71		0	0.00														0	0.00		2	14.29		0	0.00					0	0.00		14	
		TOTAL					14	10.69		1	0.76														36	27.48		15	11.45		64	48.85					1	0.76		131	
	EIGHTH						0	0.00			Excluded														0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					14	10.69																	36	27.48		16	12.21		64	48.85					1	0.76		131	
	NINTH							Excluded																	9	64.29		0	0.00		2	14.29					3	21.43		14	
		TOTAL																							45	34.35		16	12.21		66	50.38					4	3.05		131	
	TENTH																								3	75.00		1	25.00		0	0.00						Excluded		4	
		TOTAL																							48	36.64		17	12.98		66	50.38								131	
	ELEVENTH																								5	29.41			Excluded		12	70.59								17	
		TOTAL																							53	40.46					78	59.54								131	
																															Elected										
																																									
Special Hospital Team 3                                        																																									
	FIRST			1	0.60		1	0.60		1	0.60		0	0.00		0	0.00		0	0.00		0	0.00		49	29.17		0	0.00		115	68.45		0	0.00		1	0.60		168	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.60		1	0.60		1	0.60		0	0.00		0	0.00		0	0.00					49	29.17		0	0.00		115	68.45		0	0.00		1	0.60		168	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.60		1	0.60		1	0.60		0	0.00		0	0.00		0	0.00					49	29.17		0	0.00		115	68.45					1	0.60		168	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.60		1	0.60		1	0.60		0	0.00		0	0.00								49	29.17		0	0.00		115	68.45					1	0.60		168	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		0	0.00		0	0.00					0	0.00		0	
