House of Representatives - 2001 Election: South Australia																									
Distribution of Preferences 																									
By Polling Place																									
																									
Barker																									
				DETCHON			RIGNEY			BALLINGER			WRIGHT			CORNISH			MILLER			SECKER			
	FIFTH			1	16.67									Excluded					1	16.67		4	66.67		6
		TOTAL		17	10.69														11	6.92		131	82.39		159
	SIXTH			5	45.45															Excluded		6	54.55		11
		TOTAL		22	13.84																	137	86.16		159
																						Elected			
																									
Wolseley                                                       																									
	FIRST			32	23.88		1	0.75		22	16.42		10	7.46		3	2.24		5	3.73		61	45.52		134
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		1	33.33		3
		TOTAL		32	23.88		1	0.75		23	17.16		11	8.21					5	3.73		62	46.27		134
	THIRD			0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		32	23.88					24	17.91		11	8.21					5	3.73		62	46.27		134
	FOURTH			3	12.50						Excluded		10	41.67					3	12.50		8	33.33		24
		TOTAL		35	26.12								21	15.67					8	5.97		70	52.24		134
	FIFTH			4	19.05									Excluded					8	38.10		9	42.86		21
		TOTAL		39	29.10														16	11.94		79	58.96		134
	SIXTH			8	50.00															Excluded		8	50.00		16
		TOTAL		47	35.07																	87	64.93		134
																						Elected			
																									
Woods Point                                                    																									
	FIRST			22	15.28		1	0.69		4	2.78		11	7.64		2	1.39		9	6.25		95	65.97		144
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00		2
		TOTAL		22	15.28		1	0.69		4	2.78		11	7.64					9	6.25		97	67.36		144
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		1
		TOTAL		22	15.28					4	2.78		11	7.64					10	6.94		97	67.36		144
	FOURTH			2	50.00						Excluded		0	0.00					1	25.00		1	25.00		4
		TOTAL		24	16.67								11	7.64					11	7.64		98	68.06		144
	FIFTH			2	18.18									Excluded					5	45.45		4	36.36		11
		TOTAL		26	18.06														16	11.11		102	70.83		144
	SIXTH			8	50.00															Excluded		8	50.00		16
		TOTAL		34	23.61																	110	76.39		144
																						Elected			
																									
Yahl                                                           																									
	FIRST			70	24.56		7	2.46		15	5.26		24	8.42		9	3.16		12	4.21		148	51.93		285
	SECOND			1	11.11		0	0.00		2	22.22		2	22.22			Excluded		0	0.00		4	44.44		9
		TOTAL		71	24.91		7	2.46		17	5.96		26	9.12					12	4.21		152	53.33		285
	THIRD			3	42.86			Excluded		2	28.57		0	0.00					2	28.57		0	0.00		7
		TOTAL		74	25.96					19	6.67		26	9.12					14	4.91		152	53.33		285
	FOURTH			1	5.26						Excluded		4	21.05					4	21.05		10	52.63		19
		TOTAL		75	26.32								30	10.53					18	6.32		162	56.84		285
	FIFTH			6	20.00									Excluded					15	50.00		9	30.00		30
		TOTAL		81	28.42														33	11.58		171	60.00		285
	SIXTH			14	42.42															Excluded		19	57.58		33
		TOTAL		95	33.33																	190	66.67		285
																						Elected			
																									
Yankalilla                                                     																									
	FIRST			343	25.00		79	5.76		31	2.26		88	6.41		11	0.80		140	10.20		680	49.56		1372
	SECOND			0	0.00		2	18.18		3	27.27		2	18.18			Excluded		2	18.18		2	18.18		11
		TOTAL		343	25.00		81	5.90		34	2.48		90	6.56					142	10.35		682	49.71		1372
	THIRD			21	25.93			Excluded		4	4.94		4	4.94					47	58.02		5	6.17		81
		TOTAL		364	26.53					38	2.77		94	6.85					189	13.78		687	50.07		1372
	FOURTH			5	13.16						Excluded		5	13.16					12	31.58		16	42.11		38
		TOTAL		369	26.90								99	7.22					201	14.65		703	51.24		1372
	FIFTH			21	21.21									Excluded					20	20.20		58	58.59		99
		TOTAL		390	28.43														221	16.11		761	55.47		1372
	SIXTH			148	66.97															Excluded		73	33.03		221
		TOTAL		538	39.21																	834	60.79		1372
																						Elected			
																									
Special Hospital Team 1                                        																									
	FIRST			7	28.00		2	8.00		0	0.00		0	0.00		1	4.00		1	4.00		14	56.00		25
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1
		TOTAL		7	28.00		2	8.00		0	0.00		0	0.00					2	8.00		14	56.00		25
	THIRD			1	50.00			Excluded		1	50.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		8	32.00					1	4.00		0	0.00					2	8.00		14	56.00		25
	FOURTH			1	100.00						Excluded		0	0.00					0	0.00		0	0.00		1
		TOTAL		9	36.00								0	0.00					2	8.00		14	56.00		25
	FIFTH			0	0.00									Excluded					0	0.00		0	0.00		0
		TOTAL		9	36.00														2	8.00		14	56.00		25
	SIXTH			0	0.00															Excluded		2	100.00		2
		TOTAL		9	36.00																	16	64.00		25
																						Elected			
																									
Special Hospital Team 2                                        																									
	FIRST			22	45.83		0	0.00		1	2.08		2	4.17		1	2.08		0	0.00		22	45.83		48
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1
		TOTAL		22	45.83		0	0.00		1	2.08		2	4.17					1	2.08		22	45.83		48
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		22	45.83					1	2.08		2	4.17					1	2.08		22	45.83		48
	FOURTH			0	0.00						Excluded		0	0.00					0	0.00		1	100.00		1
		TOTAL		22	45.83								2	4.17					1	2.08		23	47.92		48
	FIFTH			0	0.00									Excluded					0	0.00		2	100.00		2
		TOTAL		22	45.83														1	2.08		25	52.08		48
	SIXTH			1	100.00															Excluded		0	0.00		1
		TOTAL		23	47.92																	25	52.08		48
																						Elected			
																									
Special Hospital Team 3                                        																									
	FIRST			4	22.22		0	0.00		1	5.56		3	16.67		1	5.56		1	5.56		8	44.44		18
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		4	22.22		0	0.00		2	11.11		3	16.67					1	5.56		8	44.44		18
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		4	22.22					2	11.11		3	16.67					1	5.56		8	44.44		18
	FOURTH			1	50.00						Excluded		0	0.00					0	0.00		1	50.00		2
		TOTAL		5	27.78								3	16.67					1	5.56		9	50.00		18
	FIFTH			0	0.00									Excluded					0	0.00		3	100.00		3
		TOTAL		5	27.78														1	5.56		12	66.67		18
	SIXTH			0	0.00															Excluded		1	100.00		1
		TOTAL		5	27.78																	13	72.22		18
																						Elected			
																									
Special Hospital Team 4                                        																									
	FIRST			8	47.06		0	0.00		0	0.00		0	0.00		1	5.88		0	0.00		8	47.06		17
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		8	47.06		0	0.00		1	5.88		0	0.00					0	0.00		8	47.06		17
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		8	47.06					1	5.88		0	0.00					0	0.00		8	47.06		17
	FOURTH			1	100.00						Excluded		0	0.00					0	0.00		0	0.00		1
		TOTAL		9	52.94								0	0.00					0	0.00		8	47.06		17
	FIFTH			0	0.00									Excluded					0	0.00		0	0.00		0
		TOTAL		9	52.94														0	0.00		8	47.06		17
	SIXTH			0	0.00															Excluded		0	0.00		0
		TOTAL		9	52.94																	8	47.06		17
																						Elected			
																									
Special Hospital Team 5                                        																									
	FIRST			29	30.21		0	0.00		2	2.08		3	3.13		0	0.00		1	1.04		61	63.54		96
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		29	30.21		0	0.00		2	2.08		3	3.13					1	1.04		61	63.54		96
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		29	30.21					2	2.08		3	3.13					1	1.04		61	63.54		96
	FOURTH			2	100.00						Excluded		0	0.00					0	0.00		0	0.00		2
		TOTAL		31	32.29								3	3.13					1	1.04		61	63.54		96
	FIFTH			1	33.33									Excluded					1	33.33		1	33.33		3
		TOTAL		32	33.33														2	2.08		62	64.58		96
	SIXTH			0	0.00															Excluded		2	100.00		2
		TOTAL		32	33.33																	64	66.67		96
																						Elected			
																									
Special Hospital Team 6                                        																									
	FIRST			11	26.19		0	0.00		0	0.00		0	0.00		0	0.00		2	4.76		29	69.05		42
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		11	26.19		0	0.00		0	0.00		0	0.00					2	4.76		29	69.05		42
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		11	26.19					0	0.00		0	0.00					2	4.76		29	69.05		42
	FOURTH			0	0.00						Excluded		0	0.00					0	0.00		0	0.00		0
		TOTAL		11	26.19								0	0.00					2	4.76		29	69.05		42
	FIFTH			0	0.00									Excluded					0	0.00		0	0.00		0
		TOTAL		11	26.19														2	4.76		29	69.05		42
	SIXTH			2	100.00															Excluded		0	0.00		2
		TOTAL		13	30.95																	29	69.05		42
																						Elected			
																									
Special Hospital Team 7                                        																									
	FIRST			3	20.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	80.00		15
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		3	20.00		0	0.00		0	0.00		0	0.00					0	0.00		12	80.00		15
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		3	20.00					0	0.00		0	0.00					0	0.00		12	80.00		15
	FOURTH			0	0.00						Excluded		0	0.00					0	0.00		0	0.00		0
		TOTAL		3	20.00								0	0.00					0	0.00		12	80.00		15
	FIFTH			0	0.00									Excluded					0	0.00		0	0.00		0
		TOTAL		3	20.00														0	0.00		12	80.00		15
	SIXTH			0	0.00															Excluded		0	0.00		0
		TOTAL		3	20.00																	12	80.00		15
																						Elected			
																									
Special Hospital Team 8                                        																									
	FIRST			59	37.11		3	1.89		2	1.26		2	1.26		2	1.26		6	3.77		85	53.46		159
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00		2
		TOTAL		59	37.11		3	1.89		3	1.89		2	1.26					6	3.77		86	54.09		159
	THIRD			1	33.33			Excluded		0	0.00		2	66.67					0	0.00		0	0.00		3
		TOTAL		60	37.74					3	1.89		4	2.52					6	3.77		86	54.09		159
	FOURTH			2	66.67						Excluded		0	0.00					0	0.00		1	33.33		3
		TOTAL		62	38.99								4	2.52					6	3.77		87	54.72		159
	FIFTH			2	50.00									Excluded					1	25.00		1	25.00		4
		TOTAL		64	40.25														7	4.40		88	55.35		159
	SIXTH			6	85.71															Excluded		1	14.29		7
		TOTAL		70	44.03																	89	55.97		159
																						Elected			
																									
Special Hospital Team 9                                        																									
	FIRST			29	28.71		2	1.98		3	2.97		4	3.96		0	0.00		2	1.98		61	60.40		101
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		29	28.71		2	1.98		3	2.97		4	3.96					2	1.98		61	60.40		101
	THIRD			2	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		31	30.69					3	2.97		4	3.96					2	1.98		61	60.40		101
	FOURTH			1	33.33						Excluded		0	0.00					2	66.67		0	0.00		3
		TOTAL		32	31.68								4	3.96					4	3.96		61	60.40		101
	FIFTH			2	50.00									Excluded					1	25.00		1	25.00		4
		TOTAL		34	33.66														5	4.95		62	61.39		101
	SIXTH			3	60.00															Excluded		2	40.00		5
		TOTAL		37	36.63																	64	63.37		101
																						Elected			
																									
ABSENT																									
	FIRST			847	21.21		198	4.96		128	3.20		219	5.48		51	1.28		427	10.69		2124	53.18		3994
	SECOND			2	3.92		5	9.80		23	45.10		3	5.88			Excluded		6	11.76		12	23.53		51
		TOTAL		849	21.26		203	5.08		151	3.78		222	5.56					433	10.84		2136	53.48		3994
	THIRD			39	19.21			Excluded		35	17.24		15	7.39					91	44.83		23	11.33		203
		TOTAL		888	22.23					186	4.66		237	5.93					524	13.12		2159	54.06		3994
	FOURTH			34	18.28						Excluded		36	19.35					55	29.57		61	32.80		186
		TOTAL		922	23.08								273	6.84					579	14.50		2220	55.58		3994
	FIFTH			83	30.40									Excluded					85	31.14		105	38.46		273
		TOTAL		1005	25.16														664	16.62		2325	58.21		3994
	SIXTH			389	58.58															Excluded		275	41.42		664
		TOTAL		1394	34.90																	2600	65.10		3994
																						Elected			
																									
POSTAL																									
	FIRST			533	17.33		66	2.15		121	3.93		203	6.60		61	1.98		172	5.59		1919	62.41		3075
	SECOND			4	6.56		3	4.92		23	37.70		7	11.48			Excluded		7	11.48		17	27.87		61
		TOTAL		537	17.46		69	2.24		144	4.68		210	6.83					179	5.82		1936	62.96		3075
	THIRD			22	31.88			Excluded		8	11.59		3	4.35					29	42.03		7	10.14		69
		TOTAL		559	18.18					152	4.94		213	6.93					208	6.76		1943	63.19		3075
	FOURTH			13	8.55						Excluded		24	15.79					42	27.63		73	48.03		152
		TOTAL		572	18.60								237	7.71					250	8.13		2016	65.56		3075
	FIFTH			52	21.94									Excluded					56	23.63		129	54.43		237
		TOTAL		624	20.29														306	9.95		2145	69.76		3075
	SIXTH			178	58.17															Excluded		128	41.83		306
		TOTAL		802	26.08																	2273	73.92		3075
																						Elected			
																									
PRE POLL																									
	FIRST			719	26.18		114	4.15		92	3.35		186	6.77		44	1.60		203	7.39		1388	50.55		2746
	SECOND			3	6.82		2	4.55		17	38.64		7	15.91			Excluded		3	6.82		12	27.27		44
		TOTAL		722	26.29		116	4.22		109	3.97		193	7.03					206	7.50		1400	50.98		2746
	THIRD			33	28.45			Excluded		23	19.83		11	9.48					38	32.76		11	9.48		116
		TOTAL		755	27.49					132	4.81		204	7.43					244	8.89		1411	51.38		2746
	FOURTH			22	16.67						Excluded		21	15.91					44	33.33		45	34.09		132
		TOTAL		777	28.30								225	8.19					288	10.49		1456	53.02		2746
	FIFTH			55	24.44									Excluded					81	36.00		89	39.56		225
		TOTAL		832	30.30														369	13.44		1545	56.26		2746
	SIXTH			223	60.43															Excluded		146	39.57		369
		TOTAL		1055	38.42																	1691	61.58		2746
																						Elected			
																									
PROVISIONAL																									
	FIRST			216	30.73		44	6.26		26	3.70		56	7.97		16	2.28		57	8.11		288	40.97		703
	SECOND			0	0.00		1	6.25		4	25.00		5	31.25			Excluded		3	18.75		3	18.75		16
		TOTAL		216	30.73		45	6.40		30	4.27		61	8.68					60	8.53		291	41.39		703
	THIRD			15	33.33			Excluded		8	17.78		6	13.33					12	26.67		4	8.89		45
		TOTAL		231	32.86					38	5.41		67	9.53					72	10.24		295	41.96		703
	FOURTH			14	36.84						Excluded		8	21.05					8	21.05		8	21.05		38
		TOTAL		245	34.85								75	10.67					80	11.38		303	43.10		703
	FIFTH			23	30.67									Excluded					20	26.67		32	42.67		75
		TOTAL		268	38.12														100	14.22		335	47.65		703
	SIXTH			55	55.00															Excluded		45	45.00		100
		TOTAL		323	45.95																	380	54.05		703
																						Elected			
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
