Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Burleigh West		                              	28	2.67	 	91	8.69	 	437	41.74	 	6	0.57	 	1	0.1	 	38	3.63	 	370	35.34	 	1	0.1	 	1	0.1	 	3	0.29	 	71	6.78	 	0	0	 	1047	98.13	 	20	1.87	 	1067	1.5
Coolangatta		                                	6	0.96	 	41	6.56	 	236	37.76	 	4	0.64	 	0	0	 	21	3.36	 	286	45.76	 	2	0.32	 	0	0	 	1	0.16	 	28	4.48	 	0	0	 	625	96.9	 	20	3.1	 	645	0.91
Coolangatta South		                          	5	0.87	 	39	6.79	 	229	39.9	 	3	0.52	 	1	0.17	 	16	2.79	 	241	41.99	 	0	0	 	1	0.17	 	1	0.17	 	38	6.62	 	0	0	 	574	96.63	 	20	3.37	 	594	0.83
Currumbin		                                  	37	1.36	 	139	5.1	 	1078	39.56	 	11	0.4	 	2	0.07	 	158	5.8	 	1163	42.68	 	0	0	 	4	0.15	 	2	0.07	 	131	4.81	 	0	0	 	2725	97.57	 	68	2.43	 	2793	3.92
Currumbin Valley		                           	3	1.15	 	62	23.75	 	97	37.16	 	2	0.77	 	2	0.77	 	19	7.28	 	58	22.22	 	0	0	 	0	0	 	0	0	 	18	6.9	 	0	0	 	261	98.86	 	3	1.14	 	264	0.37
Elanora		                                    	57	1.65	 	181	5.25	 	1547	44.91	 	17	0.49	 	3	0.09	 	138	4.01	 	1275	37.01	 	0	0	 	13	0.38	 	1	0.03	 	210	6.1	 	3	0.09	 	3445	98.2	 	63	1.8	 	3508	4.92
Elanora High		                               	7	0.49	 	64	4.45	 	710	49.37	 	6	0.42	 	1	0.07	 	51	3.55	 	526	36.58	 	0	0	 	6	0.42	 	1	0.07	 	65	4.52	 	1	0.07	 	1438	98.22	 	26	1.78	 	1464	2.06
Florida Gardens		                            	8	0.87	 	73	7.97	 	548	59.83	 	2	0.22	 	0	0	 	18	1.97	 	210	22.93	 	0	0	 	4	0.44	 	2	0.22	 	50	5.46	 	1	0.11	 	916	98.07	 	18	1.93	 	934	1.31
Ingleside		                                  	12	5.77	 	30	14.42	 	91	43.75	 	1	0.48	 	0	0	 	22	10.58	 	44	21.15	 	0	0	 	0	0	 	0	0	 	8	3.85	 	0	0	 	208	98.58	 	3	1.42	 	211	0.3
Kirra		                                      	22	1.92	 	71	6.19	 	385	33.57	 	3	0.26	 	1	0.09	 	64	5.58	 	529	46.12	 	1	0.09	 	4	0.35	 	2	0.17	 	65	5.67	 	0	0	 	1147	97.29	 	32	2.71	 	1179	1.66
Mermaid Beach		                              	10	0.81	 	82	6.67	 	579	47.11	 	3	0.24	 	1	0.08	 	49	3.99	 	429	34.91	 	0	0	 	5	0.41	 	1	0.08	 	70	5.7	 	0	0	 	1229	98.24	 	22	1.76	 	1251	1.76
Mermaid Waters (McPherson)		                 	31	1.05	 	184	6.23	 	1702	57.64	 	12	0.41	 	2	0.07	 	67	2.27	 	798	27.02	 	1	0.03	 	3	0.1	 	3	0.1	 	150	5.08	 	0	0	 	2953	97.36	 	80	2.64	 	3033	4.26
Mermaid Waters South		                       	42	1.43	 	185	6.31	 	1560	53.24	 	7	0.24	 	2	0.07	 	80	2.73	 	907	30.96	 	0	0	 	2	0.07	 	4	0.14	 	140	4.78	 	1	0.03	 	2930	97.76	 	67	2.24	 	2997	4.21
Merrimac (McPherson)		                       	18	1.32	 	119	8.74	 	720	52.9	 	10	0.73	 	1	0.07	 	42	3.09	 	391	28.73	 	0	0	 	0	0	 	0	0	 	60	4.41	 	0	0	 	1361	98.69	 	18	1.31	 	1379	1.94
Merrimac Central		                           	13	0.63	 	149	7.24	 	1221	59.36	 	11	0.53	 	4	0.19	 	31	1.51	 	530	25.77	 	2	0.1	 	4	0.19	 	2	0.1	 	89	4.33	 	1	0.05	 	2057	97.86	 	45	2.14	 	2102	2.95
Miami		                                      	48	2.19	 	99	4.51	 	869	39.61	 	14	0.64	 	0	0	 	79	3.6	 	957	43.62	 	1	0.05	 	8	0.36	 	0	0	 	118	5.38	 	1	0.05	 	2194	96.65	 	76	3.35	 	2270	3.19
Moana Park		                                 	37	1.83	 	182	9.01	 	1201	59.43	 	4	0.2	 	1	0.05	 	30	1.48	 	474	23.45	 	0	0	 	6	0.3	 	3	0.15	 	80	3.96	 	3	0.15	 	2021	97.68	 	48	2.32	 	2069	2.9
Mudgeeraba		                                 	49	2	 	258	10.52	 	1266	51.63	 	17	0.69	 	2	0.08	 	108	4.4	 	607	24.76	 	2	0.08	 	2	0.08	 	8	0.33	 	132	5.38	 	1	0.04	 	2452	97.73	 	57	2.27	 	2509	3.52
Palm Beach		                                 	18	0.96	 	130	6.96	 	830	44.46	 	8	0.43	 	0	0	 	57	3.05	 	718	38.46	 	0	0	 	2	0.11	 	3	0.16	 	98	5.25	 	3	0.16	 	1867	97.95	 	39	2.05	 	1906	2.68
Palm Beach North		                           	41	1.11	 	208	5.64	 	1663	45.12	 	17	0.46	 	2	0.05	 	126	3.42	 	1386	37.6	 	1	0.03	 	10	0.27	 	5	0.14	 	224	6.08	 	3	0.08	 	3686	97.31	 	102	2.69	 	3788	5.32
Palm Beach South		                           	26	1.02	 	117	4.59	 	1021	40.04	 	20	0.78	 	0	0	 	124	4.86	 	1049	41.14	 	0	0	 	3	0.12	 	2	0.08	 	188	7.37	 	0	0	 	2550	97.63	 	62	2.37	 	2612	3.67
Robina		                                     	25	0.72	 	206	5.92	 	2172	62.43	 	10	0.29	 	0	0	 	65	1.87	 	870	25.01	 	0	0	 	3	0.09	 	4	0.11	 	124	3.56	 	0	0	 	3479	98.33	 	59	1.67	 	3538	4.97
Springbrook		                                	7	3	 	24	10.3	 	74	31.76	 	0	0	 	0	0	 	35	15.02	 	67	28.76	 	0	0	 	1	0.43	 	0	0	 	25	10.73	 	0	0	 	233	97.08	 	7	2.92	 	240	0.34
Surfers Paradise (McPherson)		               	3	1.04	 	20	6.94	 	115	39.93	 	1	0.35	 	0	0	 	19	6.6	 	112	38.89	 	0	0	 	0	0	 	0	0	 	17	5.9	 	1	0.35	 	288	97.3	 	8	2.7	 	296	0.42
Tallai (McPherson)		                         	28	1.94	 	152	10.56	 	675	46.88	 	12	0.83	 	1	0.07	 	55	3.82	 	431	29.93	 	0	0	 	2	0.14	 	2	0.14	 	82	5.69	 	0	0	 	1440	98.7	 	19	1.3	 	1459	2.05
Tallebudgera		                               	17	1.56	 	80	7.33	 	512	46.93	 	2	0.18	 	0	0	 	55	5.04	 	333	30.52	 	0	0	 	1	0.09	 	3	0.27	 	87	7.97	 	1	0.09	 	1091	98.2	 	20	1.8	 	1111	1.56
Tugun		                                      	47	1.44	 	197	6.02	 	1420	43.36	 	6	0.18	 	3	0.09	 	153	4.67	 	1269	38.75	 	5	0.15	 	9	0.27	 	5	0.15	 	159	4.85	 	2	0.06	 	3275	98.02	 	66	1.98	 	3341	4.69
Special Hospitals		                          	2	0.92	 	19	8.76	 	93	42.86	 	0	0	 	1	0.46	 	2	0.92	 	90	41.47	 	0	0	 	2	0.92	 	1	0.46	 	7	3.23	 	0	0	 	217	99.54	 	1	0.46	 	218	0.31
Total Ordinary		                             	798	1.33	 	3976	6.61	 	28733	47.76	 	245	0.41	 	36	0.06	 	2196	3.65	 	20690	34.39	 	21	0.03	 	129	0.21	 	71	0.12	 	3233	5.37	 	31	0.05	 	60159	97.74	 	1392	2.26	 	61551	86.4
ABSENT		                                     	65	1.95	 	253	7.6	 	1503	45.14	 	20	0.6	 	2	0.06	 	169	5.08	 	1118	33.57	 	0	0	 	7	0.21	 	4	0.12	 	186	5.59	 	3	0.09	 	3330	99.02	 	33	0.98	 	3363	4.72
POSTAL		                                     	13	0.8	 	150	9.24	 	813	50.06	 	8	0.49	 	1	0.06	 	36	2.22	 	518	31.9	 	0	0	 	5	0.31	 	1	0.06	 	77	4.74	 	2	0.12	 	1624	98.48	 	25	1.52	 	1649	2.31
PRE_POLL		                                   	40	0.92	 	294	6.78	 	2193	50.59	 	19	0.44	 	5	0.12	 	130	3	 	1444	33.31	 	1	0.02	 	10	0.23	 	7	0.16	 	190	4.38	 	2	0.05	 	4335	99.27	 	32	0.73	 	4367	6.13
PROVISIONAL		                                	3	1.01	 	13	4.36	 	134	44.97	 	0	0	 	0	0	 	22	7.38	 	108	36.24	 	0	0	 	0	0	 	0	0	 	18	6.04	 	0	0	 	298	97.07	 	9	2.93	 	307	0.43
ADJUSTMENT		                                 	0		       	0		       	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	1		       	0	
Division Summary		                           	919	1.32	 	4686	6.72	 	33375	47.85	 	292	0.42	 	44	0.06	 	2553	3.66	 	23878	34.24	 	22	0.03	 	151	0.22	 	83	0.12	 	3704	5.31	 	38	0.05	 	69745	97.91	 	1492	2.09	 	71237	95.34
 																																														


Moncrieff (75232)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ashmore		                                    	77	1.76	 	307	7	 	2192	50.01	 	14	0.32	 	2	0.05	 	167	3.81	 	1325	30.23	 	1	0.02	 	2	0.05	 	5	0.11	 	289	6.59	 	2	0.05	 	4383	97.86	 	96	2.14	 	4479	6.24
Ashmore North		                              	1	0.15	 	58	8.54	 	355	52.28	 	2	0.29	 	0	0	 	20	2.95	 	200	29.46	 	1	0.15	 	0	0	 	0	0	 	40	5.89	 	2	0.29	 	679	97.84	 	15	2.16	 	694	0.97
Ashmore West		                               	35	1.57	 	177	7.93	 	1099	49.24	 	14	0.63	 	2	0.09	 	100	4.48	 	662	29.66	 	0	0	 	1	0.04	 	9	0.4	 	133	5.96	 	0	0	 	2232	98.63	 	31	1.37	 	2263	3.15
Benowa		                                     	37	0.99	 	251	6.68	 	2286	60.86	 	8	0.21	 	3	0.08	 	93	2.48	 	905	24.09	 	0	0	 	6	0.16	 	2	0.05	 	163	4.34	 	2	0.05	 	3756	98.14	 	71	1.86	 	3827	5.33
Biggera Waters		                             	63	2.14	 	220	7.46	 	1282	43.49	 	11	0.37	 	1	0.03	 	114	3.87	 	1072	36.36	 	2	0.07	 	11	0.37	 	4	0.14	 	167	5.66	 	1	0.03	 	2948	98.43	 	47	1.57	 	2995	4.17
Brisbane City (Moncrieff)		                  	0	0	 	0	0	 	21	43.75	 	1	2.08	 	0	0	 	2	4.17	 	17	35.42	 	0	0	 	0	0	 	1	2.08	 	6	12.5	 	0	0	 	48	94.12	 	3	5.88	 	51	0.07
Broadbeach (Moncrieff)		                     	2	0.71	 	13	4.64	 	124	44.29	 	2	0.71	 	0	0	 	25	8.93	 	97	34.64	 	0	0	 	0	0	 	2	0.71	 	15	5.36	 	0	0	 	280	96.89	 	9	3.11	 	289	0.4
Chevron Island		                             	14	0.94	 	112	7.54	 	864	58.14	 	2	0.13	 	0	0	 	39	2.62	 	385	25.91	 	0	0	 	2	0.13	 	1	0.07	 	67	4.51	 	0	0	 	1486	98.09	 	29	1.91	 	1515	2.11
Coombabah (Moncrieff)		                      	17	3.12	 	42	7.71	 	294	53.94	 	2	0.37	 	0	0	 	6	1.1	 	154	28.26	 	1	0.18	 	0	0	 	1	0.18	 	28	5.14	 	0	0	 	545	98.91	 	6	1.09	 	551	0.77
Evandale		                                   	20	0.93	 	222	10.27	 	1363	63.04	 	6	0.28	 	2	0.09	 	36	1.67	 	409	18.92	 	1	0.05	 	5	0.23	 	2	0.09	 	96	4.44	 	0	0	 	2162	98.54	 	32	1.46	 	2194	3.06
Gilston		                                    	6	0.93	 	75	11.59	 	359	55.49	 	1	0.15	 	0	0	 	25	3.86	 	147	22.72	 	1	0.15	 	1	0.15	 	1	0.15	 	31	4.79	 	0	0	 	647	98.48	 	10	1.52	 	657	0.92
Harley Park		                                	40	2.05	 	147	7.53	 	779	39.93	 	13	0.67	 	3	0.15	 	44	2.26	 	783	40.13	 	1	0.05	 	6	0.31	 	2	0.1	 	133	6.82	 	0	0	 	1951	97.5	 	50	2.5	 	2001	2.79
Isle Of Capri		                              	15	0.84	 	159	8.89	 	1176	65.74	 	4	0.22	 	0	0	 	32	1.79	 	329	18.39	 	0	0	 	0	0	 	3	0.17	 	71	3.97	 	0	0	 	1789	96.91	 	57	3.09	 	1846	2.57
Labrador		                                   	54	2.29	 	167	7.08	 	916	38.85	 	12	0.51	 	1	0.04	 	58	2.46	 	932	39.53	 	2	0.08	 	5	0.21	 	4	0.17	 	205	8.69	 	2	0.08	 	2358	97.68	 	56	2.32	 	2414	3.36
Labrador East		                              	4	1.12	 	30	8.4	 	129	36.13	 	2	0.56	 	1	0.28	 	6	1.68	 	159	44.54	 	0	0	 	3	0.84	 	1	0.28	 	22	6.16	 	0	0	 	357	97.54	 	9	2.46	 	366	0.51
Main Beach		                                 	16	1.01	 	114	7.21	 	1060	67.05	 	2	0.13	 	2	0.13	 	36	2.28	 	290	18.34	 	1	0.06	 	0	0	 	3	0.19	 	57	3.61	 	0	0	 	1581	98.94	 	17	1.06	 	1598	2.23
Mermaid Waters (Moncrieff)		                 	4	1.91	 	8	3.83	 	118	56.46	 	1	0.48	 	0	0	 	16	7.66	 	49	23.44	 	0	0	 	1	0.48	 	0	0	 	11	5.26	 	1	0.48	 	209	98.12	 	4	1.88	 	213	0.3
Merrimac (Moncrieff)		                       	7	0.77	 	87	9.61	 	490	54.14	 	5	0.55	 	1	0.11	 	21	2.32	 	248	27.4	 	0	0	 	1	0.11	 	2	0.22	 	41	4.53	 	2	0.22	 	905	97.1	 	27	2.9	 	932	1.3
Musgrave Hill		                              	75	2.24	 	211	6.3	 	1207	36.03	 	15	0.45	 	6	0.18	 	147	4.39	 	1451	43.31	 	1	0.03	 	3	0.09	 	1	0.03	 	231	6.9	 	2	0.06	 	3350	97.19	 	97	2.81	 	3447	4.8
Nerang		                                     	111	2.49	 	346	7.75	 	2054	46	 	26	0.58	 	1	0.02	 	162	3.63	 	1456	32.61	 	0	0	 	10	0.22	 	7	0.16	 	290	6.49	 	2	0.04	 	4465	97.83	 	99	2.17	 	4564	6.36
Nerang Heights		                             	37	1.67	 	122	5.49	 	966	43.47	 	15	0.68	 	3	0.14	 	89	4.01	 	861	38.75	 	0	0	 	3	0.14	 	0	0	 	125	5.63	 	1	0.05	 	2222	98.23	 	40	1.77	 	2262	3.15
Nerang South		                               	104	2.41	 	266	6.15	 	1904	44.05	 	29	0.67	 	3	0.07	 	176	4.07	 	1547	35.79	 	1	0.02	 	4	0.09	 	3	0.07	 	283	6.55	 	2	0.05	 	4322	97.69	 	102	2.31	 	4424	6.17
Paradise Point (Moncrieff)		                 	39	2.39	 	131	8.02	 	824	50.43	 	6	0.37	 	0	0	 	31	1.9	 	505	30.91	 	0	0	 	1	0.06	 	3	0.18	 	92	5.63	 	2	0.12	 	1634	98.14	 	31	1.86	 	1665	2.32
Parkwood		                                   	58	2.07	 	145	5.18	 	1277	45.61	 	13	0.46	 	2	0.07	 	153	5.46	 	1004	35.86	 	5	0.18	 	6	0.21	 	2	0.07	 	135	4.82	 	0	0	 	2800	97.56	 	70	2.44	 	2870	4
Runaway Bay (Moncrieff)		                    	56	1.65	 	341	10.02	 	1960	57.58	 	7	0.21	 	1	0.03	 	51	1.5	 	858	25.21	 	2	0.06	 	5	0.15	 	1	0.03	 	121	3.55	 	1	0.03	 	3404	98.44	 	54	1.56	 	3458	4.82
Southport		                                  	51	1.99	 	220	8.59	 	1137	44.38	 	13	0.51	 	3	0.12	 	130	5.07	 	870	33.96	 	1	0.04	 	12	0.47	 	7	0.27	 	116	4.53	 	2	0.08	 	2562	96.57	 	91	3.43	 	2653	3.7
Southport Hospital		                         	13	2.99	 	28	6.44	 	150	34.48	 	2	0.46	 	0	0	 	13	2.99	 	195	44.83	 	0	0	 	1	0.23	 	1	0.23	 	32	7.36	 	0	0	 	435	98.86	 	5	1.14	 	440	0.61
Southport North		                            	12	2.05	 	53	9.06	 	194	33.16	 	1	0.17	 	1	0.17	 	30	5.13	 	251	42.91	 	0	0	 	2	0.34	 	3	0.51	 	38	6.5	 	0	0	 	585	97.99	 	12	2.01	 	597	0.83
Southport South		                            	31	1.6	 	137	7.05	 	733	37.74	 	13	0.67	 	1	0.05	 	91	4.69	 	780	40.16	 	2	0.1	 	5	0.26	 	1	0.05	 	147	7.57	 	1	0.05	 	1942	98.93	 	21	1.07	 	1963	2.74
Southport West		                             	22	1.97	 	96	8.62	 	468	42.01	 	13	1.17	 	1	0.09	 	40	3.59	 	402	36.09	 	2	0.18	 	4	0.36	 	2	0.18	 	64	5.75	 	0	0	 	1114	98.06	 	22	1.94	 	1136	1.58
Surfers Paradise (Moncrieff)		               	15	1.07	 	90	6.41	 	817	58.19	 	7	0.5	 	1	0.07	 	35	2.49	 	362	25.78	 	0	0	 	0	0	 	2	0.14	 	74	5.27	 	1	0.07	 	1404	97.03	 	43	2.97	 	1447	2.02
Tallai (Moncrieff)		                         	12	1.15	 	74	7.11	 	580	55.72	 	8	0.77	 	0	0	 	27	2.59	 	256	24.59	 	0	0	 	1	0.1	 	2	0.19	 	81	7.78	 	0	0	 	1041	97.65	 	25	2.35	 	1066	1.49
Special Hospitals		                          	17	1.52	 	156	13.94	 	639	57.1	 	5	0.45	 	1	0.09	 	6	0.54	 	233	20.82	 	1	0.09	 	3	0.27	 	1	0.09	 	57	5.09	 	0	0	 	1119	95.56	 	52	4.44	 	1171	1.63
Total Ordinary		                             	1065	1.75	 	4605	7.58	 	29817	49.11	 	275	0.45	 	42	0.07	 	2021	3.33	 	19194	31.61	 	26	0.04	 	104	0.17	 	79	0.13	 	3461	5.7	 	26	0.04	 	60715	97.85	 	1333	2.15	 	62048	86.48
ABSENT		                                     	56	1.77	 	237	7.48	 	1438	45.39	 	18	0.57	 	0	0	 	174	5.49	 	1040	32.83	 	4	0.13	 	8	0.25	 	15	0.47	 	177	5.59	 	1	0.03	 	3168	98.81	 	38	1.19	 	3206	4.47
POSTAL		                                     	19	0.95	 	184	9.23	 	1072	53.79	 	9	0.45	 	0	0	 	55	2.76	 	562	28.2	 	0	0	 	2	0.1	 	4	0.2	 	86	4.32	 	0	0	 	1993	98.32	 	34	1.68	 	2027	2.83
PRE_POLL		                                   	49	1.22	 	274	6.83	 	2192	54.64	 	26	0.65	 	4	0.1	 	109	2.72	 	1147	28.59	 	2	0.05	 	9	0.22	 	8	0.2	 	192	4.79	 	0	0	 	4012	98.74	 	51	1.26	 	4063	5.66
PROVISIONAL		                                	4	1.01	 	22	5.57	 	176	44.56	 	1	0.25	 	0	0	 	25	6.33	 	140	35.44	 	1	0.25	 	0	0	 	0	0	 	24	6.08	 	2	0.51	 	395	97.77	 	9	2.23	 	404	0.56
ADJUSTMENT		                                 	1		       	2		       	1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	4		       	-3		       	1	
Division Summary		                           	1194	1.7	 	5324	7.57	 	34696	49.36	 	329	0.47	 	46	0.07	 	2384	3.39	 	22083	31.42	 	33	0.05	 	123	0.17	 	106	0.15	 	3940	5.61	 	29	0.04	 	70287	97.96	 	1462	2.04	 	71749	95.37
 																																														


Moreton (79944)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Annerley		                                   	9	0.74	 	63	5.18	 	425	34.95	 	10	0.82	 	0	0	 	65	5.35	 	527	43.34	 	1	0.08	 	9	0.74	 	3	0.25	 	99	8.14	 	5	0.41	 	1216	98.46	 	19	1.54	 	1235	1.61
Annerley Junction		                          	7	0.91	 	35	4.53	 	229	29.62	 	1	0.13	 	1	0.13	 	37	4.79	 	378	48.9	 	0	0	 	3	0.39	 	3	0.39	 	78	10.09	 	1	0.13	 	773	97.11	 	23	2.89	 	796	1.04
Brisbane City (Moreton)		                    	5	1.19	 	19	4.52	 	97	23.1	 	2	0.48	 	2	0.48	 	32	7.62	 	214	50.95	 	0	0	 	3	0.71	 	4	0.95	 	41	9.76	 	1	0.24	 	420	95.89	 	18	4.11	 	438	0.57
Broadwater		                                 	2	0.65	 	19	6.13	 	95	30.65	 	2	0.65	 	0	0	 	7	2.26	 	160	51.61	 	0	0	 	2	0.65	 	0	0	 	23	7.42	 	0	0	 	310	97.18	 	9	2.82	 	319	0.42
Cavendish Road (Moreton)		                   	11	1.29	 	27	3.18	 	285	33.53	 	5	0.59	 	3	0.35	 	38	4.47	 	408	48	 	1	0.12	 	4	0.47	 	2	0.24	 	66	7.76	 	0	0	 	850	97.59	 	21	2.41	 	871	1.13
Chelmer		                                    	5	0.62	 	46	5.71	 	430	53.35	 	4	0.5	 	1	0.12	 	41	5.09	 	219	27.17	 	0	0	 	2	0.25	 	1	0.12	 	57	7.07	 	0	0	 	806	99.14	 	7	0.86	 	813	1.06
Coopers Plains (Moreton)		                   	32	1.44	 	105	4.74	 	661	29.83	 	8	0.36	 	3	0.14	 	58	2.62	 	1154	52.08	 	4	0.18	 	7	0.32	 	1	0.05	 	181	8.17	 	2	0.09	 	2216	97.36	 	60	2.64	 	2276	2.96
Corinda		                                    	22	1.14	 	98	5.09	 	805	41.84	 	10	0.52	 	1	0.05	 	74	3.85	 	718	37.32	 	1	0.05	 	10	0.52	 	5	0.26	 	180	9.36	 	0	0	 	1924	98.41	 	31	1.59	 	1955	2.55
Corinda South		                              	13	1.17	 	45	4.04	 	425	38.12	 	7	0.63	 	0	0	 	67	6.01	 	438	39.28	 	0	0	 	3	0.27	 	2	0.18	 	114	10.22	 	1	0.09	 	1115	98.32	 	19	1.68	 	1134	1.48
Fairfield		                                  	9	0.82	 	48	4.35	 	379	34.33	 	7	0.63	 	1	0.09	 	62	5.62	 	496	44.93	 	1	0.09	 	4	0.36	 	1	0.09	 	96	8.7	 	0	0	 	1104	97.53	 	28	2.47	 	1132	1.47
Graceville		                                 	2	0.28	 	45	6.22	 	411	56.77	 	9	1.24	 	1	0.14	 	25	3.45	 	179	24.72	 	0	0	 	1	0.14	 	0	0	 	50	6.91	 	1	0.14	 	724	98.77	 	9	1.23	 	733	0.95
Graceville East		                            	28	1.08	 	113	4.37	 	1075	41.6	 	8	0.31	 	8	0.31	 	142	5.5	 	920	35.6	 	2	0.08	 	12	0.46	 	9	0.35	 	263	10.18	 	4	0.15	 	2584	98.33	 	44	1.67	 	2628	3.42
Greenslopes Repatriation Hospital		          	4	0.87	 	25	5.42	 	181	39.26	 	1	0.22	 	0	0	 	25	5.42	 	184	39.91	 	0	0	 	7	1.52	 	3	0.65	 	31	6.72	 	0	0	 	461	98.09	 	9	1.91	 	470	0.61
Greenslopes School (Moreton)		               	16	0.99	 	44	2.71	 	525	32.39	 	11	0.68	 	4	0.25	 	62	3.82	 	822	50.71	 	0	0	 	5	0.31	 	3	0.19	 	129	7.96	 	0	0	 	1621	97.24	 	46	2.76	 	1667	2.17
Holland Park (Moreton)		                     	5	0.57	 	40	4.58	 	347	39.75	 	4	0.46	 	0	0	 	27	3.09	 	379	43.41	 	1	0.11	 	5	0.57	 	2	0.23	 	62	7.1	 	1	0.11	 	873	96.89	 	28	3.11	 	901	1.17
Holland Park West		                          	26	1.09	 	83	3.48	 	1030	43.13	 	19	0.8	 	0	0	 	78	3.27	 	928	38.86	 	0	0	 	4	0.17	 	2	0.08	 	214	8.96	 	4	0.17	 	2388	98.88	 	27	1.12	 	2415	3.14
Junction Park		                              	15	0.91	 	85	5.16	 	533	32.34	 	9	0.55	 	2	0.12	 	104	6.31	 	770	46.72	 	0	0	 	9	0.55	 	4	0.24	 	114	6.92	 	3	0.18	 	1648	96.71	 	56	3.29	 	1704	2.22
Macgregor		                                  	23	1.15	 	110	5.49	 	1039	51.87	 	11	0.55	 	1	0.05	 	37	1.85	 	635	31.7	 	0	0	 	6	0.3	 	2	0.1	 	136	6.79	 	3	0.15	 	2003	97.19	 	58	2.81	 	2061	2.68
Market Square		                              	22	1.06	 	120	5.76	 	1087	52.21	 	11	0.53	 	2	0.1	 	68	3.27	 	629	30.21	 	0	0	 	7	0.34	 	2	0.1	 	132	6.34	 	2	0.1	 	2082	98.44	 	33	1.56	 	2115	2.75
Moorooka		                                   	17	1.73	 	54	5.5	 	354	36.09	 	6	0.61	 	0	0	 	21	2.14	 	432	44.04	 	1	0.1	 	9	0.92	 	0	0	 	87	8.87	 	0	0	 	981	96.27	 	38	3.73	 	1019	1.33
Moorooka School		                            	26	1.11	 	117	4.98	 	831	35.39	 	9	0.38	 	5	0.21	 	98	4.17	 	1052	44.8	 	1	0.04	 	9	0.38	 	1	0.04	 	194	8.26	 	5	0.21	 	2348	97.35	 	64	2.65	 	2412	3.14
Moorvale		                                   	10	1.02	 	50	5.11	 	356	36.4	 	2	0.2	 	0	0	 	33	3.37	 	435	44.48	 	0	0	 	1	0.1	 	1	0.1	 	89	9.1	 	1	0.1	 	978	96.26	 	38	3.74	 	1016	1.32
Mount Gravatt		                              	29	0.87	 	139	4.17	 	1235	37.09	 	28	0.84	 	2	0.06	 	148	4.44	 	1432	43	 	5	0.15	 	12	0.36	 	5	0.15	 	291	8.74	 	4	0.12	 	3330	98.4	 	54	1.6	 	3384	4.41
Mount Gravatt East (Moreton)		               	15	0.83	 	78	4.34	 	548	30.5	 	10	0.56	 	3	0.17	 	59	3.28	 	958	53.31	 	3	0.17	 	6	0.33	 	1	0.06	 	116	6.46	 	0	0	 	1797	97.29	 	50	2.71	 	1847	2.41
Mount Thompson		                             	14	0.86	 	90	5.55	 	524	32.33	 	19	1.17	 	3	0.19	 	70	4.32	 	770	47.5	 	1	0.06	 	3	0.19	 	0	0	 	124	7.65	 	3	0.19	 	1621	97.47	 	42	2.53	 	1663	2.17
Oxley		                                      	12	1.64	 	34	4.64	 	215	29.37	 	4	0.55	 	3	0.41	 	37	5.05	 	367	50.14	 	2	0.27	 	3	0.41	 	1	0.14	 	54	7.38	 	0	0	 	732	98.65	 	10	1.35	 	742	0.97
Oxley South		                                	25	1.59	 	70	4.46	 	497	31.7	 	16	1.02	 	1	0.06	 	71	4.53	 	760	48.47	 	2	0.13	 	5	0.32	 	4	0.26	 	117	7.46	 	0	0	 	1568	96.91	 	50	3.09	 	1618	2.11
Robertson		                                  	13	0.75	 	124	7.11	 	926	53.1	 	9	0.52	 	1	0.06	 	45	2.58	 	513	29.42	 	0	0	 	6	0.34	 	0	0	 	105	6.02	 	2	0.11	 	1744	97.92	 	37	2.08	 	1781	2.32
Rocklea		                                    	25	2.65	 	27	2.86	 	247	26.17	 	1	0.11	 	0	0	 	36	3.81	 	536	56.78	 	5	0.53	 	5	0.53	 	1	0.11	 	59	6.25	 	2	0.21	 	944	95.93	 	40	4.07	 	984	1.28
