Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Downside		                                   	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.47	 	0	0	 	62	76.54	 	1	1.23	 	0	0	 	11	13.58	 	0	0	 	3	3.7	 	0	0	 	2	2.47	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	81	98.78	 	1	1.22	 	82	0.11
Driver		                                     	11	1.04	 	3	0.28	 	1	0.09	 	1	0.09	 	2	0.19	 	0	0	 	21	1.98	 	0	0	 	561	52.82	 	2	0.19	 	31	2.92	 	385	36.25	 	0	0	 	7	0.66	 	26	2.45	 	10	0.94	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.09	 	0	0	 	1062	95.42	 	51	4.58	 	1113	1.48
Euberta		                                    	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.68	 	0	0	 	96	85.71	 	0	0	 	2	1.79	 	4	3.57	 	0	0	 	2	1.79	 	3	2.68	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.79	 	0	0	 	112	99.12	 	1	0.88	 	113	0.15
Forest Hill		                                	7	0.72	 	5	0.51	 	0	0	 	0	0	 	0	0	 	1	0.1	 	48	4.94	 	2	0.21	 	493	50.72	 	0	0	 	47	4.84	 	337	34.67	 	0	0	 	9	0.93	 	15	1.54	 	6	0.62	 	0	0	 	2	0.21	 	0	0	 	0	0	 	0	0	 	0	0	 	972	98.28	 	17	1.72	 	989	1.31
Galore		                                     	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	2.76	 	0	0	 	111	76.55	 	0	0	 	7	4.83	 	10	6.9	 	0	0	 	0	0	 	11	7.59	 	1	0.69	 	0	0	 	1	0.69	 	0	0	 	0	0	 	0	0	 	0	0	 	145	97.32	 	4	2.68	 	149	0.2
Ganmain		                                    	10	2	 	4	0.8	 	0	0	 	0	0	 	1	0.2	 	1	0.2	 	16	3.2	 	0	0	 	346	69.2	 	2	0.4	 	7	1.4	 	105	21	 	0	0	 	3	0.6	 	3	0.6	 	1	0.2	 	0	0	 	1	0.2	 	0	0	 	0	0	 	0	0	 	0	0	 	500	96.15	 	20	3.85	 	520	0.69
Goolgowi		                                   	3	1.16	 	1	0.39	 	0	0	 	1	0.39	 	0	0	 	1	0.39	 	2	0.77	 	0	0	 	175	67.57	 	0	0	 	2	0.77	 	68	26.25	 	0	0	 	2	0.77	 	1	0.39	 	3	1.16	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	259	98.11	 	5	1.89	 	264	0.35
Gralee		                                     	13	1.37	 	4	0.42	 	1	0.11	 	1	0.11	 	1	0.11	 	0	0	 	20	2.11	 	2	0.21	 	440	46.36	 	2	0.21	 	40	4.21	 	393	41.41	 	1	0.11	 	7	0.74	 	18	1.9	 	4	0.42	 	0	0	 	2	0.21	 	0	0	 	0	0	 	0	0	 	0	0	 	949	96.44	 	35	3.56	 	984	1.31
Griffith		                                   	36	1.47	 	4	0.16	 	3	0.12	 	1	0.04	 	1	0.04	 	6	0.24	 	55	2.25	 	2	0.08	 	1116	45.57	 	5	0.2	 	67	2.74	 	1101	44.96	 	0	0	 	10	0.41	 	28	1.14	 	9	0.37	 	0	0	 	5	0.2	 	0	0	 	0	0	 	0	0	 	0	0	 	2449	96.3	 	94	3.7	 	2543	3.38
Griffith East		                              	18	1.41	 	3	0.23	 	4	0.31	 	1	0.08	 	4	0.31	 	1	0.08	 	23	1.8	 	3	0.23	 	648	50.59	 	1	0.08	 	34	2.65	 	506	39.5	 	0	0	 	6	0.47	 	16	1.25	 	9	0.7	 	0	0	 	2	0.16	 	0	0	 	0	0	 	2	0.16	 	0	0	 	1281	96.24	 	50	3.76	 	1331	1.77
Griffith Hospital		                          	2	1.2	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	1.81	 	0	0	 	84	50.6	 	0	0	 	9	5.42	 	65	39.16	 	0	0	 	1	0.6	 	2	1.2	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	166	93.79	 	11	6.21	 	177	0.24
Griffith North		                             	12	0.65	 	2	0.11	 	1	0.05	 	2	0.11	 	3	0.16	 	3	0.16	 	44	2.38	 	4	0.22	 	901	48.65	 	1	0.05	 	54	2.92	 	745	40.23	 	0	0	 	18	0.97	 	43	2.32	 	14	0.76	 	2	0.11	 	3	0.16	 	0	0	 	0	0	 	0	0	 	0	0	 	1852	97.58	 	46	2.42	 	1898	2.52
Griffith West		                              	7	0.67	 	2	0.19	 	2	0.19	 	3	0.29	 	1	0.1	 	1	0.1	 	23	2.21	 	0	0	 	406	38.96	 	3	0.29	 	25	2.4	 	543	52.11	 	0	0	 	7	0.67	 	11	1.06	 	3	0.29	 	0	0	 	5	0.48	 	0	0	 	0	0	 	0	0	 	0	0	 	1042	96.75	 	35	3.25	 	1077	1.43
Grong Grong		                                	2	0.96	 	1	0.48	 	0	0	 	0	0	 	0	0	 	1	0.48	 	14	6.73	 	2	0.96	 	125	60.1	 	0	0	 	6	2.88	 	55	26.44	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.96	 	0	0	 	0	0	 	0	0	 	0	0	 	208	94.55	 	12	5.45	 	220	0.29
Gumly Gumly		                                	5	1.5	 	1	0.3	 	0	0	 	0	0	 	1	0.3	 	3	0.9	 	15	4.49	 	0	0	 	165	49.4	 	0	0	 	18	5.39	 	120	35.93	 	0	0	 	1	0.3	 	2	0.6	 	2	0.6	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.3	 	0	0	 	334	97.66	 	8	2.34	 	342	0.45
Gunbar		                                     	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	42	95.45	 	0	0	 	0	0	 	2	4.55	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	44	100	 	0	0	 	44	0.06
Hanwood		                                    	12	1.38	 	0	0	 	0	0	 	2	0.23	 	2	0.23	 	0	0	 	19	2.19	 	0	0	 	503	57.88	 	1	0.12	 	26	2.99	 	286	32.91	 	0	0	 	6	0.69	 	5	0.58	 	4	0.46	 	0	0	 	1	0.12	 	1	0.12	 	0	0	 	1	0.12	 	0	0	 	869	94.15	 	54	5.85	 	923	1.23
Hay		                                        	17	1.11	 	3	0.2	 	2	0.13	 	1	0.07	 	1	0.07	 	3	0.2	 	51	3.34	 	2	0.13	 	671	43.94	 	1	0.07	 	48	3.14	 	683	44.73	 	0	0	 	18	1.18	 	10	0.65	 	9	0.59	 	0	0	 	2	0.13	 	3	0.2	 	0	0	 	1	0.07	 	1	0.07	 	1527	96.95	 	48	3.05	 	1575	2.09
Hay Hospital		                               	7	1.54	 	2	0.44	 	0	0	 	0	0	 	0	0	 	0	0	 	10	2.2	 	0	0	 	196	43.17	 	0	0	 	11	2.42	 	219	48.24	 	2	0.44	 	1	0.22	 	1	0.22	 	4	0.88	 	0	0	 	1	0.22	 	0	0	 	0	0	 	0	0	 	0	0	 	454	96.39	 	17	3.61	 	471	0.63
Hillston		                                   	11	1.26	 	1	0.11	 	0	0	 	3	0.34	 	0	0	 	2	0.23	 	59	6.77	 	0	0	 	466	53.44	 	0	0	 	16	1.83	 	304	34.86	 	0	0	 	1	0.11	 	5	0.57	 	4	0.46	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	872	97.21	 	25	2.79	 	897	1.19
Illabo		                                     	1	0.78	 	1	0.78	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.34	 	0	0	 	100	78.13	 	0	0	 	3	2.34	 	13	10.16	 	0	0	 	0	0	 	6	4.69	 	0	0	 	0	0	 	1	0.78	 	0	0	 	0	0	 	0	0	 	0	0	 	128	97.71	 	3	2.29	 	131	0.17
Junee		                                      	15	1	 	3	0.2	 	4	0.27	 	2	0.13	 	3	0.2	 	6	0.4	 	51	3.41	 	1	0.07	 	491	32.8	 	2	0.13	 	40	2.67	 	828	55.31	 	1	0.07	 	14	0.94	 	25	1.67	 	10	0.67	 	0	0	 	0	0	 	0	0	 	1	0.07	 	0	0	 	0	0	 	1497	96.89	 	48	3.11	 	1545	2.05
Junee North		                                	20	2.46	 	2	0.25	 	1	0.12	 	0	0	 	1	0.12	 	2	0.25	 	34	4.18	 	1	0.12	 	296	36.36	 	0	0	 	21	2.58	 	412	50.61	 	2	0.25	 	15	1.84	 	4	0.49	 	2	0.25	 	1	0.12	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	814	97.49	 	21	2.51	 	835	1.11
Junee Reefs		                                	0	0	 	2	2.04	 	0	0	 	0	0	 	3	3.06	 	0	0	 	3	3.06	 	0	0	 	77	78.57	 	0	0	 	1	1.02	 	5	5.1	 	0	0	 	0	0	 	7	7.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	98	100	 	0	0	 	98	0.13
Kamarah		                                    	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	68	79.07	 	0	0	 	0	0	 	8	9.3	 	0	0	 	0	0	 	9	10.47	 	0	0	 	0	0	 	0	0	 	1	1.16	 	0	0	 	0	0	 	0	0	 	86	98.85	 	1	1.15	 	87	0.12
Kapooka		                                    	1	0.56	 	1	0.56	 	0	0	 	1	0.56	 	0	0	 	0	0	 	5	2.81	 	0	0	 	129	72.47	 	0	0	 	1	0.56	 	33	18.54	 	0	0	 	3	1.69	 	3	1.69	 	1	0.56	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	178	100	 	0	0	 	178	0.24
Kikoira		                                    	1	1.85	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	49	90.74	 	1	1.85	 	1	1.85	 	2	3.7	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	54	100	 	0	0	 	54	0.07
Kildary		                                    	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.89	 	0	0	 	48	90.57	 	0	0	 	0	0	 	2	3.77	 	0	0	 	0	0	 	2	3.77	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	53	100	 	0	0	 	53	0.07
Kooringal		                                  	22	0.8	 	8	0.29	 	3	0.11	 	1	0.04	 	7	0.25	 	4	0.15	 	107	3.89	 	0	0	 	1519	55.2	 	0	0	 	122	4.43	 	856	31.1	 	0	0	 	35	1.27	 	48	1.74	 	14	0.51	 	0	0	 	2	0.07	 	3	0.11	 	0	0	 	0	0	 	1	0.04	 	2752	97.76	 	63	2.24	 	2815	3.74
Ladysmith		                                  	2	0.96	 	1	0.48	 	0	0	 	0	0	 	0	0	 	1	0.48	 	9	4.31	 	0	0	 	145	69.38	 	0	0	 	6	2.87	 	36	17.22	 	0	0	 	0	0	 	4	1.91	 	4	1.91	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.48	 	209	96.76	 	7	3.24	 	216	0.29
Lake Albert		                                	19	0.83	 	6	0.26	 	4	0.17	 	4	0.17	 	2	0.09	 	5	0.22	 	148	6.43	 	2	0.09	 	1283	55.76	 	1	0.04	 	109	4.74	 	611	26.55	 	0	0	 	44	1.91	 	50	2.17	 	9	0.39	 	1	0.04	 	2	0.09	 	1	0.04	 	0	0	 	0	0	 	0	0	 	2301	97.91	 	49	2.09	 	2350	3.12
Lake Wyangan		                               	12	2.9	 	1	0.24	 	0	0	 	0	0	 	0	0	 	0	0	 	18	4.35	 	0	0	 	224	54.11	 	0	0	 	11	2.66	 	134	32.37	 	0	0	 	5	1.21	 	8	1.93	 	1	0.24	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	414	94.52	 	24	5.48	 	438	0.58
Leeton		                                     	24	1.31	 	2	0.11	 	2	0.11	 	2	0.11	 	2	0.11	 	1	0.05	 	64	3.5	 	3	0.16	 	812	44.4	 	1	0.05	 	62	3.39	 	788	43.08	 	0	0	 	11	0.6	 	45	2.46	 	5	0.27	 	0	0	 	2	0.11	 	1	0.05	 	0	0	 	2	0.11	 	0	0	 	1829	96.52	 	66	3.48	 	1895	2.52
Leeton Hospital		                            	4	0.94	 	2	0.47	 	0	0	 	0	0	 	2	0.47	 	0	0	 	12	2.82	 	0	0	 	202	47.53	 	1	0.24	 	25	5.88	 	165	38.82	 	0	0	 	4	0.94	 	7	1.65	 	0	0	 	0	0	 	1	0.24	 	0	0	 	0	0	 	0	0	 	0	0	 	425	96.81	 	14	3.19	 	439	0.58
Mangoplah		                                  	3	1.3	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	19	8.23	 	0	0	 	181	78.35	 	1	0.43	 	6	2.6	 	16	6.93	 	0	0	 	2	0.87	 	3	1.3	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	231	98.3	 	4	1.7	 	235	0.31
Marrar		                                     	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.41	 	6	2.47	 	1	0.41	 	169	69.55	 	0	0	 	12	4.94	 	43	17.7	 	0	0	 	1	0.41	 	6	2.47	 	3	1.23	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.41	 	0	0	 	243	98.78	 	3	1.22	 	246	0.33
Matong		                                     	1	0.72	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	2.9	 	0	0	 	99	71.74	 	0	0	 	6	4.35	 	24	17.39	 	0	0	 	1	0.72	 	3	2.17	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	138	95.83	 	6	4.17	 	144	0.19
Maude		                                      	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	6.56	 	0	0	 	37	60.66	 	0	0	 	2	3.28	 	15	24.59	 	0	0	 	2	3.28	 	0	0	 	1	1.64	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	61	98.39	 	1	1.61	 	62	0.08
Merriwagga		                                 	2	2.02	 	2	2.02	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.01	 	0	0	 	70	70.71	 	0	0	 	1	1.01	 	22	22.22	 	0	0	 	0	0	 	1	1.01	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	99	98.02	 	2	1.98	 	101	0.13
Milbrulong		                                 	2	2.6	 	0	0	 	1	1.3	 	0	0	 	0	0	 	0	0	 	4	5.19	 	0	0	 	61	79.22	 	0	0	 	2	2.6	 	6	7.79	 	0	0	 	0	0	 	1	1.3	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	77	93.9	 	5	6.1	 	82	0.11
Mirrool		                                    	1	0.95	 	1	0.95	 	0	0	 	0	0	 	0	0	 	0	0	 	4	3.81	 	0	0	 	88	83.81	 	0	0	 	1	0.95	 	8	7.62	 	0	0	 	0	0	 	1	0.95	 	0	0	 	0	0	 	1	0.95	 	0	0	 	0	0	 	0	0	 	0	0	 	105	98.13	 	2	1.87	 	107	0.14
Mount Austin		                               	30	1.17	 	10	0.39	 	3	0.12	 	4	0.16	 	3	0.12	 	5	0.2	 	95	3.71	 	4	0.16	 	1246	48.63	 	4	0.16	 	91	3.55	 	982	38.33	 	1	0.04	 	25	0.98	 	40	1.56	 	12	0.47	 	0	0	 	6	0.23	 	0	0	 	0	0	 	0	0	 	1	0.04	 	2562	97.75	 	59	2.25	 	2621	3.48
Murrami		                                    	2	1.32	 	1	0.66	 	0	0	 	0	0	 	0	0	 	0	0	 	21	13.82	 	0	0	 	101	66.45	 	0	0	 	3	1.97	 	24	15.79	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	152	97.44	 	4	2.56	 	156	0.21
Naradhan		                                   	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.79	 	0	0	 	45	80.36	 	1	1.79	 	4	7.14	 	3	5.36	 	0	0	 	1	1.79	 	1	1.79	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	56	100	 	0	0	 	56	0.07
Narrandera		                                 	28	1.57	 	8	0.45	 	1	0.06	 	6	0.34	 	4	0.22	 	3	0.17	 	59	3.3	 	1	0.06	 	781	43.7	 	1	0.06	 	55	3.08	 	798	44.66	 	0	0	 	12	0.67	 	17	0.95	 	6	0.34	 	0	0	 	5	0.28	 	1	0.06	 	0	0	 	1	0.06	 	0	0	 	1787	97.23	 	51	2.77	 	1838	2.44
Narrandera East		                            	18	2.13	 	7	0.83	 	0	0	 	0	0	 	2	0.24	 	0	0	 	29	3.43	 	0	0	 	398	47.1	 	0	0	 	20	2.37	 	353	41.78	 	1	0.12	 	5	0.59	 	8	0.95	 	3	0.36	 	0	0	 	1	0.12	 	0	0	 	0	0	 	0	0	 	0	0	 	845	97.13	 	25	2.87	 	870	1.16
Narrandera West		                            	8	1.63	 	1	0.2	 	0	0	 	3	0.61	 	2	0.41	 	0	0	 	15	3.05	 	1	0.2	 	233	47.36	 	0	0	 	15	3.05	 	183	37.2	 	0	0	 	2	0.41	 	23	4.67	 	3	0.61	 	0	0	 	3	0.61	 	0	0	 	0	0	 	0	0	 	0	0	 	492	97.81	 	11	2.19	 	503	0.67
Old Junee		                                  	1	1.27	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.27	 	1	1.27	 	0	0	 	54	68.35	 	0	0	 	3	3.8	 	16	20.25	 	0	0	 	0	0	 	1	1.27	 	1	1.27	 	0	0	 	1	1.27	 	0	0	 	0	0	 	0	0	 	0	0	 	79	100	 	0	0	 	79	0.1
Parkview		                                   	12	1.42	 	3	0.35	 	0	0	 	1	0.12	 	4	0.47	 	1	0.12	 	19	2.24	 	1	0.12	 	314	37.07	 	1	0.12	 	22	2.6	 	444	52.42	 	2	0.24	 	4	0.47	 	14	1.65	 	3	0.35	 	0	0	 	1	0.12	 	0	0	 	1	0.12	 	0	0	 	0	0	 	847	95.92	 	36	4.08	 	883	1.17
Pleasant Hills		                             	1	1.19	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.38	 	0	0	 	69	82.14	 	0	0	 	3	3.57	 	5	5.95	 	0	0	 	0	0	 	4	4.76	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	84	98.82	 	1	1.18	 	85	0.11
Rankins Springs		                            	1	0.46	 	1	0.46	 	0	0	 	0	0	 	0	0	 	0	0	 	6	2.78	 	0	0	 	143	66.2	 	0	0	 	6	2.78	 	59	27.31	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	216	98.18	 	4	1.82	 	220	0.29
Rannock		                                    	1	1.45	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	5	7.25	 	0	0	 	62	89.86	 	0	0	 	1	1.45	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	69	95.83	 	3	4.17	 	72	0.1
San Isidore		                                	1	0.53	 	0	0	 	0	0	 	2	1.06	 	2	1.06	 	0	0	 	12	6.38	 	1	0.53	 	75	39.89	 	0	0	 	13	6.91	 	61	32.45	 	0	0	 	7	3.72	 	14	7.45	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	188	97.41	 	5	2.59	 	193	0.26
Stanbridge		                                 	0	0	 	1	1.2	 	1	1.2	 	0	0	 	1	1.2	 	0	0	 	4	4.82	 	0	0	 	53	63.86	 	0	0	 	2	2.41	 	21	25.3	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	83	98.81	 	1	1.19	 	84	0.11
Sturt		                                      	30	1.39	 	9	0.42	 	0	0	 	0	0	 	11	0.51	 	6	0.28	 	86	3.99	 	1	0.05	 	1163	53.97	 	0	0	 	94	4.36	 	671	31.14	 	0	0	 	28	1.3	 	46	2.13	 	8	0.37	 	0	0	 	1	0.05	 	1	0.05	 	0	0	 	0	0	 	0	0	 	2155	98	 	44	2	 	2199	2.92
Sydney (Riverina)		                          	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.64	 	0	0	 	35	57.38	 	0	0	 	3	4.92	 	18	29.51	 	0	0	 	3	4.92	 	1	1.64	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	61	98.39	 	1	1.61	 	62	0.08
Tallimba		                                   	3	2.03	 	1	0.68	 	0	0	 	1	0.68	 	0	0	 	0	0	 	1	0.68	 	0	0	 	127	85.81	 	0	0	 	1	0.68	 	6	4.05	 	1	0.68	 	0	0	 	5	3.38	 	2	1.35	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	148	97.37	 	4	2.63	 	152	0.2
Tatton		                                     	1	0.18	 	4	0.74	 	0	0	 	0	0	 	0	0	 	0	0	 	23	4.24	 	1	0.18	 	343	63.17	 	1	0.18	 	25	4.6	 	109	20.07	 	0	0	 	3	0.55	 	28	5.16	 	3	0.55	 	0	0	 	2	0.37	 	0	0	 	0	0	 	0	0	 	0	0	 	543	99.09	 	5	0.91	 	548	0.73
The Rock		                                   	8	1.2	 	2	0.3	 	0	0	 	2	0.3	 	0	0	 	3	0.45	 	37	5.55	 	1	0.15	 	318	47.68	 	0	0	 	35	5.25	 	247	37.03	 	0	0	 	5	0.75	 	8	1.2	 	1	0.15	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	667	97.37	 	18	2.63	 	685	0.91
Tolland		                                    	25	1.31	 	8	0.42	 	1	0.05	 	2	0.11	 	3	0.16	 	3	0.16	 	72	3.79	 	1	0.05	 	905	47.58	 	2	0.11	 	80	4.21	 	730	38.38	 	1	0.05	 	12	0.63	 	31	1.63	 	19	1	 	0	0	 	4	0.21	 	2	0.11	 	0	0	 	1	0.05	 	0	0	 	1902	97.44	 	50	2.56	 	1952	2.59
Turvey Park		                                	30	1.41	 	7	0.33	 	1	0.05	 	2	0.09	 	1	0.05	 	3	0.14	 	104	4.89	 	1	0.05	 	992	46.62	 	2	0.09	 	103	4.84	 	780	36.65	 	2	0.09	 	27	1.27	 	52	2.44	 	15	0.7	 	0	0	 	5	0.23	 	0	0	 	0	0	 	0	0	 	1	0.05	 	2128	96.55	 	76	3.45	 	2204	2.93
Ungarie		                                    	2	0.54	 	2	0.54	 	0	0	 	1	0.27	 	0	0	 	1	0.27	 	15	4.09	 	0	0	 	246	67.03	 	0	0	 	9	2.45	 	86	23.43	 	0	0	 	0	0	 	3	0.82	 	1	0.27	 	0	0	 	1	0.27	 	0	0	 	0	0	 	0	0	 	0	0	 	367	98.39	 	6	1.61	 	373	0.5
Uranquinty		                                 	3	0.7	 	2	0.47	 	1	0.23	 	0	0	 	1	0.23	 	0	0	 	28	6.54	 	1	0.23	 	211	49.3	 	1	0.23	 	22	5.14	 	140	32.71	 	0	0	 	5	1.17	 	12	2.8	 	1	0.23	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	428	97.05	 	13	2.95	 	441	0.59
Wagga Wagga		                                	27	1.94	 	6	0.43	 	1	0.07	 	2	0.14	 	3	0.22	 	1	0.07	 	46	3.3	 	2	0.14	 	661	47.38	 	1	0.07	 	60	4.3	 	514	36.85	 	0	0	 	29	2.08	 	26	1.86	 	10	0.72	 	1	0.07	 	2	0.14	 	0	0	 	0	0	 	1	0.07	 	2	0.14	 	1395	96.41	 	52	3.59	 	1447	1.92
Wagga Wagga High		                           	3	0.57	 	1	0.19	 	0	0	 	0	0	 	2	0.38	 	0	0	 	18	3.42	 	0	0	 	269	51.14	 	0	0	 	20	3.8	 	197	37.45	 	0	0	 	3	0.57	 	9	1.71	 	1	0.19	 	0	0	 	2	0.38	 	1	0.19	 	0	0	 	0	0	 	0	0	 	526	99.43	 	3	0.57	 	529	0.7
Wagga Wagga Hospital		                       	4	1.65	 	1	0.41	 	0	0	 	0	0	 	0	0	 	0	0	 	13	5.35	 	0	0	 	106	43.62	 	0	0	 	13	5.35	 	98	40.33	 	0	0	 	4	1.65	 	2	0.82	 	0	0	 	0	0	 	2	0.82	 	0	0	 	0	0	 	0	0	 	0	0	 	243	99.59	 	1	0.41	 	244	0.32
Wagga Wagga North		                          	13	0.96	 	8	0.59	 	2	0.15	 	1	0.07	 	2	0.15	 	2	0.15	 	73	5.38	 	1	0.07	 	662	48.78	 	1	0.07	 	71	5.23	 	474	34.93	 	1	0.07	 	27	1.99	 	14	1.03	 	4	0.29	 	0	0	 	1	0.07	 	0	0	 	0	0	 	0	0	 	0	0	 	1357	96.93	 	43	3.07	 	1400	1.86
Wagga Wagga South		                          	22	1.3	 	6	0.35	 	0	0	 	5	0.3	 	6	0.35	 	1	0.06	 	75	4.44	 	0	0	 	810	47.9	 	1	0.06	 	77	4.55	 	625	36.96	 	2	0.12	 	26	1.54	 	14	0.83	 	11	0.65	 	0	0	 	6	0.35	 	0	0	 	0	0	 	3	0.18	 	1	0.06	 	1691	96.57	 	60	3.43	 	1751	2.33
Wagga Wagga West		                           	35	1.59	 	5	0.23	 	0	0	 	3	0.14	 	6	0.27	 	1	0.05	 	102	4.64	 	0	0	 	1059	48.22	 	5	0.23	 	92	4.19	 	817	37.2	 	0	0	 	24	1.09	 	24	1.09	 	12	0.55	 	1	0.05	 	6	0.27	 	1	0.05	 	0	0	 	0	0	 	3	0.14	 	2196	96.4	 	82	3.6	 	2278	3.03
Wamoon		                                     	5	1.96	 	0	0	 	0	0	 	0	0	 	1	0.39	 	0	0	 	6	2.35	 	0	0	 	141	55.29	 	0	0	 	5	1.96	 	85	33.33	 	1	0.39	 	5	1.96	 	5	1.96	 	1	0.39	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	255	96.23	 	10	3.77	 	265	0.35
Wantabadgery		                               	2	1.92	 	0	0	 	1	0.96	 	0	0	 	0	0	 	0	0	 	2	1.92	 	0	0	 	79	75.96	 	0	0	 	1	0.96	 	19	18.27	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	104	100	 	0	0	 	104	0.14
Weethalle		                                  	3	1.21	 	1	0.4	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	196	79.35	 	0	0	 	0	0	 	47	19.03	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	247	96.86	 	8	3.14	 	255	0.34
West Wyalong		                               	18	0.96	 	4	0.21	 	5	0.27	 	4	0.21	 	3	0.16	 	4	0.21	 	104	5.53	 	5	0.27	 	1171	62.22	 	1	0.05	 	56	2.98	 	464	24.65	 	0	0	 	12	0.64	 	19	1.01	 	9	0.48	 	0	0	 	2	0.11	 	0	0	 	0	0	 	1	0.05	 	0	0	 	1882	97.01	 	58	2.99	 	1940	2.58
