House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Kalgoorlie																																			
					HODDY			HAASE			BROWNING			SCOTT			MILLER			BURT			BUTSON			SMITH			PAYNE			MCCUMSTIE			
		TOTAL					2	28.57		5	71.43		0	0.00																				7	
	NINTH						0	0.00		0	0.00			Excluded																				0	
		TOTAL					2	28.57		5	71.43																							7	
							Elected																												
																																			
Special Hospital Team 5                                        																																			
	FIRST			0	0.00		2	25.00		5	62.50		1	12.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		2	25.00		5	62.50		1	12.50		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		8	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		2	25.00		5	62.50		1	12.50		0	0.00					0	0.00		0	0.00					0	0.00		8	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		2	25.00		5	62.50		1	12.50		0	0.00					0	0.00								0	0.00		8	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		0	0.00		2	25.00		5	62.50		1	12.50		0	0.00					0	0.00											8	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		0	0.00		2	25.00		5	62.50		1	12.50		0	0.00																	8	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00																	0	
		TOTAL					2	25.00		5	62.50		1	12.50		0	0.00																	8	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					2	25.00		5	62.50		1	12.50																				8	
	NINTH						1	100.00		0	0.00			Excluded																				1	
		TOTAL					3	37.50		5	62.50																							8	
							Elected																												
																																			
Special Hospital Team 6                                        																																			
	FIRST			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00								0	0.00		2	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00											2	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00																	2	
	SEVENTH				Excluded		0	0.00		1	100.00		0	0.00		0	0.00																	1	
		TOTAL					1	50.00		1	50.00		0	0.00		0	0.00																	2	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					1	50.00		1	50.00		0	0.00																				2	
	NINTH						0	0.00		0	0.00			Excluded																				0	
		TOTAL					1	50.00		1	50.00																							2	
							Elected																												
																																			
Special Hospital Team 7                                        																																			
	FIRST			3	27.27		1	9.09		3	27.27		1	9.09		0	0.00		0	0.00		3	27.27		0	0.00		0	0.00		0	0.00		11	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	27.27		1	9.09		3	27.27		1	9.09		0	0.00		0	0.00		3	27.27		0	0.00					0	0.00		11	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	27.27		1	9.09		3	27.27		1	9.09		0	0.00					3	27.27		0	0.00					0	0.00		11	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		3	27.27		1	9.09		3	27.27		1	9.09		0	0.00					3	27.27								0	0.00		11	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		3	27.27		1	9.09		3	27.27		1	9.09		0	0.00					3	27.27											11	
	SIXTH			0	0.00		3	100.00		0	0.00		0	0.00		0	0.00						Excluded											3	
		TOTAL		3	27.27		4	36.36		3	27.27		1	9.09		0	0.00																	11	
	SEVENTH				Excluded		1	33.33		1	33.33		0	0.00		1	33.33																	3	
		TOTAL					5	45.45		4	36.36		1	9.09		1	9.09																	11	
	EIGHTH						0	0.00		0	0.00		1	100.00			Excluded																	1	
		TOTAL					5	45.45		4	36.36		2	18.18																				11	
	NINTH						0	0.00		2	100.00			Excluded																				2	
		TOTAL					5	45.45		6	54.55																							11	
							Elected																												
																																			
Remote Mobile Team 1                                           																																			
	FIRST			24	5.04		34	7.14		380	79.83		1	0.21		13	2.73		9	1.89		5	1.05		3	0.63		1	0.21		6	1.26		476	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		24	5.04		34	7.14		381	80.04		1	0.21		13	2.73		9	1.89		5	1.05		3	0.63					6	1.26		476	
	THIRD			3	33.33		1	11.11		2	22.22		0	0.00		1	11.11			Excluded		0	0.00		1	11.11					1	11.11		9	
		TOTAL		27	5.67		35	7.35		383	80.46		1	0.21		14	2.94					5	1.05		4	0.84					7	1.47		476	
	FOURTH			1	25.00		0	0.00		0	0.00		0	0.00		0	0.00					2	50.00			Excluded					1	25.00		4	
		TOTAL		28	5.88		35	7.35		383	80.46		1	0.21		14	2.94					7	1.47								8	1.68		476	
	FIFTH			0	0.00		1	12.50		2	25.00		2	25.00		2	25.00					1	12.50									Excluded		8	
		TOTAL		28	5.88		36	7.56		385	80.88		3	0.63		16	3.36					8	1.68											476	
	SIXTH			3	37.50		0	0.00		1	12.50		0	0.00		4	50.00						Excluded											8	
		TOTAL		31	6.51		36	7.56		386	81.09		3	0.63		20	4.20																	476	
	SEVENTH				Excluded		11	35.48		10	32.26		2	6.45		8	25.81																	31	
		TOTAL					47	9.87		396	83.19		5	1.05		28	5.88																	476	
	EIGHTH						8	28.57		12	42.86		8	28.57			Excluded																	28	
		TOTAL					55	11.55		408	85.71		13	2.73																				476	
	NINTH						4	30.77		9	69.23			Excluded																				13	
		TOTAL					59	12.39		417	87.61																							476	
							Elected																												
																																			
Remote Mobile Team 10                                          																																			
	FIRST			2	3.51		1	1.75		51	89.47		0	0.00		0	0.00		0	0.00		2	3.51		0	0.00		0	0.00		1	1.75		57	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	3.51		1	1.75		51	89.47		0	0.00		0	0.00		0	0.00		2	3.51		0	0.00					1	1.75		57	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	3.51		1	1.75		51	89.47		0	0.00		0	0.00					2	3.51		0	0.00					1	1.75		57	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		2	3.51		1	1.75		51	89.47		0	0.00		0	0.00					2	3.51								1	1.75		57	
	FIFTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		3	5.26		1	1.75		51	89.47		0	0.00		0	0.00					2	3.51											57	
	SIXTH			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00						Excluded											2	
		TOTAL		3	5.26		1	1.75		52	91.23		0	0.00		1	1.75																	57	
	SEVENTH				Excluded		3	100.00		0	0.00		0	0.00		0	0.00																	3	
		TOTAL					4	7.02		52	91.23		0	0.00		1	1.75																	57	
	EIGHTH						1	100.00		0	0.00		0	0.00			Excluded																	1	
		TOTAL					5	8.77		52	91.23		0	0.00																				57	
	NINTH						0	0.00		0	0.00			Excluded																				0	
		TOTAL					5	8.77		52	91.23																							57	
							Elected																												
																																			
Remote Mobile Team 11                                          																																			
	FIRST			11	1.61		112	16.35		536	78.25		10	1.46		12	1.75		0	0.00		2	0.29		1	0.15		0	0.00		1	0.15		685	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		11	1.61		112	16.35		536	78.25		10	1.46		12	1.75		0	0.00		2	0.29		1	0.15					1	0.15		685	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		11	1.61		112	16.35		536	78.25		10	1.46		12	1.75					2	0.29		1	0.15					1	0.15		685	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00			Excluded					0	0.00		1	
		TOTAL		11	1.61		112	16.35		536	78.25		10	1.46		12	1.75					3	0.44								1	0.15		685	
	FIFTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		11	1.61		112	16.35		537	78.39		10	1.46		12	1.75					3	0.44											685	
	SIXTH			0	0.00		1	33.33		1	33.33		0	0.00		1	33.33						Excluded											3	
		TOTAL		11	1.61		113	16.50		538	78.54		10	1.46		13	1.90																	685	
	SEVENTH				Excluded		8	72.73		2	18.18		0	0.00		1	9.09																	11	
		TOTAL					121	17.66		540	78.83		10	1.46		14	2.04																	685	
	EIGHTH						3	21.43		9	64.29		2	14.29			Excluded																	14	
		TOTAL					124	18.10		549	80.15		12	1.75																				685	
	NINTH						5	41.67		7	58.33			Excluded																				12	
		TOTAL					129	18.83		556	81.17																							685	
							Elected																												
																																			
Remote Mobile Team 12                                          																																			
	FIRST			6	2.76		15	6.91		187	86.18		1	0.46		4	1.84		1	0.46		1	0.46		0	0.00		0	0.00		2	0.92		217	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	2.76		15	6.91		187	86.18		1	0.46		4	1.84		1	0.46		1	0.46		0	0.00					2	0.92		217	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		6	2.76		15	6.91		188	86.64		1	0.46		4	1.84					1	0.46		0	0.00					2	0.92		217	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		6	2.76		15	6.91		188	86.64		1	0.46		4	1.84					1	0.46								2	0.92		217	
	FIFTH			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00					0	0.00									Excluded		2	
		TOTAL		6	2.76		15	6.91		189	87.10		1	0.46		5	2.30					1	0.46											217	
	SIXTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											1	
		TOTAL		7	3.23		15	6.91		189	87.10		1	0.46		5	2.30																	217	
	SEVENTH				Excluded		2	28.57		1	14.29		1	14.29		3	42.86																	7	
		TOTAL					17	7.83		190	87.56		2	0.92		8	3.69																	217	
	EIGHTH						3	37.50		4	50.00		1	12.50			Excluded																	8	
		TOTAL					20	9.22		194	89.40		3	1.38																				217	
	NINTH						1	33.33		2	66.67			Excluded																				3	
		TOTAL					21	9.68		196	90.32																							217	
							Elected																												
																																			
Remote Mobile Team 13                                          																																			
	FIRST			3	7.50		3	7.50		32	80.00		0	0.00		0	0.00		1	2.50		0	0.00		1	2.50		0	0.00		0	0.00		40	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	7.50		3	7.50		32	80.00		0	0.00		0	0.00		1	2.50		0	0.00		1	2.50					0	0.00		40	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	10.00		3	7.50		32	80.00		0	0.00		0	0.00					0	0.00		1	2.50					0	0.00		40	
	FOURTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		4	10.00		3	7.50		33	82.50		0	0.00		0	0.00					0	0.00								0	0.00		40	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		4	10.00		3	7.50		33	82.50		0	0.00		0	0.00					0	0.00											40	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		4	10.00		3	7.50		33	82.50		0	0.00		0	0.00																	40	
	SEVENTH				Excluded		1	25.00		3	75.00		0	0.00		0	0.00																	4	
		TOTAL					4	10.00		36	90.00		0	0.00		0	0.00																	40	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					4	10.00		36	90.00		0	0.00																				40	
	NINTH						0	0.00		0	0.00			Excluded																				0	
		TOTAL					4	10.00		36	90.00																							40	
							Elected																												
																																			
Remote Mobile Team 14                                          																																			
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00								0	0.00		0	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00											0	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00																	0	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00																	0	
		TOTAL					0	0.00		0	0.00		0	0.00		0	0.00																	0	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					0	0.00		0	0.00		0	0.00																				0	
	NINTH						0	0.00		0	0.00			Excluded																				0	
		TOTAL					0	0.00		0	0.00																							0	
							Elected																												
																																			
Remote Mobile Team 2                                           																																			
	FIRST			4	1.81		9	4.07		200	90.50		3	1.36		1	0.45		0	0.00		0	0.00		0	0.00		0	0.00		4	1.81		221	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	1.81		9	4.07		200	90.50		3	1.36		1	0.45		0	0.00		0	0.00		0	0.00					4	1.81		221	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		4	1.81		9	4.07		200	90.50		3	1.36		1	0.45					0	0.00		0	0.00					4	1.81		221	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		4	1.81		9	4.07		200	90.50		3	1.36		1	0.45					0	0.00								4	1.81		221	
	FIFTH			0	0.00		2	50.00		2	50.00		0	0.00		0	0.00					0	0.00									Excluded		4	
		TOTAL		4	1.81		11	4.98		202	91.40		3	1.36		1	0.45					0	0.00											221	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		4	1.81		11	4.98		202	91.40		3	1.36		1	0.45																	221	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		4	100.00																	4	
		TOTAL					11	4.98		202	91.40		3	1.36		5	2.26																	221	
	EIGHTH						3	60.00		1	20.00		1	20.00			Excluded																	5	
		TOTAL					14	6.33		203	91.86		4	1.81																				221	
	NINTH						2	50.00		2	50.00			Excluded																				4	
		TOTAL					16	7.24		205	92.76																							221	
							Elected																												
																																			
Remote Mobile Team 3                                           																																			
	FIRST			1	6.25		1	6.25		13	81.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	6.25		16	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	6.25		1	6.25		13	81.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	6.25		16	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	6.25		1	6.25		13	81.25		0	0.00		0	0.00					0	0.00		0	0.00					1	6.25		16	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		1	6.25		1	6.25		13	81.25		0	0.00		0	0.00					0	0.00								1	6.25		16	
	FIFTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		1	6.25		1	6.25		14	87.50		0	0.00		0	0.00					0	0.00											16	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		1	6.25		1	6.25		14	87.50		0	0.00		0	0.00																	16	
	SEVENTH				Excluded		0	0.00		1	100.00		0	0.00		0	0.00																	1	
		TOTAL					1	6.25		15	93.75		0	0.00		0	0.00																	16	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					1	6.25		15	93.75		0	0.00																				16	
	NINTH						0	0.00		0	0.00			Excluded																				0	
		TOTAL					1	6.25		15	93.75																							16	
							Elected																												
																																			
Remote Mobile Team 4                                           																																			
	FIRST			4	3.33		18	15.00		84	70.00		1	0.83		1	0.83		3	2.50		1	0.83		1	0.83		0	0.00		7	5.83		120	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	3.33		18	15.00		84	70.00		1	0.83		1	0.83		3	2.50		1	0.83		1	0.83					7	5.83		120	
	THIRD			1	33.33		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		1	33.33					0	0.00		3	
		TOTAL		5	4.17		18	15.00		85	70.83		1	0.83		1	0.83					1	0.83		2	1.67					7	5.83		120	
	FOURTH			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00					0	0.00			Excluded					1	50.00		2	
		TOTAL		5	4.17		18	15.00		86	71.67		1	0.83		1	0.83					1	0.83								8	6.67		120	
	FIFTH			2	25.00		3	37.50		1	12.50		0	0.00		0	0.00					2	25.00									Excluded		8	
		TOTAL		7	5.83		21	17.50		87	72.50		1	0.83		1	0.83					3	2.50											120	
	SIXTH			3	100.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											3	
		TOTAL		10	8.33		21	17.50		87	72.50		1	0.83		1	0.83																	120	
	SEVENTH				Excluded		6	60.00		3	30.00		1	10.00		0	0.00																	10	
		TOTAL					27	22.50		90	75.00		2	1.67		1	0.83																	120	
	EIGHTH						0	0.00		1	100.00		0	0.00			Excluded																	1	
		TOTAL					27	22.50		91	75.83		2	1.67																				120	
	NINTH						1	50.00		1	50.00			Excluded																				2	
		TOTAL					28	23.33		92	76.67																							120	
							Elected																												
																																			
Remote Mobile Team 5                                           																																			
	FIRST			4	2.58		5	3.23		144	92.90		1	0.65		0	0.00		1	0.65		0	0.00		0	0.00		0	0.00		0	0.00		155	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	2.58		5	3.23		144	92.90		1	0.65		0	0.00		1	0.65		0	0.00		0	0.00					0	0.00		155	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	2.58		5	3.23		144	92.90		2	1.29		0	0.00					0	0.00		0	0.00					0	0.00		155	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		4	2.58		5	3.23		144	92.90		2	1.29		0	0.00					0	0.00								0	0.00		155	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		4	2.58		5	3.23		144	92.90		2	1.29		0	0.00					0	0.00											155	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		4	2.58		5	3.23		144	92.90		2	1.29		0	0.00																	155	
	SEVENTH				Excluded		1	25.00		2	50.00		0	0.00		1	25.00																	4	
		TOTAL					6	3.87		146	94.19		2	1.29		1	0.65																	155	
	EIGHTH						0	0.00		1	100.00		0	0.00			Excluded																	1	
		TOTAL					6	3.87		147	94.84		2	1.29																				155	
	NINTH						0	0.00		2	100.00			Excluded																				2	
		TOTAL					6	3.87		149	96.13																							155	
							Elected																												
																																			
Remote Mobile Team 6                                           																																			
	FIRST			0	0.00		4	14.29		22	78.57		1	3.57		0	0.00		1	3.57		0	0.00		0	0.00		0	0.00		0	0.00		28	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		4	14.29		22	78.57		1	3.57		0	0.00		1	3.57		0	0.00		0	0.00					0	0.00		28	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		0	0.00		5	17.86		22	78.57		1	3.57		0	0.00					0	0.00		0	0.00					0	0.00		28	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		5	17.86		22	78.57		1	3.57		0	0.00					0	0.00								0	0.00		28	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		0	0.00		5	17.86		22	78.57		1	3.57		0	0.00					0	0.00											28	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		0	0.00		5	17.86		22	78.57		1	3.57		0	0.00																	28	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00																	0	
		TOTAL					5	17.86		22	78.57		1	3.57		0	0.00																	28	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					5	17.86		22	78.57		1	3.57																				28	
	NINTH						1	100.00		0	0.00			Excluded																				1	
		TOTAL					6	21.43		22	78.57																							28	
							Elected																												
																																			
Remote Mobile Team 7                                           																																			
	FIRST			1	1.67		9	15.00		47	78.33		0	0.00		0	0.00		1	1.67		0	0.00		1	1.67		0	0.00		1	1.67		60	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.67		9	15.00		47	78.33		0	0.00		0	0.00		1	1.67		0	0.00		1	1.67					1	1.67		60	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		1	1.67		9	15.00		47	78.33		0	0.00		0	0.00					1	1.67		1	1.67					1	1.67		60	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		1	1.67		9	15.00		47	78.33		0	0.00		1	1.67					1	1.67								1	1.67		60	
	FIFTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		2	3.33		9	15.00		47	78.33		0	0.00		1	1.67					1	1.67											60	
	SIXTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00						Excluded											1	
		TOTAL		2	3.33		9	15.00		48	80.00		0	0.00		1	1.67																	60	
	SEVENTH				Excluded		2	100.00		0	0.00		0	0.00		0	0.00																	2	
		TOTAL					11	18.33		48	80.00		0	0.00		1	1.67																	60	
	EIGHTH						0	0.00		1	100.00		0	0.00			Excluded																	1	
		TOTAL					11	18.33		49	81.67		0	0.00																				60	
	NINTH						0	0.00		0	0.00			Excluded																				0	
		TOTAL					11	18.33		49	81.67																							60	
							Elected																												
																																			
Remote Mobile Team 8                                           																																			
	FIRST			5	3.68		12	8.82		114	83.82		2	1.47		1	0.74		0	0.00		1	0.74		0	0.00		0	0.00		1	0.74		136	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	3.68		12	8.82		114	83.82		2	1.47		1	0.74		0	0.00		1	0.74		0	0.00					1	0.74		136	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		5	3.68		12	8.82		114	83.82		2	1.47		1	0.74					1	0.74		0	0.00					1	0.74		136	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		5	3.68		12	8.82		114	83.82		2	1.47		1	0.74					1	0.74								1	0.74		136	
	FIFTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		5	3.68		13	9.56		114	83.82		2	1.47		1	0.74					1	0.74											136	
	SIXTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											1	
		TOTAL		6	4.41		13	9.56		114	83.82		2	1.47		1	0.74																	136	
	SEVENTH				Excluded		3	50.00		1	16.67		1	16.67		1	16.67																	6	
		TOTAL					16	11.76		115	84.56		3	2.21		2	1.47																	136	
	EIGHTH						1	50.00		0	0.00		1	50.00			Excluded																	2	
		TOTAL					17	12.50		115	84.56		4	2.94																				136	
	NINTH						2	50.00		2	50.00			Excluded																				4	
		TOTAL					19	13.97		117	86.03																							136	
							Elected																												
																																			
Remote Mobile Team 9                                           																																			
	FIRST			0	0.00		21	19.63		84	78.50		0	0.00		1	0.93		0	0.00		0	0.00		0	0.00		0	0.00		1	0.93		107	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		21	19.63		84	78.50		0	0.00		1	0.93		0	0.00		0	0.00		0	0.00					1	0.93		107	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		21	19.63		84	78.50		0	0.00		1	0.93					0	0.00		0	0.00					1	0.93		107	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		21	19.63		84	78.50		0	0.00		1	0.93					0	0.00								1	0.93		107	
