House of Representatives - 2001 Election: Western Australia																												
Distribution of Preferences 																												
By Polling Place																												
																												
Forrest																												
					GIORGI			HARVEY			CALDWELL			PROSSER			WYLIE			LLEWELLYN			KIRWAN			SMITH		
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL		5	8.20								39	63.93		1	1.64		1	1.64					15	24.59		61
	FIFTH			0	0.00								1	100.00			Excluded		0	0.00					0	0.00		1
		TOTAL		5	8.20								40	65.57					1	1.64					15	24.59		61
	SIXTH			0	0.00								0	0.00						Excluded					1	100.00		1
		TOTAL		5	8.20								40	65.57											16	26.23		61
	SEVENTH				Excluded								3	60.00											2	40.00		5
		TOTAL											43	70.49											18	29.51		61
													Elected															
																												
Special Hospital Team 4                                        																												
	FIRST			7	10.94		0	0.00		1	1.56		10	15.63		2	3.13		0	0.00		0	0.00		44	68.75		64
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	10.94					1	1.56		10	15.63		2	3.13		0	0.00		0	0.00		44	68.75		64
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		7	10.94					1	1.56		10	15.63		2	3.13		0	0.00					44	68.75		64
	FOURTH			0	0.00						Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1
		TOTAL		7	10.94								11	17.19		2	3.13		0	0.00					44	68.75		64
	FIFTH			1	50.00								0	0.00			Excluded		0	0.00					1	50.00		2
		TOTAL		8	12.50								11	17.19					0	0.00					45	70.31		64
	SIXTH			0	0.00								0	0.00						Excluded					0	0.00		0
		TOTAL		8	12.50								11	17.19											45	70.31		64
	SEVENTH				Excluded								5	62.50											3	37.50		8
		TOTAL											16	25.00											48	75.00		64
													Elected															
																												
Special Hospital Team 5                                        																												
	FIRST			1	6.67		0	0.00		0	0.00		12	80.00		0	0.00		0	0.00		0	0.00		2	13.33		15
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	6.67					0	0.00		12	80.00		0	0.00		0	0.00		0	0.00		2	13.33		15
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		1	6.67					0	0.00		12	80.00		0	0.00		0	0.00					2	13.33		15
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL		1	6.67								12	80.00		0	0.00		0	0.00					2	13.33		15
	FIFTH			0	0.00								0	0.00			Excluded		0	0.00					0	0.00		0
		TOTAL		1	6.67								12	80.00					0	0.00					2	13.33		15
	SIXTH			0	0.00								0	0.00						Excluded					0	0.00		0
		TOTAL		1	6.67								12	80.00											2	13.33		15
	SEVENTH				Excluded								1	100.00											0	0.00		1
		TOTAL											13	86.67											2	13.33		15
													Elected															
																												
Special Hospital Team 6                                        																												
	FIRST			4	6.25		1	1.56		0	0.00		42	65.63		2	3.13		0	0.00		1	1.56		14	21.88		64
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		4	6.25					0	0.00		42	65.63		2	3.13		0	0.00		2	3.13		14	21.88		64
	THIRD			0	0.00					0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL		4	6.25					0	0.00		43	67.19		2	3.13		0	0.00					15	23.44		64
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL		4	6.25								43	67.19		2	3.13		0	0.00					15	23.44		64
	FIFTH			1	50.00								1	50.00			Excluded		0	0.00					0	0.00		2
		TOTAL		5	7.81								44	68.75					0	0.00					15	23.44		64
	SIXTH			0	0.00								0	0.00						Excluded					0	0.00		0
		TOTAL		5	7.81								44	68.75											15	23.44		64
	SEVENTH				Excluded								4	80.00											1	20.00		5
		TOTAL											48	75.00											16	25.00		64
													Elected															
																												
Special Hospital Team 7                                        																												
	FIRST			0	0.00		1	2.94		0	0.00		17	50.00		0	0.00		1	2.94		2	5.88		13	38.24		34
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		0	0.00					1	2.94		17	50.00		0	0.00		1	2.94		2	5.88		13	38.24		34
	THIRD			1	50.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL		1	2.94					1	2.94		17	50.00		0	0.00		1	2.94					14	41.18		34
	FOURTH			0	0.00						Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1
		TOTAL		1	2.94								18	52.94		0	0.00		1	2.94					14	41.18		34
	FIFTH			0	0.00								0	0.00			Excluded		0	0.00					0	0.00		0
		TOTAL		1	2.94								18	52.94					1	2.94					14	41.18		34
	SIXTH			1	100.00								0	0.00						Excluded					0	0.00		1
		TOTAL		2	5.88								18	52.94											14	41.18		34
	SEVENTH				Excluded								1	50.00											1	50.00		2
		TOTAL											19	55.88											15	44.12		34
													Elected															
																												
ABSENT																												
	FIRST			464	10.25		28	0.62		102	2.25		1941	42.87		257	5.68		487	10.76		37	0.82		1212	26.77		4528
	SECOND			8	28.57			Excluded		4	14.29		4	14.29		3	10.71		4	14.29		2	7.14		3	10.71		28
		TOTAL		472	10.42					106	2.34		1945	42.95		260	5.74		491	10.84		39	0.86		1215	26.83		4528
	THIRD			6	15.38					2	5.13		3	7.69		5	12.82		1	2.56			Excluded		22	56.41		39
		TOTAL		478	10.56					108	2.39		1948	43.02		265	5.85		492	10.87					1237	27.32		4528
	FOURTH			18	16.67						Excluded		58	53.70		17	15.74		9	8.33					6	5.56		108
		TOTAL		496	10.95								2006	44.30		282	6.23		501	11.06					1243	27.45		4528
	FIFTH			22	7.80								59	20.92			Excluded		125	44.33					76	26.95		282
		TOTAL		518	11.44								2065	45.61					626	13.83					1319	29.13		4528
	SIXTH			79	12.62								138	22.04						Excluded					409	65.34		626
		TOTAL		597	13.18								2203	48.65											1728	38.16		4528
	SEVENTH				Excluded								356	59.63											241	40.37		597
		TOTAL											2559	56.52											1969	43.48		4528
													Elected															
																												
POSTAL																												
	FIRST			216	10.50		9	0.44		49	2.38		1001	48.66		65	3.16		102	4.96		12	0.58		603	29.31		2057
	SECOND			4	44.44			Excluded		1	11.11		1	11.11		1	11.11		1	11.11		1	11.11		0	0.00		9
		TOTAL		220	10.70					50	2.43		1002	48.71		66	3.21		103	5.01		13	0.63		603	29.31		2057
	THIRD			1	7.69					0	0.00		2	15.38		1	7.69		2	15.38			Excluded		7	53.85		13
		TOTAL		221	10.74					50	2.43		1004	48.81		67	3.26		105	5.10					610	29.65		2057
	FOURTH			6	12.00						Excluded		30	60.00		7	14.00		2	4.00					5	10.00		50
		TOTAL		227	11.04								1034	50.27		74	3.60		107	5.20					615	29.90		2057
	FIFTH			5	6.76								19	25.68			Excluded		32	43.24					18	24.32		74
		TOTAL		232	11.28								1053	51.19					139	6.76					633	30.77		2057
	SIXTH			24	17.27								33	23.74						Excluded					82	58.99		139
		TOTAL		256	12.45								1086	52.80											715	34.76		2057
	SEVENTH				Excluded								146	57.03											110	42.97		256
		TOTAL											1232	59.89											825	40.11		2057
													Elected															
																												
PRE POLL																												
	FIRST			329	10.98		11	0.37		54	1.80		1307	43.62		130	4.34		226	7.54		16	0.53		923	30.81		2996
	SECOND			4	36.36			Excluded		2	18.18		0	0.00		3	27.27		1	9.09		0	0.00		1	9.09		11
		TOTAL		333	11.11					56	1.87		1307	43.62		133	4.44		227	7.58		16	0.53		924	30.84		2996
	THIRD			2	12.50					0	0.00		3	18.75		0	0.00		2	12.50			Excluded		9	56.25		16
		TOTAL		335	11.18					56	1.87		1310	43.72		133	4.44		229	7.64					933	31.14		2996
	FOURTH			6	10.71						Excluded		34	60.71		8	14.29		7	12.50					1	1.79		56
		TOTAL		341	11.38								1344	44.86		141	4.71		236	7.88					934	31.17		2996
	FIFTH			7	4.96								30	21.28			Excluded		82	58.16					22	15.60		141
		TOTAL		348	11.62								1374	45.86					318	10.61					956	31.91		2996
	SIXTH			54	16.98								70	22.01						Excluded					194	61.01		318
		TOTAL		402	13.42								1444	48.20											1150	38.38		2996
	SEVENTH				Excluded								239	59.45											163	40.55		402
		TOTAL											1683	56.17											1313	43.83		2996
													Elected															
																												
PROVISIONAL																												
	FIRST			65	11.59		5	0.89		7	1.25		191	34.05		15	2.67		67	11.94		13	2.32		198	35.29		561
	SECOND			2	40.00			Excluded		1	20.00		0	0.00		0	0.00		2	40.00		0	0.00		0	0.00		5
		TOTAL		67	11.94					8	1.43		191	34.05		15	2.67		69	12.30		13	2.32		198	35.29		561
	THIRD			3	23.08					0	0.00		1	7.69		0	0.00		1	7.69			Excluded		8	61.54		13
		TOTAL		70	12.48					8	1.43		192	34.22		15	2.67		70	12.48					206	36.72		561
	FOURTH			1	12.50						Excluded		3	37.50		1	12.50		3	37.50					0	0.00		8
		TOTAL		71	12.66								195	34.76		16	2.85		73	13.01					206	36.72		561
	FIFTH			1	6.25								3	18.75			Excluded		9	56.25					3	18.75		16
		TOTAL		72	12.83								198	35.29					82	14.62					209	37.25		561
	SIXTH			17	20.73								20	24.39						Excluded					45	54.88		82
		TOTAL		89	15.86								218	38.86											254	45.28		561
	SEVENTH				Excluded								52	58.43											37	41.57		89
		TOTAL											270	48.13											291	51.87		561
													Elected															
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
