House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
	FIFTH			8	15.09		5	9.43			Excluded					12	22.64		14	26.42					2	3.77					12	22.64		53	
		TOTAL		766	41.23		94	5.06								82	4.41		124	6.67					203	10.93					589	31.70		1858	
	SIXTH			53	56.38			Excluded								15	15.96		7	7.45					13	13.83					6	6.38		94	
		TOTAL		819	44.08											97	5.22		131	7.05					216	11.63					595	32.02		1858	
	SEVENTH			23	17.56											25	19.08			Excluded					18	13.74					65	49.62		131	
		TOTAL		842	45.32											122	6.57								234	12.59					660	35.52		1858	
	EIGHTH			72	59.02												Excluded								25	20.49					25	20.49		122	
		TOTAL		914	49.19																				259	13.94					685	36.87		1858	
	NINTH			132	50.97																					Excluded					127	49.03		259	
		TOTAL		1046	56.30																										812	43.70		1858	
				Elected																															
																																			
Tambellup                                                      																																			
	FIRST			133	38.11		13	3.72		8	2.29		2	0.57		130	37.25		3	0.86		1	0.29		23	6.59		2	0.57		34	9.74		349	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		133	38.11		13	3.72		8	2.29		2	0.57		131	37.54		3	0.86					23	6.59		2	0.57		34	9.74		349	
	THIRD			0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					1	50.00		0	0.00		0	0.00		2	
		TOTAL		133	38.11		13	3.72		9	2.58					131	37.54		3	0.86					24	6.88		2	0.57		34	9.74		349	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	50.00			Excluded		1	50.00		2	
		TOTAL		133	38.11		13	3.72		9	2.58					131	37.54		3	0.86					25	7.16					35	10.03		349	
	FIFTH			2	22.22		1	11.11			Excluded					3	33.33		3	33.33					0	0.00					0	0.00		9	
		TOTAL		135	38.68		14	4.01								134	38.40		6	1.72					25	7.16					35	10.03		349	
	SIXTH			7	50.00			Excluded								3	21.43		0	0.00					4	28.57					0	0.00		14	
		TOTAL		142	40.69											137	39.26		6	1.72					29	8.31					35	10.03		349	
	SEVENTH			0	0.00											1	16.67			Excluded					3	50.00					2	33.33		6	
		TOTAL		142	40.69											138	39.54								32	9.17					37	10.60		349	
	EIGHTH			95	68.84												Excluded								20	14.49					23	16.67		138	
		TOTAL		237	67.91																				52	14.90					60	17.19		349	
	NINTH			35	67.31																					Excluded					17	32.69		52	
		TOTAL		272	77.94																										77	22.06		349	
				Elected																															
																																			
Tammin                                                         																																			
	FIRST			106	50.96		0	0.00		1	0.48		1	0.48		40	19.23		5	2.40		2	0.96		11	5.29		1	0.48		41	19.71		208	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		106	50.96		0	0.00		1	0.48		1	0.48		42	20.19		5	2.40					11	5.29		1	0.48		41	19.71		208	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		106	50.96		0	0.00		1	0.48					42	20.19		6	2.88					11	5.29		1	0.48		41	19.71		208	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	100.00			Excluded		0	0.00		1	
		TOTAL		106	50.96		0	0.00		1	0.48					42	20.19		6	2.88					12	5.77					41	19.71		208	
	FIFTH			0	0.00		0	0.00			Excluded					1	100.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		106	50.96		0	0.00								43	20.67		6	2.88					12	5.77					41	19.71		208	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		106	50.96											43	20.67		6	2.88					12	5.77					41	19.71		208	
	SEVENTH			0	0.00											2	33.33			Excluded					1	16.67					3	50.00		6	
		TOTAL		106	50.96											45	21.63								13	6.25					44	21.15		208	
	EIGHTH			40	88.89												Excluded								2	4.44					3	6.67		45	
		TOTAL		146	70.19																				15	7.21					47	22.60		208	
	NINTH			11	73.33																					Excluded					4	26.67		15	
		TOTAL		157	75.48																										51	24.52		208	
				Elected																															
																																			
Three Springs                                                  																																			
	FIRST			219	63.29		6	1.73		5	1.45		5	1.45		14	4.05		7	2.02		2	0.58		51	14.74		3	0.87		34	9.83		346	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		0	0.00		2	
		TOTAL		219	63.29		6	1.73		5	1.45		5	1.45		14	4.05		8	2.31					51	14.74		4	1.16		34	9.83		346	
	THIRD			2	40.00		1	20.00		0	0.00			Excluded		0	0.00		0	0.00					2	40.00		0	0.00		0	0.00		5	
		TOTAL		221	63.87		7	2.02		5	1.45					14	4.05		8	2.31					53	15.32		4	1.16		34	9.83		346	
	FOURTH			0	0.00		0	0.00		3	75.00					0	0.00		0	0.00					0	0.00			Excluded		1	25.00		4	
		TOTAL		221	63.87		7	2.02		8	2.31					14	4.05		8	2.31					53	15.32					35	10.12		346	
	FIFTH			0	0.00		0	0.00			Excluded					2	25.00		2	25.00					1	12.50					3	37.50		8	
		TOTAL		221	63.87		7	2.02								16	4.62		10	2.89					54	15.61					38	10.98		346	
	SIXTH			4	57.14			Excluded								1	14.29		1	14.29					0	0.00					1	14.29		7	
		TOTAL		225	65.03											17	4.91		11	3.18					54	15.61					39	11.27		346	
	SEVENTH			4	36.36											1	9.09			Excluded					4	36.36					2	18.18		11	
		TOTAL		229	66.18											18	5.20								58	16.76					41	11.85		346	
	EIGHTH			13	72.22												Excluded								2	11.11					3	16.67		18	
		TOTAL		242	69.94																				60	17.34					44	12.72		346	
	NINTH			44	73.33																					Excluded					16	26.67		60	
		TOTAL		286	82.66																										60	17.34		346	
				Elected																															
																																			
Tincurrin                                                      																																			
	FIRST			37	54.41		2	2.94		1	1.47		1	1.47		20	29.41		1	1.47		1	1.47		3	4.41		1	1.47		1	1.47		68	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		37	54.41		2	2.94		1	1.47		1	1.47		20	29.41		1	1.47					4	5.88		1	1.47		1	1.47		68	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		37	54.41		2	2.94		1	1.47					20	29.41		2	2.94					4	5.88		1	1.47		1	1.47		68	
	FOURTH			1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		38	55.88		2	2.94		1	1.47					20	29.41		2	2.94					4	5.88					1	1.47		68	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		1	100.00					0	0.00					0	0.00		1	
		TOTAL		38	55.88		2	2.94								20	29.41		3	4.41					4	5.88					1	1.47		68	
	SIXTH			1	50.00			Excluded								1	50.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		39	57.35											21	30.88		3	4.41					4	5.88					1	1.47		68	
	SEVENTH			0	0.00											0	0.00			Excluded					1	33.33					2	66.67		3	
		TOTAL		39	57.35											21	30.88								5	7.35					3	4.41		68	
	EIGHTH			20	95.24												Excluded								1	4.76					0	0.00		21	
		TOTAL		59	86.76																				6	8.82					3	4.41		68	
	NINTH			5	83.33																					Excluded					1	16.67		6	
		TOTAL		64	94.12																										4	5.88		68	
				Elected																															
																																			
Tingledale                                                     																																			
	FIRST			78	46.15		2	1.18		0	0.00		0	0.00		5	2.96		17	10.06		0	0.00		26	15.38		9	5.33		32	18.93		169	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		78	46.15		2	1.18		0	0.00		0	0.00		5	2.96		17	10.06					26	15.38		9	5.33		32	18.93		169	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		78	46.15		2	1.18		0	0.00					5	2.96		17	10.06					26	15.38		9	5.33		32	18.93		169	
	FOURTH			1	11.11		0	0.00		0	0.00					1	11.11		6	66.67					0	0.00			Excluded		1	11.11		9	
		TOTAL		79	46.75		2	1.18		0	0.00					6	3.55		23	13.61					26	15.38					33	19.53		169	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		79	46.75		2	1.18								6	3.55		23	13.61					26	15.38					33	19.53		169	
	SIXTH			1	50.00			Excluded								0	0.00		0	0.00					1	50.00					0	0.00		2	
		TOTAL		80	47.34											6	3.55		23	13.61					27	15.98					33	19.53		169	
	SEVENTH			0	0.00											1	4.35			Excluded					3	13.04					19	82.61		23	
		TOTAL		80	47.34											7	4.14								30	17.75					52	30.77		169	
	EIGHTH			6	85.71												Excluded								0	0.00					1	14.29		7	
		TOTAL		86	50.89																				30	17.75					53	31.36		169	
	NINTH			19	63.33																					Excluded					11	36.67		30	
		TOTAL		105	62.13																										64	37.87		169	
				Elected																															
																																			
Trayning                                                       																																			
	FIRST			98	59.76		1	0.61		1	0.61		1	0.61		21	12.80		5	3.05		0	0.00		13	7.93		2	1.22		22	13.41		164	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		98	59.76		1	0.61		1	0.61		1	0.61		21	12.80		5	3.05					13	7.93		2	1.22		22	13.41		164	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		98	59.76		1	0.61		1	0.61					21	12.80		6	3.66					13	7.93		2	1.22		22	13.41		164	
	FOURTH			0	0.00		0	0.00		0	0.00					1	50.00		0	0.00					0	0.00			Excluded		1	50.00		2	
		TOTAL		98	59.76		1	0.61		1	0.61					22	13.41		6	3.66					13	7.93					23	14.02		164	
	FIFTH			0	0.00		0	0.00			Excluded					1	100.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		98	59.76		1	0.61								23	14.02		6	3.66					13	7.93					23	14.02		164	
	SIXTH			0	0.00			Excluded								1	100.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		98	59.76											24	14.63		6	3.66					13	7.93					23	14.02		164	
	SEVENTH			1	16.67											2	33.33			Excluded					2	33.33					1	16.67		6	
		TOTAL		99	60.37											26	15.85								15	9.15					24	14.63		164	
	EIGHTH			20	76.92												Excluded								3	11.54					3	11.54		26	
		TOTAL		119	72.56																				18	10.98					27	16.46		164	
	NINTH			12	66.67																					Excluded					6	33.33		18	
		TOTAL		131	79.88																										33	20.12		164	
				Elected																															
																																			
Varley                                                         																																			
	FIRST			49	75.38		0	0.00		0	0.00		1	1.54		8	12.31		0	0.00		0	0.00		6	9.23		0	0.00		1	1.54		65	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		49	75.38		0	0.00		0	0.00		1	1.54		8	12.31		0	0.00					6	9.23		0	0.00		1	1.54		65	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		49	75.38		0	0.00		0	0.00					9	13.85		0	0.00					6	9.23		0	0.00		1	1.54		65	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		49	75.38		0	0.00		0	0.00					9	13.85		0	0.00					6	9.23					1	1.54		65	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		49	75.38		0	0.00								9	13.85		0	0.00					6	9.23					1	1.54		65	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		49	75.38											9	13.85		0	0.00					6	9.23					1	1.54		65	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		49	75.38											9	13.85								6	9.23					1	1.54		65	
	EIGHTH			8	88.89												Excluded								1	11.11					0	0.00		9	
		TOTAL		57	87.69																				7	10.77					1	1.54		65	
	NINTH			5	71.43																					Excluded					2	28.57		7	
		TOTAL		62	95.38																										3	4.62		65	
				Elected																															
																																			
Waggrakine                                                     																																			
	FIRST			653	46.25		17	1.20		29	2.05		7	0.50		32	2.27		68	4.82		3	0.21		218	15.44		15	1.06		370	26.20		1412	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		0	0.00		0	0.00		3	
		TOTAL		653	46.25		17	1.20		30	2.12		7	0.50		32	2.27		68	4.82					220	15.58		15	1.06		370	26.20		1412	
	THIRD			1	14.29		0	0.00		1	14.29			Excluded		1	14.29		1	14.29					1	14.29		0	0.00		2	28.57		7	
		TOTAL		654	46.32		17	1.20		31	2.20					33	2.34		69	4.89					221	15.65		15	1.06		372	26.35		1412	
	FOURTH			6	40.00		0	0.00		1	6.67					1	6.67		3	20.00					2	13.33			Excluded		2	13.33		15	
		TOTAL		660	46.74		17	1.20		32	2.27					34	2.41		72	5.10					223	15.79					374	26.49		1412	
	FIFTH			2	6.25		3	9.38			Excluded					4	12.50		16	50.00					4	12.50					3	9.38		32	
		TOTAL		662	46.88		20	1.42								38	2.69		88	6.23					227	16.08					377	26.70		1412	
	SIXTH			6	30.00			Excluded								5	25.00		1	5.00					6	30.00					2	10.00		20	
		TOTAL		668	47.31											43	3.05		89	6.30					233	16.50					379	26.84		1412	
	SEVENTH			19	21.35											14	15.73			Excluded					19	21.35					37	41.57		89	
		TOTAL		687	48.65											57	4.04								252	17.85					416	29.46		1412	
	EIGHTH			32	56.14												Excluded								18	31.58					7	12.28		57	
		TOTAL		719	50.92																				270	19.12					423	29.96		1412	
	NINTH			171	63.33																					Excluded					99	36.67		270	
		TOTAL		890	63.03																										522	36.97		1412	
				Elected																															
																																			
Wagin                                                          																																			
	FIRST			548	58.80		4	0.43		10	1.07		6	0.64		94	10.09		24	2.58		3	0.32		104	11.16		7	0.75		132	14.16		932	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		548	58.80		5	0.54		10	1.07		6	0.64		94	10.09		26	2.79					104	11.16		7	0.75		132	14.16		932	
	THIRD			1	16.67		0	0.00		0	0.00			Excluded		2	33.33		1	16.67					1	16.67		1	16.67		0	0.00		6	
		TOTAL		549	58.91		5	0.54		10	1.07					96	10.30		27	2.90					105	11.27		8	0.86		132	14.16		932	
	FOURTH			1	12.50		0	0.00		1	12.50					2	25.00		1	12.50					3	37.50			Excluded		0	0.00		8	
		TOTAL		550	59.01		5	0.54		11	1.18					98	10.52		28	3.00					108	11.59					132	14.16		932	
	FIFTH			5	45.45		1	9.09			Excluded					0	0.00		2	18.18					0	0.00					3	27.27		11	
		TOTAL		555	59.55		6	0.64								98	10.52		30	3.22					108	11.59					135	14.48		932	
	SIXTH			3	50.00			Excluded								2	33.33		0	0.00					1	16.67					0	0.00		6	
		TOTAL		558	59.87											100	10.73		30	3.22					109	11.70					135	14.48		932	
	SEVENTH			3	10.00											11	36.67			Excluded					10	33.33					6	20.00		30	
		TOTAL		561	60.19											111	11.91								119	12.77					141	15.13		932	
	EIGHTH			87	78.38												Excluded								11	9.91					13	11.71		111	
		TOTAL		648	69.53																				130	13.95					154	16.52		932	
	NINTH			79	60.77																					Excluded					51	39.23		130	
		TOTAL		727	78.00																										205	22.00		932	
				Elected																															
																																			
Walkaway                                                       																																			
	FIRST			176	53.99		1	0.31		0	0.00		2	0.61		9	2.76		6	1.84		1	0.31		73	22.39		2	0.61		56	17.18		326	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		176	53.99		1	0.31		0	0.00		2	0.61		9	2.76		6	1.84					74	22.70		2	0.61		56	17.18		326	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	50.00		1	50.00		2	
		TOTAL		176	53.99		1	0.31		0	0.00					9	2.76		6	1.84					74	22.70		3	0.92		57	17.48		326	
	FOURTH			0	0.00		0	0.00		1	33.33					0	0.00		0	0.00					1	33.33			Excluded		1	33.33		3	
		TOTAL		176	53.99		1	0.31		1	0.31					9	2.76		6	1.84					75	23.01					58	17.79		326	
	FIFTH			0	0.00		0	0.00			Excluded					1	100.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		176	53.99		1	0.31								10	3.07		6	1.84					75	23.01					58	17.79		326	
	SIXTH			0	0.00			Excluded								0	0.00		1	100.00					0	0.00					0	0.00		1	
		TOTAL		176	53.99											10	3.07		7	2.15					75	23.01					58	17.79		326	
	SEVENTH			1	14.29											1	14.29			Excluded					2	28.57					3	42.86		7	
		TOTAL		177	54.29											11	3.37								77	23.62					61	18.71		326	
	EIGHTH			8	72.73												Excluded								1	9.09					2	18.18		11	
		TOTAL		185	56.75																				78	23.93					63	19.33		326	
	NINTH			55	70.51																					Excluded					23	29.49		78	
		TOTAL		240	73.62																										86	26.38		326	
				Elected																															
																																			
Watheroo                                                       																																			
	FIRST			88	69.29		0	0.00		3	2.36		1	0.79		11	8.66		2	1.57		0	0.00		9	7.09		2	1.57		11	8.66		127	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		88	69.29		0	0.00		3	2.36		1	0.79		11	8.66		2	1.57					9	7.09		2	1.57		11	8.66		127	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		88	69.29		0	0.00		3	2.36					12	9.45		2	1.57					9	7.09		2	1.57		11	8.66		127	
	FOURTH			1	50.00		0	0.00		1	50.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		2	
		TOTAL		89	70.08		0	0.00		4	3.15					12	9.45		2	1.57					9	7.09					11	8.66		127	
	FIFTH			0	0.00		0	0.00			Excluded					1	25.00		2	50.00					0	0.00					1	25.00		4	
		TOTAL		89	70.08		0	0.00								13	10.24		4	3.15					9	7.09					12	9.45		127	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		89	70.08											13	10.24		4	3.15					9	7.09					12	9.45		127	
	SEVENTH			0	0.00											2	50.00			Excluded					0	0.00					2	50.00		4	
		TOTAL		89	70.08											15	11.81								9	7.09					14	11.02		127	
	EIGHTH			11	73.33												Excluded								0	0.00					4	26.67		15	
		TOTAL		100	78.74																				9	7.09					18	14.17		127	
	NINTH			6	66.67																					Excluded					3	33.33		9	
		TOTAL		106	83.46																										21	16.54		127	
				Elected																															
																																			
Wellstead                                                      																																			
	FIRST			44	37.61		1	0.85		3	2.56		0	0.00		24	20.51		0	0.00		1	0.85		32	27.35		0	0.00		12	10.26		117	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		44	37.61		2	1.71		3	2.56		0	0.00		24	20.51		0	0.00					32	27.35		0	0.00		12	10.26		117	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		44	37.61		2	1.71		3	2.56					24	20.51		0	0.00					32	27.35		0	0.00		12	10.26		117	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		44	37.61		2	1.71		3	2.56					24	20.51		0	0.00					32	27.35					12	10.26		117	
	FIFTH			0	0.00		0	0.00			Excluded					2	66.67		1	33.33					0	0.00					0	0.00		3	
		TOTAL		44	37.61		2	1.71								26	22.22		1	0.85					32	27.35					12	10.26		117	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					2	100.00					0	0.00		2	
		TOTAL		44	37.61											26	22.22		1	0.85					34	29.06					12	10.26		117	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					1	100.00		1	
		TOTAL		44	37.61											26	22.22								34	29.06					13	11.11		117	
	EIGHTH			19	73.08												Excluded								4	15.38					3	11.54		26	
		TOTAL		63	53.85																				38	32.48					16	13.68		117	
	NINTH			33	86.84																					Excluded					5	13.16		38	
		TOTAL		96	82.05																										21	17.95		117	
				Elected																															
																																			
Wickepin                                                       																																			
	FIRST			133	55.65		0	0.00		1	0.42		3	1.26		41	17.15		4	1.67		0	0.00		42	17.57		0	0.00		15	6.28		239	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		133	55.65		0	0.00		1	0.42		3	1.26		41	17.15		4	1.67					42	17.57		0	0.00		15	6.28		239	
	THIRD			1	33.33		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					2	66.67		0	0.00		0	0.00		3	
		TOTAL		134	56.07		0	0.00		1	0.42					41	17.15		4	1.67					44	18.41		0	0.00		15	6.28		239	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		134	56.07		0	0.00		1	0.42					41	17.15		4	1.67					44	18.41					15	6.28		239	
	FIFTH			1	100.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		135	56.49		0	0.00								41	17.15		4	1.67					44	18.41					15	6.28		239	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		135	56.49											41	17.15		4	1.67					44	18.41					15	6.28		239	
	SEVENTH			1	25.00											1	25.00			Excluded					1	25.00					1	25.00		4	
		TOTAL		136	56.90											42	17.57								45	18.83					16	6.69		239	
	EIGHTH			35	83.33												Excluded								6	14.29					1	2.38		42	
		TOTAL		171	71.55																				51	21.34					17	7.11		239	
	NINTH			40	78.43																					Excluded					11	21.57		51	
		TOTAL		211	88.28																										28	11.72		239	
				Elected																															
																																			
Wongan Hills                                                   																																			
	FIRST			428	69.82		4	0.65		6	0.98		1	0.16		28	4.57		11	1.79		0	0.00		58	9.46		3	0.49		74	12.07		613	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		428	69.82		4	0.65		6	0.98		1	0.16		28	4.57		11	1.79					58	9.46		3	0.49		74	12.07		613	
	THIRD			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		428	69.82		4	0.65		7	1.14					28	4.57		11	1.79					58	9.46		3	0.49		74	12.07		613	
	FOURTH			2	66.67		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		1	33.33		3	
		TOTAL		430	70.15		4	0.65		7	1.14					28	4.57		11	1.79					58	9.46					75	12.23		613	
	FIFTH			1	14.29		0	0.00			Excluded					0	0.00		4	57.14					1	14.29					1	14.29		7	
		TOTAL		431	70.31		4	0.65								28	4.57		15	2.45					59	9.62					76	12.40		613	
	SIXTH			2	50.00			Excluded								0	0.00		1	25.00					0	0.00					1	25.00		4	
		TOTAL		433	70.64											28	4.57		16	2.61					59	9.62					77	12.56		613	
	SEVENTH			4	25.00											0	0.00			Excluded					7	43.75					5	31.25		16	
		TOTAL		437	71.29											28	4.57								66	10.77					82	13.38		613	
	EIGHTH			23	82.14												Excluded								2	7.14					3	10.71		28	
		TOTAL		460	75.04																				68	11.09					85	13.87		613	
	NINTH			47	69.12																					Excluded					21	30.88		68	
		TOTAL		507	82.71																										106	17.29		613	
				Elected																															
																																			
Wonthella                                                      																																			
	FIRST			765	43.47		33	1.88		26	1.48		16	0.91		35	1.99		64	3.64		2	0.11		260	14.77		30	1.70		529	30.06		1760	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		2	
		TOTAL		765	43.47		33	1.88		26	1.48		16	0.91		35	1.99		64	3.64					262	14.89		30	1.70		529	30.06		1760	
	THIRD			1	6.25		0	0.00		4	25.00			Excluded		0	0.00		3	18.75					7	43.75		0	0.00		1	6.25		16	
		TOTAL		766	43.52		33	1.88		30	1.70					35	1.99		67	3.81					269	15.28		30	1.70		530	30.11		1760	
	FOURTH			5	16.67		3	10.00		3	10.00					2	6.67		7	23.33					7	23.33			Excluded		3	10.00		30	
		TOTAL		771	43.81		36	2.05		33	1.88					37	2.10		74	4.20					276	15.68					533	30.28		1760	
	FIFTH			5	15.15		3	9.09			Excluded					4	12.12		15	45.45					2	6.06					4	12.12		33	
		TOTAL		776	44.09		39	2.22								41	2.33		89	5.06					278	15.80					537	30.51		1760	
	SIXTH			21	53.85			Excluded								4	10.26		3	7.69					7	17.95					4	10.26		39	
		TOTAL		797	45.28											45	2.56		92	5.23					285	16.19					541	30.74		1760	
	SEVENTH			16	17.39											25	27.17			Excluded					21	22.83					30	32.61		92	
		TOTAL		813	46.19											70	3.98								306	17.39					571	32.44		1760	
	EIGHTH			33	47.14												Excluded								15	21.43					22	31.43		70	
		TOTAL		846	48.07																				321	18.24					593	33.69		1760	
	NINTH			186	57.94																					Excluded					135	42.06		321	
		TOTAL		1032	58.64																										728	41.36		1760	
				Elected																															
																																			
Woodanilling                                                   																																			
	FIRST			56	38.36		8	5.48		3	2.05		2	1.37		24	16.44		3	2.05		1	0.68		33	22.60		0	0.00		16	10.96		146	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		56	38.36		8	5.48		3	2.05		3	2.05		24	16.44		3	2.05					33	22.60		0	0.00		16	10.96		146	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					2	66.67		1	33.33		0	0.00		3	
		TOTAL		56	38.36		8	5.48		3	2.05					24	16.44		3	2.05					35	23.97		1	0.68		16	10.96		146	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		1	100.00		1	
		TOTAL		56	38.36		8	5.48		3	2.05					24	16.44		3	2.05					35	23.97					17	11.64		146	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		2	66.67					1	33.33					0	0.00		3	
		TOTAL		56	38.36		8	5.48								24	16.44		5	3.42					36	24.66					17	11.64		146	
	SIXTH			6	75.00			Excluded								2	25.00		0	0.00					0	0.00					0	0.00		8	
		TOTAL		62	42.47											26	17.81		5	3.42					36	24.66					17	11.64		146	
	SEVENTH			1	20.00											0	0.00			Excluded					1	20.00					3	60.00		5	
		TOTAL		63	43.15											26	17.81								37	25.34					20	13.70		146	
	EIGHTH			18	69.23												Excluded								5	19.23					3	11.54		26	
		TOTAL		81	55.48																				42	28.77					23	15.75		146	
	NINTH			31	73.81																					Excluded					11	26.19		42	
		TOTAL		112	76.71																										34	23.29		146	
				Elected																															
																																			
Wubin                                                          																																			
	FIRST			80	67.23		1	0.84		1	0.84		0	0.00		15	12.61		2	1.68		0	0.00		14	11.76		1	0.84		5	4.20		119	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		80	67.23		1	0.84		1	0.84		0	0.00		15	12.61		2	1.68					14	11.76		1	0.84		5	4.20		119	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
